price,quantity,date,unix timestamp
0.653,27,Oct 27 2021 01: +0,1635292800
0.444,18,Oct 28 2021 01: +0,1635379200
0.546,20,Oct 29 2021 01: +0,1635465600
0.319,26,Oct 30 2021 01: +0,1635552000
0.413,20,Oct 31 2021 01: +0,1635638400
0.546,15,Nov 01 2021 01: +0,1635728400
0.408,15,Nov 02 2021 01: +0,1635814800
0.635,18,Nov 03 2021 01: +0,1635901200
0.454,18,Nov 04 2021 01: +0,1635987600
0.365,22,Nov 05 2021 01: +0,1636074000
0.35,26,Nov 06 2021 01: +0,1636160400
0.598,31,Nov 07 2021 01: +0,1636246800
0.311,53,Nov 08 2021 01: +0,1636333200
0.304,24,Nov 09 2021 01: +0,1636419600
1.414,35,Nov 10 2021 01: +0,1636506000
0.271,30,Nov 11 2021 01: +0,1636592400
0.268,14,Nov 12 2021 01: +0,1636678800
0.366,12,Nov 13 2021 01: +0,1636765200
0.313,20,Nov 14 2021 01: +0,1636851600
0.234,16,Nov 15 2021 01: +0,1636938000
0.265,26,Nov 16 2021 01: +0,1637024400
0.23,14,Nov 17 2021 01: +0,1637110800
0.231,10,Nov 18 2021 01: +0,1637197200
0.276,19,Nov 19 2021 01: +0,1637283600
0.223,21,Nov 20 2021 01: +0,1637370000
0.345,17,Nov 21 2021 01: +0,1637456400
0.296,15,Nov 22 2021 01: +0,1637542800
0.314,16,Nov 23 2021 01: +0,1637629200
0.316,9,Nov 24 2021 01: +0,1637715600
0.261,17,Nov 25 2021 01: +0,1637802000
0.258,13,Nov 26 2021 01: +0,1637888400
0.25,7,Nov 27 2021 01: +0,1637974800
0.238,18,Nov 28 2021 01: +0,1638061200
0.274,17,Nov 29 2021 01: +0,1638147600
0.207,16,Nov 30 2021 01: +0,1638234000
0.234,18,Dec 01 2021 01: +0,1638320400
0.215,8,Dec 02 2021 01: +0,1638406800
0.243,12,Dec 03 2021 01: +0,1638493200
0.444,10,Dec 04 2021 01: +0,1638579600
0.354,10,Dec 05 2021 01: +0,1638666000
0.357,6,Dec 06 2021 01: +0,1638752400
0.412,12,Dec 07 2021 01: +0,1638838800
0.393,3,Dec 08 2021 01: +0,1638925200
0.5,7,Dec 09 2021 01: +0,1639011600
0.381,6,Dec 10 2021 01: +0,1639098000
0.402,7,Dec 11 2021 01: +0,1639184400
0.504,9,Dec 12 2021 01: +0,1639270800
0.366,7,Dec 13 2021 01: +0,1639357200
0.34,10,Dec 14 2021 01: +0,1639443600
0.34,9,Dec 15 2021 01: +0,1639530000
0.282,7,Dec 16 2021 01: +0,1639616400
0.292,6,Dec 17 2021 01: +0,1639702800
0.355,12,Dec 18 2021 01: +0,1639789200
0.289,6,Dec 19 2021 01: +0,1639875600
0.316,6,Dec 20 2021 01: +0,1639962000
0.297,5,Dec 21 2021 01: +0,1640048400
0.326,8,Dec 22 2021 01: +0,1640134800
0.325,6,Dec 23 2021 01: +0,1640221200
0.306,5,Dec 24 2021 01: +0,1640307600
0.407,20,Dec 25 2021 01: +0,1640394000
0.47,5,Dec 26 2021 01: +0,1640480400
0.327,3,Dec 27 2021 01: +0,1640566800
0.35,8,Dec 28 2021 01: +0,1640653200
