price,quantity,date,unix timestamp
330.868,1,Nov 30 2014 01: +0,1417309200
308.56,1,Dec 05 2014 01: +0,1417741200
206.816,2,Mar 13 2015 01: +0,1426208400
127.869,2,Mar 15 2015 01: +0,1426381200
153.49,1,Mar 18 2015 01: +0,1426640400
148.486,1,Mar 23 2015 01: +0,1427072400
150.231,1,Mar 26 2015 01: +0,1427331600
140.549,1,Apr 01 2015 01: +0,1427846400
99.261,1,Apr 19 2015 01: +0,1429401600
115.322,1,Apr 23 2015 01: +0,1429747200
109.394,1,Apr 24 2015 01: +0,1429833600
0.03,3,May 01 2015 01: +0,1430438400
119.413,1,May 03 2015 01: +0,1430611200
119.113,1,May 07 2015 01: +0,1430956800
196.109,1,May 12 2015 01: +0,1431388800
125.234,1,May 20 2015 01: +0,1432080000
96.871,2,May 29 2015 01: +0,1432857600
120.082,1,May 31 2015 01: +0,1433030400
144.934,1,Jun 02 2015 01: +0,1433203200
179.406,1,Jun 05 2015 01: +0,1433462400
185.382,1,Jun 13 2015 01: +0,1434153600
114.317,1,Jun 19 2015 01: +0,1434672000
105.893,1,Jun 23 2015 01: +0,1435017600
90.67,1,Jun 27 2015 01: +0,1435363200
191.201,1,Jun 30 2015 01: +0,1435622400
159.938,1,Jul 14 2015 01: +0,1436832000
188.595,1,Jul 16 2015 01: +0,1437004800
198.297,1,Jul 30 2015 01: +0,1438214400
191.408,1,Aug 10 2015 01: +0,1439164800
143.093,1,Aug 12 2015 01: +0,1439337600
160.111,1,Aug 21 2015 01: +0,1440115200
185.8,1,Sep 03 2015 01: +0,1441238400
175.789,1,Sep 26 2015 01: +0,1443225600
169.121,1,Oct 23 2015 01: +0,1445558400
168.826,1,Oct 24 2015 01: +0,1445644800
192.595,2,Oct 28 2015 01: +0,1445994000
156.015,2,Oct 31 2015 01: +0,1446253200
142.457,1,Nov 01 2015 01: +0,1446339600
173.392,1,Nov 02 2015 01: +0,1446426000
135.913,1,Nov 03 2015 01: +0,1446512400
143.663,1,Nov 10 2015 01: +0,1447117200
137.774,1,Nov 14 2015 01: +0,1447462800
146.661,1,Nov 20 2015 01: +0,1447981200
137.746,1,Nov 23 2015 01: +0,1448240400
149.396,1,Nov 24 2015 01: +0,1448326800
165.236,1,Nov 30 2015 01: +0,1448845200
143.829,1,Dec 12 2015 01: +0,1449882000
294.474,1,Dec 17 2015 01: +0,1450314000
205.428,1,Jan 22 2016 01: +0,1453424400
251.323,1,Feb 07 2016 01: +0,1454806800
250.757,1,Feb 15 2016 01: +0,1455498000
272.769,1,Mar 17 2016 01: +0,1458176400
129.131,1,Mar 27 2016 01: +0,1459040400
120.056,1,Mar 29 2016 01: +0,1459209600
210.25,2,Apr 01 2016 01: +0,1459468800
207.248,1,Apr 02 2016 01: +0,1459555200
142.274,1,Apr 03 2016 01: +0,1459641600
195.932,1,Apr 04 2016 01: +0,1459728000
199.681,1,Apr 05 2016 01: +0,1459814400
200.865,1,Apr 07 2016 01: +0,1459987200
97.606,1,Apr 09 2016 01: +0,1460160000
248.857,1,Apr 10 2016 01: +0,1460246400
149.702,1,Apr 11 2016 01: +0,1460332800
149.702,1,Apr 14 2016 01: +0,1460592000
250.915,1,Apr 25 2016 01: +0,1461542400
235.734,1,May 05 2016 01: +0,1462406400
166.369,1,May 20 2016 01: +0,1463702400
231.782,1,May 21 2016 01: +0,1463788800
344.071,1,Jun 10 2016 01: +0,1465516800
329.281,1,Jul 05 2016 01: +0,1467676800
108.36,1,Jul 10 2016 01: +0,1468108800
126.786,2,Jul 11 2016 01: +0,1468195200
124.159,1,Jul 15 2016 01: +0,1468540800
161.787,1,Jul 28 2016 01: +0,1469664000
104.522,1,Aug 04 2016 01: +0,1470268800
114.15,1,Aug 15 2016 01: +0,1471219200
95.125,1,Aug 19 2016 01: +0,1471564800
134.432,1,Aug 20 2016 01: +0,1471651200
146.244,1,Oct 07 2016 01: +0,1475798400
89.393,1,Oct 18 2016 01: +0,1476748800
171.308,2,Nov 06 2016 01: +0,1478394000
99.666,1,Nov 18 2016 01: +0,1479430800
165.178,1,Nov 27 2016 01: +0,1480208400
298.908,1,Nov 28 2016 01: +0,1480294800
110.014,1,Dec 08 2016 01: +0,1481158800
108.086,1,Dec 30 2016 01: +0,1483059600
112.05,1,Jan 06 2017 01: +0,1483664400
298.907,1,Jan 13 2017 01: +0,1484269200
125.854,2,Jan 22 2017 01: +0,1485046800
113.14,2,Jan 23 2017 01: +0,1485133200
147.195,1,Jan 24 2017 01: +0,1485219600
112.583,4,Jan 26 2017 01: +0,1485392400
137.718,3,Jan 27 2017 01: +0,1485478800
123.621,1,Jan 28 2017 01: +0,1485565200
99.261,1,Jan 29 2017 01: +0,1485651600
115.451,2,Jan 30 2017 01: +0,1485738000
132.339,1,Feb 01 2017 01: +0,1485910800
105.828,1,Feb 04 2017 01: +0,1486170000
91.79,1,Feb 08 2017 01: +0,1486515600
119.04,1,Feb 09 2017 01: +0,1486602000
99.264,1,Feb 11 2017 01: +0,1486774800
81.931,1,Feb 14 2017 01: +0,1487034000
86.376,1,Feb 16 2017 01: +0,1487206800
105.24,1,Feb 25 2017 01: +0,1487984400
106.615,1,Mar 13 2017 01: +0,1489366800
88.689,1,Mar 17 2017 01: +0,1489712400
99.573,1,Mar 27 2017 01: +0,1490572800
179.614,1,Apr 13 2017 01: +0,1492041600
71.207,1,Apr 14 2017 01: +0,1492128000
95.1,1,Apr 22 2017 01: +0,1492819200
95.125,1,Apr 25 2017 01: +0,1493078400
88.226,1,Apr 26 2017 01: +0,1493164800
116.085,1,Apr 27 2017 01: +0,1493251200
90.064,1,Apr 28 2017 01: +0,1493337600
81.066,1,Apr 30 2017 01: +0,1493510400
72.791,1,May 06 2017 01: +0,1494028800
98.425,1,May 07 2017 01: +0,1494115200
110.312,1,May 09 2017 01: +0,1494288000
108.773,1,May 20 2017 01: +0,1495238400
76.858,1,May 23 2017 01: +0,1495497600
76.858,1,May 24 2017 01: +0,1495584000
73.951,1,Jun 11 2017 01: +0,1497139200
92.802,1,Jun 13 2017 01: +0,1497312000
92.512,1,Jun 24 2017 01: +0,1498262400
106.706,1,Jun 28 2017 01: +0,1498608000
111.977,2,Jul 08 2017 01: +0,1499472000
108.625,2,Jul 09 2017 01: +0,1499558400
85.907,1,Jul 17 2017 01: +0,1500249600
81.482,1,Jul 18 2017 01: +0,1500336000
82.091,1,Jul 25 2017 01: +0,1500940800
105.613,1,Jul 30 2017 01: +0,1501372800
94.258,2,Jul 31 2017 01: +0,1501459200
82.709,1,Aug 03 2017 01: +0,1501718400
95.124,1,Aug 06 2017 01: +0,1501977600
76.509,1,Aug 18 2017 01: +0,1503014400
98.45,1,Aug 27 2017 01: +0,1503792000
107.012,1,Aug 30 2017 01: +0,1504051200
98.369,2,Sep 05 2017 01: +0,1504569600
99.318,1,Sep 06 2017 01: +0,1504656000
79.783,1,Sep 08 2017 01: +0,1504828800
102.512,1,Sep 09 2017 01: +0,1504915200
77.971,1,Sep 11 2017 01: +0,1505088000
78.061,1,Sep 13 2017 01: +0,1505260800
101.842,1,Sep 14 2017 01: +0,1505347200
124.167,1,Sep 16 2017 01: +0,1505520000
123.307,1,Oct 03 2017 01: +0,1506988800
77.825,1,Nov 07 2017 01: +0,1510016400
128.485,1,Nov 15 2017 01: +0,1510707600
77.766,1,Nov 24 2017 01: +0,1511485200
64.017,1,Dec 01 2017 01: +0,1512090000
117.436,1,Dec 05 2017 01: +0,1512435600
