price,quantity,date,unix timestamp
14.592,4,Nov 30 2013 01: +0,1385773200
11.824,1,Dec 01 2013 01: +0,1385859600
11.366,4,Dec 02 2013 01: +0,1385946000
10.009,4,Dec 04 2013 01: +0,1386118800
11.081,3,Dec 06 2013 01: +0,1386291600
12.247,1,Dec 09 2013 01: +0,1386550800
8.561,1,Dec 11 2013 01: +0,1386723600
9.496,1,Dec 12 2013 01: +0,1386810000
8.976,2,Dec 13 2013 01: +0,1386896400
14.368,1,Dec 18 2013 01: +0,1387328400
10.398,1,Dec 22 2013 01: +0,1387674000
33.205,1,Dec 24 2013 01: +0,1387846800
13.016,1,Dec 26 2013 01: +0,1388019600
12.987,1,Jan 03 2014 01: +0,1388710800
10.324,1,Jan 09 2014 01: +0,1389229200
7.68,1,Jan 11 2014 01: +0,1389402000
7.567,1,Jan 12 2014 01: +0,1389488400
7.877,1,Jan 13 2014 01: +0,1389574800
7.125,2,Jan 16 2014 01: +0,1389834000
10.625,2,Jan 20 2014 01: +0,1390179600
7.552,1,Jan 22 2014 01: +0,1390352400
9.859,1,Jan 24 2014 01: +0,1390525200
9.796,3,Jan 26 2014 01: +0,1390698000
10.339,1,Jan 31 2014 01: +0,1391130000
9.637,1,Feb 08 2014 01: +0,1391821200
11.321,2,Mar 08 2014 01: +0,1394240400
10.315,1,Mar 16 2014 01: +0,1394931600
7.479,1,Mar 23 2014 01: +0,1395536400
8.579,2,Mar 24 2014 01: +0,1395622800
6.321,1,Mar 29 2014 01: +0,1396054800
5.807,1,Mar 31 2014 01: +0,1396224000
9.074,1,Apr 03 2014 01: +0,1396483200
8.086,1,Apr 05 2014 01: +0,1396656000
9.066,1,Apr 06 2014 01: +0,1396742400
9.981,1,Apr 07 2014 01: +0,1396828800
16.188,1,Apr 09 2014 01: +0,1397001600
11.417,1,Apr 17 2014 01: +0,1397692800
13.169,1,Apr 18 2014 01: +0,1397779200
17.267,1,Apr 20 2014 01: +0,1397952000
16.852,1,Apr 29 2014 01: +0,1398729600
15.252,1,May 05 2014 01: +0,1399248000
13.243,1,May 08 2014 01: +0,1399507200
24.779,1,May 12 2014 01: +0,1399852800
14.565,1,Jun 08 2014 01: +0,1402185600
14.624,1,Jun 10 2014 01: +0,1402358400
19.05,1,Jun 11 2014 01: +0,1402444800
18.092,1,Jul 08 2014 01: +0,1404777600
12.355,1,Jul 14 2014 01: +0,1405296000
