price,quantity,date,unix timestamp
4.59,1,Nov 29 2013 01: +0,1385686800
0.824,11,Nov 30 2013 01: +0,1385773200
0.789,25,Dec 01 2013 01: +0,1385859600
0.891,8,Dec 02 2013 01: +0,1385946000
0.817,3,Dec 03 2013 01: +0,1386032400
0.904,6,Dec 04 2013 01: +0,1386118800
0.975,4,Dec 05 2013 01: +0,1386205200
1.141,1,Dec 06 2013 01: +0,1386291600
0.801,6,Dec 07 2013 01: +0,1386378000
0.937,6,Dec 08 2013 01: +0,1386464400
0.857,5,Dec 09 2013 01: +0,1386550800
0.895,2,Dec 10 2013 01: +0,1386637200
1.024,2,Dec 11 2013 01: +0,1386723600
0.942,3,Dec 12 2013 01: +0,1386810000
0.999,1,Dec 13 2013 01: +0,1386896400
1.11,1,Dec 14 2013 01: +0,1386982800
0.879,3,Dec 16 2013 01: +0,1387155600
0.609,4,Dec 17 2013 01: +0,1387242000
0.582,1,Dec 18 2013 01: +0,1387328400
0.513,1,Dec 19 2013 01: +0,1387414800
0.419,3,Dec 20 2013 01: +0,1387501200
0.505,1,Dec 21 2013 01: +0,1387587600
0.554,3,Dec 22 2013 01: +0,1387674000
0.487,3,Dec 23 2013 01: +0,1387760400
0.434,4,Dec 24 2013 01: +0,1387846800
0.681,4,Dec 25 2013 01: +0,1387933200
0.26,1,Dec 26 2013 01: +0,1388019600
0.453,2,Dec 27 2013 01: +0,1388106000
0.369,5,Dec 28 2013 01: +0,1388192400
0.467,6,Dec 29 2013 01: +0,1388278800
0.786,1,Dec 30 2013 01: +0,1388365200
1.036,2,Dec 31 2013 01: +0,1388451600
0.488,3,Jan 01 2014 01: +0,1388538000
0.56,4,Jan 02 2014 01: +0,1388624400
0.381,2,Jan 03 2014 01: +0,1388710800
0.439,1,Jan 04 2014 01: +0,1388797200
0.418,4,Jan 05 2014 01: +0,1388883600
0.531,2,Jan 06 2014 01: +0,1388970000
0.521,1,Jan 07 2014 01: +0,1389056400
0.425,3,Jan 08 2014 01: +0,1389142800
0.44,4,Jan 09 2014 01: +0,1389229200
0.328,1,Jan 10 2014 01: +0,1389315600
0.298,1,Jan 11 2014 01: +0,1389402000
0.371,6,Jan 12 2014 01: +0,1389488400
0.333,2,Jan 13 2014 01: +0,1389574800
0.529,2,Jan 14 2014 01: +0,1389661200
0.571,1,Jan 15 2014 01: +0,1389747600
0.389,1,Jan 16 2014 01: +0,1389834000
0.339,1,Jan 18 2014 01: +0,1390006800
0.439,3,Jan 19 2014 01: +0,1390093200
0.48,1,Jan 20 2014 01: +0,1390179600
0.476,1,Jan 22 2014 01: +0,1390352400
0.463,2,Jan 23 2014 01: +0,1390438800
0.301,2,Jan 24 2014 01: +0,1390525200
0.39,3,Jan 25 2014 01: +0,1390611600
0.427,4,Jan 26 2014 01: +0,1390698000
0.531,1,Jan 27 2014 01: +0,1390784400
0.438,2,Jan 28 2014 01: +0,1390870800
0.527,4,Jan 29 2014 01: +0,1390957200
0.596,3,Jan 30 2014 01: +0,1391043600
0.617,1,Jan 31 2014 01: +0,1391130000
0.637,1,Feb 01 2014 01: +0,1391216400
0.778,1,Feb 02 2014 01: +0,1391302800
0.769,2,Feb 03 2014 01: +0,1391389200
0.579,1,Feb 04 2014 01: +0,1391475600
0.564,2,Feb 05 2014 01: +0,1391562000
0.827,1,Feb 06 2014 01: +0,1391648400
0.43,3,Feb 07 2014 01: +0,1391734800
0.496,1,Feb 08 2014 01: +0,1391821200
0.502,1,Feb 09 2014 01: +0,1391907600
0.621,3,Feb 10 2014 01: +0,1391994000
0.459,2,Feb 11 2014 01: +0,1392080400
0.347,1,Feb 13 2014 01: +0,1392253200
0.414,5,Feb 14 2014 01: +0,1392339600
0.406,4,Feb 15 2014 01: +0,1392426000
0.356,2,Feb 16 2014 01: +0,1392512400
0.331,4,Feb 17 2014 01: +0,1392598800
0.315,5,Feb 18 2014 01: +0,1392685200
0.349,2,Feb 19 2014 01: +0,1392771600
0.324,2,Feb 20 2014 01: +0,1392858000
0.368,2,Feb 21 2014 01: +0,1392944400
0.261,3,Feb 22 2014 01: +0,1393030800
0.263,9,Feb 23 2014 01: +0,1393117200
0.323,4,Feb 24 2014 01: +0,1393203600
0.262,1,Feb 25 2014 01: +0,1393290000
0.256,1,Feb 26 2014 01: +0,1393376400
0.348,3,Feb 27 2014 01: +0,1393462800
0.372,7,Feb 28 2014 01: +0,1393549200
0.562,2,Mar 01 2014 01: +0,1393635600
0.685,3,Mar 02 2014 01: +0,1393722000
0.368,2,Mar 05 2014 01: +0,1393981200
0.303,2,Mar 06 2014 01: +0,1394067600
0.458,1,Mar 08 2014 01: +0,1394240400
0.325,2,Mar 10 2014 01: +0,1394413200
0.496,1,Mar 11 2014 01: +0,1394499600
