price,quantity,date,unix timestamp
6.643,3,Aug 15 2014 01: +0,1408060800
1.619,15,Aug 16 2014 01: +0,1408147200
1.646,16,Aug 17 2014 01: +0,1408233600
1.672,8,Aug 18 2014 01: +0,1408320000
1.843,7,Aug 19 2014 01: +0,1408406400
1.869,4,Aug 20 2014 01: +0,1408492800
1.993,3,Aug 21 2014 01: +0,1408579200
1.744,4,Aug 22 2014 01: +0,1408665600
1.674,10,Aug 23 2014 01: +0,1408752000
1.732,3,Aug 24 2014 01: +0,1408838400
1.541,7,Aug 25 2014 01: +0,1408924800
1.955,7,Aug 26 2014 01: +0,1409011200
1.932,3,Aug 27 2014 01: +0,1409097600
1.783,3,Aug 28 2014 01: +0,1409184000
1.961,7,Aug 29 2014 01: +0,1409270400
2.038,3,Aug 30 2014 01: +0,1409356800
1.672,3,Aug 31 2014 01: +0,1409443200
1.735,9,Sep 01 2014 01: +0,1409529600
1.891,7,Sep 02 2014 01: +0,1409616000
1.936,2,Sep 03 2014 01: +0,1409702400
1.754,1,Sep 04 2014 01: +0,1409788800
1.769,4,Sep 05 2014 01: +0,1409875200
1.694,4,Sep 06 2014 01: +0,1409961600
1.71,3,Sep 07 2014 01: +0,1410048000
1.454,4,Sep 08 2014 01: +0,1410134400
1.637,9,Sep 09 2014 01: +0,1410220800
1.746,4,Sep 10 2014 01: +0,1410307200
1.847,8,Sep 11 2014 01: +0,1410393600
2.193,4,Sep 13 2014 01: +0,1410566400
1.875,7,Sep 14 2014 01: +0,1410652800
1.977,2,Sep 15 2014 01: +0,1410739200
1.845,1,Sep 16 2014 01: +0,1410825600
1.614,5,Sep 17 2014 01: +0,1410912000
2.25,1,Sep 18 2014 01: +0,1410998400
2.635,2,Sep 19 2014 01: +0,1411084800
2.549,4,Sep 20 2014 01: +0,1411171200
2.043,3,Sep 21 2014 01: +0,1411257600
1.134,2,Sep 22 2014 01: +0,1411344000
1.929,2,Sep 23 2014 01: +0,1411430400
2.082,3,Sep 24 2014 01: +0,1411516800
2.541,1,Sep 25 2014 01: +0,1411603200
2.107,2,Sep 26 2014 01: +0,1411689600
1.892,1,Sep 27 2014 01: +0,1411776000
1.536,3,Sep 28 2014 01: +0,1411862400
1.812,1,Sep 29 2014 01: +0,1411948800
0.951,1,Sep 30 2014 01: +0,1412035200
1.679,1,Oct 01 2014 01: +0,1412121600
1.379,3,Oct 02 2014 01: +0,1412208000
1.804,2,Oct 03 2014 01: +0,1412294400
1.774,5,Oct 04 2014 01: +0,1412380800
1.541,4,Oct 05 2014 01: +0,1412467200
1.595,6,Oct 06 2014 01: +0,1412553600
1.651,2,Oct 07 2014 01: +0,1412640000
1.793,3,Oct 08 2014 01: +0,1412726400
1.646,3,Oct 09 2014 01: +0,1412812800
2.307,4,Oct 10 2014 01: +0,1412899200
2.215,4,Oct 11 2014 01: +0,1412985600
1.992,2,Oct 14 2014 01: +0,1413244800
2.258,1,Oct 15 2014 01: +0,1413331200
1.572,3,Oct 16 2014 01: +0,1413417600
1.554,3,Oct 17 2014 01: +0,1413504000
1.667,2,Oct 18 2014 01: +0,1413590400
1.736,5,Oct 19 2014 01: +0,1413676800
1.455,3,Oct 20 2014 01: +0,1413763200
1.814,4,Oct 21 2014 01: +0,1413849600
1.79,2,Oct 22 2014 01: +0,1413936000
1.874,3,Oct 23 2014 01: +0,1414022400
1.662,1,Oct 24 2014 01: +0,1414108800
1.875,3,Oct 25 2014 01: +0,1414195200
1.71,5,Oct 26 2014 01: +0,1414281600
1.976,3,Oct 28 2014 01: +0,1414458000
2.104,3,Oct 30 2014 01: +0,1414630800
2.023,4,Oct 31 2014 01: +0,1414717200
1.917,2,Nov 02 2014 01: +0,1414890000
1.795,2,Nov 03 2014 01: +0,1414976400
1.732,2,Nov 04 2014 01: +0,1415062800
1.927,7,Nov 05 2014 01: +0,1415149200
2.129,4,Nov 06 2014 01: +0,1415235600
1.328,4,Nov 07 2014 01: +0,1415322000
1.857,5,Nov 08 2014 01: +0,1415408400
2.338,2,Nov 09 2014 01: +0,1415494800
1.953,2,Nov 10 2014 01: +0,1415581200
1.862,1,Nov 11 2014 01: +0,1415667600
1.887,4,Nov 12 2014 01: +0,1415754000
1.889,3,Nov 14 2014 01: +0,1415926800
2.051,1,Nov 15 2014 01: +0,1416013200
1.783,4,Nov 16 2014 01: +0,1416099600
2.076,1,Nov 18 2014 01: +0,1416272400
2.068,1,Nov 20 2014 01: +0,1416445200
1.845,1,Nov 21 2014 01: +0,1416531600
1.772,6,Nov 22 2014 01: +0,1416618000
1.836,4,Nov 23 2014 01: +0,1416704400
1.73,3,Nov 24 2014 01: +0,1416790800
1.658,6,Nov 25 2014 01: +0,1416877200
1.677,5,Nov 26 2014 01: +0,1416963600
1.576,3,Nov 27 2014 01: +0,1417050000
1.514,8,Nov 28 2014 01: +0,1417136400
2.161,3,Nov 29 2014 01: +0,1417222800
1.089,14,Nov 30 2014 01: +0,1417309200
1.208,8,Dec 01 2014 01: +0,1417395600
1.473,9,Dec 02 2014 01: +0,1417482000
1.565,3,Dec 03 2014 01: +0,1417568400
1.892,3,Dec 04 2014 01: +0,1417654800
2.293,5,Dec 05 2014 01: +0,1417741200
2.51,2,Dec 06 2014 01: +0,1417827600
2.397,6,Dec 07 2014 01: +0,1417914000
2.477,2,Dec 08 2014 01: +0,1418000400
2.252,3,Dec 09 2014 01: +0,1418086800
2.2,3,Dec 10 2014 01: +0,1418173200
1.815,7,Dec 11 2014 01: +0,1418259600
1.297,6,Dec 12 2014 01: +0,1418346000
1.448,4,Dec 13 2014 01: +0,1418432400
1.645,9,Dec 14 2014 01: +0,1418518800
2.133,3,Dec 15 2014 01: +0,1418605200
2.081,3,Dec 16 2014 01: +0,1418691600
1.997,2,Dec 17 2014 01: +0,1418778000
1.72,8,Dec 18 2014 01: +0,1418864400
1.314,6,Dec 19 2014 01: +0,1418950800
1.457,8,Dec 20 2014 01: +0,1419037200
1.181,4,Dec 21 2014 01: +0,1419123600
1.626,8,Dec 22 2014 01: +0,1419210000
1.813,4,Dec 23 2014 01: +0,1419296400
1.909,3,Dec 24 2014 01: +0,1419382800
2.04,7,Dec 25 2014 01: +0,1419469200
1.991,5,Dec 26 2014 01: +0,1419555600
2.09,3,Dec 27 2014 01: +0,1419642000
1.94,4,Dec 28 2014 01: +0,1419728400
1.811,6,Dec 29 2014 01: +0,1419814800
1.987,6,Dec 30 2014 01: +0,1419901200
2.104,7,Dec 31 2014 01: +0,1419987600
1.595,4,Jan 01 2015 01: +0,1420074000
1.4,9,Jan 02 2015 01: +0,1420160400
1.905,7,Jan 03 2015 01: +0,1420246800
2.016,3,Jan 04 2015 01: +0,1420333200
1.876,4,Jan 05 2015 01: +0,1420419600
1.931,4,Jan 06 2015 01: +0,1420506000
2.087,6,Jan 07 2015 01: +0,1420592400
2.206,3,Jan 08 2015 01: +0,1420678800
2.151,4,Jan 09 2015 01: +0,1420765200
2.006,8,Jan 10 2015 01: +0,1420851600
1.961,13,Jan 11 2015 01: +0,1420938000
2.262,6,Jan 12 2015 01: +0,1421024400
1.861,2,Jan 13 2015 01: +0,1421110800
1.857,5,Jan 14 2015 01: +0,1421197200
2.054,7,Jan 15 2015 01: +0,1421283600
2.195,10,Jan 16 2015 01: +0,1421370000
2.023,10,Jan 17 2015 01: +0,1421456400
1.95,6,Jan 18 2015 01: +0,1421542800
2.169,7,Jan 19 2015 01: +0,1421629200
1.761,5,Jan 20 2015 01: +0,1421715600
1.755,5,Jan 21 2015 01: +0,1421802000
1.89,3,Jan 23 2015 01: +0,1421974800
1.967,10,Jan 24 2015 01: +0,1422061200
2.23,3,Jan 25 2015 01: +0,1422147600
2.226,2,Jan 26 2015 01: +0,1422234000
1.758,5,Jan 27 2015 01: +0,1422320400
2.157,5,Jan 28 2015 01: +0,1422406800
2.295,8,Jan 29 2015 01: +0,1422493200
2.614,6,Jan 30 2015 01: +0,1422579600
2.45,6,Jan 31 2015 01: +0,1422666000
2.102,4,Feb 01 2015 01: +0,1422752400
2.049,4,Feb 02 2015 01: +0,1422838800
1.962,4,Feb 03 2015 01: +0,1422925200
2.176,3,Feb 04 2015 01: +0,1423011600
2.225,2,Feb 05 2015 01: +0,1423098000
2.111,6,Feb 06 2015 01: +0,1423184400
1.87,4,Feb 07 2015 01: +0,1423270800
1.908,4,Feb 08 2015 01: +0,1423357200
1.9,3,Feb 09 2015 01: +0,1423443600
1.935,10,Feb 10 2015 01: +0,1423530000
2.143,3,Feb 11 2015 01: +0,1423616400
2.11,3,Feb 12 2015 01: +0,1423702800
1.846,8,Feb 13 2015 01: +0,1423789200
2.099,8,Feb 14 2015 01: +0,1423875600
2.131,3,Feb 15 2015 01: +0,1423962000
2.18,6,Feb 16 2015 01: +0,1424048400
1.849,7,Feb 17 2015 01: +0,1424134800
2.245,6,Feb 18 2015 01: +0,1424221200
2.618,2,Feb 19 2015 01: +0,1424307600
2.609,4,Feb 20 2015 01: +0,1424394000
2.589,5,Feb 21 2015 01: +0,1424480400
2.497,3,Feb 22 2015 01: +0,1424566800
2.879,2,Feb 23 2015 01: +0,1424653200
2.211,4,Feb 24 2015 01: +0,1424739600
2.022,5,Feb 25 2015 01: +0,1424826000
2.283,6,Feb 26 2015 01: +0,1424912400
2.46,1,Feb 27 2015 01: +0,1424998800
2.344,6,Feb 28 2015 01: +0,1425085200
2.343,2,Mar 01 2015 01: +0,1425171600
2.478,2,Mar 02 2015 01: +0,1425258000
2.579,3,Mar 03 2015 01: +0,1425344400
2.56,4,Mar 04 2015 01: +0,1425430800
2.496,4,Mar 05 2015 01: +0,1425517200
2.518,5,Mar 06 2015 01: +0,1425603600
2.199,3,Mar 07 2015 01: +0,1425690000
2.082,8,Mar 08 2015 01: +0,1425776400
2.465,2,Mar 09 2015 01: +0,1425862800
3.438,2,Mar 11 2015 01: +0,1426035600
1.933,9,Mar 12 2015 01: +0,1426122000
1.392,27,Mar 13 2015 01: +0,1426208400
1.316,34,Mar 14 2015 01: +0,1426294800
1.237,38,Mar 15 2015 01: +0,1426381200
1.242,25,Mar 16 2015 01: +0,1426467600
1.298,14,Mar 17 2015 01: +0,1426554000
1.288,19,Mar 18 2015 01: +0,1426640400
