price,quantity,date,unix timestamp
2.25,1,Nov 29 2013 01: +0,1385686800
0.499,11,Nov 30 2013 01: +0,1385773200
0.405,9,Dec 01 2013 01: +0,1385859600
0.377,6,Dec 02 2013 01: +0,1385946000
0.258,8,Dec 03 2013 01: +0,1386032400
0.276,5,Dec 04 2013 01: +0,1386118800
0.373,7,Dec 05 2013 01: +0,1386205200
0.48,3,Dec 06 2013 01: +0,1386291600
0.556,2,Dec 07 2013 01: +0,1386378000
0.35,3,Dec 08 2013 01: +0,1386464400
0.393,2,Dec 09 2013 01: +0,1386550800
0.422,1,Dec 10 2013 01: +0,1386637200
0.379,1,Dec 11 2013 01: +0,1386723600
0.42,2,Dec 12 2013 01: +0,1386810000
0.434,3,Dec 13 2013 01: +0,1386896400
0.533,1,Dec 14 2013 01: +0,1386982800
0.471,1,Dec 16 2013 01: +0,1387155600
0.455,1,Dec 17 2013 01: +0,1387242000
0.292,2,Dec 21 2013 01: +0,1387587600
0.421,4,Dec 22 2013 01: +0,1387674000
0.414,1,Dec 23 2013 01: +0,1387760400
0.38,1,Dec 26 2013 01: +0,1388019600
0.42,3,Dec 27 2013 01: +0,1388106000
0.38,1,Dec 28 2013 01: +0,1388192400
0.592,3,Dec 29 2013 01: +0,1388278800
0.412,7,Dec 30 2013 01: +0,1388365200
0.508,3,Dec 31 2013 01: +0,1388451600
0.386,3,Jan 02 2014 01: +0,1388624400
0.355,7,Jan 04 2014 01: +0,1388797200
0.502,3,Jan 05 2014 01: +0,1388883600
0.42,2,Jan 06 2014 01: +0,1388970000
0.539,2,Jan 07 2014 01: +0,1389056400
0.538,1,Jan 08 2014 01: +0,1389142800
0.438,2,Jan 11 2014 01: +0,1389402000
0.19,1,Jan 12 2014 01: +0,1389488400
0.199,1,Jan 14 2014 01: +0,1389661200
0.389,1,Jan 15 2014 01: +0,1389747600
0.421,2,Jan 16 2014 01: +0,1389834000
0.24,1,Jan 17 2014 01: +0,1389920400
0.808,2,Jan 19 2014 01: +0,1390093200
0.28,2,Jan 20 2014 01: +0,1390179600
0.254,3,Jan 21 2014 01: +0,1390266000
0.32,3,Jan 22 2014 01: +0,1390352400
0.43,1,Jan 23 2014 01: +0,1390438800
0.231,2,Jan 24 2014 01: +0,1390525200
0.26,1,Jan 25 2014 01: +0,1390611600
0.343,2,Jan 26 2014 01: +0,1390698000
0.305,3,Jan 27 2014 01: +0,1390784400
0.245,3,Jan 30 2014 01: +0,1391043600
0.303,3,Jan 31 2014 01: +0,1391130000
0.24,1,Feb 01 2014 01: +0,1391216400
0.248,1,Feb 02 2014 01: +0,1391302800
0.347,1,Feb 05 2014 01: +0,1391562000
0.281,1,Feb 06 2014 01: +0,1391648400
0.413,13,Feb 07 2014 01: +0,1391734800
2.27,2,Feb 08 2014 01: +0,1391821200
1.371,1,Feb 09 2014 01: +0,1391907600
1.296,1,Feb 10 2014 01: +0,1391994000
4.146,1,Feb 11 2014 01: +0,1392080400
3.023,2,Feb 13 2014 01: +0,1392253200
1.141,2,Feb 16 2014 01: +0,1392512400
0.438,1,Feb 18 2014 01: +0,1392685200
0.471,3,Feb 20 2014 01: +0,1392858000
0.38,1,Feb 23 2014 01: +0,1393117200
0.38,1,Feb 26 2014 01: +0,1393376400
0.372,2,Feb 27 2014 01: +0,1393462800
0.456,3,Mar 01 2014 01: +0,1393635600
0.471,1,Mar 02 2014 01: +0,1393722000
0.193,1,Mar 05 2014 01: +0,1393981200
0.276,2,Mar 06 2014 01: +0,1394067600
0.171,1,Mar 08 2014 01: +0,1394240400
0.171,1,Mar 09 2014 01: +0,1394326800
0.264,1,Mar 12 2014 01: +0,1394586000
0.319,4,Mar 13 2014 01: +0,1394672400
0.489,3,Mar 14 2014 01: +0,1394758800
0.164,1,Mar 15 2014 01: +0,1394845200
0.165,3,Mar 17 2014 01: +0,1395018000
0.304,4,Mar 19 2014 01: +0,1395190800
0.265,1,Mar 21 2014 01: +0,1395363600
0.265,1,Mar 22 2014 01: +0,1395450000
0.217,2,Mar 23 2014 01: +0,1395536400
0.347,1,Mar 24 2014 01: +0,1395622800
0.194,1,Mar 26 2014 01: +0,1395795600
0.179,2,Mar 27 2014 01: +0,1395882000
0.227,2,Mar 28 2014 01: +0,1395968400
