price,quantity,date,unix timestamp
1.599,34,Oct 27 2021 01: +0,1635292800
1.775,25,Oct 28 2021 01: +0,1635379200
1.738,25,Oct 29 2021 01: +0,1635465600
1.733,18,Oct 30 2021 01: +0,1635552000
2.075,21,Oct 31 2021 01: +0,1635638400
1.954,5,Nov 01 2021 01: +0,1635728400
2.043,15,Nov 02 2021 01: +0,1635814800
2.473,16,Nov 03 2021 01: +0,1635901200
2.105,15,Nov 04 2021 01: +0,1635987600
2.128,12,Nov 05 2021 01: +0,1636074000
2.016,17,Nov 06 2021 01: +0,1636160400
1.897,21,Nov 07 2021 01: +0,1636246800
2.048,21,Nov 08 2021 01: +0,1636333200
2.17,23,Nov 09 2021 01: +0,1636419600
1.68,28,Nov 10 2021 01: +0,1636506000
1.723,26,Nov 11 2021 01: +0,1636592400
1.72,15,Nov 12 2021 01: +0,1636678800
2.001,12,Nov 13 2021 01: +0,1636765200
1.896,23,Nov 14 2021 01: +0,1636851600
1.885,13,Nov 15 2021 01: +0,1636938000
1.854,13,Nov 16 2021 01: +0,1637024400
1.829,17,Nov 17 2021 01: +0,1637110800
1.839,15,Nov 18 2021 01: +0,1637197200
1.702,17,Nov 19 2021 01: +0,1637283600
1.88,16,Nov 20 2021 01: +0,1637370000
1.851,26,Nov 21 2021 01: +0,1637456400
1.8,13,Nov 22 2021 01: +0,1637542800
1.96,18,Nov 23 2021 01: +0,1637629200
2.049,6,Nov 24 2021 01: +0,1637715600
1.901,18,Nov 25 2021 01: +0,1637802000
1.888,14,Nov 26 2021 01: +0,1637888400
1.669,16,Nov 27 2021 01: +0,1637974800
1.879,17,Nov 28 2021 01: +0,1638061200
1.777,14,Nov 29 2021 01: +0,1638147600
1.628,16,Nov 30 2021 01: +0,1638234000
1.632,11,Dec 01 2021 01: +0,1638320400
1.643,12,Dec 02 2021 01: +0,1638406800
1.533,13,Dec 03 2021 01: +0,1638493200
1.737,17,Dec 04 2021 01: +0,1638579600
1.841,9,Dec 05 2021 01: +0,1638666000
