price,quantity,date,unix timestamp
33.348,2,Aug 14 2014 01: +0,1407974400
20.167,2,Aug 15 2014 01: +0,1408060800
33.753,5,Aug 16 2014 01: +0,1408147200
47.066,3,Aug 17 2014 01: +0,1408233600
39.605,2,Aug 18 2014 01: +0,1408320000
37.361,4,Aug 22 2014 01: +0,1408665600
47.984,1,Aug 23 2014 01: +0,1408752000
88.284,1,Aug 25 2014 01: +0,1408924800
49.002,1,Sep 01 2014 01: +0,1409529600
28.492,2,Sep 10 2014 01: +0,1410307200
32.837,1,Sep 11 2014 01: +0,1410393600
33.079,1,Sep 15 2014 01: +0,1410739200
33.145,1,Sep 16 2014 01: +0,1410825600
33.228,1,Sep 19 2014 01: +0,1411084800
24.314,1,Sep 25 2014 01: +0,1411603200
24.807,1,Sep 28 2014 01: +0,1411862400
36.075,1,Oct 03 2014 01: +0,1412294400
42.178,1,Oct 16 2014 01: +0,1413417600
40.531,1,Oct 18 2014 01: +0,1413590400
37.669,1,Oct 26 2014 01: +0,1414281600
40.281,1,Nov 03 2014 01: +0,1414976400
44.424,2,Nov 07 2014 01: +0,1415322000
330.869,1,Nov 14 2014 01: +0,1415926800
66.188,1,Nov 16 2014 01: +0,1416099600
56.157,1,Nov 25 2014 01: +0,1416877200
16.229,1,Nov 28 2014 01: +0,1417136400
17.116,4,Nov 30 2014 01: +0,1417309200
15.89,3,Dec 01 2014 01: +0,1417395600
11.007,4,Dec 02 2014 01: +0,1417482000
20.952,1,Dec 03 2014 01: +0,1417568400
25.558,1,Dec 05 2014 01: +0,1417741200
29.489,1,Dec 07 2014 01: +0,1417914000
28.715,1,Dec 08 2014 01: +0,1418000400
30.707,1,Dec 10 2014 01: +0,1418173200
27.401,1,Dec 16 2014 01: +0,1418691600
22.119,1,Dec 19 2014 01: +0,1418950800
16.527,1,Dec 20 2014 01: +0,1419037200
17.801,1,Dec 23 2014 01: +0,1419296400
21.99,1,Dec 26 2014 01: +0,1419555600
28.537,1,Dec 28 2014 01: +0,1419728400
24.633,1,Jan 06 2015 01: +0,1420506000
23.362,1,Jan 08 2015 01: +0,1420678800
9.93,1,Jan 10 2015 01: +0,1420851600
21.688,2,Jan 11 2015 01: +0,1420938000
25.948,1,Jan 15 2015 01: +0,1421283600
22.127,1,Jan 22 2015 01: +0,1421888400
18.289,1,Jan 23 2015 01: +0,1421974800
21.595,2,Jan 26 2015 01: +0,1422234000
27.661,2,Jan 29 2015 01: +0,1422493200
23.823,1,Jan 30 2015 01: +0,1422579600
23.839,1,Jan 31 2015 01: +0,1422666000
14.125,1,Feb 01 2015 01: +0,1422752400
25.511,2,Feb 02 2015 01: +0,1422838800
26.097,1,Feb 03 2015 01: +0,1422925200
28.281,1,Feb 05 2015 01: +0,1423098000
20.565,1,Feb 06 2015 01: +0,1423184400
24.294,1,Feb 07 2015 01: +0,1423270800
26.23,1,Feb 08 2015 01: +0,1423357200
26.858,1,Feb 12 2015 01: +0,1423702800
28.109,1,Feb 13 2015 01: +0,1423789200
27.33,1,Feb 16 2015 01: +0,1424048400
28.264,1,Feb 17 2015 01: +0,1424134800
20.599,1,Feb 19 2015 01: +0,1424307600
14.523,1,Feb 27 2015 01: +0,1424998800
22.327,2,Feb 28 2015 01: +0,1425085200
25.105,1,Mar 02 2015 01: +0,1425258000
22.689,1,Mar 03 2015 01: +0,1425344400
21.176,1,Mar 09 2015 01: +0,1425862800
20.465,1,Mar 12 2015 01: +0,1426122000
13.367,4,Mar 13 2015 01: +0,1426208400
10.183,6,Mar 14 2015 01: +0,1426294800
8.312,18,Mar 15 2015 01: +0,1426381200
7.462,14,Mar 16 2015 01: +0,1426467600
7.706,7,Mar 17 2015 01: +0,1426554000
6.122,8,Mar 18 2015 01: +0,1426640400
8.106,5,Mar 19 2015 01: +0,1426726800
8.144,4,Mar 20 2015 01: +0,1426813200
8.228,5,Mar 21 2015 01: +0,1426899600
6.341,6,Mar 22 2015 01: +0,1426986000
6.329,4,Mar 23 2015 01: +0,1427072400
5.989,1,Mar 24 2015 01: +0,1427158800
6.202,5,Mar 25 2015 01: +0,1427245200
5.648,5,Mar 26 2015 01: +0,1427331600
5.79,10,Mar 27 2015 01: +0,1427418000
8.178,2,Mar 28 2015 01: +0,1427504400
10.197,3,Mar 29 2015 01: +0,1427590800
7.71,4,Mar 30 2015 01: +0,1427673600
7.019,7,Mar 31 2015 01: +0,1427760000
9.133,5,Apr 01 2015 01: +0,1427846400
8.274,5,Apr 02 2015 01: +0,1427932800
10.193,5,Apr 03 2015 01: +0,1428019200
9.251,5,Apr 04 2015 01: +0,1428105600
10.633,4,Apr 05 2015 01: +0,1428192000
12.235,6,Apr 06 2015 01: +0,1428278400
12.643,3,Apr 07 2015 01: +0,1428364800
12.976,2,Apr 08 2015 01: +0,1428451200
9.752,1,Apr 09 2015 01: +0,1428537600
8.764,1,Apr 10 2015 01: +0,1428624000
9.855,2,Apr 11 2015 01: +0,1428710400
11.475,2,Apr 12 2015 01: +0,1428796800
9.066,3,Apr 14 2015 01: +0,1428969600
8.475,5,Apr 15 2015 01: +0,1429056000
5.687,1,Apr 16 2015 01: +0,1429142400
7.195,3,Apr 17 2015 01: +0,1429228800
6.445,3,Apr 18 2015 01: +0,1429315200
7.721,4,Apr 19 2015 01: +0,1429401600
7.68,2,Apr 20 2015 01: +0,1429488000
7.635,3,Apr 21 2015 01: +0,1429574400
7.568,6,Apr 22 2015 01: +0,1429660800
7.579,4,Apr 23 2015 01: +0,1429747200
7.877,4,Apr 24 2015 01: +0,1429833600
7.61,1,Apr 25 2015 01: +0,1429920000
6.709,2,Apr 26 2015 01: +0,1430006400
7.47,2,Apr 27 2015 01: +0,1430092800
7.315,6,Apr 28 2015 01: +0,1430179200
10.158,2,Apr 29 2015 01: +0,1430265600
7.156,4,Apr 30 2015 01: +0,1430352000
10.327,2,May 01 2015 01: +0,1430438400
8.379,1,May 02 2015 01: +0,1430524800
8.712,4,May 04 2015 01: +0,1430697600
8.896,2,May 05 2015 01: +0,1430784000
7.445,3,May 06 2015 01: +0,1430870400
9.512,1,May 07 2015 01: +0,1430956800
8.462,4,May 09 2015 01: +0,1431129600
8.927,4,May 10 2015 01: +0,1431216000
9.666,4,May 11 2015 01: +0,1431302400
9.517,2,May 12 2015 01: +0,1431388800
9.196,4,May 14 2015 01: +0,1431561600
8.226,1,May 15 2015 01: +0,1431648000
9.499,3,May 16 2015 01: +0,1431734400
9.887,3,May 17 2015 01: +0,1431820800
9.982,2,May 18 2015 01: +0,1431907200
7.849,2,May 21 2015 01: +0,1432166400
9.297,6,May 22 2015 01: +0,1432252800
9.5,2,May 23 2015 01: +0,1432339200
9.773,2,May 24 2015 01: +0,1432425600
10.094,2,May 25 2015 01: +0,1432512000
7.655,3,May 27 2015 01: +0,1432684800
8.084,2,May 28 2015 01: +0,1432771200
7.297,3,May 29 2015 01: +0,1432857600
9.066,2,May 30 2015 01: +0,1432944000
8.252,7,May 31 2015 01: +0,1433030400
4.963,1,Jun 01 2015 01: +0,1433116800
8.142,2,Jun 02 2015 01: +0,1433203200
7.982,2,Jun 03 2015 01: +0,1433289600
8.596,4,Jun 04 2015 01: +0,1433376000
7.031,5,Jun 05 2015 01: +0,1433462400
8.33,4,Jun 06 2015 01: +0,1433548800
9.093,3,Jun 07 2015 01: +0,1433635200
7.009,2,Jun 08 2015 01: +0,1433721600
9.277,2,Jun 09 2015 01: +0,1433808000
9.2,2,Jun 10 2015 01: +0,1433894400
11.936,4,Jun 11 2015 01: +0,1433980800
13.169,3,Jun 12 2015 01: +0,1434067200
14.914,1,Jun 13 2015 01: +0,1434153600
11.03,1,Jun 14 2015 01: +0,1434240000
13.975,4,Jun 15 2015 01: +0,1434326400
12.244,1,Jun 16 2015 01: +0,1434412800
9.667,3,Jun 18 2015 01: +0,1434585600
8.154,6,Jun 19 2015 01: +0,1434672000
