price,quantity,date,unix timestamp
4.207,38,Oct 27 2021 01: +0,1635292800
2.818,35,Oct 28 2021 01: +0,1635379200
2.408,13,Oct 29 2021 01: +0,1635465600
1.674,17,Oct 30 2021 01: +0,1635552000
1.41,20,Oct 31 2021 01: +0,1635638400
1.464,40,Nov 01 2021 01: +0,1635728400
1.554,9,Nov 02 2021 01: +0,1635814800
1.603,15,Nov 03 2021 01: +0,1635901200
1.769,17,Nov 04 2021 01: +0,1635987600
1.899,18,Nov 05 2021 01: +0,1636074000
1.881,18,Nov 06 2021 01: +0,1636160400
1.757,20,Nov 07 2021 01: +0,1636246800
1.696,41,Nov 08 2021 01: +0,1636333200
1.36,14,Nov 09 2021 01: +0,1636419600
1.372,30,Nov 10 2021 01: +0,1636506000
1.37,41,Nov 11 2021 01: +0,1636592400
1.245,20,Nov 12 2021 01: +0,1636678800
1.383,13,Nov 13 2021 01: +0,1636765200
1.317,9,Nov 14 2021 01: +0,1636851600
1.302,15,Nov 15 2021 01: +0,1636938000
1.152,12,Nov 16 2021 01: +0,1637024400
1.249,9,Nov 17 2021 01: +0,1637110800
1.161,12,Nov 18 2021 01: +0,1637197200
1.069,32,Nov 19 2021 01: +0,1637283600
1.13,38,Nov 20 2021 01: +0,1637370000
0.992,16,Nov 21 2021 01: +0,1637456400
1.015,15,Nov 22 2021 01: +0,1637542800
1.054,30,Nov 23 2021 01: +0,1637629200
0.996,11,Nov 24 2021 01: +0,1637715600
0.925,18,Nov 25 2021 01: +0,1637802000
0.874,22,Nov 26 2021 01: +0,1637888400
0.891,11,Nov 27 2021 01: +0,1637974800
0.832,30,Nov 28 2021 01: +0,1638061200
0.831,9,Nov 29 2021 01: +0,1638147600
0.805,21,Nov 30 2021 01: +0,1638234000
0.82,35,Dec 01 2021 01: +0,1638320400
0.865,30,Dec 02 2021 01: +0,1638406800
0.96,12,Dec 03 2021 01: +0,1638493200
1.447,12,Dec 04 2021 01: +0,1638579600
0.996,15,Dec 05 2021 01: +0,1638666000
0.87,26,Dec 06 2021 01: +0,1638752400
0.949,22,Dec 07 2021 01: +0,1638838800
0.947,14,Dec 08 2021 01: +0,1638925200
0.99,6,Dec 09 2021 01: +0,1639011600
1.004,21,Dec 10 2021 01: +0,1639098000
1.043,24,Dec 11 2021 01: +0,1639184400
1.026,7,Dec 12 2021 01: +0,1639270800
1.106,22,Dec 13 2021 01: +0,1639357200
1.276,27,Dec 14 2021 01: +0,1639443600
1.146,4,Dec 15 2021 01: +0,1639530000
1.14,14,Dec 16 2021 01: +0,1639616400
1.074,10,Dec 17 2021 01: +0,1639702800
1.103,31,Dec 18 2021 01: +0,1639789200
1.092,29,Dec 19 2021 01: +0,1639875600
0.974,13,Dec 20 2021 01: +0,1639962000
0.978,38,Dec 21 2021 01: +0,1640048400
0.881,3,Dec 22 2021 01: +0,1640134800
0.913,26,Dec 23 2021 01: +0,1640221200
0.754,11,Dec 24 2021 01: +0,1640307600
0.875,23,Dec 25 2021 01: +0,1640394000
0.846,31,Dec 26 2021 01: +0,1640480400
0.85,6,Dec 27 2021 01: +0,1640566800
0.845,7,Dec 28 2021 01: +0,1640653200
0.826,17,Dec 29 2021 01: +0,1640739600
0.958,33,Dec 30 2021 01: +0,1640826000
0.956,16,Dec 31 2021 01: +0,1640912400
1.013,15,Jan 01 2022 01: +0,1640998800
0.957,10,Jan 02 2022 01: +0,1641085200
0.931,22,Jan 03 2022 01: +0,1641171600
0.886,16,Jan 04 2022 01: +0,1641258000
0.988,32,Jan 05 2022 01: +0,1641344400
1.034,23,Jan 06 2022 01: +0,1641430800
0.942,12,Jan 07 2022 01: +0,1641517200
0.974,10,Jan 08 2022 01: +0,1641603600
1.045,11,Jan 09 2022 01: +0,1641690000
0.917,27,Jan 10 2022 01: +0,1641776400
0.867,39,Jan 11 2022 01: +0,1641862800
0.955,17,Jan 12 2022 01: +0,1641949200
1.05,13,Jan 13 2022 01: +0,1642035600
1.121,55,Jan 14 2022 01: +0,1642122000
