price,quantity,date,unix timestamp
309.193,1,Aug 07 2020 01: +0,1596758400
286.462,9,Aug 08 2020 01: +0,1596844800
289.52,1,Aug 09 2020 01: +0,1596931200
259.573,4,Aug 10 2020 01: +0,1597017600
330.129,2,Aug 11 2020 01: +0,1597104000
309.144,2,Aug 12 2020 01: +0,1597190400
278.96,2,Aug 13 2020 01: +0,1597276800
311.007,2,Aug 14 2020 01: +0,1597363200
312.602,3,Aug 15 2020 01: +0,1597449600
283.337,4,Aug 16 2020 01: +0,1597536000
283.019,4,Aug 17 2020 01: +0,1597622400
275.029,4,Aug 18 2020 01: +0,1597708800
304.818,6,Aug 19 2020 01: +0,1597795200
345.344,1,Aug 20 2020 01: +0,1597881600
328.215,2,Aug 21 2020 01: +0,1597968000
492.085,1,Aug 22 2020 01: +0,1598054400
340.397,2,Aug 23 2020 01: +0,1598140800
371.377,6,Aug 24 2020 01: +0,1598227200
359.085,5,Aug 26 2020 01: +0,1598400000
379.393,2,Aug 27 2020 01: +0,1598486400
362.192,4,Aug 28 2020 01: +0,1598572800
358.666,2,Aug 29 2020 01: +0,1598659200
354.148,3,Aug 30 2020 01: +0,1598745600
317.935,8,Aug 31 2020 01: +0,1598832000
312.705,1,Sep 01 2020 01: +0,1598918400
272.967,3,Sep 02 2020 01: +0,1599004800
282.715,5,Sep 03 2020 01: +0,1599091200
416.686,1,Sep 04 2020 01: +0,1599177600
342.886,6,Sep 05 2020 01: +0,1599264000
332.276,4,Sep 06 2020 01: +0,1599350400
336.403,2,Sep 07 2020 01: +0,1599436800
321.779,1,Sep 08 2020 01: +0,1599523200
334.158,3,Sep 09 2020 01: +0,1599609600
327.583,1,Sep 10 2020 01: +0,1599696000
394.206,1,Sep 11 2020 01: +0,1599782400
359.574,6,Sep 12 2020 01: +0,1599868800
370.203,3,Sep 13 2020 01: +0,1599955200
368.974,2,Sep 14 2020 01: +0,1600041600
359.82,1,Sep 15 2020 01: +0,1600128000
358.976,1,Sep 16 2020 01: +0,1600214400
374.938,3,Sep 17 2020 01: +0,1600300800
397.664,5,Sep 18 2020 01: +0,1600387200
452.601,3,Sep 20 2020 01: +0,1600560000
434.642,2,Sep 21 2020 01: +0,1600646400
425.061,3,Sep 22 2020 01: +0,1600732800
440.565,2,Sep 23 2020 01: +0,1600819200
386.674,4,Sep 24 2020 01: +0,1600905600
420.487,4,Sep 25 2020 01: +0,1600992000
314.698,1,Sep 26 2020 01: +0,1601078400
312.382,5,Sep 27 2020 01: +0,1601164800
289.869,3,Sep 28 2020 01: +0,1601251200
285.834,2,Sep 29 2020 01: +0,1601337600
344.848,1,Sep 30 2020 01: +0,1601424000
294.101,3,Oct 01 2020 01: +0,1601510400
300.967,4,Oct 02 2020 01: +0,1601596800
322.664,5,Oct 03 2020 01: +0,1601683200
296.171,4,Oct 04 2020 01: +0,1601769600
296.208,5,Oct 07 2020 01: +0,1602028800
303.281,5,Oct 08 2020 01: +0,1602115200
298.051,3,Oct 09 2020 01: +0,1602201600
294.042,3,Oct 10 2020 01: +0,1602288000
295.537,5,Oct 11 2020 01: +0,1602374400
295.686,5,Oct 12 2020 01: +0,1602460800
304.399,2,Oct 13 2020 01: +0,1602547200
