price,quantity,date,unix timestamp
16.41,3,Feb 22 2014 01: +0,1393030800
16.31,2,Feb 23 2014 01: +0,1393117200
14.134,2,Feb 24 2014 01: +0,1393203600
13.381,3,Feb 25 2014 01: +0,1393290000
13.436,4,Feb 26 2014 01: +0,1393376400
15.789,2,Feb 27 2014 01: +0,1393462800
17.574,2,Feb 28 2014 01: +0,1393549200
22.714,1,Mar 03 2014 01: +0,1393808400
21.95,3,Mar 04 2014 01: +0,1393894800
18.992,1,Mar 05 2014 01: +0,1393981200
22.709,2,Mar 07 2014 01: +0,1394154000
19.025,1,Mar 08 2014 01: +0,1394240400
26.254,1,Mar 09 2014 01: +0,1394326800
16.04,2,Mar 11 2014 01: +0,1394499600
20.487,2,Mar 12 2014 01: +0,1394586000
20.465,1,Mar 13 2014 01: +0,1394672400
19.021,1,Mar 14 2014 01: +0,1394758800
16.086,1,Mar 17 2014 01: +0,1395018000
17.023,2,Mar 19 2014 01: +0,1395190800
18.065,2,Mar 20 2014 01: +0,1395277200
16.848,3,Mar 22 2014 01: +0,1395450000
12.366,1,Mar 23 2014 01: +0,1395536400
15.612,1,Mar 24 2014 01: +0,1395622800
14.518,2,Mar 25 2014 01: +0,1395709200
12.65,5,Mar 26 2014 01: +0,1395795600
12.706,2,Mar 27 2014 01: +0,1395882000
12.967,5,Mar 28 2014 01: +0,1395968400
13.178,3,Mar 29 2014 01: +0,1396054800
11.925,2,Mar 30 2014 01: +0,1396141200
13.941,5,Mar 31 2014 01: +0,1396224000
13.983,4,Apr 01 2014 01: +0,1396310400
14.134,3,Apr 02 2014 01: +0,1396396800
14.743,3,Apr 03 2014 01: +0,1396483200
13.579,1,Apr 05 2014 01: +0,1396656000
12.733,5,Apr 06 2014 01: +0,1396742400
12.402,4,Apr 07 2014 01: +0,1396828800
11.697,4,Apr 08 2014 01: +0,1396915200
11.951,5,Apr 09 2014 01: +0,1397001600
14.028,2,Apr 10 2014 01: +0,1397088000
11.412,3,Apr 11 2014 01: +0,1397174400
11.098,4,Apr 12 2014 01: +0,1397260800
12.97,4,Apr 13 2014 01: +0,1397347200
12.718,5,Apr 14 2014 01: +0,1397433600
12.939,2,Apr 15 2014 01: +0,1397520000
12.829,3,Apr 17 2014 01: +0,1397692800
12.949,2,Apr 18 2014 01: +0,1397779200
13.039,4,Apr 19 2014 01: +0,1397865600
10.582,3,Apr 20 2014 01: +0,1397952000
11.438,4,Apr 21 2014 01: +0,1398038400
11.11,3,Apr 22 2014 01: +0,1398124800
11.648,4,Apr 23 2014 01: +0,1398211200
11.065,3,Apr 24 2014 01: +0,1398297600
12.013,6,Apr 25 2014 01: +0,1398384000
11.082,4,Apr 26 2014 01: +0,1398470400
11.977,6,Apr 27 2014 01: +0,1398556800
10.408,4,Apr 28 2014 01: +0,1398643200
12.857,5,Apr 29 2014 01: +0,1398729600
10.479,3,Apr 30 2014 01: +0,1398816000
14.265,2,May 01 2014 01: +0,1398902400
13.129,2,May 03 2014 01: +0,1399075200
14.31,1,May 04 2014 01: +0,1399161600
10.235,3,May 05 2014 01: +0,1399248000
9.383,6,May 06 2014 01: +0,1399334400
8.538,7,May 07 2014 01: +0,1399420800
10.145,3,May 08 2014 01: +0,1399507200
9.584,2,May 09 2014 01: +0,1399593600
8.164,3,May 10 2014 01: +0,1399680000
6.538,8,May 11 2014 01: +0,1399766400
6.901,2,May 12 2014 01: +0,1399852800
7.656,4,May 13 2014 01: +0,1399939200
8.514,5,May 14 2014 01: +0,1400025600
9.567,2,May 15 2014 01: +0,1400112000
6.984,4,May 16 2014 01: +0,1400198400
8.154,3,May 17 2014 01: +0,1400284800
9.978,7,May 18 2014 01: +0,1400371200
9.566,4,May 19 2014 01: +0,1400457600
9.768,5,May 20 2014 01: +0,1400544000
11.262,3,May 21 2014 01: +0,1400630400
12.222,4,May 22 2014 01: +0,1400716800
9.424,4,May 23 2014 01: +0,1400803200
9.142,4,May 24 2014 01: +0,1400889600
8.252,4,May 25 2014 01: +0,1400976000
9.481,4,May 26 2014 01: +0,1401062400
8.705,8,May 27 2014 01: +0,1401148800
10.086,4,May 28 2014 01: +0,1401235200
7.848,4,May 29 2014 01: +0,1401321600
8.565,6,May 30 2014 01: +0,1401408000
9.244,4,May 31 2014 01: +0,1401494400
10.889,5,Jun 01 2014 01: +0,1401580800
15.535,1,Jun 02 2014 01: +0,1401667200
13.659,3,Jun 03 2014 01: +0,1401753600
10.621,3,Jun 04 2014 01: +0,1401840000
18.903,3,Jun 05 2014 01: +0,1401926400
10.264,6,Jun 06 2014 01: +0,1402012800
9.129,5,Jun 07 2014 01: +0,1402099200
8.154,6,Jun 08 2014 01: +0,1402185600
8.327,3,Jun 09 2014 01: +0,1402272000
7.0,6,Jun 10 2014 01: +0,1402358400
7.508,7,Jun 11 2014 01: +0,1402444800
10.324,3,Jun 12 2014 01: +0,1402531200
7.123,2,Jun 13 2014 01: +0,1402617600
7.984,7,Jun 14 2014 01: +0,1402704000
8.878,3,Jun 15 2014 01: +0,1402790400
8.997,7,Jun 16 2014 01: +0,1402876800
7.019,6,Jun 17 2014 01: +0,1402963200
7.121,5,Jun 18 2014 01: +0,1403049600
6.949,4,Jun 19 2014 01: +0,1403136000
6.815,5,Jun 20 2014 01: +0,1403222400
6.329,4,Jun 21 2014 01: +0,1403308800
6.553,5,Jun 22 2014 01: +0,1403395200
6.239,7,Jun 23 2014 01: +0,1403481600
6.058,4,Jun 24 2014 01: +0,1403568000
6.303,6,Jun 25 2014 01: +0,1403654400
7.33,10,Jun 26 2014 01: +0,1403740800
7.771,5,Jun 27 2014 01: +0,1403827200
5.934,9,Jun 28 2014 01: +0,1403913600
7.424,8,Jun 29 2014 01: +0,1404000000
5.935,8,Jun 30 2014 01: +0,1404086400
7.469,2,Jul 01 2014 01: +0,1404172800
5.978,8,Jul 02 2014 01: +0,1404259200
5.532,4,Jul 03 2014 01: +0,1404345600
5.141,9,Jul 04 2014 01: +0,1404432000
5.982,13,Jul 05 2014 01: +0,1404518400
6.87,3,Jul 06 2014 01: +0,1404604800
6.409,5,Jul 07 2014 01: +0,1404691200
6.876,5,Jul 08 2014 01: +0,1404777600
7.326,7,Jul 09 2014 01: +0,1404864000
6.858,6,Jul 10 2014 01: +0,1404950400
5.346,5,Jul 11 2014 01: +0,1405036800
5.874,5,Jul 12 2014 01: +0,1405123200
5.984,13,Jul 13 2014 01: +0,1405209600
6.829,5,Jul 14 2014 01: +0,1405296000
6.683,8,Jul 15 2014 01: +0,1405382400
6.319,4,Jul 16 2014 01: +0,1405468800
6.564,10,Jul 17 2014 01: +0,1405555200
6.662,6,Jul 18 2014 01: +0,1405641600
5.735,8,Jul 19 2014 01: +0,1405728000
6.899,7,Jul 20 2014 01: +0,1405814400
7.122,3,Jul 21 2014 01: +0,1405900800
7.08,9,Jul 22 2014 01: +0,1405987200
7.108,2,Jul 23 2014 01: +0,1406073600
6.924,6,Jul 24 2014 01: +0,1406160000
6.386,7,Jul 25 2014 01: +0,1406246400
7.028,12,Jul 26 2014 01: +0,1406332800
6.655,3,Jul 27 2014 01: +0,1406419200
6.538,7,Jul 28 2014 01: +0,1406505600
6.323,9,Jul 29 2014 01: +0,1406592000
6.195,6,Jul 30 2014 01: +0,1406678400
6.861,8,Jul 31 2014 01: +0,1406764800
6.807,8,Aug 01 2014 01: +0,1406851200
6.701,11,Aug 02 2014 01: +0,1406937600
6.194,7,Aug 03 2014 01: +0,1407024000
5.468,20,Aug 04 2014 01: +0,1407110400
6.646,10,Aug 05 2014 01: +0,1407196800
6.876,10,Aug 06 2014 01: +0,1407283200
7.555,9,Aug 07 2014 01: +0,1407369600
9.509,12,Aug 08 2014 01: +0,1407456000
9.552,7,Aug 09 2014 01: +0,1407542400
7.571,5,Aug 10 2014 01: +0,1407628800
10.088,4,Aug 11 2014 01: +0,1407715200
8.066,10,Aug 12 2014 01: +0,1407801600
9.81,4,Aug 13 2014 01: +0,1407888000
8.409,10,Aug 14 2014 01: +0,1407974400
8.929,22,Aug 15 2014 01: +0,1408060800
9.085,6,Aug 16 2014 01: +0,1408147200
7.767,8,Aug 17 2014 01: +0,1408233600
6.697,13,Aug 18 2014 01: +0,1408320000
7.258,11,Aug 19 2014 01: +0,1408406400
7.167,7,Aug 20 2014 01: +0,1408492800
6.998,10,Aug 21 2014 01: +0,1408579200
7.165,10,Aug 22 2014 01: +0,1408665600
6.719,11,Aug 23 2014 01: +0,1408752000
6.132,14,Aug 24 2014 01: +0,1408838400
8.252,5,Aug 25 2014 01: +0,1408924800
8.267,11,Aug 26 2014 01: +0,1409011200
8.196,8,Aug 27 2014 01: +0,1409097600
8.23,3,Aug 28 2014 01: +0,1409184000
9.014,7,Aug 29 2014 01: +0,1409270400
8.147,8,Aug 30 2014 01: +0,1409356800
7.909,7,Aug 31 2014 01: +0,1409443200
8.743,11,Sep 01 2014 01: +0,1409529600
7.789,6,Sep 02 2014 01: +0,1409616000
7.921,9,Sep 03 2014 01: +0,1409702400
9.3,5,Sep 04 2014 01: +0,1409788800
8.604,5,Sep 05 2014 01: +0,1409875200
7.194,7,Sep 06 2014 01: +0,1409961600
7.295,12,Sep 07 2014 01: +0,1410048000
6.898,15,Sep 08 2014 01: +0,1410134400
7.422,5,Sep 09 2014 01: +0,1410220800
8.618,12,Sep 10 2014 01: +0,1410307200
7.361,11,Sep 11 2014 01: +0,1410393600
8.016,7,Sep 12 2014 01: +0,1410480000
7.376,8,Sep 13 2014 01: +0,1410566400
6.526,9,Sep 14 2014 01: +0,1410652800
7.219,7,Sep 15 2014 01: +0,1410739200
7.416,8,Sep 16 2014 01: +0,1410825600
6.461,7,Sep 17 2014 01: +0,1410912000
6.147,10,Sep 18 2014 01: +0,1410998400
5.369,11,Sep 19 2014 01: +0,1411084800
6.081,13,Sep 20 2014 01: +0,1411171200
5.791,6,Sep 21 2014 01: +0,1411257600
6.233,12,Sep 22 2014 01: +0,1411344000
5.914,7,Sep 23 2014 01: +0,1411430400
5.74,7,Sep 24 2014 01: +0,1411516800
5.899,9,Sep 25 2014 01: +0,1411603200
6.216,7,Sep 26 2014 01: +0,1411689600
6.399,13,Sep 27 2014 01: +0,1411776000
5.682,10,Sep 28 2014 01: +0,1411862400
6.52,7,Sep 29 2014 01: +0,1411948800
6.87,9,Sep 30 2014 01: +0,1412035200
8.212,8,Oct 01 2014 01: +0,1412121600
6.396,9,Oct 02 2014 01: +0,1412208000
5.827,17,Oct 03 2014 01: +0,1412294400
5.673,17,Oct 04 2014 01: +0,1412380800
6.285,8,Oct 05 2014 01: +0,1412467200
6.193,10,Oct 06 2014 01: +0,1412553600
5.542,14,Oct 07 2014 01: +0,1412640000
6.109,11,Oct 08 2014 01: +0,1412726400
4.897,9,Oct 09 2014 01: +0,1412812800
6.12,16,Oct 10 2014 01: +0,1412899200
7.568,10,Oct 11 2014 01: +0,1412985600
7.293,9,Oct 12 2014 01: +0,1413072000
7.917,8,Oct 13 2014 01: +0,1413158400
6.648,5,Oct 14 2014 01: +0,1413244800
6.134,10,Oct 15 2014 01: +0,1413331200
6.61,6,Oct 16 2014 01: +0,1413417600
6.074,11,Oct 17 2014 01: +0,1413504000
5.932,14,Oct 18 2014 01: +0,1413590400
5.357,15,Oct 19 2014 01: +0,1413676800
6.255,6,Oct 20 2014 01: +0,1413763200
5.586,8,Oct 21 2014 01: +0,1413849600
6.067,11,Oct 22 2014 01: +0,1413936000
6.02,16,Oct 23 2014 01: +0,1414022400
6.399,20,Oct 24 2014 01: +0,1414108800
7.207,8,Oct 25 2014 01: +0,1414195200
5.563,9,Oct 26 2014 01: +0,1414281600
5.826,13,Oct 27 2014 01: +0,1414371600
5.866,13,Oct 28 2014 01: +0,1414458000
5.526,12,Oct 29 2014 01: +0,1414544400
6.347,15,Oct 30 2014 01: +0,1414630800
6.536,14,Oct 31 2014 01: +0,1414717200
6.902,13,Nov 01 2014 01: +0,1414803600
5.95,12,Nov 02 2014 01: +0,1414890000
5.704,13,Nov 03 2014 01: +0,1414976400
5.9,8,Nov 04 2014 01: +0,1415062800
6.261,13,Nov 05 2014 01: +0,1415149200
6.012,6,Nov 06 2014 01: +0,1415235600
5.911,10,Nov 07 2014 01: +0,1415322000
5.806,11,Nov 08 2014 01: +0,1415408400
5.892,13,Nov 09 2014 01: +0,1415494800
5.972,6,Nov 10 2014 01: +0,1415581200
5.592,16,Nov 11 2014 01: +0,1415667600
4.405,25,Nov 12 2014 01: +0,1415754000
4.679,16,Nov 13 2014 01: +0,1415840400
4.515,12,Nov 14 2014 01: +0,1415926800
4.597,9,Nov 15 2014 01: +0,1416013200
4.537,15,Nov 16 2014 01: +0,1416099600
4.313,9,Nov 17 2014 01: +0,1416186000
4.449,11,Nov 18 2014 01: +0,1416272400
4.227,9,Nov 19 2014 01: +0,1416358800
3.959,23,Nov 20 2014 01: +0,1416445200
4.962,8,Nov 21 2014 01: +0,1416531600
5.399,10,Nov 22 2014 01: +0,1416618000
5.119,3,Nov 23 2014 01: +0,1416704400
4.82,8,Nov 24 2014 01: +0,1416790800
4.332,12,Nov 25 2014 01: +0,1416877200
5.13,10,Nov 26 2014 01: +0,1416963600
5.856,6,Nov 27 2014 01: +0,1417050000
5.581,8,Nov 28 2014 01: +0,1417136400
6.436,5,Nov 29 2014 01: +0,1417222800
4.106,20,Nov 30 2014 01: +0,1417309200
3.52,14,Dec 01 2014 01: +0,1417395600
3.786,12,Dec 02 2014 01: +0,1417482000
4.835,13,Dec 03 2014 01: +0,1417568400
5.272,8,Dec 04 2014 01: +0,1417654800
6.683,6,Dec 05 2014 01: +0,1417741200
5.326,16,Dec 06 2014 01: +0,1417827600
4.804,13,Dec 07 2014 01: +0,1417914000
4.887,14,Dec 08 2014 01: +0,1418000400
5.345,11,Dec 09 2014 01: +0,1418086800
4.966,7,Dec 10 2014 01: +0,1418173200
5.345,13,Dec 11 2014 01: +0,1418259600
5.321,13,Dec 12 2014 01: +0,1418346000
4.964,14,Dec 13 2014 01: +0,1418432400
4.694,16,Dec 14 2014 01: +0,1418518800
4.825,10,Dec 15 2014 01: +0,1418605200
5.258,12,Dec 16 2014 01: +0,1418691600
5.025,8,Dec 17 2014 01: +0,1418778000
4.712,12,Dec 18 2014 01: +0,1418864400
5.02,16,Dec 19 2014 01: +0,1418950800
4.901,11,Dec 20 2014 01: +0,1419037200
4.97,12,Dec 21 2014 01: +0,1419123600
5.102,15,Dec 22 2014 01: +0,1419210000
5.715,12,Dec 23 2014 01: +0,1419296400
5.603,11,Dec 24 2014 01: +0,1419382800
6.095,18,Dec 25 2014 01: +0,1419469200
6.022,17,Dec 26 2014 01: +0,1419555600
6.491,13,Dec 27 2014 01: +0,1419642000
6.284,16,Dec 28 2014 01: +0,1419728400
5.555,12,Dec 29 2014 01: +0,1419814800
6.114,17,Dec 30 2014 01: +0,1419901200
7.186,10,Dec 31 2014 01: +0,1419987600
5.316,12,Jan 01 2015 01: +0,1420074000
5.649,27,Jan 02 2015 01: +0,1420160400
5.871,18,Jan 03 2015 01: +0,1420246800
6.204,13,Jan 04 2015 01: +0,1420333200
5.68,15,Jan 05 2015 01: +0,1420419600
5.968,15,Jan 06 2015 01: +0,1420506000
6.077,16,Jan 07 2015 01: +0,1420592400
6.289,15,Jan 08 2015 01: +0,1420678800
6.291,11,Jan 09 2015 01: +0,1420765200
5.657,21,Jan 10 2015 01: +0,1420851600
5.249,18,Jan 11 2015 01: +0,1420938000
5.292,19,Jan 12 2015 01: +0,1421024400
5.776,18,Jan 13 2015 01: +0,1421110800
5.387,18,Jan 14 2015 01: +0,1421197200
5.95,17,Jan 15 2015 01: +0,1421283600
5.435,13,Jan 16 2015 01: +0,1421370000
5.24,20,Jan 17 2015 01: +0,1421456400
5.437,15,Jan 18 2015 01: +0,1421542800
5.071,14,Jan 19 2015 01: +0,1421629200
5.198,15,Jan 20 2015 01: +0,1421715600
5.003,15,Jan 21 2015 01: +0,1421802000
