price,quantity,date,unix timestamp
16.35,5,Jul 02 2014 01: +0,1404259200
6.164,14,Jul 03 2014 01: +0,1404345600
6.736,12,Jul 04 2014 01: +0,1404432000
7.078,10,Jul 05 2014 01: +0,1404518400
6.645,5,Jul 06 2014 01: +0,1404604800
6.378,7,Jul 07 2014 01: +0,1404691200
6.298,2,Jul 08 2014 01: +0,1404777600
6.691,8,Jul 09 2014 01: +0,1404864000
4.903,11,Jul 10 2014 01: +0,1404950400
5.459,6,Jul 11 2014 01: +0,1405036800
4.615,11,Jul 12 2014 01: +0,1405123200
5.101,4,Jul 13 2014 01: +0,1405209600
5.097,13,Jul 14 2014 01: +0,1405296000
4.87,5,Jul 15 2014 01: +0,1405382400
5.592,10,Jul 16 2014 01: +0,1405468800
4.202,6,Jul 17 2014 01: +0,1405555200
4.376,9,Jul 18 2014 01: +0,1405641600
4.455,16,Jul 19 2014 01: +0,1405728000
4.346,18,Jul 20 2014 01: +0,1405814400
4.885,7,Jul 21 2014 01: +0,1405900800
4.524,3,Jul 22 2014 01: +0,1405987200
4.884,9,Jul 23 2014 01: +0,1406073600
4.576,8,Jul 24 2014 01: +0,1406160000
5.036,13,Jul 25 2014 01: +0,1406246400
5.314,4,Jul 26 2014 01: +0,1406332800
5.057,8,Jul 27 2014 01: +0,1406419200
4.963,8,Jul 28 2014 01: +0,1406505600
5.065,7,Jul 29 2014 01: +0,1406592000
5.086,14,Jul 30 2014 01: +0,1406678400
4.603,13,Jul 31 2014 01: +0,1406764800
5.889,10,Aug 01 2014 01: +0,1406851200
4.984,6,Aug 02 2014 01: +0,1406937600
5.029,11,Aug 03 2014 01: +0,1407024000
5.017,11,Aug 04 2014 01: +0,1407110400
4.89,4,Aug 05 2014 01: +0,1407196800
4.325,16,Aug 06 2014 01: +0,1407283200
4.285,11,Aug 07 2014 01: +0,1407369600
5.012,10,Aug 08 2014 01: +0,1407456000
4.35,12,Aug 09 2014 01: +0,1407542400
4.573,10,Aug 10 2014 01: +0,1407628800
4.872,6,Aug 11 2014 01: +0,1407715200
4.93,5,Aug 12 2014 01: +0,1407801600
4.711,10,Aug 13 2014 01: +0,1407888000
4.534,14,Aug 14 2014 01: +0,1407974400
4.945,6,Aug 15 2014 01: +0,1408060800
5.153,10,Aug 16 2014 01: +0,1408147200
4.546,7,Aug 17 2014 01: +0,1408233600
4.118,9,Aug 18 2014 01: +0,1408320000
4.373,12,Aug 19 2014 01: +0,1408406400
4.38,14,Aug 20 2014 01: +0,1408492800
4.508,21,Aug 21 2014 01: +0,1408579200
4.887,9,Aug 22 2014 01: +0,1408665600
4.197,14,Aug 23 2014 01: +0,1408752000
4.417,14,Aug 24 2014 01: +0,1408838400
4.483,15,Aug 25 2014 01: +0,1408924800
4.708,18,Aug 26 2014 01: +0,1409011200
4.327,13,Aug 27 2014 01: +0,1409097600
4.356,21,Aug 28 2014 01: +0,1409184000
4.84,18,Aug 29 2014 01: +0,1409270400
5.109,15,Aug 30 2014 01: +0,1409356800
5.152,19,Aug 31 2014 01: +0,1409443200
4.666,13,Sep 01 2014 01: +0,1409529600
4.762,11,Sep 02 2014 01: +0,1409616000
4.445,26,Sep 03 2014 01: +0,1409702400
3.992,14,Sep 04 2014 01: +0,1409788800
4.532,13,Sep 05 2014 01: +0,1409875200
4.17,23,Sep 06 2014 01: +0,1409961600
4.088,21,Sep 07 2014 01: +0,1410048000
3.952,14,Sep 08 2014 01: +0,1410134400
4.174,24,Sep 09 2014 01: +0,1410220800
3.998,19,Sep 10 2014 01: +0,1410307200
3.847,41,Sep 11 2014 01: +0,1410393600
4.112,18,Sep 12 2014 01: +0,1410480000
3.932,21,Sep 13 2014 01: +0,1410566400
3.935,17,Sep 14 2014 01: +0,1410652800
3.761,23,Sep 15 2014 01: +0,1410739200
3.773,19,Sep 16 2014 01: +0,1410825600
3.449,23,Sep 17 2014 01: +0,1410912000
3.45,38,Sep 18 2014 01: +0,1410998400
3.612,28,Sep 19 2014 01: +0,1411084800
3.626,28,Sep 20 2014 01: +0,1411171200
3.696,25,Sep 21 2014 01: +0,1411257600
3.655,15,Sep 22 2014 01: +0,1411344000
3.679,16,Sep 23 2014 01: +0,1411430400
3.222,20,Sep 24 2014 01: +0,1411516800
3.479,18,Sep 25 2014 01: +0,1411603200
3.426,30,Sep 26 2014 01: +0,1411689600
3.379,31,Sep 27 2014 01: +0,1411776000
3.29,36,Sep 28 2014 01: +0,1411862400
3.564,25,Sep 29 2014 01: +0,1411948800
3.673,15,Sep 30 2014 01: +0,1412035200
3.389,21,Oct 01 2014 01: +0,1412121600
3.298,28,Oct 02 2014 01: +0,1412208000
3.381,26,Oct 03 2014 01: +0,1412294400
3.428,37,Oct 04 2014 01: +0,1412380800
3.521,27,Oct 05 2014 01: +0,1412467200
3.368,31,Oct 06 2014 01: +0,1412553600
3.667,26,Oct 07 2014 01: +0,1412640000
3.661,20,Oct 08 2014 01: +0,1412726400
3.41,36,Oct 09 2014 01: +0,1412812800
3.504,21,Oct 10 2014 01: +0,1412899200
3.46,26,Oct 11 2014 01: +0,1412985600
3.689,24,Oct 12 2014 01: +0,1413072000
4.169,28,Oct 13 2014 01: +0,1413158400
3.942,17,Oct 14 2014 01: +0,1413244800
3.947,21,Oct 15 2014 01: +0,1413331200
3.727,21,Oct 16 2014 01: +0,1413417600
3.559,25,Oct 17 2014 01: +0,1413504000
3.218,25,Oct 18 2014 01: +0,1413590400
3.257,38,Oct 19 2014 01: +0,1413676800
3.181,30,Oct 20 2014 01: +0,1413763200
3.362,25,Oct 21 2014 01: +0,1413849600
3.266,18,Oct 22 2014 01: +0,1413936000
3.154,28,Oct 23 2014 01: +0,1414022400
3.405,29,Oct 24 2014 01: +0,1414108800
3.409,38,Oct 25 2014 01: +0,1414195200
2.998,35,Oct 26 2014 01: +0,1414281600
3.043,26,Oct 27 2014 01: +0,1414371600
3.223,31,Oct 28 2014 01: +0,1414458000
3.108,31,Oct 29 2014 01: +0,1414544400
3.204,23,Oct 30 2014 01: +0,1414630800
3.07,37,Oct 31 2014 01: +0,1414717200
3.045,37,Nov 01 2014 01: +0,1414803600
3.142,30,Nov 02 2014 01: +0,1414890000
2.929,35,Nov 03 2014 01: +0,1414976400
2.934,27,Nov 04 2014 01: +0,1415062800
2.906,32,Nov 05 2014 01: +0,1415149200
2.972,35,Nov 06 2014 01: +0,1415235600
2.792,32,Nov 07 2014 01: +0,1415322000
2.797,61,Nov 08 2014 01: +0,1415408400
2.756,51,Nov 09 2014 01: +0,1415494800
2.831,52,Nov 10 2014 01: +0,1415581200
2.82,35,Nov 11 2014 01: +0,1415667600
2.051,61,Nov 12 2014 01: +0,1415754000
1.932,45,Nov 13 2014 01: +0,1415840400
2.169,44,Nov 14 2014 01: +0,1415926800
1.974,43,Nov 15 2014 01: +0,1416013200
1.854,64,Nov 16 2014 01: +0,1416099600
2.053,29,Nov 17 2014 01: +0,1416186000
1.961,35,Nov 18 2014 01: +0,1416272400
1.805,36,Nov 19 2014 01: +0,1416358800
1.784,38,Nov 20 2014 01: +0,1416445200
1.839,47,Nov 21 2014 01: +0,1416531600
1.771,45,Nov 22 2014 01: +0,1416618000
1.756,30,Nov 23 2014 01: +0,1416704400
1.863,41,Nov 24 2014 01: +0,1416790800
1.93,56,Nov 25 2014 01: +0,1416877200
1.996,61,Nov 26 2014 01: +0,1416963600
1.921,60,Nov 27 2014 01: +0,1417050000
1.967,53,Nov 28 2014 01: +0,1417136400
2.357,13,Nov 29 2014 01: +0,1417222800
1.628,98,Nov 30 2014 01: +0,1417309200
1.617,38,Dec 01 2014 01: +0,1417395600
1.694,61,Dec 02 2014 01: +0,1417482000
1.963,50,Dec 03 2014 01: +0,1417568400
2.155,31,Dec 04 2014 01: +0,1417654800
2.355,45,Dec 05 2014 01: +0,1417741200
2.33,53,Dec 06 2014 01: +0,1417827600
2.198,63,Dec 07 2014 01: +0,1417914000
2.025,46,Dec 08 2014 01: +0,1418000400
1.982,67,Dec 09 2014 01: +0,1418086800
2.061,55,Dec 10 2014 01: +0,1418173200
3.025,61,Dec 11 2014 01: +0,1418259600
3.362,50,Dec 12 2014 01: +0,1418346000
3.598,44,Dec 13 2014 01: +0,1418432400
3.488,37,Dec 14 2014 01: +0,1418518800
3.611,33,Dec 15 2014 01: +0,1418605200
3.733,25,Dec 16 2014 01: +0,1418691600
3.993,28,Dec 17 2014 01: +0,1418778000
3.456,34,Dec 18 2014 01: +0,1418864400
3.212,42,Dec 19 2014 01: +0,1418950800
3.366,34,Dec 20 2014 01: +0,1419037200
3.247,45,Dec 21 2014 01: +0,1419123600
3.521,39,Dec 22 2014 01: +0,1419210000
3.491,39,Dec 23 2014 01: +0,1419296400
3.512,36,Dec 24 2014 01: +0,1419382800
4.453,43,Dec 25 2014 01: +0,1419469200
4.028,47,Dec 26 2014 01: +0,1419555600
3.938,47,Dec 27 2014 01: +0,1419642000
3.841,45,Dec 28 2014 01: +0,1419728400
3.9,41,Dec 29 2014 01: +0,1419814800
