price,quantity,date,unix timestamp
4.554,17,Dec 19 2013 01: +0,1387414800
3.366,29,Dec 20 2013 01: +0,1387501200
2.763,37,Dec 21 2013 01: +0,1387587600
2.332,47,Dec 22 2013 01: +0,1387674000
2.241,40,Dec 23 2013 01: +0,1387760400
2.084,56,Dec 24 2013 01: +0,1387846800
2.062,34,Dec 25 2013 01: +0,1387933200
1.886,58,Dec 26 2013 01: +0,1388019600
1.893,56,Dec 27 2013 01: +0,1388106000
1.846,46,Dec 28 2013 01: +0,1388192400
1.608,62,Dec 29 2013 01: +0,1388278800
1.655,56,Dec 30 2013 01: +0,1388365200
1.454,57,Dec 31 2013 01: +0,1388451600
1.441,63,Jan 01 2014 01: +0,1388538000
1.376,66,Jan 02 2014 01: +0,1388624400
1.303,40,Jan 03 2014 01: +0,1388710800
1.262,91,Jan 04 2014 01: +0,1388797200
1.375,73,Jan 05 2014 01: +0,1388883600
1.213,81,Jan 06 2014 01: +0,1388970000
1.251,80,Jan 07 2014 01: +0,1389056400
1.233,68,Jan 08 2014 01: +0,1389142800
1.219,93,Jan 09 2014 01: +0,1389229200
1.142,70,Jan 10 2014 01: +0,1389315600
1.129,80,Jan 11 2014 01: +0,1389402000
1.046,60,Jan 12 2014 01: +0,1389488400
0.937,103,Jan 13 2014 01: +0,1389574800
0.955,88,Jan 14 2014 01: +0,1389661200
0.998,73,Jan 15 2014 01: +0,1389747600
0.953,91,Jan 16 2014 01: +0,1389834000
0.947,77,Jan 17 2014 01: +0,1389920400
0.902,107,Jan 18 2014 01: +0,1390006800
0.911,118,Jan 19 2014 01: +0,1390093200
0.943,85,Jan 20 2014 01: +0,1390179600
1.023,88,Jan 21 2014 01: +0,1390266000
0.922,71,Jan 22 2014 01: +0,1390352400
0.917,91,Jan 23 2014 01: +0,1390438800
0.921,77,Jan 24 2014 01: +0,1390525200
0.968,75,Jan 25 2014 01: +0,1390611600
0.829,117,Jan 26 2014 01: +0,1390698000
0.796,130,Jan 27 2014 01: +0,1390784400
0.753,98,Jan 28 2014 01: +0,1390870800
0.776,109,Jan 29 2014 01: +0,1390957200
0.773,94,Jan 30 2014 01: +0,1391043600
0.775,113,Jan 31 2014 01: +0,1391130000
0.85,97,Feb 01 2014 01: +0,1391216400
0.812,116,Feb 02 2014 01: +0,1391302800
0.759,111,Feb 03 2014 01: +0,1391389200
0.691,125,Feb 04 2014 01: +0,1391475600
0.719,93,Feb 05 2014 01: +0,1391562000
0.666,96,Feb 06 2014 01: +0,1391648400
0.663,131,Feb 07 2014 01: +0,1391734800
0.632,139,Feb 08 2014 01: +0,1391821200
0.621,141,Feb 09 2014 01: +0,1391907600
0.593,111,Feb 10 2014 01: +0,1391994000
0.55,134,Feb 11 2014 01: +0,1392080400
0.582,116,Feb 12 2014 01: +0,1392166800
0.519,75,Feb 13 2014 01: +0,1392253200
0.438,120,Feb 14 2014 01: +0,1392339600
0.436,135,Feb 15 2014 01: +0,1392426000
0.452,140,Feb 16 2014 01: +0,1392512400
0.438,100,Feb 17 2014 01: +0,1392598800
0.423,103,Feb 18 2014 01: +0,1392685200
0.374,99,Feb 19 2014 01: +0,1392771600
0.422,99,Feb 20 2014 01: +0,1392858000
0.357,115,Feb 21 2014 01: +0,1392944400
0.33,148,Feb 22 2014 01: +0,1393030800
0.344,164,Feb 23 2014 01: +0,1393117200
0.398,126,Feb 24 2014 01: +0,1393203600
0.414,143,Feb 25 2014 01: +0,1393290000
0.383,117,Feb 26 2014 01: +0,1393376400
0.408,110,Feb 27 2014 01: +0,1393462800
0.412,141,Feb 28 2014 01: +0,1393549200
0.417,155,Mar 01 2014 01: +0,1393635600
0.411,154,Mar 02 2014 01: +0,1393722000
0.441,121,Mar 03 2014 01: +0,1393808400
0.438,130,Mar 04 2014 01: +0,1393894800
0.407,104,Mar 05 2014 01: +0,1393981200
0.467,121,Mar 06 2014 01: +0,1394067600
0.405,150,Mar 07 2014 01: +0,1394154000
0.386,170,Mar 08 2014 01: +0,1394240400
0.4,168,Mar 09 2014 01: +0,1394326800
0.407,116,Mar 10 2014 01: +0,1394413200
0.385,141,Mar 11 2014 01: +0,1394499600
0.428,112,Mar 12 2014 01: +0,1394586000
0.457,115,Mar 13 2014 01: +0,1394672400
0.447,112,Mar 14 2014 01: +0,1394758800
0.372,168,Mar 15 2014 01: +0,1394845200
0.309,166,Mar 16 2014 01: +0,1394931600
0.317,176,Mar 17 2014 01: +0,1395018000
0.402,153,Mar 18 2014 01: +0,1395104400
0.464,125,Mar 19 2014 01: +0,1395190800
0.456,139,Mar 20 2014 01: +0,1395277200
0.447,110,Mar 21 2014 01: +0,1395363600
0.417,157,Mar 22 2014 01: +0,1395450000
0.426,147,Mar 23 2014 01: +0,1395536400
0.46,125,Mar 24 2014 01: +0,1395622800
0.424,117,Mar 25 2014 01: +0,1395709200
0.435,129,Mar 26 2014 01: +0,1395795600
0.43,113,Mar 27 2014 01: +0,1395882000
0.408,121,Mar 28 2014 01: +0,1395968400
0.393,172,Mar 29 2014 01: +0,1396054800
0.409,149,Mar 30 2014 01: +0,1396141200
0.444,154,Mar 31 2014 01: +0,1396224000
0.483,84,Apr 01 2014 01: +0,1396310400
0.425,142,Apr 02 2014 01: +0,1396396800
0.426,141,Apr 03 2014 01: +0,1396483200
0.4,169,Apr 04 2014 01: +0,1396569600
0.412,170,Apr 05 2014 01: +0,1396656000
0.432,171,Apr 06 2014 01: +0,1396742400
0.423,150,Apr 07 2014 01: +0,1396828800
0.403,135,Apr 08 2014 01: +0,1396915200
0.4,131,Apr 09 2014 01: +0,1397001600
0.385,158,Apr 10 2014 01: +0,1397088000
0.38,166,Apr 11 2014 01: +0,1397174400
0.385,240,Apr 12 2014 01: +0,1397260800
0.413,203,Apr 13 2014 01: +0,1397347200
0.406,180,Apr 14 2014 01: +0,1397433600
0.406,173,Apr 15 2014 01: +0,1397520000
0.381,200,Apr 16 2014 01: +0,1397606400
0.373,147,Apr 17 2014 01: +0,1397692800
0.361,170,Apr 18 2014 01: +0,1397779200
0.371,159,Apr 19 2014 01: +0,1397865600
0.329,208,Apr 20 2014 01: +0,1397952000
0.335,198,Apr 21 2014 01: +0,1398038400
0.334,159,Apr 22 2014 01: +0,1398124800
0.342,181,Apr 23 2014 01: +0,1398211200
0.329,170,Apr 24 2014 01: +0,1398297600
0.333,170,Apr 25 2014 01: +0,1398384000
0.351,176,Apr 26 2014 01: +0,1398470400
0.331,193,Apr 27 2014 01: +0,1398556800
0.34,194,Apr 28 2014 01: +0,1398643200
0.343,182,Apr 29 2014 01: +0,1398729600
0.347,178,Apr 30 2014 01: +0,1398816000
0.322,158,May 01 2014 01: +0,1398902400
0.29,156,May 02 2014 01: +0,1398988800
0.283,224,May 03 2014 01: +0,1399075200
0.298,279,May 04 2014 01: +0,1399161600
0.298,262,May 05 2014 01: +0,1399248000
0.322,226,May 06 2014 01: +0,1399334400
0.344,240,May 07 2014 01: +0,1399420800
0.36,217,May 08 2014 01: +0,1399507200
0.338,220,May 09 2014 01: +0,1399593600
0.311,262,May 10 2014 01: +0,1399680000
0.282,238,May 11 2014 01: +0,1399766400
0.297,209,May 12 2014 01: +0,1399852800
0.304,187,May 13 2014 01: +0,1399939200
0.307,186,May 14 2014 01: +0,1400025600
0.309,214,May 15 2014 01: +0,1400112000
0.299,240,May 16 2014 01: +0,1400198400
0.296,291,May 17 2014 01: +0,1400284800
0.331,247,May 18 2014 01: +0,1400371200
0.336,178,May 19 2014 01: +0,1400457600
0.324,174,May 20 2014 01: +0,1400544000
0.316,204,May 21 2014 01: +0,1400630400
0.307,189,May 22 2014 01: +0,1400716800
0.293,217,May 23 2014 01: +0,1400803200
0.323,220,May 24 2014 01: +0,1400889600
