price,quantity,date,unix timestamp
10.568,65,Dec 09 2015 01: +0,1449622800
6.841,51,Dec 10 2015 01: +0,1449709200
5.249,72,Dec 11 2015 01: +0,1449795600
5.508,77,Dec 12 2015 01: +0,1449882000
5.359,76,Dec 13 2015 01: +0,1449968400
4.669,62,Dec 14 2015 01: +0,1450054800
4.795,62,Dec 15 2015 01: +0,1450141200
5.239,56,Dec 16 2015 01: +0,1450227600
4.967,51,Dec 17 2015 01: +0,1450314000
4.828,53,Dec 18 2015 01: +0,1450400400
4.658,57,Dec 19 2015 01: +0,1450486800
4.096,57,Dec 20 2015 01: +0,1450573200
4.157,65,Dec 21 2015 01: +0,1450659600
3.834,64,Dec 22 2015 01: +0,1450746000
3.59,72,Dec 23 2015 01: +0,1450832400
3.522,76,Dec 24 2015 01: +0,1450918800
4.485,82,Dec 25 2015 01: +0,1451005200
5.048,59,Dec 26 2015 01: +0,1451091600
4.286,63,Dec 27 2015 01: +0,1451178000
4.467,68,Dec 28 2015 01: +0,1451264400
3.872,76,Dec 29 2015 01: +0,1451350800
3.711,78,Dec 30 2015 01: +0,1451437200
4.055,53,Dec 31 2015 01: +0,1451523600
3.59,73,Jan 01 2016 01: +0,1451610000
3.466,85,Jan 02 2016 01: +0,1451696400
3.611,78,Jan 03 2016 01: +0,1451782800
3.508,55,Jan 04 2016 01: +0,1451869200
3.321,81,Jan 05 2016 01: +0,1451955600
3.641,73,Jan 06 2016 01: +0,1452042000
3.815,53,Jan 07 2016 01: +0,1452128400
3.794,56,Jan 08 2016 01: +0,1452214800
4.088,75,Jan 09 2016 01: +0,1452301200
3.603,63,Jan 10 2016 01: +0,1452387600
4.009,58,Jan 11 2016 01: +0,1452474000
3.924,56,Jan 12 2016 01: +0,1452560400
4.01,48,Jan 13 2016 01: +0,1452646800
3.665,48,Jan 14 2016 01: +0,1452733200
3.524,62,Jan 15 2016 01: +0,1452819600
3.177,87,Jan 16 2016 01: +0,1452906000
3.231,83,Jan 17 2016 01: +0,1452992400
3.428,59,Jan 18 2016 01: +0,1453078800
3.59,55,Jan 19 2016 01: +0,1453165200
3.43,47,Jan 20 2016 01: +0,1453251600
3.237,68,Jan 21 2016 01: +0,1453338000
3.464,67,Jan 22 2016 01: +0,1453424400
3.564,74,Jan 23 2016 01: +0,1453510800
3.447,66,Jan 24 2016 01: +0,1453597200
3.152,62,Jan 25 2016 01: +0,1453683600
3.412,50,Jan 26 2016 01: +0,1453770000
3.523,62,Jan 27 2016 01: +0,1453856400
3.424,55,Jan 28 2016 01: +0,1453942800
3.526,51,Jan 29 2016 01: +0,1454029200
3.444,84,Jan 30 2016 01: +0,1454115600
3.456,51,Jan 31 2016 01: +0,1454202000
3.286,65,Feb 01 2016 01: +0,1454288400
3.617,47,Feb 02 2016 01: +0,1454374800
3.331,50,Feb 03 2016 01: +0,1454461200
3.269,73,Feb 04 2016 01: +0,1454547600
3.353,67,Feb 05 2016 01: +0,1454634000
3.027,77,Feb 06 2016 01: +0,1454720400
2.856,60,Feb 07 2016 01: +0,1454806800
2.994,43,Feb 08 2016 01: +0,1454893200
2.82,52,Feb 09 2016 01: +0,1454979600
2.926,54,Feb 10 2016 01: +0,1455066000
2.825,61,Feb 11 2016 01: +0,1455152400
2.886,77,Feb 12 2016 01: +0,1455238800
3.003,70,Feb 13 2016 01: +0,1455325200
3.249,67,Feb 14 2016 01: +0,1455411600
3.312,61,Feb 15 2016 01: +0,1455498000
3.129,51,Feb 16 2016 01: +0,1455584400
3.247,56,Feb 17 2016 01: +0,1455670800
2.53,132,Feb 18 2016 01: +0,1455757200
2.781,80,Feb 19 2016 01: +0,1455843600
2.84,71,Feb 20 2016 01: +0,1455930000
2.788,59,Feb 21 2016 01: +0,1456016400
2.59,66,Feb 22 2016 01: +0,1456102800
2.686,75,Feb 23 2016 01: +0,1456189200
2.749,52,Feb 24 2016 01: +0,1456275600
2.613,75,Feb 25 2016 01: +0,1456362000
2.658,74,Feb 26 2016 01: +0,1456448400
