price,quantity,date,unix timestamp
55.753,3,Apr 16 2015 01: +0,1429142400
45.534,14,Apr 17 2015 01: +0,1429228800
52.281,9,Apr 18 2015 01: +0,1429315200
45.131,10,Apr 19 2015 01: +0,1429401600
46.141,9,Apr 20 2015 01: +0,1429488000
41.539,10,Apr 21 2015 01: +0,1429574400
37.934,10,Apr 22 2015 01: +0,1429660800
40.335,5,Apr 23 2015 01: +0,1429747200
41.623,10,Apr 24 2015 01: +0,1429833600
40.43,9,Apr 25 2015 01: +0,1429920000
32.266,20,Apr 26 2015 01: +0,1430006400
29.416,11,Apr 27 2015 01: +0,1430092800
33.225,13,Apr 28 2015 01: +0,1430179200
36.166,6,Apr 29 2015 01: +0,1430265600
33.834,7,Apr 30 2015 01: +0,1430352000
25.939,26,May 01 2015 01: +0,1430438400
31.766,19,May 02 2015 01: +0,1430524800
28.786,13,May 03 2015 01: +0,1430611200
31.359,12,May 04 2015 01: +0,1430697600
30.943,17,May 05 2015 01: +0,1430784000
27.011,11,May 06 2015 01: +0,1430870400
25.858,17,May 07 2015 01: +0,1430956800
26.139,15,May 08 2015 01: +0,1431043200
29.123,11,May 09 2015 01: +0,1431129600
25.617,9,May 10 2015 01: +0,1431216000
23.464,25,May 11 2015 01: +0,1431302400
25.318,20,May 12 2015 01: +0,1431388800
25.486,11,May 13 2015 01: +0,1431475200
28.214,20,May 14 2015 01: +0,1431561600
25.994,13,May 15 2015 01: +0,1431648000
24.962,23,May 16 2015 01: +0,1431734400
26.147,16,May 17 2015 01: +0,1431820800
28.909,12,May 18 2015 01: +0,1431907200
28.268,6,May 19 2015 01: +0,1431993600
23.043,19,May 20 2015 01: +0,1432080000
25.406,16,May 21 2015 01: +0,1432166400
24.788,8,May 22 2015 01: +0,1432252800
24.374,15,May 23 2015 01: +0,1432339200
21.75,21,May 24 2015 01: +0,1432425600
24.713,15,May 25 2015 01: +0,1432512000
26.085,14,May 26 2015 01: +0,1432598400
19.007,21,May 27 2015 01: +0,1432684800
18.574,25,May 28 2015 01: +0,1432771200
19.752,30,May 29 2015 01: +0,1432857600
23.131,25,May 30 2015 01: +0,1432944000
20.492,15,May 31 2015 01: +0,1433030400
19.918,28,Jun 01 2015 01: +0,1433116800
19.643,18,Jun 02 2015 01: +0,1433203200
20.408,14,Jun 03 2015 01: +0,1433289600
20.153,18,Jun 04 2015 01: +0,1433376000
20.421,16,Jun 05 2015 01: +0,1433462400
20.907,19,Jun 06 2015 01: +0,1433548800
19.572,18,Jun 07 2015 01: +0,1433635200
18.824,15,Jun 08 2015 01: +0,1433721600
19.349,22,Jun 09 2015 01: +0,1433808000
20.34,14,Jun 10 2015 01: +0,1433894400
18.987,25,Jun 11 2015 01: +0,1433980800
17.786,28,Jun 12 2015 01: +0,1434067200
18.497,27,Jun 13 2015 01: +0,1434153600
19.628,15,Jun 14 2015 01: +0,1434240000
17.4,20,Jun 15 2015 01: +0,1434326400
17.15,20,Jun 16 2015 01: +0,1434412800
17.602,21,Jun 17 2015 01: +0,1434499200
17.25,15,Jun 18 2015 01: +0,1434585600
17.412,24,Jun 19 2015 01: +0,1434672000
18.85,23,Jun 20 2015 01: +0,1434758400
19.233,13,Jun 21 2015 01: +0,1434844800
18.429,11,Jun 22 2015 01: +0,1434931200
18.572,22,Jun 23 2015 01: +0,1435017600
19.72,15,Jun 24 2015 01: +0,1435104000
18.551,20,Jun 25 2015 01: +0,1435190400
19.876,16,Jun 26 2015 01: +0,1435276800
18.592,13,Jun 27 2015 01: +0,1435363200
19.456,20,Jun 28 2015 01: +0,1435449600
18.819,13,Jun 29 2015 01: +0,1435536000
17.863,21,Jun 30 2015 01: +0,1435622400
16.567,17,Jul 01 2015 01: +0,1435708800
16.95,24,Jul 02 2015 01: +0,1435795200
18.882,20,Jul 03 2015 01: +0,1435881600
18.576,17,Jul 04 2015 01: +0,1435968000
17.621,19,Jul 05 2015 01: +0,1436054400
17.625,24,Jul 06 2015 01: +0,1436140800
17.448,19,Jul 07 2015 01: +0,1436227200
17.075,19,Jul 08 2015 01: +0,1436313600
17.448,23,Jul 09 2015 01: +0,1436400000
17.249,16,Jul 10 2015 01: +0,1436486400
17.328,26,Jul 11 2015 01: +0,1436572800
17.825,21,Jul 12 2015 01: +0,1436659200
16.582,24,Jul 13 2015 01: +0,1436745600
17.193,19,Jul 14 2015 01: +0,1436832000
16.263,25,Jul 15 2015 01: +0,1436918400
17.705,21,Jul 16 2015 01: +0,1437004800
16.905,19,Jul 17 2015 01: +0,1437091200
17.977,15,Jul 18 2015 01: +0,1437177600
17.752,13,Jul 19 2015 01: +0,1437264000
16.49,18,Jul 20 2015 01: +0,1437350400
16.621,19,Jul 21 2015 01: +0,1437436800
17.28,15,Jul 22 2015 01: +0,1437523200
16.776,21,Jul 23 2015 01: +0,1437609600
