price,quantity,date,unix timestamp
12.09,3,May 27 2015 01: +0,1432684800
12.194,12,May 28 2015 01: +0,1432771200
8.023,1,May 29 2015 01: +0,1432857600
25.034,2,May 30 2015 01: +0,1432944000
26.3,2,May 31 2015 01: +0,1433030400
23.983,2,Jun 01 2015 01: +0,1433116800
21.133,1,Jun 02 2015 01: +0,1433203200
21.134,1,Jun 03 2015 01: +0,1433289600
24.373,3,Jun 05 2015 01: +0,1433462400
20.461,4,Jun 07 2015 01: +0,1433635200
24.807,1,Jun 08 2015 01: +0,1433721600
19.92,2,Jun 09 2015 01: +0,1433808000
18.225,2,Jun 10 2015 01: +0,1433894400
21.825,2,Jun 11 2015 01: +0,1433980800
17.923,4,Jun 12 2015 01: +0,1434067200
13.789,2,Jun 13 2015 01: +0,1434153600
16.097,5,Jun 14 2015 01: +0,1434240000
20.867,3,Jun 15 2015 01: +0,1434326400
18.952,3,Jun 16 2015 01: +0,1434412800
21.462,2,Jun 17 2015 01: +0,1434499200
21.787,2,Jun 18 2015 01: +0,1434585600
21.664,1,Jun 19 2015 01: +0,1434672000
17.844,6,Jun 20 2015 01: +0,1434758400
16.141,2,Jun 22 2015 01: +0,1434931200
26.081,1,Jun 23 2015 01: +0,1435017600
13.751,3,Jun 24 2015 01: +0,1435104000
12.858,2,Jun 25 2015 01: +0,1435190400
16.091,7,Jun 26 2015 01: +0,1435276800
19.678,1,Jun 27 2015 01: +0,1435363200
19.96,2,Jun 28 2015 01: +0,1435449600
17.415,6,Jun 29 2015 01: +0,1435536000
16.304,5,Jun 30 2015 01: +0,1435622400
18.112,4,Jul 01 2015 01: +0,1435708800
14.879,3,Jul 02 2015 01: +0,1435795200
12.79,4,Jul 03 2015 01: +0,1435881600
15.222,4,Jul 04 2015 01: +0,1435968000
6.897,1,Jul 05 2015 01: +0,1436054400
11.256,6,Jul 06 2015 01: +0,1436140800
15.207,4,Jul 07 2015 01: +0,1436227200
15.376,2,Jul 08 2015 01: +0,1436313600
12.608,1,Jul 09 2015 01: +0,1436400000
14.302,4,Jul 10 2015 01: +0,1436486400
15.249,2,Jul 11 2015 01: +0,1436572800
11.27,3,Jul 12 2015 01: +0,1436659200
15.205,5,Jul 13 2015 01: +0,1436745600
13.697,3,Jul 14 2015 01: +0,1436832000
11.309,2,Jul 15 2015 01: +0,1436918400
11.122,4,Jul 16 2015 01: +0,1437004800
11.539,6,Jul 17 2015 01: +0,1437091200
9.335,11,Jul 19 2015 01: +0,1437264000
11.407,5,Jul 20 2015 01: +0,1437350400
12.291,3,Jul 21 2015 01: +0,1437436800
12.024,3,Jul 22 2015 01: +0,1437523200
9.282,4,Jul 23 2015 01: +0,1437609600
10.311,4,Jul 24 2015 01: +0,1437696000
8.419,3,Jul 25 2015 01: +0,1437782400
8.256,9,Jul 26 2015 01: +0,1437868800
7.324,2,Jul 27 2015 01: +0,1437955200
9.568,3,Jul 28 2015 01: +0,1438041600
9.291,2,Jul 29 2015 01: +0,1438128000
10.361,6,Jul 30 2015 01: +0,1438214400
12.373,5,Jul 31 2015 01: +0,1438300800
11.961,1,Aug 01 2015 01: +0,1438387200
10.463,1,Aug 02 2015 01: +0,1438473600
10.33,5,Aug 03 2015 01: +0,1438560000
12.382,3,Aug 04 2015 01: +0,1438646400
13.013,2,Aug 05 2015 01: +0,1438732800
12.927,4,Aug 06 2015 01: +0,1438819200
14.47,4,Aug 07 2015 01: +0,1438905600
14.24,4,Aug 08 2015 01: +0,1438992000
12.559,2,Aug 09 2015 01: +0,1439078400
12.502,2,Aug 10 2015 01: +0,1439164800
8.623,4,Aug 12 2015 01: +0,1439337600
10.404,4,Aug 13 2015 01: +0,1439424000
11.912,6,Aug 15 2015 01: +0,1439596800
11.614,3,Aug 17 2015 01: +0,1439769600
11.35,8,Aug 18 2015 01: +0,1439856000
9.185,5,Aug 20 2015 01: +0,1440028800
9.733,4,Aug 21 2015 01: +0,1440115200
9.403,6,Aug 22 2015 01: +0,1440201600
9.306,3,Aug 23 2015 01: +0,1440288000
10.288,6,Aug 24 2015 01: +0,1440374400
11.029,5,Aug 25 2015 01: +0,1440460800
12.281,4,Aug 26 2015 01: +0,1440547200
15.084,2,Aug 27 2015 01: +0,1440633600
17.087,2,Aug 28 2015 01: +0,1440720000
10.58,3,Aug 29 2015 01: +0,1440806400
17.287,2,Aug 30 2015 01: +0,1440892800
13.292,6,Aug 31 2015 01: +0,1440979200
12.813,1,Sep 01 2015 01: +0,1441065600
12.399,5,Sep 02 2015 01: +0,1441152000
14.831,2,Sep 03 2015 01: +0,1441238400
14.713,3,Sep 04 2015 01: +0,1441324800
12.403,4,Sep 05 2015 01: +0,1441411200
