price,quantity,date,unix timestamp
18.456,6,Nov 12 2014 01: +0,1415754000
18.211,5,Nov 13 2014 01: +0,1415840400
19.578,2,Nov 14 2014 01: +0,1415926800
16.69,6,Nov 15 2014 01: +0,1416013200
21.043,1,Nov 16 2014 01: +0,1416099600
18.744,2,Nov 17 2014 01: +0,1416186000
21.865,1,Nov 18 2014 01: +0,1416272400
15.845,1,Nov 19 2014 01: +0,1416358800
16.171,1,Nov 21 2014 01: +0,1416531600
14.119,2,Nov 23 2014 01: +0,1416704400
14.076,2,Nov 24 2014 01: +0,1416790800
13.887,1,Nov 25 2014 01: +0,1416877200
14.955,4,Nov 26 2014 01: +0,1416963600
17.853,2,Nov 27 2014 01: +0,1417050000
17.854,2,Nov 28 2014 01: +0,1417136400
21.392,2,Nov 29 2014 01: +0,1417222800
18.928,1,Nov 30 2014 01: +0,1417309200
17.795,1,Dec 01 2014 01: +0,1417395600
16.392,1,Dec 02 2014 01: +0,1417482000
16.403,1,Dec 03 2014 01: +0,1417568400
13.231,2,Dec 04 2014 01: +0,1417654800
15.797,1,Dec 05 2014 01: +0,1417741200
15.033,3,Dec 06 2014 01: +0,1417827600
14.855,2,Dec 07 2014 01: +0,1417914000
14.364,2,Dec 10 2014 01: +0,1418173200
13.235,1,Dec 11 2014 01: +0,1418259600
16.043,2,Dec 12 2014 01: +0,1418346000
14.446,3,Dec 13 2014 01: +0,1418432400
15.66,2,Dec 14 2014 01: +0,1418518800
14.9,2,Dec 15 2014 01: +0,1418605200
12.886,2,Dec 16 2014 01: +0,1418691600
14.299,1,Dec 18 2014 01: +0,1418864400
13.712,4,Dec 19 2014 01: +0,1418950800
15.328,1,Dec 20 2014 01: +0,1419037200
14.507,4,Dec 21 2014 01: +0,1419123600
13.979,1,Dec 23 2014 01: +0,1419296400
13.976,4,Dec 24 2014 01: +0,1419382800
15.984,5,Dec 25 2014 01: +0,1419469200
16.626,1,Dec 26 2014 01: +0,1419555600
13.924,2,Dec 27 2014 01: +0,1419642000
16.614,2,Dec 28 2014 01: +0,1419728400
13.167,4,Dec 29 2014 01: +0,1419814800
16.474,4,Dec 30 2014 01: +0,1419901200
14.514,3,Dec 31 2014 01: +0,1419987600
15.402,2,Jan 01 2015 01: +0,1420074000
15.057,2,Jan 02 2015 01: +0,1420160400
10.622,4,Jan 03 2015 01: +0,1420246800
17.08,6,Jan 04 2015 01: +0,1420333200
17.04,2,Jan 05 2015 01: +0,1420419600
16.738,1,Jan 06 2015 01: +0,1420506000
14.801,3,Jan 07 2015 01: +0,1420592400
13.139,2,Jan 08 2015 01: +0,1420678800
11.896,5,Jan 09 2015 01: +0,1420765200
12.115,6,Jan 10 2015 01: +0,1420851600
10.076,1,Jan 11 2015 01: +0,1420938000
10.983,10,Jan 12 2015 01: +0,1421024400
12.612,3,Jan 13 2015 01: +0,1421110800
10.05,1,Jan 14 2015 01: +0,1421197200
9.989,3,Jan 15 2015 01: +0,1421283600
11.825,5,Jan 16 2015 01: +0,1421370000
11.324,5,Jan 17 2015 01: +0,1421456400
10.954,3,Jan 18 2015 01: +0,1421542800
11.177,4,Jan 19 2015 01: +0,1421629200
10.419,2,Jan 20 2015 01: +0,1421715600
10.269,3,Jan 21 2015 01: +0,1421802000
10.275,5,Jan 22 2015 01: +0,1421888400
10.353,3,Jan 23 2015 01: +0,1421974800
9.545,5,Jan 24 2015 01: +0,1422061200
10.434,3,Jan 25 2015 01: +0,1422147600
9.363,2,Jan 26 2015 01: +0,1422234000
8.941,7,Jan 27 2015 01: +0,1422320400
10.489,3,Jan 28 2015 01: +0,1422406800
10.857,1,Jan 29 2015 01: +0,1422493200
10.691,3,Jan 30 2015 01: +0,1422579600
10.601,2,Jan 31 2015 01: +0,1422666000
7.453,1,Feb 02 2015 01: +0,1422838800
10.556,1,Feb 03 2015 01: +0,1422925200
10.319,3,Feb 04 2015 01: +0,1423011600
9.181,5,Feb 05 2015 01: +0,1423098000
9.75,4,Feb 06 2015 01: +0,1423184400
10.659,2,Feb 07 2015 01: +0,1423270800
9.827,2,Feb 08 2015 01: +0,1423357200
10.784,2,Feb 09 2015 01: +0,1423443600
9.882,1,Feb 10 2015 01: +0,1423530000
9.185,3,Feb 11 2015 01: +0,1423616400
9.879,1,Feb 12 2015 01: +0,1423702800
9.722,2,Feb 13 2015 01: +0,1423789200
9.994,3,Feb 14 2015 01: +0,1423875600
10.116,4,Feb 15 2015 01: +0,1423962000
8.653,4,Feb 16 2015 01: +0,1424048400
10.407,2,Feb 17 2015 01: +0,1424134800
9.75,3,Feb 18 2015 01: +0,1424221200
8.703,3,Feb 19 2015 01: +0,1424307600
9.242,3,Feb 20 2015 01: +0,1424394000
9.446,2,Feb 21 2015 01: +0,1424480400
9.587,4,Feb 22 2015 01: +0,1424566800
9.872,2,Feb 23 2015 01: +0,1424653200
9.929,2,Feb 24 2015 01: +0,1424739600
9.998,9,Feb 25 2015 01: +0,1424826000
9.342,3,Feb 26 2015 01: +0,1424912400
10.909,5,Feb 27 2015 01: +0,1424998800
9.369,2,Mar 01 2015 01: +0,1425171600
9.75,4,Mar 02 2015 01: +0,1425258000
10.893,2,Mar 03 2015 01: +0,1425344400
9.926,1,Mar 04 2015 01: +0,1425430800
10.587,1,Mar 05 2015 01: +0,1425517200
10.953,8,Mar 06 2015 01: +0,1425603600
11.76,3,Mar 07 2015 01: +0,1425690000
7.358,5,Mar 09 2015 01: +0,1425862800
9.365,2,Mar 10 2015 01: +0,1425949200
7.789,3,Mar 11 2015 01: +0,1426035600
9.157,2,Mar 12 2015 01: +0,1426122000
8.361,4,Mar 13 2015 01: +0,1426208400
8.884,3,Mar 14 2015 01: +0,1426294800
8.916,7,Mar 15 2015 01: +0,1426381200
9.627,3,Mar 16 2015 01: +0,1426467600
11.247,1,Mar 17 2015 01: +0,1426554000
7.133,2,Mar 18 2015 01: +0,1426640400
11.005,2,Mar 20 2015 01: +0,1426813200
10.736,7,Mar 21 2015 01: +0,1426899600
9.621,1,Mar 23 2015 01: +0,1427072400
10.826,1,Mar 24 2015 01: +0,1427158800
7.41,1,Mar 26 2015 01: +0,1427331600
9.084,2,Mar 28 2015 01: +0,1427504400
8.043,1,Mar 29 2015 01: +0,1427590800
7.426,2,Mar 30 2015 01: +0,1427673600
9.59,2,Mar 31 2015 01: +0,1427760000
7.919,9,Apr 01 2015 01: +0,1427846400
8.298,2,Apr 02 2015 01: +0,1427932800
7.43,3,Apr 03 2015 01: +0,1428019200
8.644,4,Apr 04 2015 01: +0,1428105600
9.885,3,Apr 05 2015 01: +0,1428192000
8.449,2,Apr 06 2015 01: +0,1428278400
8.827,2,Apr 07 2015 01: +0,1428364800
10.085,4,Apr 08 2015 01: +0,1428451200
11.026,1,Apr 09 2015 01: +0,1428537600
10.818,3,Apr 10 2015 01: +0,1428624000
10.697,2,Apr 11 2015 01: +0,1428710400
11.087,2,Apr 12 2015 01: +0,1428796800
10.513,2,Apr 13 2015 01: +0,1428883200
6.896,2,Apr 15 2015 01: +0,1429056000
7.15,1,Apr 16 2015 01: +0,1429142400
6.963,4,Apr 17 2015 01: +0,1429228800
6.819,4,Apr 18 2015 01: +0,1429315200
7.022,1,Apr 19 2015 01: +0,1429401600
6.927,2,Apr 21 2015 01: +0,1429574400
6.926,3,Apr 22 2015 01: +0,1429660800
7.017,4,Apr 23 2015 01: +0,1429747200
7.395,1,Apr 24 2015 01: +0,1429833600
6.465,3,Apr 25 2015 01: +0,1429920000
7.103,3,Apr 26 2015 01: +0,1430006400
7.378,2,Apr 27 2015 01: +0,1430092800
6.35,7,Apr 28 2015 01: +0,1430179200
6.237,6,Apr 29 2015 01: +0,1430265600
5.362,4,Apr 30 2015 01: +0,1430352000
4.711,4,May 01 2015 01: +0,1430438400
6.038,4,May 02 2015 01: +0,1430524800
6.323,6,May 03 2015 01: +0,1430611200
6.383,3,May 04 2015 01: +0,1430697600
6.462,3,May 05 2015 01: +0,1430784000
6.587,3,May 06 2015 01: +0,1430870400
6.455,6,May 07 2015 01: +0,1430956800
6.049,3,May 08 2015 01: +0,1431043200
6.043,3,May 09 2015 01: +0,1431129600
8.357,1,May 10 2015 01: +0,1431216000
7.909,1,May 11 2015 01: +0,1431302400
8.059,2,May 12 2015 01: +0,1431388800
7.64,4,May 13 2015 01: +0,1431475200
7.863,1,May 14 2015 01: +0,1431561600
7.477,2,May 15 2015 01: +0,1431648000
9.257,10,May 16 2015 01: +0,1431734400
8.62,1,May 17 2015 01: +0,1431820800
8.384,2,May 18 2015 01: +0,1431907200
5.645,3,May 19 2015 01: +0,1431993600
6.988,4,May 20 2015 01: +0,1432080000
8.29,2,May 21 2015 01: +0,1432166400
8.204,4,May 22 2015 01: +0,1432252800
6.782,4,May 23 2015 01: +0,1432339200
8.169,1,May 24 2015 01: +0,1432425600
5.776,2,May 25 2015 01: +0,1432512000
6.009,2,May 26 2015 01: +0,1432598400
6.153,2,May 27 2015 01: +0,1432684800
5.621,4,May 28 2015 01: +0,1432771200
6.238,4,May 29 2015 01: +0,1432857600
6.726,3,May 30 2015 01: +0,1432944000
7.599,3,May 31 2015 01: +0,1433030400
7.687,3,Jun 01 2015 01: +0,1433116800
7.857,4,Jun 03 2015 01: +0,1433289600
6.419,4,Jun 04 2015 01: +0,1433376000
6.793,2,Jun 05 2015 01: +0,1433462400
5.488,4,Jun 06 2015 01: +0,1433548800
6.21,5,Jun 07 2015 01: +0,1433635200
6.797,4,Jun 08 2015 01: +0,1433721600
7.269,2,Jun 09 2015 01: +0,1433808000
5.791,4,Jun 10 2015 01: +0,1433894400
7.454,2,Jun 11 2015 01: +0,1433980800
6.137,6,Jun 12 2015 01: +0,1434067200
6.551,7,Jun 13 2015 01: +0,1434153600
7.209,12,Jun 14 2015 01: +0,1434240000
6.39,2,Jun 15 2015 01: +0,1434326400
6.147,2,Jun 17 2015 01: +0,1434499200
6.759,3,Jun 18 2015 01: +0,1434585600
6.686,3,Jun 19 2015 01: +0,1434672000
5.385,1,Jun 20 2015 01: +0,1434758400
6.31,3,Jun 21 2015 01: +0,1434844800
6.299,3,Jun 22 2015 01: +0,1434931200
6.204,3,Jun 23 2015 01: +0,1435017600
8.421,6,Jun 24 2015 01: +0,1435104000
6.462,5,Jun 25 2015 01: +0,1435190400
6.419,4,Jun 26 2015 01: +0,1435276800
7.103,2,Jun 27 2015 01: +0,1435363200
6.905,2,Jun 28 2015 01: +0,1435449600
6.862,3,Jun 29 2015 01: +0,1435536000
7.986,4,Jun 30 2015 01: +0,1435622400
9.442,1,Jul 02 2015 01: +0,1435795200
9.363,1,Jul 03 2015 01: +0,1435881600
8.701,2,Jul 04 2015 01: +0,1435968000
7.909,5,Jul 05 2015 01: +0,1436054400
8.741,5,Jul 06 2015 01: +0,1436140800
7.835,2,Jul 08 2015 01: +0,1436313600
6.978,4,Jul 09 2015 01: +0,1436400000
7.164,3,Jul 10 2015 01: +0,1436486400
7.713,4,Jul 11 2015 01: +0,1436572800
7.125,4,Jul 13 2015 01: +0,1436745600
5.403,2,Jul 14 2015 01: +0,1436832000
7.262,2,Jul 15 2015 01: +0,1436918400
6.526,2,Jul 16 2015 01: +0,1437004800
7.292,5,Jul 17 2015 01: +0,1437091200
7.31,3,Jul 18 2015 01: +0,1437177600
8.284,2,Jul 19 2015 01: +0,1437264000
7.445,3,Jul 21 2015 01: +0,1437436800
7.735,3,Jul 22 2015 01: +0,1437523200
5.9,4,Jul 23 2015 01: +0,1437609600
7.288,4,Jul 24 2015 01: +0,1437696000
8.352,3,Jul 25 2015 01: +0,1437782400
8.272,1,Jul 26 2015 01: +0,1437868800
8.561,1,Jul 27 2015 01: +0,1437955200
7.378,1,Jul 28 2015 01: +0,1438041600
8.108,2,Jul 29 2015 01: +0,1438128000
7.465,2,Jul 30 2015 01: +0,1438214400
10.385,1,Jul 31 2015 01: +0,1438300800
8.164,4,Aug 02 2015 01: +0,1438473600
8.27,1,Aug 03 2015 01: +0,1438560000
7.759,1,Aug 04 2015 01: +0,1438646400
7.328,2,Aug 05 2015 01: +0,1438732800
8.199,5,Aug 06 2015 01: +0,1438819200
9.256,1,Aug 07 2015 01: +0,1438905600
11.142,2,Aug 10 2015 01: +0,1439164800
9.868,2,Aug 11 2015 01: +0,1439251200
8.479,4,Aug 12 2015 01: +0,1439337600
7.933,2,Aug 13 2015 01: +0,1439424000
9.556,1,Aug 14 2015 01: +0,1439510400
8.35,2,Aug 15 2015 01: +0,1439596800
6.653,1,Aug 17 2015 01: +0,1439769600
6.572,2,Aug 18 2015 01: +0,1439856000
9.103,2,Aug 19 2015 01: +0,1439942400
8.925,1,Aug 20 2015 01: +0,1440028800
8.751,3,Aug 21 2015 01: +0,1440115200
