price,quantity,date,unix timestamp
5.617,1,Feb 13 2014 01: +0,1392253200
2.357,1,Feb 14 2014 01: +0,1392339600
3.28,2,Feb 15 2014 01: +0,1392426000
2.492,2,Feb 16 2014 01: +0,1392512400
2.036,1,Feb 17 2014 01: +0,1392598800
2.506,2,Feb 18 2014 01: +0,1392685200
3.086,1,Feb 19 2014 01: +0,1392771600
1.654,1,Feb 23 2014 01: +0,1393117200
0.813,2,Feb 24 2014 01: +0,1393203600
1.145,3,Feb 25 2014 01: +0,1393290000
1.084,1,Feb 26 2014 01: +0,1393376400
1.094,1,Feb 27 2014 01: +0,1393462800
1.123,4,Feb 28 2014 01: +0,1393549200
1.081,3,Mar 01 2014 01: +0,1393635600
1.369,2,Mar 02 2014 01: +0,1393722000
1.41,2,Mar 03 2014 01: +0,1393808400
1.326,2,Mar 04 2014 01: +0,1393894800
0.951,1,Mar 05 2014 01: +0,1393981200
1.013,4,Mar 07 2014 01: +0,1394154000
0.717,2,Mar 08 2014 01: +0,1394240400
0.966,9,Mar 09 2014 01: +0,1394326800
0.937,2,Mar 10 2014 01: +0,1394413200
1.021,1,Mar 11 2014 01: +0,1394499600
0.847,3,Mar 12 2014 01: +0,1394586000
1.099,2,Mar 13 2014 01: +0,1394672400
1.107,4,Mar 15 2014 01: +0,1394845200
0.811,4,Mar 16 2014 01: +0,1394931600
0.793,1,Mar 17 2014 01: +0,1395018000
0.78,7,Mar 18 2014 01: +0,1395104400
0.951,3,Mar 19 2014 01: +0,1395190800
0.822,4,Mar 20 2014 01: +0,1395277200
0.996,3,Mar 21 2014 01: +0,1395363600
1.141,2,Mar 22 2014 01: +0,1395450000
0.943,5,Mar 23 2014 01: +0,1395536400
0.717,4,Mar 24 2014 01: +0,1395622800
0.863,4,Mar 25 2014 01: +0,1395709200
0.831,6,Mar 26 2014 01: +0,1395795600
0.983,4,Mar 27 2014 01: +0,1395882000
0.842,3,Mar 28 2014 01: +0,1395968400
1.113,2,Mar 29 2014 01: +0,1396054800
1.016,3,Mar 30 2014 01: +0,1396141200
0.811,3,Mar 31 2014 01: +0,1396224000
0.754,4,Apr 01 2014 01: +0,1396310400
0.77,5,Apr 02 2014 01: +0,1396396800
0.866,8,Apr 03 2014 01: +0,1396483200
0.992,5,Apr 04 2014 01: +0,1396569600
0.667,10,Apr 05 2014 01: +0,1396656000
0.653,8,Apr 06 2014 01: +0,1396742400
0.929,3,Apr 07 2014 01: +0,1396828800
1.004,4,Apr 08 2014 01: +0,1396915200
0.981,1,Apr 09 2014 01: +0,1397001600
0.77,4,Apr 10 2014 01: +0,1397088000
0.706,10,Apr 11 2014 01: +0,1397174400
0.889,9,Apr 12 2014 01: +0,1397260800
0.861,3,Apr 13 2014 01: +0,1397347200
1.072,3,Apr 14 2014 01: +0,1397433600
0.965,3,Apr 15 2014 01: +0,1397520000
0.973,5,Apr 16 2014 01: +0,1397606400
0.751,2,Apr 17 2014 01: +0,1397692800
0.755,5,Apr 18 2014 01: +0,1397779200
0.817,5,Apr 19 2014 01: +0,1397865600
0.62,4,Apr 20 2014 01: +0,1397952000
0.77,4,Apr 21 2014 01: +0,1398038400
0.715,6,Apr 22 2014 01: +0,1398124800
0.773,6,Apr 23 2014 01: +0,1398211200
0.92,3,Apr 24 2014 01: +0,1398297600
0.923,5,Apr 25 2014 01: +0,1398384000
0.795,6,Apr 26 2014 01: +0,1398470400
0.68,10,Apr 27 2014 01: +0,1398556800
0.948,4,Apr 28 2014 01: +0,1398643200
0.98,5,Apr 29 2014 01: +0,1398729600
0.933,12,Apr 30 2014 01: +0,1398816000
0.742,1,May 02 2014 01: +0,1398988800
0.637,8,May 03 2014 01: +0,1399075200
0.775,6,May 04 2014 01: +0,1399161600
0.596,6,May 05 2014 01: +0,1399248000
0.471,1,May 06 2014 01: +0,1399334400
0.606,4,May 07 2014 01: +0,1399420800
0.575,4,May 08 2014 01: +0,1399507200
0.429,3,May 09 2014 01: +0,1399593600
0.364,9,May 10 2014 01: +0,1399680000
0.399,7,May 11 2014 01: +0,1399766400
0.417,6,May 12 2014 01: +0,1399852800
0.494,2,May 13 2014 01: +0,1399939200
0.43,5,May 14 2014 01: +0,1400025600
0.453,7,May 15 2014 01: +0,1400112000
0.509,3,May 16 2014 01: +0,1400198400
0.419,2,May 17 2014 01: +0,1400284800
0.407,8,May 18 2014 01: +0,1400371200
0.44,6,May 19 2014 01: +0,1400457600
0.407,5,May 20 2014 01: +0,1400544000
0.502,5,May 21 2014 01: +0,1400630400
0.655,2,May 22 2014 01: +0,1400716800
0.446,16,May 24 2014 01: +0,1400889600
0.451,6,May 25 2014 01: +0,1400976000
0.48,9,May 26 2014 01: +0,1401062400
0.507,8,May 27 2014 01: +0,1401148800
0.505,5,May 28 2014 01: +0,1401235200
0.494,8,May 29 2014 01: +0,1401321600
0.5,7,May 30 2014 01: +0,1401408000
0.418,2,May 31 2014 01: +0,1401494400
0.435,8,Jun 01 2014 01: +0,1401580800
0.495,3,Jun 02 2014 01: +0,1401667200
0.515,6,Jun 03 2014 01: +0,1401753600
0.571,3,Jun 04 2014 01: +0,1401840000
0.643,5,Jun 05 2014 01: +0,1401926400
0.642,1,Jun 06 2014 01: +0,1402012800
0.519,3,Jun 07 2014 01: +0,1402099200
0.589,3,Jun 08 2014 01: +0,1402185600
0.619,3,Jun 09 2014 01: +0,1402272000
0.571,4,Jun 11 2014 01: +0,1402444800
0.616,1,Jun 12 2014 01: +0,1402531200
0.489,3,Jun 13 2014 01: +0,1402617600
0.467,8,Jun 14 2014 01: +0,1402704000
0.519,4,Jun 15 2014 01: +0,1402790400
0.462,7,Jun 16 2014 01: +0,1402876800
0.432,2,Jun 17 2014 01: +0,1402963200
0.413,7,Jun 18 2014 01: +0,1403049600
0.45,4,Jun 19 2014 01: +0,1403136000
0.341,6,Jun 21 2014 01: +0,1403308800
0.299,2,Jun 22 2014 01: +0,1403395200
0.342,9,Jun 23 2014 01: +0,1403481600
0.344,8,Jun 24 2014 01: +0,1403568000
0.407,8,Jun 25 2014 01: +0,1403654400
0.344,8,Jun 26 2014 01: +0,1403740800
0.422,11,Jun 27 2014 01: +0,1403827200
0.483,4,Jun 28 2014 01: +0,1403913600
0.456,2,Jun 29 2014 01: +0,1404000000
0.442,7,Jun 30 2014 01: +0,1404086400
0.439,5,Jul 01 2014 01: +0,1404172800
0.896,36,Jul 02 2014 01: +0,1404259200
1.84,7,Jul 03 2014 01: +0,1404345600
1.281,4,Jul 04 2014 01: +0,1404432000
1.133,3,Jul 05 2014 01: +0,1404518400
0.98,2,Jul 06 2014 01: +0,1404604800
0.887,9,Jul 07 2014 01: +0,1404691200
0.955,4,Jul 08 2014 01: +0,1404777600
1.04,4,Jul 09 2014 01: +0,1404864000
0.896,3,Jul 10 2014 01: +0,1404950400
0.766,5,Jul 11 2014 01: +0,1405036800
0.683,7,Jul 12 2014 01: +0,1405123200
0.661,4,Jul 13 2014 01: +0,1405209600
0.752,6,Jul 14 2014 01: +0,1405296000
0.961,4,Jul 15 2014 01: +0,1405382400
1.068,3,Jul 16 2014 01: +0,1405468800
0.726,3,Jul 17 2014 01: +0,1405555200
0.99,3,Jul 18 2014 01: +0,1405641600
0.981,1,Jul 19 2014 01: +0,1405728000
0.823,2,Jul 20 2014 01: +0,1405814400
0.959,3,Jul 21 2014 01: +0,1405900800
0.656,3,Jul 22 2014 01: +0,1405987200
0.695,9,Jul 23 2014 01: +0,1406073600
0.737,8,Jul 24 2014 01: +0,1406160000
0.669,3,Jul 25 2014 01: +0,1406246400
0.701,5,Jul 26 2014 01: +0,1406332800
0.666,8,Jul 27 2014 01: +0,1406419200
0.685,5,Jul 28 2014 01: +0,1406505600
0.785,4,Jul 29 2014 01: +0,1406592000
0.834,3,Jul 30 2014 01: +0,1406678400
0.796,7,Jul 31 2014 01: +0,1406764800
0.822,5,Aug 01 2014 01: +0,1406851200
0.832,1,Aug 02 2014 01: +0,1406937600
0.815,6,Aug 03 2014 01: +0,1407024000
0.746,4,Aug 04 2014 01: +0,1407110400
0.736,1,Aug 05 2014 01: +0,1407196800
0.517,5,Aug 06 2014 01: +0,1407283200
0.631,3,Aug 07 2014 01: +0,1407369600
0.648,8,Aug 08 2014 01: +0,1407456000
0.614,9,Aug 09 2014 01: +0,1407542400
0.672,3,Aug 10 2014 01: +0,1407628800
0.78,5,Aug 11 2014 01: +0,1407715200
0.748,3,Aug 12 2014 01: +0,1407801600
0.557,3,Aug 13 2014 01: +0,1407888000
0.779,10,Aug 14 2014 01: +0,1407974400
0.844,6,Aug 15 2014 01: +0,1408060800
0.787,7,Aug 16 2014 01: +0,1408147200
0.835,7,Aug 17 2014 01: +0,1408233600
0.703,8,Aug 18 2014 01: +0,1408320000
0.667,3,Aug 19 2014 01: +0,1408406400
0.755,7,Aug 20 2014 01: +0,1408492800
0.733,4,Aug 21 2014 01: +0,1408579200
0.834,6,Aug 22 2014 01: +0,1408665600
0.816,4,Aug 23 2014 01: +0,1408752000
0.691,6,Aug 24 2014 01: +0,1408838400
0.778,6,Aug 25 2014 01: +0,1408924800
0.726,6,Aug 26 2014 01: +0,1409011200
0.865,4,Aug 27 2014 01: +0,1409097600
0.815,6,Aug 28 2014 01: +0,1409184000
0.703,6,Aug 29 2014 01: +0,1409270400
0.696,6,Aug 30 2014 01: +0,1409356800
0.946,4,Aug 31 2014 01: +0,1409443200
0.793,4,Sep 02 2014 01: +0,1409616000
0.599,8,Sep 03 2014 01: +0,1409702400
0.579,4,Sep 04 2014 01: +0,1409788800
0.477,6,Sep 05 2014 01: +0,1409875200
0.429,6,Sep 06 2014 01: +0,1409961600
0.43,35,Sep 07 2014 01: +0,1410048000
0.528,10,Sep 08 2014 01: +0,1410134400
0.502,6,Sep 09 2014 01: +0,1410220800
0.425,3,Sep 10 2014 01: +0,1410307200
0.43,10,Sep 11 2014 01: +0,1410393600
0.413,11,Sep 12 2014 01: +0,1410480000
0.405,24,Sep 13 2014 01: +0,1410566400
0.376,14,Sep 14 2014 01: +0,1410652800
0.414,7,Sep 15 2014 01: +0,1410739200
0.498,9,Sep 16 2014 01: +0,1410825600
0.476,10,Sep 17 2014 01: +0,1410912000
0.817,6,Sep 18 2014 01: +0,1410998400
0.696,10,Sep 19 2014 01: +0,1411084800
0.433,4,Sep 20 2014 01: +0,1411171200
0.527,12,Sep 21 2014 01: +0,1411257600
0.653,3,Sep 22 2014 01: +0,1411344000
0.707,6,Sep 23 2014 01: +0,1411430400
0.589,2,Sep 24 2014 01: +0,1411516800
0.522,8,Sep 25 2014 01: +0,1411603200
0.607,8,Sep 26 2014 01: +0,1411689600
0.555,6,Sep 27 2014 01: +0,1411776000
0.457,6,Sep 29 2014 01: +0,1411948800
0.578,2,Sep 30 2014 01: +0,1412035200
0.587,13,Oct 01 2014 01: +0,1412121600
0.605,12,Oct 02 2014 01: +0,1412208000
0.652,14,Oct 03 2014 01: +0,1412294400
0.684,9,Oct 04 2014 01: +0,1412380800
0.652,12,Oct 05 2014 01: +0,1412467200
0.715,8,Oct 06 2014 01: +0,1412553600
0.684,7,Oct 07 2014 01: +0,1412640000
0.71,6,Oct 08 2014 01: +0,1412726400
0.833,4,Oct 09 2014 01: +0,1412812800
0.754,9,Oct 10 2014 01: +0,1412899200
0.814,7,Oct 11 2014 01: +0,1412985600
0.825,5,Oct 12 2014 01: +0,1413072000
0.852,6,Oct 13 2014 01: +0,1413158400
0.866,10,Oct 14 2014 01: +0,1413244800
0.851,7,Oct 15 2014 01: +0,1413331200
0.817,2,Oct 16 2014 01: +0,1413417600
0.842,5,Oct 17 2014 01: +0,1413504000
0.761,6,Oct 18 2014 01: +0,1413590400
0.813,9,Oct 19 2014 01: +0,1413676800
0.702,6,Oct 20 2014 01: +0,1413763200
0.783,7,Oct 21 2014 01: +0,1413849600
0.73,13,Oct 22 2014 01: +0,1413936000
0.743,5,Oct 23 2014 01: +0,1414022400
0.842,10,Oct 24 2014 01: +0,1414108800
0.866,7,Oct 25 2014 01: +0,1414195200
0.78,10,Oct 26 2014 01: +0,1414281600
0.629,7,Oct 27 2014 01: +0,1414371600
0.734,8,Oct 28 2014 01: +0,1414458000
0.68,4,Oct 29 2014 01: +0,1414544400
0.806,5,Oct 30 2014 01: +0,1414630800
0.796,10,Oct 31 2014 01: +0,1414717200
0.77,7,Nov 01 2014 01: +0,1414803600
0.805,8,Nov 02 2014 01: +0,1414890000
0.833,5,Nov 03 2014 01: +0,1414976400
0.966,10,Nov 04 2014 01: +0,1415062800
