price,quantity,date,unix timestamp
0.524,1,Oct 21 2022 01: +0,1666310400
1.115,64,Oct 22 2022 01: +0,1666396800
0.832,33,Oct 23 2022 01: +0,1666483200
0.799,14,Oct 24 2022 01: +0,1666569600
0.862,3,Oct 25 2022 01: +0,1666656000
0.843,14,Oct 26 2022 01: +0,1666742400
0.822,12,Oct 27 2022 01: +0,1666828800
0.866,13,Oct 28 2022 01: +0,1666915200
0.738,8,Oct 29 2022 01: +0,1667001600
0.753,11,Oct 30 2022 01: +0,1667088000
0.725,7,Oct 31 2022 01: +0,1667178000
0.639,13,Nov 01 2022 01: +0,1667264400
0.936,11,Nov 02 2022 01: +0,1667350800
0.902,7,Nov 03 2022 01: +0,1667437200
0.929,11,Nov 04 2022 01: +0,1667523600
1.008,12,Nov 05 2022 01: +0,1667610000
0.571,16,Nov 06 2022 01: +0,1667696400
0.469,16,Nov 07 2022 01: +0,1667782800
0.493,19,Nov 08 2022 01: +0,1667869200
0.494,7,Nov 09 2022 01: +0,1667955600
0.381,6,Nov 10 2022 01: +0,1668042000
0.35,2,Nov 11 2022 01: +0,1668128400
0.391,5,Nov 12 2022 01: +0,1668214800
0.346,4,Nov 13 2022 01: +0,1668301200
0.381,5,Nov 14 2022 01: +0,1668387600
0.26,2,Nov 15 2022 01: +0,1668474000
0.272,11,Nov 16 2022 01: +0,1668560400
0.386,1,Nov 17 2022 01: +0,1668646800
0.317,3,Nov 18 2022 01: +0,1668733200
0.287,2,Nov 19 2022 01: +0,1668819600
0.295,3,Nov 20 2022 01: +0,1668906000
0.279,5,Nov 21 2022 01: +0,1668992400
0.244,4,Nov 22 2022 01: +0,1669078800
0.343,4,Nov 23 2022 01: +0,1669165200
0.394,5,Nov 24 2022 01: +0,1669251600
0.373,5,Nov 25 2022 01: +0,1669338000
0.436,8,Nov 26 2022 01: +0,1669424400
0.473,3,Nov 27 2022 01: +0,1669510800
0.598,1,Nov 28 2022 01: +0,1669597200
0.682,2,Nov 29 2022 01: +0,1669683600
0.556,2,Dec 01 2022 01: +0,1669856400
0.606,2,Dec 02 2022 01: +0,1669942800
0.537,1,Dec 04 2022 01: +0,1670115600
