price,quantity,date,unix timestamp
0.283,297,Feb 07 2019 01: +0,1549501200
0.208,184,Feb 08 2019 01: +0,1549587600
0.181,149,Feb 09 2019 01: +0,1549674000
0.144,87,Feb 10 2019 01: +0,1549760400
0.139,102,Feb 11 2019 01: +0,1549846800
0.122,84,Feb 12 2019 01: +0,1549933200
0.134,91,Feb 13 2019 01: +0,1550019600
0.154,108,Feb 14 2019 01: +0,1550106000
0.19,83,Feb 15 2019 01: +0,1550192400
0.168,85,Feb 16 2019 01: +0,1550278800
0.167,80,Feb 17 2019 01: +0,1550365200
0.173,61,Feb 18 2019 01: +0,1550451600
0.167,66,Feb 19 2019 01: +0,1550538000
0.175,55,Feb 20 2019 01: +0,1550624400
0.157,67,Feb 21 2019 01: +0,1550710800
0.152,76,Feb 22 2019 01: +0,1550797200
0.148,62,Feb 23 2019 01: +0,1550883600
0.134,79,Feb 24 2019 01: +0,1550970000
0.12,87,Feb 25 2019 01: +0,1551056400
0.117,65,Feb 26 2019 01: +0,1551142800
0.121,59,Feb 27 2019 01: +0,1551229200
0.132,59,Feb 28 2019 01: +0,1551315600
0.111,80,Mar 01 2019 01: +0,1551402000
0.083,3257,Mar 02 2019 01: +0,1551488400
0.055,4096,Mar 03 2019 01: +0,1551574800
0.052,2461,Mar 04 2019 01: +0,1551661200
0.045,1516,Mar 05 2019 01: +0,1551747600
0.046,1235,Mar 06 2019 01: +0,1551834000
0.042,805,Mar 07 2019 01: +0,1551920400
0.041,946,Mar 08 2019 01: +0,1552006800
0.038,947,Mar 09 2019 01: +0,1552093200
0.036,792,Mar 10 2019 01: +0,1552179600
0.035,619,Mar 11 2019 01: +0,1552266000
0.037,458,Mar 12 2019 01: +0,1552352400
0.039,329,Mar 13 2019 01: +0,1552438800
0.041,350,Mar 14 2019 01: +0,1552525200
0.042,344,Mar 15 2019 01: +0,1552611600
0.045,460,Mar 16 2019 01: +0,1552698000
0.044,378,Mar 17 2019 01: +0,1552784400
0.046,263,Mar 18 2019 01: +0,1552870800
0.047,240,Mar 19 2019 01: +0,1552957200
0.047,229,Mar 20 2019 01: +0,1553043600
0.049,216,Mar 21 2019 01: +0,1553130000
0.05,280,Mar 22 2019 01: +0,1553216400
0.05,235,Mar 23 2019 01: +0,1553302800
0.048,254,Mar 24 2019 01: +0,1553389200
0.051,195,Mar 25 2019 01: +0,1553475600
0.05,264,Mar 26 2019 01: +0,1553562000
0.051,183,Mar 27 2019 01: +0,1553648400
0.053,188,Mar 28 2019 01: +0,1553734800
0.049,253,Mar 29 2019 01: +0,1553821200
0.051,225,Mar 30 2019 01: +0,1553907600
0.053,180,Mar 31 2019 01: +0,1553994000
0.05,193,Apr 01 2019 01: +0,1554076800
0.053,158,Apr 02 2019 01: +0,1554163200
0.054,173,Apr 03 2019 01: +0,1554249600
0.054,134,Apr 04 2019 01: +0,1554336000
0.053,162,Apr 05 2019 01: +0,1554422400
0.054,174,Apr 06 2019 01: +0,1554508800
0.057,181,Apr 07 2019 01: +0,1554595200
0.054,175,Apr 08 2019 01: +0,1554681600
0.055,175,Apr 09 2019 01: +0,1554768000
0.056,104,Apr 10 2019 01: +0,1554854400
0.059,141,Apr 11 2019 01: +0,1554940800
0.057,133,Apr 12 2019 01: +0,1555027200
0.058,172,Apr 13 2019 01: +0,1555113600
0.059,155,Apr 14 2019 01: +0,1555200000
0.057,164,Apr 15 2019 01: +0,1555286400
0.06,172,Apr 16 2019 01: +0,1555372800
0.056,104,Apr 17 2019 01: +0,1555459200
0.06,115,Apr 18 2019 01: +0,1555545600
0.059,134,Apr 19 2019 01: +0,1555632000
0.057,190,Apr 20 2019 01: +0,1555718400
0.06,99,Apr 21 2019 01: +0,1555804800
0.061,143,Apr 22 2019 01: +0,1555891200
0.062,185,Apr 23 2019 01: +0,1555977600
0.061,68,Apr 24 2019 01: +0,1556064000
0.062,104,Apr 25 2019 01: +0,1556150400
0.06,117,Apr 26 2019 01: +0,1556236800
0.062,167,Apr 27 2019 01: +0,1556323200
0.06,147,Apr 28 2019 01: +0,1556409600
0.063,131,Apr 29 2019 01: +0,1556496000
0.062,157,Apr 30 2019 01: +0,1556582400
0.062,155,May 01 2019 01: +0,1556668800
0.06,175,May 02 2019 01: +0,1556755200
0.062,197,May 03 2019 01: +0,1556841600
0.063,235,May 04 2019 01: +0,1556928000
0.062,125,May 05 2019 01: +0,1557014400
0.063,130,May 06 2019 01: +0,1557100800
0.064,89,May 07 2019 01: +0,1557187200
0.058,98,May 08 2019 01: +0,1557273600
0.062,75,May 09 2019 01: +0,1557360000
0.062,101,May 10 2019 01: +0,1557446400
0.062,115,May 11 2019 01: +0,1557532800
0.062,86,May 12 2019 01: +0,1557619200
0.062,83,May 13 2019 01: +0,1557705600
0.064,130,May 14 2019 01: +0,1557792000
0.066,99,May 15 2019 01: +0,1557878400
0.067,100,May 16 2019 01: +0,1557964800
0.066,114,May 17 2019 01: +0,1558051200
0.064,138,May 18 2019 01: +0,1558137600
0.065,121,May 19 2019 01: +0,1558224000
0.067,116,May 20 2019 01: +0,1558310400
0.066,136,May 21 2019 01: +0,1558396800
0.064,102,May 22 2019 01: +0,1558483200
0.064,118,May 23 2019 01: +0,1558569600
0.063,108,May 24 2019 01: +0,1558656000
0.064,113,May 25 2019 01: +0,1558742400
0.066,127,May 26 2019 01: +0,1558828800
0.064,71,May 27 2019 01: +0,1558915200
0.069,89,May 28 2019 01: +0,1559001600
0.067,74,May 29 2019 01: +0,1559088000
0.062,86,May 30 2019 01: +0,1559174400
0.066,110,May 31 2019 01: +0,1559260800
0.065,130,Jun 01 2019 01: +0,1559347200
0.062,123,Jun 02 2019 01: +0,1559433600
0.063,94,Jun 03 2019 01: +0,1559520000
0.063,102,Jun 04 2019 01: +0,1559606400
0.063,72,Jun 05 2019 01: +0,1559692800
0.064,117,Jun 06 2019 01: +0,1559779200
0.065,88,Jun 07 2019 01: +0,1559865600
0.063,77,Jun 08 2019 01: +0,1559952000
0.064,138,Jun 09 2019 01: +0,1560038400
0.064,109,Jun 10 2019 01: +0,1560124800
0.067,68,Jun 11 2019 01: +0,1560211200
0.062,88,Jun 12 2019 01: +0,1560297600
0.064,87,Jun 13 2019 01: +0,1560384000
0.066,78,Jun 14 2019 01: +0,1560470400
0.067,120,Jun 15 2019 01: +0,1560556800
0.065,90,Jun 16 2019 01: +0,1560643200
0.066,82,Jun 17 2019 01: +0,1560729600
0.065,170,Jun 18 2019 01: +0,1560816000
0.067,145,Jun 19 2019 01: +0,1560902400
0.065,77,Jun 20 2019 01: +0,1560988800
0.064,90,Jun 21 2019 01: +0,1561075200
0.068,119,Jun 22 2019 01: +0,1561161600
0.064,144,Jun 23 2019 01: +0,1561248000
0.066,121,Jun 24 2019 01: +0,1561334400
0.064,115,Jun 25 2019 01: +0,1561420800
0.064,160,Jun 26 2019 01: +0,1561507200
0.063,70,Jun 27 2019 01: +0,1561593600
0.062,77,Jun 28 2019 01: +0,1561680000
0.064,136,Jun 29 2019 01: +0,1561766400
0.061,95,Jun 30 2019 01: +0,1561852800
0.066,87,Jul 01 2019 01: +0,1561939200
0.061,77,Jul 02 2019 01: +0,1562025600
0.065,89,Jul 03 2019 01: +0,1562112000
0.065,105,Jul 04 2019 01: +0,1562198400
0.067,71,Jul 05 2019 01: +0,1562284800
0.064,133,Jul 06 2019 01: +0,1562371200
0.064,114,Jul 07 2019 01: +0,1562457600
0.062,109,Jul 08 2019 01: +0,1562544000
0.064,132,Jul 09 2019 01: +0,1562630400
0.063,166,Jul 10 2019 01: +0,1562716800
0.063,183,Jul 11 2019 01: +0,1562803200
0.061,379,Jul 12 2019 01: +0,1562889600
0.06,180,Jul 13 2019 01: +0,1562976000
0.062,149,Jul 14 2019 01: +0,1563062400
0.062,111,Jul 15 2019 01: +0,1563148800
0.061,126,Jul 16 2019 01: +0,1563235200
0.061,164,Jul 17 2019 01: +0,1563321600
0.058,406,Jul 18 2019 01: +0,1563408000
0.057,142,Jul 19 2019 01: +0,1563494400
0.056,247,Jul 20 2019 01: +0,1563580800
0.055,386,Jul 21 2019 01: +0,1563667200
0.057,234,Jul 22 2019 01: +0,1563753600
0.06,153,Jul 23 2019 01: +0,1563840000
0.063,142,Jul 24 2019 01: +0,1563926400
0.059,113,Jul 25 2019 01: +0,1564012800
0.06,124,Jul 26 2019 01: +0,1564099200
0.059,182,Jul 27 2019 01: +0,1564185600
0.06,118,Jul 28 2019 01: +0,1564272000
0.062,144,Jul 29 2019 01: +0,1564358400
0.06,100,Jul 30 2019 01: +0,1564444800
0.064,119,Jul 31 2019 01: +0,1564531200
0.063,143,Aug 01 2019 01: +0,1564617600
0.063,116,Aug 02 2019 01: +0,1564704000
0.06,151,Aug 03 2019 01: +0,1564790400
0.063,143,Aug 04 2019 01: +0,1564876800
0.063,92,Aug 05 2019 01: +0,1564963200
0.063,143,Aug 06 2019 01: +0,1565049600
0.061,257,Aug 07 2019 01: +0,1565136000
0.062,161,Aug 08 2019 01: +0,1565222400
0.062,134,Aug 09 2019 01: +0,1565308800
0.066,134,Aug 10 2019 01: +0,1565395200
0.066,231,Aug 11 2019 01: +0,1565481600
0.065,236,Aug 12 2019 01: +0,1565568000
0.067,129,Aug 13 2019 01: +0,1565654400
0.062,163,Aug 14 2019 01: +0,1565740800
0.06,153,Aug 15 2019 01: +0,1565827200
0.063,136,Aug 16 2019 01: +0,1565913600
0.061,140,Aug 17 2019 01: +0,1566000000
0.062,172,Aug 18 2019 01: +0,1566086400
0.06,256,Aug 19 2019 01: +0,1566172800
0.063,234,Aug 20 2019 01: +0,1566259200
0.065,106,Aug 21 2019 01: +0,1566345600
0.065,106,Aug 22 2019 01: +0,1566432000
0.065,134,Aug 23 2019 01: +0,1566518400
0.068,192,Aug 24 2019 01: +0,1566604800
0.067,163,Aug 25 2019 01: +0,1566691200
0.068,141,Aug 26 2019 01: +0,1566777600
0.072,137,Aug 27 2019 01: +0,1566864000
0.076,166,Aug 28 2019 01: +0,1566950400
0.075,71,Aug 29 2019 01: +0,1567036800
0.113,2291,Aug 30 2019 01: +0,1567123200
0.215,302,Aug 31 2019 01: +0,1567209600
0.156,198,Sep 01 2019 01: +0,1567296000
0.149,125,Sep 02 2019 01: +0,1567382400
0.13,53,Sep 03 2019 01: +0,1567468800
0.149,70,Sep 04 2019 01: +0,1567555200
0.164,82,Sep 05 2019 01: +0,1567641600
0.227,392,Sep 06 2019 01: +0,1567728000
0.23,230,Sep 07 2019 01: +0,1567814400
0.099,226,Sep 08 2019 01: +0,1567900800
0.074,188,Sep 09 2019 01: +0,1567987200
0.065,28,Sep 10 2019 01: +0,1568073600
0.063,139,Sep 11 2019 01: +0,1568160000
0.064,33,Sep 12 2019 01: +0,1568246400
0.068,67,Sep 13 2019 01: +0,1568332800
0.07,131,Sep 14 2019 01: +0,1568419200
0.093,77,Sep 15 2019 01: +0,1568505600
0.075,27,Sep 16 2019 01: +0,1568592000
0.074,103,Sep 17 2019 01: +0,1568678400
0.065,32,Sep 18 2019 01: +0,1568764800
0.068,33,Sep 19 2019 01: +0,1568851200
0.074,21,Sep 20 2019 01: +0,1568937600
0.076,19,Sep 21 2019 01: +0,1569024000
0.082,20,Sep 22 2019 01: +0,1569110400
0.072,31,Sep 23 2019 01: +0,1569196800
0.077,15,Sep 24 2019 01: +0,1569283200
0.071,41,Sep 25 2019 01: +0,1569369600
0.068,87,Sep 26 2019 01: +0,1569456000
0.075,89,Sep 27 2019 01: +0,1569542400
0.077,87,Sep 28 2019 01: +0,1569628800
0.084,192,Sep 29 2019 01: +0,1569715200
0.126,58,Sep 30 2019 01: +0,1569801600
0.119,43,Oct 01 2019 01: +0,1569888000
0.11,39,Oct 02 2019 01: +0,1569974400
0.108,33,Oct 03 2019 01: +0,1570060800
0.111,56,Oct 04 2019 01: +0,1570147200
0.118,34,Oct 05 2019 01: +0,1570233600
0.11,48,Oct 06 2019 01: +0,1570320000
0.116,31,Oct 07 2019 01: +0,1570406400
0.109,22,Oct 08 2019 01: +0,1570492800
0.109,21,Oct 09 2019 01: +0,1570579200
0.107,31,Oct 10 2019 01: +0,1570665600
0.108,27,Oct 11 2019 01: +0,1570752000
0.115,41,Oct 12 2019 01: +0,1570838400
0.113,33,Oct 13 2019 01: +0,1570924800
0.103,30,Oct 14 2019 01: +0,1571011200
0.116,88,Oct 15 2019 01: +0,1571097600
0.104,30,Oct 16 2019 01: +0,1571184000
0.104,42,Oct 17 2019 01: +0,1571270400
0.111,47,Oct 18 2019 01: +0,1571356800
0.094,56,Oct 19 2019 01: +0,1571443200
0.089,31,Oct 20 2019 01: +0,1571529600
0.091,31,Oct 21 2019 01: +0,1571616000
0.093,20,Oct 22 2019 01: +0,1571702400
0.087,28,Oct 23 2019 01: +0,1571788800
0.09,34,Oct 24 2019 01: +0,1571875200
0.086,29,Oct 25 2019 01: +0,1571961600
0.092,33,Oct 26 2019 01: +0,1572048000
0.083,43,Oct 27 2019 01: +0,1572134400
0.093,33,Oct 28 2019 01: +0,1572224400
0.085,24,Oct 29 2019 01: +0,1572310800
0.082,40,Oct 30 2019 01: +0,1572397200
