price,quantity,date,unix timestamp
0.317,86,Feb 07 2019 01: +0,1549501200
0.222,78,Feb 08 2019 01: +0,1549587600
0.242,59,Feb 09 2019 01: +0,1549674000
0.291,24,Feb 10 2019 01: +0,1549760400
0.278,23,Feb 11 2019 01: +0,1549846800
0.294,27,Feb 12 2019 01: +0,1549933200
0.249,25,Feb 13 2019 01: +0,1550019600
0.302,20,Feb 14 2019 01: +0,1550106000
0.329,11,Feb 15 2019 01: +0,1550192400
0.311,22,Feb 16 2019 01: +0,1550278800
0.315,13,Feb 17 2019 01: +0,1550365200
0.302,16,Feb 18 2019 01: +0,1550451600
0.302,18,Feb 19 2019 01: +0,1550538000
0.304,19,Feb 20 2019 01: +0,1550624400
0.314,17,Feb 21 2019 01: +0,1550710800
0.286,22,Feb 22 2019 01: +0,1550797200
0.305,21,Feb 23 2019 01: +0,1550883600
0.268,22,Feb 24 2019 01: +0,1550970000
0.269,15,Feb 25 2019 01: +0,1551056400
0.255,19,Feb 26 2019 01: +0,1551142800
0.216,12,Feb 27 2019 01: +0,1551229200
0.264,21,Feb 28 2019 01: +0,1551315600
0.246,24,Mar 01 2019 01: +0,1551402000
0.147,767,Mar 02 2019 01: +0,1551488400
0.103,809,Mar 03 2019 01: +0,1551574800
0.104,521,Mar 04 2019 01: +0,1551661200
0.102,355,Mar 05 2019 01: +0,1551747600
0.087,322,Mar 06 2019 01: +0,1551834000
0.092,207,Mar 07 2019 01: +0,1551920400
0.084,236,Mar 08 2019 01: +0,1552006800
0.087,217,Mar 09 2019 01: +0,1552093200
0.079,183,Mar 10 2019 01: +0,1552179600
0.077,178,Mar 11 2019 01: +0,1552266000
0.086,129,Mar 12 2019 01: +0,1552352400
0.098,110,Mar 13 2019 01: +0,1552438800
0.105,148,Mar 14 2019 01: +0,1552525200
0.101,113,Mar 15 2019 01: +0,1552611600
0.105,124,Mar 16 2019 01: +0,1552698000
0.098,145,Mar 17 2019 01: +0,1552784400
0.106,113,Mar 18 2019 01: +0,1552870800
0.111,87,Mar 19 2019 01: +0,1552957200
0.108,94,Mar 20 2019 01: +0,1553043600
0.111,84,Mar 21 2019 01: +0,1553130000
0.111,106,Mar 22 2019 01: +0,1553216400
0.111,79,Mar 23 2019 01: +0,1553302800
0.11,86,Mar 24 2019 01: +0,1553389200
0.12,83,Mar 25 2019 01: +0,1553475600
0.123,58,Mar 26 2019 01: +0,1553562000
0.118,65,Mar 27 2019 01: +0,1553648400
0.118,51,Mar 28 2019 01: +0,1553734800
0.11,99,Mar 29 2019 01: +0,1553821200
0.111,74,Mar 30 2019 01: +0,1553907600
0.117,61,Mar 31 2019 01: +0,1553994000
0.118,48,Apr 01 2019 01: +0,1554076800
0.125,63,Apr 02 2019 01: +0,1554163200
0.121,47,Apr 03 2019 01: +0,1554249600
0.119,72,Apr 04 2019 01: +0,1554336000
0.116,54,Apr 05 2019 01: +0,1554422400
