price,quantity,date,unix timestamp
1.071,137,Dec 03 2020 01: +0,1606957200
0.751,3996,Dec 04 2020 01: +0,1607043600
0.755,3204,Dec 05 2020 01: +0,1607130000
0.699,3237,Dec 06 2020 01: +0,1607216400
0.641,2341,Dec 07 2020 01: +0,1607302800
0.606,2567,Dec 08 2020 01: +0,1607389200
0.52,3678,Dec 09 2020 01: +0,1607475600
0.481,2043,Dec 10 2020 01: +0,1607562000
0.506,2560,Dec 11 2020 01: +0,1607648400
0.518,3573,Dec 12 2020 01: +0,1607734800
0.527,1877,Dec 13 2020 01: +0,1607821200
0.538,1579,Dec 14 2020 01: +0,1607907600
0.496,2009,Dec 15 2020 01: +0,1607994000
0.445,4001,Dec 16 2020 01: +0,1608080400
0.445,2482,Dec 17 2020 01: +0,1608166800
0.475,2061,Dec 18 2020 01: +0,1608253200
0.468,1671,Dec 19 2020 01: +0,1608339600
0.462,1517,Dec 20 2020 01: +0,1608426000
0.478,1365,Dec 21 2020 01: +0,1608512400
0.472,1959,Dec 22 2020 01: +0,1608598800
0.433,3775,Dec 23 2020 01: +0,1608685200
0.428,2418,Dec 24 2020 01: +0,1608771600
0.434,1791,Dec 25 2020 01: +0,1608858000
0.486,1906,Dec 26 2020 01: +0,1608944400
0.479,1337,Dec 27 2020 01: +0,1609030800
0.482,1610,Dec 28 2020 01: +0,1609117200
0.494,2002,Dec 29 2020 01: +0,1609203600
0.437,4068,Dec 30 2020 01: +0,1609290000
0.442,2499,Dec 31 2020 01: +0,1609376400
0.47,2275,Jan 01 2021 01: +0,1609462800
0.469,1926,Jan 02 2021 01: +0,1609549200
0.467,1892,Jan 03 2021 01: +0,1609635600
0.477,1736,Jan 04 2021 01: +0,1609722000
0.483,2238,Jan 05 2021 01: +0,1609808400
0.445,4727,Jan 06 2021 01: +0,1609894800
0.456,3552,Jan 07 2021 01: +0,1609981200
0.463,2483,Jan 08 2021 01: +0,1610067600
0.475,2624,Jan 09 2021 01: +0,1610154000
0.497,2412,Jan 10 2021 01: +0,1610240400
0.506,1887,Jan 11 2021 01: +0,1610326800
0.501,2614,Jan 12 2021 01: +0,1610413200
0.442,5119,Jan 13 2021 01: +0,1610499600
0.44,3070,Jan 14 2021 01: +0,1610586000
0.433,2436,Jan 15 2021 01: +0,1610672400
0.426,2302,Jan 16 2021 01: +0,1610758800
0.43,2143,Jan 17 2021 01: +0,1610845200
0.424,1877,Jan 18 2021 01: +0,1610931600
0.427,2483,Jan 19 2021 01: +0,1611018000
0.394,5085,Jan 20 2021 01: +0,1611104400
0.381,3143,Jan 21 2021 01: +0,1611190800
0.384,2816,Jan 22 2021 01: +0,1611277200
0.383,2778,Jan 23 2021 01: +0,1611363600
0.391,2669,Jan 24 2021 01: +0,1611450000
0.388,2409,Jan 25 2021 01: +0,1611536400
0.384,2992,Jan 26 2021 01: +0,1611622800
0.35,5514,Jan 27 2021 01: +0,1611709200
0.3,8617,Jan 28 2021 01: +0,1611795600
0.289,3553,Jan 29 2021 01: +0,1611882000
0.294,3011,Jan 30 2021 01: +0,1611968400
0.295,2413,Jan 31 2021 01: +0,1612054800
0.304,1995,Feb 01 2021 01: +0,1612141200
