price,quantity,date,unix timestamp
0.951,177,Feb 07 2019 01: +0,1549501200
0.864,102,Feb 08 2019 01: +0,1549587600
0.88,86,Feb 09 2019 01: +0,1549674000
0.886,69,Feb 10 2019 01: +0,1549760400
0.879,60,Feb 11 2019 01: +0,1549846800
0.876,37,Feb 12 2019 01: +0,1549933200
0.9,45,Feb 13 2019 01: +0,1550019600
0.886,25,Feb 14 2019 01: +0,1550106000
0.884,35,Feb 15 2019 01: +0,1550192400
0.861,38,Feb 16 2019 01: +0,1550278800
0.905,38,Feb 17 2019 01: +0,1550365200
0.882,50,Feb 18 2019 01: +0,1550451600
0.844,28,Feb 19 2019 01: +0,1550538000
0.88,49,Feb 20 2019 01: +0,1550624400
0.921,49,Feb 21 2019 01: +0,1550710800
0.811,34,Feb 22 2019 01: +0,1550797200
0.896,41,Feb 23 2019 01: +0,1550883600
0.924,73,Feb 24 2019 01: +0,1550970000
0.893,65,Feb 25 2019 01: +0,1551056400
0.904,74,Feb 26 2019 01: +0,1551142800
0.861,35,Feb 27 2019 01: +0,1551229200
0.896,33,Feb 28 2019 01: +0,1551315600
0.863,44,Mar 01 2019 01: +0,1551402000
0.489,1064,Mar 02 2019 01: +0,1551488400
0.233,1437,Mar 03 2019 01: +0,1551574800
0.233,1709,Mar 04 2019 01: +0,1551661200
0.232,779,Mar 05 2019 01: +0,1551747600
0.23,516,Mar 06 2019 01: +0,1551834000
0.227,393,Mar 07 2019 01: +0,1551920400
0.229,407,Mar 08 2019 01: +0,1552006800
0.225,573,Mar 09 2019 01: +0,1552093200
0.219,424,Mar 10 2019 01: +0,1552179600
0.216,383,Mar 11 2019 01: +0,1552266000
0.227,706,Mar 12 2019 01: +0,1552352400
0.236,445,Mar 13 2019 01: +0,1552438800
0.236,515,Mar 14 2019 01: +0,1552525200
0.236,562,Mar 15 2019 01: +0,1552611600
0.234,725,Mar 16 2019 01: +0,1552698000
0.235,580,Mar 17 2019 01: +0,1552784400
0.237,471,Mar 18 2019 01: +0,1552870800
0.246,575,Mar 19 2019 01: +0,1552957200
0.254,365,Mar 20 2019 01: +0,1553043600
0.251,399,Mar 21 2019 01: +0,1553130000
0.248,409,Mar 22 2019 01: +0,1553216400
0.252,399,Mar 23 2019 01: +0,1553302800
0.247,352,Mar 24 2019 01: +0,1553389200
0.247,304,Mar 25 2019 01: +0,1553475600
0.248,293,Mar 26 2019 01: +0,1553562000
0.249,339,Mar 27 2019 01: +0,1553648400
0.247,295,Mar 28 2019 01: +0,1553734800
0.242,419,Mar 29 2019 01: +0,1553821200
0.247,367,Mar 30 2019 01: +0,1553907600
0.249,407,Mar 31 2019 01: +0,1553994000
0.247,300,Apr 01 2019 01: +0,1554076800
0.249,303,Apr 02 2019 01: +0,1554163200
0.245,295,Apr 03 2019 01: +0,1554249600
0.245,391,Apr 04 2019 01: +0,1554336000
0.244,360,Apr 05 2019 01: +0,1554422400
0.246,351,Apr 06 2019 01: +0,1554508800
0.245,300,Apr 07 2019 01: +0,1554595200
0.245,287,Apr 08 2019 01: +0,1554681600
0.248,363,Apr 09 2019 01: +0,1554768000
0.246,257,Apr 10 2019 01: +0,1554854400
0.245,249,Apr 11 2019 01: +0,1554940800
0.243,338,Apr 12 2019 01: +0,1555027200
0.242,523,Apr 13 2019 01: +0,1555113600
0.242,454,Apr 14 2019 01: +0,1555200000
0.234,560,Apr 15 2019 01: +0,1555286400
0.238,449,Apr 16 2019 01: +0,1555372800
0.236,440,Apr 17 2019 01: +0,1555459200
0.239,435,Apr 18 2019 01: +0,1555545600
0.242,446,Apr 19 2019 01: +0,1555632000
0.243,558,Apr 20 2019 01: +0,1555718400
0.25,638,Apr 21 2019 01: +0,1555804800
0.251,445,Apr 22 2019 01: +0,1555891200
0.257,456,Apr 23 2019 01: +0,1555977600
0.269,280,Apr 24 2019 01: +0,1556064000
0.268,268,Apr 25 2019 01: +0,1556150400
0.268,211,Apr 26 2019 01: +0,1556236800
0.262,485,Apr 27 2019 01: +0,1556323200
0.271,290,Apr 28 2019 01: +0,1556409600
0.273,263,Apr 29 2019 01: +0,1556496000
0.275,296,Apr 30 2019 01: +0,1556582400
0.274,266,May 01 2019 01: +0,1556668800
0.277,268,May 02 2019 01: +0,1556755200
0.27,254,May 03 2019 01: +0,1556841600
0.275,396,May 04 2019 01: +0,1556928000
0.277,269,May 05 2019 01: +0,1557014400
0.278,206,May 06 2019 01: +0,1557100800
0.276,216,May 07 2019 01: +0,1557187200
0.275,185,May 08 2019 01: +0,1557273600
0.28,204,May 09 2019 01: +0,1557360000
0.284,209,May 10 2019 01: +0,1557446400
0.288,239,May 11 2019 01: +0,1557532800
0.293,234,May 12 2019 01: +0,1557619200
0.289,242,May 13 2019 01: +0,1557705600
0.294,221,May 14 2019 01: +0,1557792000
0.291,189,May 15 2019 01: +0,1557878400
0.294,260,May 16 2019 01: +0,1557964800
0.297,274,May 17 2019 01: +0,1558051200
0.305,260,May 18 2019 01: +0,1558137600
0.307,302,May 19 2019 01: +0,1558224000
0.309,182,May 20 2019 01: +0,1558310400
0.309,212,May 21 2019 01: +0,1558396800
0.309,262,May 22 2019 01: +0,1558483200
0.377,7238,May 23 2019 01: +0,1558569600
0.429,1259,May 24 2019 01: +0,1558656000
0.382,554,May 25 2019 01: +0,1558742400
0.369,510,May 26 2019 01: +0,1558828800
0.364,327,May 27 2019 01: +0,1558915200
0.367,207,May 28 2019 01: +0,1559001600
0.376,208,May 29 2019 01: +0,1559088000
0.389,311,May 30 2019 01: +0,1559174400
0.369,313,May 31 2019 01: +0,1559260800
0.379,280,Jun 01 2019 01: +0,1559347200
0.391,289,Jun 02 2019 01: +0,1559433600
0.382,202,Jun 03 2019 01: +0,1559520000
0.38,174,Jun 04 2019 01: +0,1559606400
0.381,208,Jun 05 2019 01: +0,1559692800
0.397,232,Jun 06 2019 01: +0,1559779200
