price,quantity,date,unix timestamp
0.157,22,May 05 2023 00: +0,1683241200
0.064,3605,May 05 2023 01: +0,1683244800
0.03,2697,May 05 2023 02: +0,1683248400
0.03,3132,May 05 2023 03: +0,1683252000
0.03,2197,May 05 2023 04: +0,1683255600
0.03,2496,May 05 2023 05: +0,1683259200
0.03,2130,May 05 2023 06: +0,1683262800
0.03,1773,May 05 2023 07: +0,1683266400
0.03,2013,May 05 2023 08: +0,1683270000
0.03,1998,May 05 2023 09: +0,1683273600
0.03,2048,May 05 2023 10: +0,1683277200
0.03,2034,May 05 2023 11: +0,1683280800
0.03,2120,May 05 2023 12: +0,1683284400
0.03,1462,May 05 2023 13: +0,1683288000
0.033,1296,May 05 2023 14: +0,1683291600
0.033,1035,May 05 2023 15: +0,1683295200
0.033,1437,May 05 2023 16: +0,1683298800
0.03,1605,May 05 2023 17: +0,1683302400
0.03,1790,May 05 2023 18: +0,1683306000
0.03,1773,May 05 2023 19: +0,1683309600
0.03,1273,May 05 2023 20: +0,1683313200
0.031,1535,May 05 2023 21: +0,1683316800
0.031,1471,May 05 2023 22: +0,1683320400
0.03,972,May 05 2023 23: +0,1683324000
0.03,779,May 06 2023 00: +0,1683327600
0.03,606,May 06 2023 01: +0,1683331200
0.03,467,May 06 2023 02: +0,1683334800
0.03,459,May 06 2023 03: +0,1683338400
0.03,526,May 06 2023 04: +0,1683342000
0.03,561,May 06 2023 05: +0,1683345600
0.03,585,May 06 2023 06: +0,1683349200
0.03,681,May 06 2023 07: +0,1683352800
0.03,471,May 06 2023 08: +0,1683356400
0.053,1582,May 06 2023 09: +0,1683360000
0.044,784,May 06 2023 10: +0,1683363600
0.035,595,May 06 2023 11: +0,1683367200
0.033,838,May 06 2023 12: +0,1683370800
0.033,518,May 06 2023 13: +0,1683374400
0.033,604,May 06 2023 14: +0,1683378000
0.032,474,May 06 2023 15: +0,1683381600
0.031,772,May 06 2023 16: +0,1683385200
0.032,829,May 06 2023 17: +0,1683388800
0.031,821,May 06 2023 18: +0,1683392400
0.031,775,May 06 2023 19: +0,1683396000
0.033,813,May 06 2023 20: +0,1683399600
0.032,584,May 06 2023 21: +0,1683403200
0.03,615,May 06 2023 22: +0,1683406800
0.03,586,May 06 2023 23: +0,1683410400
0.03,388,May 07 2023 00: +0,1683414000
0.03,302,May 07 2023 01: +0,1683417600
0.03,258,May 07 2023 02: +0,1683421200
0.03,275,May 07 2023 03: +0,1683424800
0.03,217,May 07 2023 04: +0,1683428400
0.03,235,May 07 2023 05: +0,1683432000
0.03,281,May 07 2023 06: +0,1683435600
0.03,343,May 07 2023 07: +0,1683439200
0.03,299,May 07 2023 08: +0,1683442800
0.03,407,May 07 2023 09: +0,1683446400
0.03,583,May 07 2023 10: +0,1683450000
0.03,524,May 07 2023 11: +0,1683453600
0.03,415,May 07 2023 12: +0,1683457200
0.03,591,May 07 2023 13: +0,1683460800
0.031,465,May 07 2023 14: +0,1683464400
0.032,575,May 07 2023 15: +0,1683468000
0.044,619,May 07 2023 16: +0,1683471600
0.044,660,May 07 2023 17: +0,1683475200
0.044,602,May 07 2023 18: +0,1683478800
0.044,661,May 07 2023 19: +0,1683482400
0.037,716,May 07 2023 20: +0,1683486000
0.037,398,May 07 2023 21: +0,1683489600
0.031,441,May 07 2023 22: +0,1683493200
0.031,260,May 07 2023 23: +0,1683496800
0.033,226,May 08 2023 00: +0,1683500400
0.032,255,May 08 2023 01: +0,1683504000
0.032,217,May 08 2023 02: +0,1683507600
0.031,148,May 08 2023 03: +0,1683511200
0.04,255,May 08 2023 04: +0,1683514800
0.03,163,May 08 2023 05: +0,1683518400
0.03,143,May 08 2023 06: +0,1683522000
0.03,203,May 08 2023 07: +0,1683525600
0.03,285,May 08 2023 08: +0,1683529200
0.03,232,May 08 2023 09: +0,1683532800
0.03,270,May 08 2023 10: +0,1683536400
0.03,416,May 08 2023 11: +0,1683540000
0.032,410,May 08 2023 12: +0,1683543600
0.03,350,May 08 2023 13: +0,1683547200
0.03,373,May 08 2023 14: +0,1683550800
0.03,438,May 08 2023 15: +0,1683554400
0.03,535,May 08 2023 16: +0,1683558000
0.03,369,May 08 2023 17: +0,1683561600
0.03,574,May 08 2023 18: +0,1683565200
0.03,476,May 08 2023 19: +0,1683568800
0.03,443,May 08 2023 20: +0,1683572400
0.03,501,May 08 2023 21: +0,1683576000
0.03,319,May 08 2023 22: +0,1683579600
0.03,436,May 08 2023 23: +0,1683583200
0.034,342,May 09 2023 00: +0,1683586800
0.048,221,May 09 2023 01: +0,1683590400
0.048,151,May 09 2023 02: +0,1683594000
0.048,170,May 09 2023 03: +0,1683597600
0.041,105,May 09 2023 04: +0,1683601200
0.031,90,May 09 2023 05: +0,1683604800
0.034,162,May 09 2023 06: +0,1683608400
0.031,136,May 09 2023 07: +0,1683612000
0.031,144,May 09 2023 08: +0,1683615600
0.031,213,May 09 2023 09: +0,1683619200
0.031,189,May 09 2023 10: +0,1683622800
0.031,228,May 09 2023 11: +0,1683626400
0.032,317,May 09 2023 12: +0,1683630000
0.032,229,May 09 2023 13: +0,1683633600
0.031,332,May 09 2023 14: +0,1683637200
0.031,333,May 09 2023 15: +0,1683640800
0.03,354,May 09 2023 16: +0,1683644400
0.03,358,May 09 2023 17: +0,1683648000
0.03,395,May 09 2023 18: +0,1683651600
0.03,438,May 09 2023 19: +0,1683655200
0.053,748,May 09 2023 20: +0,1683658800
0.035,377,May 09 2023 21: +0,1683662400
0.03,223,May 09 2023 22: +0,1683666000
0.03,264,May 09 2023 23: +0,1683669600
0.03,143,May 10 2023 00: +0,1683673200
0.03,150,May 10 2023 01: +0,1683676800
0.031,128,May 10 2023 02: +0,1683680400
0.032,120,May 10 2023 03: +0,1683684000
0.03,69,May 10 2023 04: +0,1683687600
0.03,78,May 10 2023 05: +0,1683691200
0.03,109,May 10 2023 06: +0,1683694800
0.03,98,May 10 2023 07: +0,1683698400
0.03,172,May 10 2023 08: +0,1683702000
0.03,167,May 10 2023 09: +0,1683705600
0.03,184,May 10 2023 10: +0,1683709200
0.03,144,May 10 2023 11: +0,1683712800
0.03,213,May 10 2023 12: +0,1683716400
0.03,273,May 10 2023 13: +0,1683720000
0.03,250,May 10 2023 14: +0,1683723600
0.03,226,May 10 2023 15: +0,1683727200
0.03,332,May 10 2023 16: +0,1683730800
0.03,342,May 10 2023 17: +0,1683734400
0.031,341,May 10 2023 18: +0,1683738000
0.03,319,May 10 2023 19: +0,1683741600
0.03,348,May 10 2023 20: +0,1683745200
0.03,284,May 10 2023 21: +0,1683748800
0.03,204,May 10 2023 22: +0,1683752400
0.03,183,May 10 2023 23: +0,1683756000
0.03,164,May 11 2023 00: +0,1683759600
0.03,145,May 11 2023 01: +0,1683763200
0.03,131,May 11 2023 02: +0,1683766800
0.03,71,May 11 2023 03: +0,1683770400
0.03,86,May 11 2023 04: +0,1683774000
0.03,124,May 11 2023 05: +0,1683777600
0.03,72,May 11 2023 06: +0,1683781200
0.03,92,May 11 2023 07: +0,1683784800
0.03,85,May 11 2023 08: +0,1683788400
0.031,139,May 11 2023 09: +0,1683792000
0.031,143,May 11 2023 10: +0,1683795600
0.031,192,May 11 2023 11: +0,1683799200
0.033,198,May 11 2023 12: +0,1683802800
0.03,200,May 11 2023 13: +0,1683806400
0.03,197,May 11 2023 14: +0,1683810000
0.031,225,May 11 2023 15: +0,1683813600
0.031,225,May 11 2023 16: +0,1683817200
0.031,236,May 11 2023 17: +0,1683820800
0.03,245,May 11 2023 18: +0,1683824400
0.03,322,May 11 2023 19: +0,1683828000
0.031,450,May 11 2023 20: +0,1683831600
0.03,297,May 11 2023 21: +0,1683835200
0.03,306,May 11 2023 22: +0,1683838800
