price,quantity,date,unix timestamp
0.351,193,Jul 07 2017 01: +0,1499385600
0.321,641,Jul 08 2017 01: +0,1499472000
0.298,382,Jul 09 2017 01: +0,1499558400
0.305,268,Jul 10 2017 01: +0,1499644800
0.309,271,Jul 11 2017 01: +0,1499731200
0.296,245,Jul 12 2017 01: +0,1499817600
0.301,190,Jul 13 2017 01: +0,1499904000
0.326,190,Jul 14 2017 01: +0,1499990400
0.316,224,Jul 15 2017 01: +0,1500076800
0.318,243,Jul 16 2017 01: +0,1500163200
0.304,221,Jul 17 2017 01: +0,1500249600
0.314,221,Jul 18 2017 01: +0,1500336000
0.294,257,Jul 19 2017 01: +0,1500422400
0.309,272,Jul 20 2017 01: +0,1500508800
0.315,188,Jul 21 2017 01: +0,1500595200
0.28,455,Jul 22 2017 01: +0,1500681600
0.124,7824,Jul 23 2017 01: +0,1500768000
0.094,4029,Jul 24 2017 01: +0,1500854400
0.124,1317,Jul 25 2017 01: +0,1500940800
0.173,687,Jul 26 2017 01: +0,1501027200
0.226,1031,Jul 27 2017 01: +0,1501113600
0.292,1190,Jul 28 2017 01: +0,1501200000
0.266,581,Jul 29 2017 01: +0,1501286400
0.246,466,Jul 30 2017 01: +0,1501372800
0.197,669,Jul 31 2017 01: +0,1501459200
0.175,527,Aug 01 2017 01: +0,1501545600
0.166,579,Aug 02 2017 01: +0,1501632000
0.178,590,Aug 03 2017 01: +0,1501718400
0.208,557,Aug 04 2017 01: +0,1501804800
0.195,494,Aug 05 2017 01: +0,1501891200
0.191,419,Aug 06 2017 01: +0,1501977600
0.188,359,Aug 07 2017 01: +0,1502064000
0.173,388,Aug 08 2017 01: +0,1502150400
0.185,382,Aug 09 2017 01: +0,1502236800
0.195,283,Aug 10 2017 01: +0,1502323200
0.187,279,Aug 11 2017 01: +0,1502409600
0.176,280,Aug 12 2017 01: +0,1502496000
0.156,329,Aug 13 2017 01: +0,1502582400
0.148,336,Aug 14 2017 01: +0,1502668800
0.163,315,Aug 15 2017 01: +0,1502755200
0.167,348,Aug 16 2017 01: +0,1502841600
0.168,333,Aug 17 2017 01: +0,1502928000
0.18,300,Aug 18 2017 01: +0,1503014400
0.181,241,Aug 19 2017 01: +0,1503100800
0.178,289,Aug 20 2017 01: +0,1503187200
0.177,313,Aug 21 2017 01: +0,1503273600
0.179,226,Aug 22 2017 01: +0,1503360000
0.224,1254,Aug 23 2017 01: +0,1503446400
0.202,235,Aug 24 2017 01: +0,1503532800
0.189,208,Aug 25 2017 01: +0,1503619200
0.196,212,Aug 26 2017 01: +0,1503705600
0.192,190,Aug 27 2017 01: +0,1503792000
0.193,251,Aug 28 2017 01: +0,1503878400
0.197,173,Aug 29 2017 01: +0,1503964800
0.183,215,Aug 30 2017 01: +0,1504051200
0.191,153,Aug 31 2017 01: +0,1504137600
0.194,193,Sep 01 2017 01: +0,1504224000
0.183,235,Sep 02 2017 01: +0,1504310400
0.177,228,Sep 03 2017 01: +0,1504396800
0.184,194,Sep 04 2017 01: +0,1504483200
0.185,170,Sep 05 2017 01: +0,1504569600
0.192,149,Sep 06 2017 01: +0,1504656000
0.18,165,Sep 07 2017 01: +0,1504742400
0.177,194,Sep 08 2017 01: +0,1504828800
