price,quantity,date,unix timestamp
20.001,1,May 05 2023 02: +0,1683248400
12.001,2,May 05 2023 05: +0,1683259200
12.397,2,May 05 2023 06: +0,1683262800
9.913,2,May 05 2023 09: +0,1683273600
11.961,1,May 05 2023 10: +0,1683277200
9.239,2,May 05 2023 13: +0,1683288000
8.854,1,May 05 2023 14: +0,1683291600
7.173,1,May 05 2023 18: +0,1683306000
6.137,1,May 05 2023 19: +0,1683309600
5.731,1,May 05 2023 20: +0,1683313200
6.681,4,May 05 2023 22: +0,1683320400
8.273,5,May 05 2023 23: +0,1683324000
8.913,4,May 06 2023 02: +0,1683334800
8.256,3,May 06 2023 05: +0,1683345600
6.164,1,May 06 2023 08: +0,1683356400
6.164,1,May 06 2023 10: +0,1683363600
6.176,1,May 06 2023 17: +0,1683388800
5.777,1,May 06 2023 18: +0,1683392400
6.312,1,May 06 2023 19: +0,1683396000
8.589,2,May 06 2023 20: +0,1683399600
6.153,1,May 07 2023 01: +0,1683417600
6.284,1,May 07 2023 03: +0,1683424800
6.336,1,May 07 2023 07: +0,1683439200
6.304,1,May 07 2023 09: +0,1683446400
5.272,1,May 07 2023 12: +0,1683457200
8.016,2,May 07 2023 19: +0,1683482400
5.605,1,May 07 2023 22: +0,1683493200
5.547,1,May 08 2023 06: +0,1683522000
5.52,1,May 08 2023 09: +0,1683532800
5.192,1,May 08 2023 12: +0,1683543600
3.359,1,May 08 2023 13: +0,1683547200
5.782,1,May 08 2023 14: +0,1683550800
7.185,1,May 08 2023 18: +0,1683565200
3.472,1,May 09 2023 06: +0,1683608400
6.135,2,May 09 2023 18: +0,1683651600
6.173,1,May 09 2023 19: +0,1683655200
6.079,1,May 10 2023 09: +0,1683705600
4.462,1,May 10 2023 20: +0,1683745200
4.374,1,May 10 2023 23: +0,1683756000
4.374,1,May 11 2023 07: +0,1683784800
4.377,1,May 11 2023 13: +0,1683806400
5.062,2,May 11 2023 17: +0,1683820800
4.403,1,May 11 2023 20: +0,1683831600
5.018,1,May 11 2023 23: +0,1683842400
4.014,1,May 12 2023 10: +0,1683882000
4.826,1,May 12 2023 12: +0,1683889200
4.64,1,May 12 2023 21: +0,1683921600
5.337,1,May 13 2023 05: +0,1683950400
4.844,1,May 14 2023 00: +0,1684018800
4.826,1,May 14 2023 13: +0,1684065600
4.866,1,May 14 2023 14: +0,1684069200
4.867,2,May 14 2023 15: +0,1684072800
6.967,1,May 15 2023 10: +0,1684141200
7.835,1,May 15 2023 17: +0,1684166400
8.028,2,May 16 2023 02: +0,1684198800
5.067,1,May 17 2023 02: +0,1684285200
9.129,1,May 17 2023 03: +0,1684288800
6.49,1,May 18 2023 20: +0,1684436400
5.103,1,May 18 2023 22: +0,1684443600
4.647,1,May 19 2023 17: +0,1684512000
4.31,1,May 19 2023 21: +0,1684526400
4.595,2,May 20 2023 08: +0,1684566000
4.337,2,May 20 2023 17: +0,1684598400
4.326,1,May 20 2023 18: +0,1684602000
4.294,2,May 20 2023 19: +0,1684605600
4.356,1,May 21 2023 02: +0,1684630800
3.48,1,May 22 2023 21: +0,1684785600
3.647,1,May 22 2023 22: +0,1684789200
3.88,1,May 23 2023 12: +0,1684839600
3.996,1,May 24 2023 06: +0,1684904400
5.027,1,May 24 2023 19: +0,1684951200
2.917,1,May 25 2023 10: +0,1685005200
3.941,1,May 26 2023 04: +0,1685070000
