price,quantity,date,unix timestamp
0.228,147,Dec 20 2017 01: +0,1513731600
0.182,111,Dec 21 2017 01: +0,1513818000
0.194,70,Dec 22 2017 01: +0,1513904400
0.225,44,Dec 23 2017 01: +0,1513990800
0.209,44,Dec 24 2017 01: +0,1514077200
0.209,38,Dec 25 2017 01: +0,1514163600
0.206,45,Dec 26 2017 01: +0,1514250000
0.197,58,Dec 27 2017 01: +0,1514336400
0.205,36,Dec 28 2017 01: +0,1514422800
0.184,53,Dec 29 2017 01: +0,1514509200
0.183,61,Dec 30 2017 01: +0,1514595600
0.208,37,Dec 31 2017 01: +0,1514682000
0.184,41,Jan 01 2018 01: +0,1514768400
0.19,45,Jan 02 2018 01: +0,1514854800
0.211,45,Jan 03 2018 01: +0,1514941200
0.191,40,Jan 04 2018 01: +0,1515027600
0.181,50,Jan 05 2018 01: +0,1515114000
0.201,59,Jan 06 2018 01: +0,1515200400
0.2,58,Jan 07 2018 01: +0,1515286800
0.196,52,Jan 08 2018 01: +0,1515373200
0.192,48,Jan 09 2018 01: +0,1515459600
0.203,50,Jan 10 2018 01: +0,1515546000
0.214,49,Jan 11 2018 01: +0,1515632400
0.218,59,Jan 12 2018 01: +0,1515718800
0.226,63,Jan 13 2018 01: +0,1515805200
0.209,73,Jan 14 2018 01: +0,1515891600
0.216,85,Jan 15 2018 01: +0,1515978000
0.25,88,Jan 16 2018 01: +0,1516064400
0.26,47,Jan 17 2018 01: +0,1516150800
0.261,26,Jan 18 2018 01: +0,1516237200
0.247,48,Jan 19 2018 01: +0,1516323600
0.25,58,Jan 20 2018 01: +0,1516410000
0.262,39,Jan 21 2018 01: +0,1516496400
0.252,37,Jan 22 2018 01: +0,1516582800
0.213,60,Jan 23 2018 01: +0,1516669200
0.21,42,Jan 24 2018 01: +0,1516755600
0.207,39,Jan 25 2018 01: +0,1516842000
0.126,903,Jan 26 2018 01: +0,1516928400
0.06,1255,Jan 27 2018 01: +0,1517014800
0.062,1258,Jan 28 2018 01: +0,1517101200
0.062,922,Jan 29 2018 01: +0,1517187600
0.062,480,Jan 30 2018 01: +0,1517274000
0.064,380,Jan 31 2018 01: +0,1517360400
0.055,389,Feb 01 2018 01: +0,1517446800
0.056,308,Feb 02 2018 01: +0,1517533200
0.062,406,Feb 03 2018 01: +0,1517619600
0.057,386,Feb 04 2018 01: +0,1517706000
0.054,385,Feb 05 2018 01: +0,1517792400
0.051,426,Feb 06 2018 01: +0,1517878800
0.054,309,Feb 07 2018 01: +0,1517965200
0.054,272,Feb 08 2018 01: +0,1518051600
0.056,234,Feb 09 2018 01: +0,1518138000
0.062,239,Feb 10 2018 01: +0,1518224400
0.061,253,Feb 11 2018 01: +0,1518310800
0.061,214,Feb 12 2018 01: +0,1518397200
0.062,199,Feb 13 2018 01: +0,1518483600
0.06,193,Feb 14 2018 01: +0,1518570000
0.061,200,Feb 15 2018 01: +0,1518656400
0.059,283,Feb 16 2018 01: +0,1518742800
0.062,316,Feb 17 2018 01: +0,1518829200
0.064,308,Feb 18 2018 01: +0,1518915600
0.069,246,Feb 19 2018 01: +0,1519002000
0.07,185,Feb 20 2018 01: +0,1519088400
0.071,236,Feb 21 2018 01: +0,1519174800
0.072,202,Feb 22 2018 01: +0,1519261200
0.077,227,Feb 23 2018 01: +0,1519347600
0.075,255,Feb 24 2018 01: +0,1519434000
0.079,228,Feb 25 2018 01: +0,1519520400
0.076,184,Feb 26 2018 01: +0,1519606800
0.08,148,Feb 27 2018 01: +0,1519693200
0.081,180,Feb 28 2018 01: +0,1519779600
0.084,165,Mar 01 2018 01: +0,1519866000
0.08,191,Mar 02 2018 01: +0,1519952400
0.081,207,Mar 03 2018 01: +0,1520038800
0.083,184,Mar 04 2018 01: +0,1520125200
0.08,194,Mar 05 2018 01: +0,1520211600
0.081,184,Mar 06 2018 01: +0,1520298000
0.084,174,Mar 07 2018 01: +0,1520384400
0.087,140,Mar 08 2018 01: +0,1520470800
0.085,150,Mar 09 2018 01: +0,1520557200
0.086,220,Mar 10 2018 01: +0,1520643600
0.084,143,Mar 11 2018 01: +0,1520730000
0.085,143,Mar 12 2018 01: +0,1520816400
0.09,129,Mar 13 2018 01: +0,1520902800
0.091,97,Mar 14 2018 01: +0,1520989200
0.086,104,Mar 15 2018 01: +0,1521075600
0.087,101,Mar 16 2018 01: +0,1521162000
0.087,155,Mar 17 2018 01: +0,1521248400
0.09,149,Mar 18 2018 01: +0,1521334800
0.091,124,Mar 19 2018 01: +0,1521421200
0.09,101,Mar 20 2018 01: +0,1521507600
0.089,101,Mar 21 2018 01: +0,1521594000
0.086,108,Mar 22 2018 01: +0,1521680400
0.093,121,Mar 23 2018 01: +0,1521766800
0.091,133,Mar 24 2018 01: +0,1521853200
0.093,99,Mar 25 2018 01: +0,1521939600
