price,quantity,date,unix timestamp
8.703,4,Feb 07 2019 01: +0,1549501200
7.311,2,Feb 08 2019 01: +0,1549587600
4.567,1,Feb 10 2019 01: +0,1549760400
5.387,2,Feb 11 2019 01: +0,1549846800
4.198,1,Feb 12 2019 01: +0,1549933200
8.5,1,Feb 13 2019 01: +0,1550019600
12.686,6,Feb 14 2019 01: +0,1550106000
12.187,1,Feb 16 2019 01: +0,1550278800
11.993,3,Feb 20 2019 01: +0,1550624400
15.384,5,Feb 22 2019 01: +0,1550797200
41.224,1,Feb 23 2019 01: +0,1550883600
12.23,1,Feb 25 2019 01: +0,1551056400
18.255,2,Feb 26 2019 01: +0,1551142800
4.439,25,Mar 02 2019 01: +0,1551488400
4.81,34,Mar 03 2019 01: +0,1551574800
3.214,18,Mar 04 2019 01: +0,1551661200
3.395,18,Mar 05 2019 01: +0,1551747600
3.537,10,Mar 06 2019 01: +0,1551834000
2.982,9,Mar 07 2019 01: +0,1551920400
3.109,16,Mar 08 2019 01: +0,1552006800
3.365,8,Mar 09 2019 01: +0,1552093200
2.857,8,Mar 10 2019 01: +0,1552179600
2.914,4,Mar 11 2019 01: +0,1552266000
3.22,7,Mar 12 2019 01: +0,1552352400
3.624,4,Mar 13 2019 01: +0,1552438800
3.277,6,Mar 14 2019 01: +0,1552525200
3.258,4,Mar 15 2019 01: +0,1552611600
2.741,6,Mar 16 2019 01: +0,1552698000
2.679,4,Mar 17 2019 01: +0,1552784400
2.988,4,Mar 18 2019 01: +0,1552870800
2.657,4,Mar 19 2019 01: +0,1552957200
3.296,4,Mar 20 2019 01: +0,1553043600
3.81,4,Mar 21 2019 01: +0,1553130000
3.834,2,Mar 22 2019 01: +0,1553216400
5.397,2,Mar 23 2019 01: +0,1553302800
4.16,2,Mar 25 2019 01: +0,1553475600
4.328,2,Mar 26 2019 01: +0,1553562000
4.3,2,Mar 27 2019 01: +0,1553648400
4.253,5,Mar 28 2019 01: +0,1553734800
3.233,2,Mar 29 2019 01: +0,1553821200
3.724,7,Mar 30 2019 01: +0,1553907600
3.702,2,Mar 31 2019 01: +0,1553994000
3.321,2,Apr 01 2019 01: +0,1554076800
3.898,3,Apr 02 2019 01: +0,1554163200
3.722,4,Apr 03 2019 01: +0,1554249600
4.555,4,Apr 04 2019 01: +0,1554336000
3.997,9,Apr 06 2019 01: +0,1554508800
4.972,1,Apr 07 2019 01: +0,1554595200
4.303,1,Apr 08 2019 01: +0,1554681600
4.305,1,Apr 09 2019 01: +0,1554768000
4.466,4,Apr 10 2019 01: +0,1554854400
4.231,1,Apr 11 2019 01: +0,1554940800
4.301,1,Apr 14 2019 01: +0,1555200000
4.161,1,Apr 16 2019 01: +0,1555372800
4.471,2,Apr 19 2019 01: +0,1555632000
4.755,1,Apr 20 2019 01: +0,1555718400
4.574,2,Apr 21 2019 01: +0,1555804800
4.313,1,Apr 22 2019 01: +0,1555891200
4.234,1,Apr 23 2019 01: +0,1555977600
4.086,2,Apr 24 2019 01: +0,1556064000
3.83,1,Apr 25 2019 01: +0,1556150400
3.776,1,Apr 26 2019 01: +0,1556236800
3.781,1,Apr 30 2019 01: +0,1556582400
3.627,2,May 01 2019 01: +0,1556668800
4.123,1,May 02 2019 01: +0,1556755200
4.226,1,May 03 2019 01: +0,1556841600
4.299,3,May 04 2019 01: +0,1556928000
3.223,1,May 05 2019 01: +0,1557014400
4.216,2,May 06 2019 01: +0,1557100800
3.201,1,May 08 2019 01: +0,1557273600
3.723,1,May 09 2019 01: +0,1557360000
3.621,2,May 10 2019 01: +0,1557446400
3.243,1,May 12 2019 01: +0,1557619200
3.821,1,May 13 2019 01: +0,1557705600
2.794,1,May 14 2019 01: +0,1557792000
3.67,1,May 15 2019 01: +0,1557878400
4.02,1,May 18 2019 01: +0,1558137600
3.835,3,May 21 2019 01: +0,1558396800
3.309,2,May 23 2019 01: +0,1558569600
3.367,1,May 27 2019 01: +0,1558915200
3.383,1,May 28 2019 01: +0,1559001600
3.854,2,May 30 2019 01: +0,1559174400
3.873,1,May 31 2019 01: +0,1559260800
3.564,3,Jun 01 2019 01: +0,1559347200
3.405,1,Jun 04 2019 01: +0,1559606400
3.846,1,Jun 06 2019 01: +0,1559779200
3.803,2,Jun 07 2019 01: +0,1559865600
3.753,1,Jun 08 2019 01: +0,1559952000
3.825,1,Jun 09 2019 01: +0,1560038400
3.851,1,Jun 10 2019 01: +0,1560124800
3.909,4,Jun 12 2019 01: +0,1560297600
4.012,3,Jun 13 2019 01: +0,1560384000
4.755,1,Jun 17 2019 01: +0,1560729600
4.632,1,Jun 19 2019 01: +0,1560902400
3.674,1,Jun 21 2019 01: +0,1561075200
4.301,4,Jun 22 2019 01: +0,1561161600
5.044,2,Jun 23 2019 01: +0,1561248000
5.08,1,Jun 24 2019 01: +0,1561334400
6.884,6,Jun 28 2019 01: +0,1561680000
6.564,1,Jul 02 2019 01: +0,1562025600
4.806,1,Jul 10 2019 01: +0,1562716800
6.567,1,Jul 12 2019 01: +0,1562889600
5.668,2,Jul 13 2019 01: +0,1562976000
5.737,2,Jul 14 2019 01: +0,1563062400
6.568,1,Jul 16 2019 01: +0,1563235200
4.996,1,Jul 17 2019 01: +0,1563321600
6.513,1,Jul 20 2019 01: +0,1563580800
7.021,1,Jul 21 2019 01: +0,1563667200
7.421,1,Jul 24 2019 01: +0,1563926400
6.314,1,Jul 27 2019 01: +0,1564185600
6.372,1,Jul 28 2019 01: +0,1564272000
6.316,1,Jul 29 2019 01: +0,1564358400
6.123,2,Jul 31 2019 01: +0,1564531200
7.345,1,Aug 03 2019 01: +0,1564790400
6.405,2,Aug 08 2019 01: +0,1565222400
5.971,1,Aug 09 2019 01: +0,1565308800
5.811,2,Aug 11 2019 01: +0,1565481600
6.73,2,Aug 12 2019 01: +0,1565568000
8.501,2,Aug 14 2019 01: +0,1565740800
7.162,2,Aug 18 2019 01: +0,1566086400
6.105,1,Aug 19 2019 01: +0,1566172800
6.101,2,Aug 20 2019 01: +0,1566259200
7.242,1,Aug 22 2019 01: +0,1566432000
5.808,1,Aug 26 2019 01: +0,1566777600
5.704,1,Aug 27 2019 01: +0,1566864000
6.761,2,Aug 28 2019 01: +0,1566950400
9.01,5,Sep 01 2019 01: +0,1567296000
13.958,3,Sep 05 2019 01: +0,1567641600
10.501,1,Sep 08 2019 01: +0,1567900800
10.06,1,Sep 09 2019 01: +0,1567987200
9.511,1,Sep 13 2019 01: +0,1568332800
8.655,2,Sep 14 2019 01: +0,1568419200
10.715,1,Sep 23 2019 01: +0,1569196800
7.86,1,Sep 29 2019 01: +0,1569715200
7.903,1,Oct 03 2019 01: +0,1570060800
7.756,1,Oct 09 2019 01: +0,1570579200
9.84,1,Oct 21 2019 01: +0,1571616000
7.782,2,Oct 22 2019 01: +0,1571702400
9.613,2,Oct 27 2019 01: +0,1572134400
9.624,1,Oct 29 2019 01: +0,1572310800
11.02,1,Oct 31 2019 01: +0,1572483600
10.933,1,Nov 03 2019 01: +0,1572742800
11.49,2,Nov 08 2019 01: +0,1573174800
13.049,2,Nov 17 2019 01: +0,1573952400
9.026,1,Nov 19 2019 01: +0,1574125200
7.196,1,Nov 24 2019 01: +0,1574557200
9.314,1,Dec 01 2019 01: +0,1575162000
6.054,1,Dec 03 2019 01: +0,1575334800
9.481,1,Dec 05 2019 01: +0,1575507600
6.057,1,Dec 12 2019 01: +0,1576112400
6.617,1,Jan 05 2020 01: +0,1578186000
6.337,1,Jan 21 2020 01: +0,1579568400
5.306,1,Feb 01 2020 01: +0,1580518800
10.679,1,Feb 15 2020 01: +0,1581728400
11.535,1,Feb 16 2020 01: +0,1581814800
11.113,1,Feb 26 2020 01: +0,1582678800
9.706,2,Mar 09 2020 01: +0,1583715600
9.424,1,Mar 10 2020 01: +0,1583802000
7.492,1,Mar 12 2020 01: +0,1583974800
7.857,1,Mar 19 2020 01: +0,1584579600
10.547,1,Mar 21 2020 01: +0,1584752400
11.53,2,Mar 30 2020 01: +0,1585526400
8.113,1,Apr 05 2020 01: +0,1586044800
8.233,1,Apr 08 2020 01: +0,1586304000
8.186,1,Apr 09 2020 01: +0,1586390400
11.578,2,May 08 2020 01: +0,1588896000
8.952,1,May 25 2020 01: +0,1590364800
12.489,2,May 29 2020 01: +0,1590710400
12.658,1,Jun 03 2020 01: +0,1591142400
16.496,6,Jun 07 2020 01: +0,1591488000
15.181,1,Jun 23 2020 01: +0,1592870400
15.082,1,Jun 24 2020 01: +0,1592956800
17.857,1,Jun 25 2020 01: +0,1593043200
21.042,1,Jul 03 2020 01: +0,1593734400
