price,quantity,date,unix timestamp
3.818,86,Oct 21 2015 01: +0,1445385600
3.544,33,Oct 22 2015 01: +0,1445472000
3.452,34,Oct 23 2015 01: +0,1445558400
3.68,27,Oct 24 2015 01: +0,1445644800
3.873,21,Oct 25 2015 01: +0,1445731200
3.265,12,Oct 26 2015 01: +0,1445821200
3.512,32,Oct 27 2015 01: +0,1445907600
3.431,23,Oct 28 2015 01: +0,1445994000
3.609,17,Oct 29 2015 01: +0,1446080400
3.677,25,Oct 30 2015 01: +0,1446166800
4.088,106,Oct 31 2015 01: +0,1446253200
1.222,633,Nov 01 2015 01: +0,1446339600
1.216,252,Nov 02 2015 01: +0,1446426000
1.128,129,Nov 03 2015 01: +0,1446512400
0.963,123,Nov 04 2015 01: +0,1446598800
0.905,86,Nov 05 2015 01: +0,1446685200
0.849,91,Nov 06 2015 01: +0,1446771600
0.806,98,Nov 07 2015 01: +0,1446858000
0.836,82,Nov 08 2015 01: +0,1446944400
0.809,65,Nov 09 2015 01: +0,1447030800
0.772,75,Nov 10 2015 01: +0,1447117200
0.744,83,Nov 11 2015 01: +0,1447203600
0.679,53,Nov 12 2015 01: +0,1447290000
0.729,59,Nov 13 2015 01: +0,1447376400
0.782,59,Nov 14 2015 01: +0,1447462800
0.705,55,Nov 15 2015 01: +0,1447549200
0.698,41,Nov 16 2015 01: +0,1447635600
0.693,41,Nov 17 2015 01: +0,1447722000
0.85,38,Nov 18 2015 01: +0,1447808400
0.761,33,Nov 19 2015 01: +0,1447894800
0.684,58,Nov 20 2015 01: +0,1447981200
0.793,57,Nov 21 2015 01: +0,1448067600
0.879,33,Nov 22 2015 01: +0,1448154000
0.83,30,Nov 23 2015 01: +0,1448240400
0.833,45,Nov 24 2015 01: +0,1448326800
0.837,40,Nov 25 2015 01: +0,1448413200
0.663,47,Nov 26 2015 01: +0,1448499600
0.644,63,Nov 27 2015 01: +0,1448586000
0.644,56,Nov 28 2015 01: +0,1448672400
0.597,44,Nov 29 2015 01: +0,1448758800
0.496,60,Nov 30 2015 01: +0,1448845200
0.583,40,Dec 01 2015 01: +0,1448931600
0.638,42,Dec 02 2015 01: +0,1449018000
0.803,44,Dec 03 2015 01: +0,1449104400
0.86,42,Dec 04 2015 01: +0,1449190800
0.748,55,Dec 05 2015 01: +0,1449277200
0.742,38,Dec 06 2015 01: +0,1449363600
0.688,37,Dec 07 2015 01: +0,1449450000
0.653,33,Dec 08 2015 01: +0,1449536400
0.692,38,Dec 09 2015 01: +0,1449622800
0.694,38,Dec 10 2015 01: +0,1449709200
0.678,29,Dec 11 2015 01: +0,1449795600
0.72,43,Dec 12 2015 01: +0,1449882000
0.829,37,Dec 13 2015 01: +0,1449968400
0.81,26,Dec 14 2015 01: +0,1450054800
0.808,29,Dec 15 2015 01: +0,1450141200
0.856,27,Dec 16 2015 01: +0,1450227600
0.859,13,Dec 17 2015 01: +0,1450314000
0.845,16,Dec 18 2015 01: +0,1450400400
0.743,38,Dec 19 2015 01: +0,1450486800
0.775,31,Dec 20 2015 01: +0,1450573200
0.837,19,Dec 21 2015 01: +0,1450659600
0.819,21,Dec 22 2015 01: +0,1450746000
0.765,26,Dec 23 2015 01: +0,1450832400
0.702,21,Dec 24 2015 01: +0,1450918800
0.803,38,Dec 25 2015 01: +0,1451005200
0.892,28,Dec 26 2015 01: +0,1451091600
0.791,25,Dec 27 2015 01: +0,1451178000
0.84,28,Dec 28 2015 01: +0,1451264400
0.895,23,Dec 29 2015 01: +0,1451350800
0.852,27,Dec 30 2015 01: +0,1451437200
0.999,13,Dec 31 2015 01: +0,1451523600
0.988,25,Jan 01 2016 01: +0,1451610000
0.961,17,Jan 02 2016 01: +0,1451696400
0.985,23,Jan 03 2016 01: +0,1451782800
0.983,21,Jan 04 2016 01: +0,1451869200
1.06,17,Jan 05 2016 01: +0,1451955600
1.023,20,Jan 06 2016 01: +0,1452042000
1.01,19,Jan 07 2016 01: +0,1452128400
1.028,19,Jan 08 2016 01: +0,1452214800
1.11,24,Jan 09 2016 01: +0,1452301200
1.094,16,Jan 10 2016 01: +0,1452387600
1.003,15,Jan 11 2016 01: +0,1452474000
1.035,21,Jan 12 2016 01: +0,1452560400
1.079,40,Jan 13 2016 01: +0,1452646800
1.609,25,Jan 14 2016 01: +0,1452733200
1.559,12,Jan 15 2016 01: +0,1452819600
1.595,25,Jan 16 2016 01: +0,1452906000
1.505,9,Jan 17 2016 01: +0,1452992400
1.602,14,Jan 18 2016 01: +0,1453078800
1.304,15,Jan 19 2016 01: +0,1453165200
1.403,16,Jan 20 2016 01: +0,1453251600
1.301,7,Jan 21 2016 01: +0,1453338000
1.215,15,Jan 22 2016 01: +0,1453424400
1.163,23,Jan 23 2016 01: +0,1453510800
1.215,25,Jan 24 2016 01: +0,1453597200
1.288,23,Jan 25 2016 01: +0,1453683600
1.528,13,Jan 26 2016 01: +0,1453770000
1.218,10,Jan 27 2016 01: +0,1453856400
1.128,13,Jan 28 2016 01: +0,1453942800
1.095,22,Jan 29 2016 01: +0,1454029200
