price,quantity,date,unix timestamp
0.915,46,Aug 14 2019 01: +0,1565740800
1.036,68,Aug 15 2019 01: +0,1565827200
0.882,58,Aug 16 2019 01: +0,1565913600
0.979,58,Aug 17 2019 01: +0,1566000000
0.928,33,Aug 18 2019 01: +0,1566086400
0.809,39,Aug 19 2019 01: +0,1566172800
0.807,38,Aug 20 2019 01: +0,1566259200
0.835,40,Aug 21 2019 01: +0,1566345600
0.864,36,Aug 22 2019 01: +0,1566432000
0.989,47,Aug 23 2019 01: +0,1566518400
0.894,43,Aug 24 2019 01: +0,1566604800
0.915,37,Aug 25 2019 01: +0,1566691200
1.031,15,Aug 26 2019 01: +0,1566777600
0.962,18,Aug 27 2019 01: +0,1566864000
0.833,21,Aug 28 2019 01: +0,1566950400
0.892,34,Aug 29 2019 01: +0,1567036800
1.466,94,Aug 30 2019 01: +0,1567123200
2.491,57,Aug 31 2019 01: +0,1567209600
2.536,23,Sep 01 2019 01: +0,1567296000
3.045,16,Sep 02 2019 01: +0,1567382400
2.976,27,Sep 03 2019 01: +0,1567468800
2.839,13,Sep 04 2019 01: +0,1567555200
3.15,36,Sep 05 2019 01: +0,1567641600
5.287,69,Sep 06 2019 01: +0,1567728000
4.606,497,Sep 07 2019 01: +0,1567814400
0.517,3303,Sep 08 2019 01: +0,1567900800
0.484,2530,Sep 09 2019 01: +0,1567987200
0.444,1703,Sep 10 2019 01: +0,1568073600
0.439,1392,Sep 11 2019 01: +0,1568160000
0.407,1213,Sep 12 2019 01: +0,1568246400
0.356,1313,Sep 13 2019 01: +0,1568332800
0.351,888,Sep 14 2019 01: +0,1568419200
0.341,1133,Sep 15 2019 01: +0,1568505600
0.315,1373,Sep 16 2019 01: +0,1568592000
0.281,1764,Sep 17 2019 01: +0,1568678400
0.271,1379,Sep 18 2019 01: +0,1568764800
0.252,1789,Sep 19 2019 01: +0,1568851200
0.251,1269,Sep 20 2019 01: +0,1568937600
0.263,1019,Sep 21 2019 01: +0,1569024000
0.253,751,Sep 22 2019 01: +0,1569110400
0.252,716,Sep 23 2019 01: +0,1569196800
0.239,824,Sep 24 2019 01: +0,1569283200
0.277,1379,Sep 25 2019 01: +0,1569369600
0.493,1975,Sep 26 2019 01: +0,1569456000
0.566,831,Sep 27 2019 01: +0,1569542400
0.615,592,Sep 28 2019 01: +0,1569628800
0.539,401,Sep 29 2019 01: +0,1569715200
0.495,244,Sep 30 2019 01: +0,1569801600
0.445,283,Oct 01 2019 01: +0,1569888000
0.38,193,Oct 02 2019 01: +0,1569974400
0.365,285,Oct 03 2019 01: +0,1570060800
0.346,172,Oct 04 2019 01: +0,1570147200
0.344,170,Oct 05 2019 01: +0,1570233600
0.35,229,Oct 06 2019 01: +0,1570320000
0.34,125,Oct 07 2019 01: +0,1570406400
0.347,164,Oct 08 2019 01: +0,1570492800
0.338,132,Oct 09 2019 01: +0,1570579200
0.353,132,Oct 10 2019 01: +0,1570665600
0.342,169,Oct 11 2019 01: +0,1570752000
0.34,202,Oct 12 2019 01: +0,1570838400
0.347,109,Oct 13 2019 01: +0,1570924800
0.325,127,Oct 14 2019 01: +0,1571011200
0.341,137,Oct 15 2019 01: +0,1571097600
0.335,121,Oct 16 2019 01: +0,1571184000
0.339,99,Oct 17 2019 01: +0,1571270400
0.324,168,Oct 18 2019 01: +0,1571356800
0.287,344,Oct 19 2019 01: +0,1571443200
0.293,292,Oct 20 2019 01: +0,1571529600
0.296,148,Oct 21 2019 01: +0,1571616000
0.301,97,Oct 22 2019 01: +0,1571702400
0.276,106,Oct 23 2019 01: +0,1571788800
0.282,99,Oct 24 2019 01: +0,1571875200
0.282,83,Oct 25 2019 01: +0,1571961600
0.283,85,Oct 26 2019 01: +0,1572048000
0.291,101,Oct 27 2019 01: +0,1572134400
0.307,167,Oct 28 2019 01: +0,1572224400
0.294,72,Oct 29 2019 01: +0,1572310800
0.278,93,Oct 30 2019 01: +0,1572397200
0.272,147,Oct 31 2019 01: +0,1572483600
0.273,131,Nov 01 2019 01: +0,1572570000
0.271,90,Nov 02 2019 01: +0,1572656400
0.268,168,Nov 03 2019 01: +0,1572742800
0.271,66,Nov 04 2019 01: +0,1572829200
0.269,119,Nov 05 2019 01: +0,1572915600
0.272,60,Nov 06 2019 01: +0,1573002000
0.278,70,Nov 07 2019 01: +0,1573088400
0.281,88,Nov 08 2019 01: +0,1573174800
0.29,100,Nov 09 2019 01: +0,1573261200
0.283,66,Nov 10 2019 01: +0,1573347600
0.275,62,Nov 11 2019 01: +0,1573434000
0.275,55,Nov 12 2019 01: +0,1573520400
0.276,46,Nov 13 2019 01: +0,1573606800
0.276,59,Nov 14 2019 01: +0,1573693200
0.285,72,Nov 15 2019 01: +0,1573779600
0.282,85,Nov 16 2019 01: +0,1573866000
0.272,132,Nov 17 2019 01: +0,1573952400
0.266,68,Nov 18 2019 01: +0,1574038800
0.222,351,Nov 19 2019 01: +0,1574125200
0.208,106,Nov 20 2019 01: +0,1574211600
0.212,108,Nov 21 2019 01: +0,1574298000
0.204,204,Nov 22 2019 01: +0,1574384400
0.212,175,Nov 23 2019 01: +0,1574470800
