price,quantity,date,unix timestamp
0.934,519,Mar 18 2016 01: +0,1458262800
0.921,350,Mar 19 2016 01: +0,1458349200
0.924,252,Mar 20 2016 01: +0,1458435600
0.926,235,Mar 21 2016 01: +0,1458522000
0.911,165,Mar 22 2016 01: +0,1458608400
0.899,136,Mar 23 2016 01: +0,1458694800
0.9,148,Mar 24 2016 01: +0,1458781200
0.903,122,Mar 25 2016 01: +0,1458867600
0.901,131,Mar 26 2016 01: +0,1458954000
0.906,124,Mar 27 2016 01: +0,1459040400
0.909,216,Mar 28 2016 01: +0,1459123200
0.926,244,Mar 29 2016 01: +0,1459209600
0.802,464,Mar 30 2016 01: +0,1459296000
0.811,441,Mar 31 2016 01: +0,1459382400
0.881,444,Apr 01 2016 01: +0,1459468800
0.919,433,Apr 02 2016 01: +0,1459555200
0.277,41753,Apr 03 2016 01: +0,1459641600
0.264,14681,Apr 04 2016 01: +0,1459728000
0.29,6114,Apr 05 2016 01: +0,1459814400
0.294,3828,Apr 06 2016 01: +0,1459900800
0.29,3628,Apr 07 2016 01: +0,1459987200
0.284,3254,Apr 08 2016 01: +0,1460073600
0.284,3159,Apr 09 2016 01: +0,1460160000
0.278,2706,Apr 10 2016 01: +0,1460246400
0.279,2482,Apr 11 2016 01: +0,1460332800
0.27,2015,Apr 12 2016 01: +0,1460419200
0.26,2126,Apr 13 2016 01: +0,1460505600
0.264,2119,Apr 14 2016 01: +0,1460592000
0.272,1708,Apr 15 2016 01: +0,1460678400
0.282,2207,Apr 16 2016 01: +0,1460764800
0.282,2063,Apr 17 2016 01: +0,1460851200
0.282,1698,Apr 18 2016 01: +0,1460937600
0.283,1564,Apr 19 2016 01: +0,1461024000
0.289,1479,Apr 20 2016 01: +0,1461110400
0.29,1544,Apr 21 2016 01: +0,1461196800
0.291,1494,Apr 22 2016 01: +0,1461283200
0.297,1586,Apr 23 2016 01: +0,1461369600
0.286,1666,Apr 24 2016 01: +0,1461456000
0.288,1271,Apr 25 2016 01: +0,1461542400
0.292,1115,Apr 26 2016 01: +0,1461628800
0.299,1110,Apr 27 2016 01: +0,1461715200
0.29,1741,Apr 28 2016 01: +0,1461801600
0.304,1628,Apr 29 2016 01: +0,1461888000
0.31,1728,Apr 30 2016 01: +0,1461974400
0.305,1542,May 01 2016 01: +0,1462060800
0.312,1631,May 02 2016 01: +0,1462147200
0.303,1434,May 03 2016 01: +0,1462233600
0.317,1330,May 04 2016 01: +0,1462320000
0.338,1160,May 05 2016 01: +0,1462406400
0.335,1088,May 06 2016 01: +0,1462492800
0.342,1178,May 07 2016 01: +0,1462579200
0.338,1076,May 08 2016 01: +0,1462665600
0.339,969,May 09 2016 01: +0,1462752000
0.343,1005,May 10 2016 01: +0,1462838400
0.345,922,May 11 2016 01: +0,1462924800
0.342,776,May 12 2016 01: +0,1463011200
0.347,873,May 13 2016 01: +0,1463097600
0.35,1344,May 14 2016 01: +0,1463184000
0.348,1013,May 15 2016 01: +0,1463270400
0.347,935,May 16 2016 01: +0,1463356800
0.318,1183,May 17 2016 01: +0,1463443200
0.324,856,May 18 2016 01: +0,1463529600
0.324,820,May 19 2016 01: +0,1463616000
0.324,946,May 20 2016 01: +0,1463702400
0.325,895,May 21 2016 01: +0,1463788800
0.324,936,May 22 2016 01: +0,1463875200
0.318,872,May 23 2016 01: +0,1463961600
0.32,958,May 24 2016 01: +0,1464048000
0.319,803,May 25 2016 01: +0,1464134400
0.313,880,May 26 2016 01: +0,1464220800
0.317,940,May 27 2016 01: +0,1464307200
0.315,975,May 28 2016 01: +0,1464393600
0.32,968,May 29 2016 01: +0,1464480000
0.316,927,May 30 2016 01: +0,1464566400
0.308,880,May 31 2016 01: +0,1464652800
0.305,1234,Jun 01 2016 01: +0,1464739200
0.293,941,Jun 02 2016 01: +0,1464825600
0.288,964,Jun 03 2016 01: +0,1464912000
0.29,1031,Jun 04 2016 01: +0,1464998400
0.287,954,Jun 05 2016 01: +0,1465084800
0.275,1034,Jun 06 2016 01: +0,1465171200
0.278,913,Jun 07 2016 01: +0,1465257600
0.272,1419,Jun 08 2016 01: +0,1465344000
0.282,1492,Jun 09 2016 01: +0,1465430400
0.288,1332,Jun 10 2016 01: +0,1465516800
0.299,1140,Jun 11 2016 01: +0,1465603200
0.302,883,Jun 12 2016 01: +0,1465689600
0.295,786,Jun 13 2016 01: +0,1465776000
0.289,770,Jun 14 2016 01: +0,1465862400
0.291,683,Jun 15 2016 01: +0,1465948800
0.292,890,Jun 16 2016 01: +0,1466035200
0.295,1024,Jun 17 2016 01: +0,1466121600
0.301,987,Jun 18 2016 01: +0,1466208000
0.309,888,Jun 19 2016 01: +0,1466294400
0.307,777,Jun 20 2016 01: +0,1466380800
0.309,1045,Jun 21 2016 01: +0,1466467200
0.309,792,Jun 22 2016 01: +0,1466553600
0.291,1020,Jun 23 2016 01: +0,1466640000
0.268,1040,Jun 24 2016 01: +0,1466726400
0.242,1256,Jun 25 2016 01: +0,1466812800
0.241,819,Jun 26 2016 01: +0,1466899200
0.244,835,Jun 27 2016 01: +0,1466985600
0.247,803,Jun 28 2016 01: +0,1467072000
0.248,846,Jun 29 2016 01: +0,1467158400
0.261,754,Jun 30 2016 01: +0,1467244800
0.268,620,Jul 01 2016 01: +0,1467331200
0.258,633,Jul 02 2016 01: +0,1467417600
0.252,742,Jul 03 2016 01: +0,1467504000
0.242,870,Jul 04 2016 01: +0,1467590400
0.243,962,Jul 05 2016 01: +0,1467676800
0.257,1005,Jul 06 2016 01: +0,1467763200
0.261,840,Jul 07 2016 01: +0,1467849600
0.259,1010,Jul 08 2016 01: +0,1467936000
0.253,595,Jul 09 2016 01: +0,1468022400
0.231,1086,Jul 10 2016 01: +0,1468108800
0.231,528,Jul 11 2016 01: +0,1468195200
0.258,414,Jul 12 2016 01: +0,1468281600
0.267,336,Jul 13 2016 01: +0,1468368000
0.259,334,Jul 14 2016 01: +0,1468454400
0.25,250,Jul 15 2016 01: +0,1468540800
0.252,270,Jul 16 2016 01: +0,1468627200
0.261,306,Jul 17 2016 01: +0,1468713600
0.264,313,Jul 18 2016 01: +0,1468800000
0.262,252,Jul 19 2016 01: +0,1468886400
0.252,299,Jul 20 2016 01: +0,1468972800
0.24,273,Jul 21 2016 01: +0,1469059200
0.243,356,Jul 22 2016 01: +0,1469145600
0.244,344,Jul 23 2016 01: +0,1469232000
0.255,333,Jul 24 2016 01: +0,1469318400
0.254,274,Jul 25 2016 01: +0,1469404800
0.261,237,Jul 26 2016 01: +0,1469491200
0.255,284,Jul 27 2016 01: +0,1469577600
0.265,282,Jul 28 2016 01: +0,1469664000
0.26,274,Jul 29 2016 01: +0,1469750400
0.273,330,Jul 30 2016 01: +0,1469836800
0.274,313,Jul 31 2016 01: +0,1469923200
0.271,279,Aug 01 2016 01: +0,1470009600
0.266,340,Aug 02 2016 01: +0,1470096000
0.27,261,Aug 03 2016 01: +0,1470182400
0.267,382,Aug 04 2016 01: +0,1470268800
0.276,299,Aug 05 2016 01: +0,1470355200
0.276,341,Aug 06 2016 01: +0,1470441600
0.279,307,Aug 07 2016 01: +0,1470528000
0.276,337,Aug 08 2016 01: +0,1470614400
0.278,264,Aug 09 2016 01: +0,1470700800
0.27,241,Aug 10 2016 01: +0,1470787200
0.27,244,Aug 11 2016 01: +0,1470873600
0.274,293,Aug 12 2016 01: +0,1470960000
0.27,289,Aug 13 2016 01: +0,1471046400
0.279,326,Aug 14 2016 01: +0,1471132800
0.276,280,Aug 15 2016 01: +0,1471219200
0.282,324,Aug 16 2016 01: +0,1471305600
0.285,291,Aug 17 2016 01: +0,1471392000
0.297,227,Aug 18 2016 01: +0,1471478400
0.289,355,Aug 19 2016 01: +0,1471564800
0.304,271,Aug 20 2016 01: +0,1471651200
0.287,488,Aug 21 2016 01: +0,1471737600
0.284,421,Aug 22 2016 01: +0,1471824000
0.297,311,Aug 23 2016 01: +0,1471910400
0.308,349,Aug 24 2016 01: +0,1471996800
0.307,303,Aug 25 2016 01: +0,1472083200
0.316,320,Aug 26 2016 01: +0,1472169600
0.324,331,Aug 27 2016 01: +0,1472256000
0.328,375,Aug 28 2016 01: +0,1472342400
0.329,303,Aug 29 2016 01: +0,1472428800
0.337,252,Aug 30 2016 01: +0,1472515200
0.339,313,Aug 31 2016 01: +0,1472601600
0.343,238,Sep 01 2016 01: +0,1472688000
0.342,262,Sep 02 2016 01: +0,1472774400
0.34,287,Sep 03 2016 01: +0,1472860800
0.338,257,Sep 04 2016 01: +0,1472947200
0.333,234,Sep 05 2016 01: +0,1473033600
0.334,237,Sep 06 2016 01: +0,1473120000
0.349,240,Sep 07 2016 01: +0,1473206400
0.345,224,Sep 08 2016 01: +0,1473292800
0.34,266,Sep 09 2016 01: +0,1473379200
0.344,276,Sep 10 2016 01: +0,1473465600
0.348,316,Sep 11 2016 01: +0,1473552000
0.341,251,Sep 12 2016 01: +0,1473638400
0.332,302,Sep 13 2016 01: +0,1473724800
0.341,227,Sep 14 2016 01: +0,1473811200
0.341,270,Sep 15 2016 01: +0,1473897600
0.345,258,Sep 16 2016 01: +0,1473984000
0.345,313,Sep 17 2016 01: +0,1474070400
0.344,286,Sep 18 2016 01: +0,1474156800
0.342,210,Sep 19 2016 01: +0,1474243200
0.339,233,Sep 20 2016 01: +0,1474329600
0.344,244,Sep 21 2016 01: +0,1474416000
0.337,226,Sep 22 2016 01: +0,1474502400
0.338,270,Sep 23 2016 01: +0,1474588800
