price,quantity,date,unix timestamp
3.561,27,Aug 14 2019 01: +0,1565740800
3.769,47,Aug 15 2019 01: +0,1565827200
4.332,33,Aug 16 2019 01: +0,1565913600
4.726,19,Aug 17 2019 01: +0,1566000000
4.598,16,Aug 18 2019 01: +0,1566086400
4.504,16,Aug 19 2019 01: +0,1566172800
3.868,11,Aug 20 2019 01: +0,1566259200
3.934,14,Aug 21 2019 01: +0,1566345600
3.906,23,Aug 22 2019 01: +0,1566432000
4.285,31,Aug 23 2019 01: +0,1566518400
4.671,22,Aug 24 2019 01: +0,1566604800
4.622,14,Aug 25 2019 01: +0,1566691200
5.042,14,Aug 26 2019 01: +0,1566777600
5.115,12,Aug 27 2019 01: +0,1566864000
5.136,13,Aug 28 2019 01: +0,1566950400
5.282,13,Aug 29 2019 01: +0,1567036800
5.697,15,Aug 30 2019 01: +0,1567123200
5.658,16,Aug 31 2019 01: +0,1567209600
5.168,6,Sep 01 2019 01: +0,1567296000
5.221,18,Sep 02 2019 01: +0,1567382400
5.002,13,Sep 03 2019 01: +0,1567468800
5.258,13,Sep 04 2019 01: +0,1567555200
5.165,17,Sep 05 2019 01: +0,1567641600
4.717,15,Sep 06 2019 01: +0,1567728000
3.668,222,Sep 07 2019 01: +0,1567814400
2.363,1496,Sep 08 2019 01: +0,1567900800
2.483,869,Sep 09 2019 01: +0,1567987200
2.472,497,Sep 10 2019 01: +0,1568073600
2.737,369,Sep 11 2019 01: +0,1568160000
2.688,353,Sep 12 2019 01: +0,1568246400
2.686,290,Sep 13 2019 01: +0,1568332800
2.72,282,Sep 14 2019 01: +0,1568419200
2.743,284,Sep 15 2019 01: +0,1568505600
2.818,203,Sep 16 2019 01: +0,1568592000
2.687,170,Sep 17 2019 01: +0,1568678400
2.652,150,Sep 18 2019 01: +0,1568764800
2.784,146,Sep 19 2019 01: +0,1568851200
2.878,149,Sep 20 2019 01: +0,1568937600
2.929,117,Sep 21 2019 01: +0,1569024000
2.875,147,Sep 22 2019 01: +0,1569110400
2.62,105,Sep 23 2019 01: +0,1569196800
2.384,87,Sep 24 2019 01: +0,1569283200
2.271,94,Sep 25 2019 01: +0,1569369600
2.601,101,Sep 26 2019 01: +0,1569456000
2.986,58,Sep 27 2019 01: +0,1569542400
2.912,79,Sep 28 2019 01: +0,1569628800
2.896,110,Sep 29 2019 01: +0,1569715200
2.945,69,Sep 30 2019 01: +0,1569801600
2.873,62,Oct 01 2019 01: +0,1569888000
2.632,73,Oct 02 2019 01: +0,1569974400
2.484,73,Oct 03 2019 01: +0,1570060800
2.343,65,Oct 04 2019 01: +0,1570147200
2.394,51,Oct 05 2019 01: +0,1570233600
2.489,32,Oct 06 2019 01: +0,1570320000
2.385,33,Oct 07 2019 01: +0,1570406400
2.506,39,Oct 08 2019 01: +0,1570492800
2.441,21,Oct 09 2019 01: +0,1570579200
2.326,29,Oct 10 2019 01: +0,1570665600
2.362,34,Oct 11 2019 01: +0,1570752000
2.195,28,Oct 12 2019 01: +0,1570838400
2.184,34,Oct 13 2019 01: +0,1570924800
