price,quantity,date,unix timestamp
21.577,153,May 04 2022 01: +0,1651622400
22.074,40,May 05 2022 01: +0,1651708800
22.659,26,May 06 2022 01: +0,1651795200
22.734,17,May 07 2022 01: +0,1651881600
25.863,16,May 08 2022 01: +0,1651968000
28.741,13,May 09 2022 01: +0,1652054400
29.941,18,May 10 2022 01: +0,1652140800
30.797,13,May 11 2022 01: +0,1652227200
24.901,7,May 12 2022 01: +0,1652313600
26.72,10,May 13 2022 01: +0,1652400000
29.593,11,May 14 2022 01: +0,1652486400
29.646,14,May 15 2022 01: +0,1652572800
31.236,20,May 16 2022 01: +0,1652659200
23.427,7,May 17 2022 01: +0,1652745600
26.004,15,May 18 2022 01: +0,1652832000
22.873,10,May 19 2022 01: +0,1652918400
20.483,18,May 20 2022 01: +0,1653004800
17.645,11,May 21 2022 01: +0,1653091200
16.108,9,May 22 2022 01: +0,1653177600
14.92,22,May 23 2022 01: +0,1653264000
18.448,11,May 24 2022 01: +0,1653350400
21.707,13,May 25 2022 01: +0,1653436800
20.884,11,May 26 2022 01: +0,1653523200
17.936,6,May 27 2022 01: +0,1653609600
17.915,10,May 28 2022 01: +0,1653696000
18.051,7,May 29 2022 01: +0,1653782400
17.686,6,May 30 2022 01: +0,1653868800
17.382,11,May 31 2022 01: +0,1653955200
15.333,6,Jun 01 2022 01: +0,1654041600
13.707,43,Jun 02 2022 01: +0,1654128000
9.888,196,Jun 03 2022 01: +0,1654214400
10.433,106,Jun 04 2022 01: +0,1654300800
11.106,92,Jun 05 2022 01: +0,1654387200
10.659,91,Jun 06 2022 01: +0,1654473600
11.925,70,Jun 07 2022 01: +0,1654560000
12.419,67,Jun 08 2022 01: +0,1654646400
12.607,62,Jun 09 2022 01: +0,1654732800
13.357,70,Jun 10 2022 01: +0,1654819200
14.255,61,Jun 11 2022 01: +0,1654905600
14.256,62,Jun 12 2022 01: +0,1654992000
14.935,52,Jun 13 2022 01: +0,1655078400
15.366,64,Jun 14 2022 01: +0,1655164800
16.852,103,Jun 15 2022 01: +0,1655251200
16.12,98,Jun 16 2022 01: +0,1655337600
14.756,78,Jun 17 2022 01: +0,1655424000
14.611,75,Jun 18 2022 01: +0,1655510400
14.364,95,Jun 19 2022 01: +0,1655596800
14.194,61,Jun 20 2022 01: +0,1655683200
14.392,57,Jun 21 2022 01: +0,1655769600
13.808,79,Jun 22 2022 01: +0,1655856000
13.248,51,Jun 23 2022 01: +0,1655942400
12.839,57,Jun 24 2022 01: +0,1656028800
12.975,63,Jun 25 2022 01: +0,1656115200
12.408,75,Jun 26 2022 01: +0,1656201600
11.627,62,Jun 27 2022 01: +0,1656288000
11.567,62,Jun 28 2022 01: +0,1656374400
12.042,35,Jun 29 2022 01: +0,1656460800
12.366,51,Jun 30 2022 01: +0,1656547200
12.585,51,Jul 01 2022 01: +0,1656633600
12.424,59,Jul 02 2022 01: +0,1656720000
11.158,63,Jul 03 2022 01: +0,1656806400
10.676,69,Jul 04 2022 01: +0,1656892800
10.55,67,Jul 05 2022 01: +0,1656979200
9.567,47,Jul 06 2022 01: +0,1657065600
8.864,53,Jul 07 2022 01: +0,1657152000
7.992,68,Jul 08 2022 01: +0,1657238400
7.916,60,Jul 09 2022 01: +0,1657324800
8.135,68,Jul 10 2022 01: +0,1657411200
8.036,50,Jul 11 2022 01: +0,1657497600
7.956,43,Jul 12 2022 01: +0,1657584000
8.001,20,Jul 13 2022 01: +0,1657670400
8.322,47,Jul 14 2022 01: +0,1657756800
8.183,42,Jul 15 2022 01: +0,1657843200
8.378,39,Jul 16 2022 01: +0,1657929600
8.186,38,Jul 17 2022 01: +0,1658016000
8.368,45,Jul 18 2022 01: +0,1658102400
8.392,41,Jul 19 2022 01: +0,1658188800
8.818,21,Jul 20 2022 01: +0,1658275200
8.583,43,Jul 21 2022 01: +0,1658361600
8.611,33,Jul 22 2022 01: +0,1658448000
8.681,29,Jul 23 2022 01: +0,1658534400
8.275,35,Jul 24 2022 01: +0,1658620800
8.072,40,Jul 25 2022 01: +0,1658707200
7.972,47,Jul 26 2022 01: +0,1658793600
8.084,35,Jul 27 2022 01: +0,1658880000
8.146,41,Jul 28 2022 01: +0,1658966400
8.287,33,Jul 29 2022 01: +0,1659052800
8.256,25,Jul 30 2022 01: +0,1659139200
8.018,27,Jul 31 2022 01: +0,1659225600
7.978,34,Aug 01 2022 01: +0,1659312000
8.102,30,Aug 02 2022 01: +0,1659398400
8.39,30,Aug 03 2022 01: +0,1659484800
7.984,42,Aug 04 2022 01: +0,1659571200
7.79,45,Aug 05 2022 01: +0,1659657600
7.548,25,Aug 06 2022 01: +0,1659744000
7.489,36,Aug 07 2022 01: +0,1659830400
7.283,38,Aug 08 2022 01: +0,1659916800
7.462,15,Aug 09 2022 01: +0,1660003200
7.449,38,Aug 10 2022 01: +0,1660089600
7.242,23,Aug 11 2022 01: +0,1660176000
6.603,26,Aug 12 2022 01: +0,1660262400
6.235,24,Aug 13 2022 01: +0,1660348800
5.984,35,Aug 14 2022 01: +0,1660435200
5.673,25,Aug 15 2022 01: +0,1660521600
5.363,38,Aug 16 2022 01: +0,1660608000
5.228,32,Aug 17 2022 01: +0,1660694400
