price,quantity,date,unix timestamp
0.82,51,Mar 18 2016 01: +0,1458262800
0.958,21,Mar 19 2016 01: +0,1458349200
0.952,9,Mar 20 2016 01: +0,1458435600
1.168,8,Mar 21 2016 01: +0,1458522000
1.024,4,Mar 22 2016 01: +0,1458608400
1.075,11,Mar 23 2016 01: +0,1458694800
0.995,10,Mar 24 2016 01: +0,1458781200
0.827,6,Mar 25 2016 01: +0,1458867600
0.864,9,Mar 26 2016 01: +0,1458954000
0.907,10,Mar 27 2016 01: +0,1459040400
1.157,6,Mar 28 2016 01: +0,1459123200
1.029,8,Mar 29 2016 01: +0,1459209600
1.499,23,Mar 30 2016 01: +0,1459296000
1.245,10,Mar 31 2016 01: +0,1459382400
1.1,14,Apr 01 2016 01: +0,1459468800
0.946,16,Apr 02 2016 01: +0,1459555200
0.381,476,Apr 03 2016 01: +0,1459641600
0.436,175,Apr 04 2016 01: +0,1459728000
0.495,63,Apr 05 2016 01: +0,1459814400
0.516,45,Apr 06 2016 01: +0,1459900800
0.543,39,Apr 07 2016 01: +0,1459987200
0.547,28,Apr 08 2016 01: +0,1460073600
0.501,34,Apr 09 2016 01: +0,1460160000
0.523,24,Apr 10 2016 01: +0,1460246400
0.476,30,Apr 11 2016 01: +0,1460332800
0.497,28,Apr 12 2016 01: +0,1460419200
0.47,28,Apr 13 2016 01: +0,1460505600
0.492,18,Apr 14 2016 01: +0,1460592000
0.478,31,Apr 15 2016 01: +0,1460678400
0.499,26,Apr 16 2016 01: +0,1460764800
0.482,22,Apr 17 2016 01: +0,1460851200
0.45,37,Apr 18 2016 01: +0,1460937600
0.447,28,Apr 19 2016 01: +0,1461024000
0.471,17,Apr 20 2016 01: +0,1461110400
0.467,19,Apr 21 2016 01: +0,1461196800
0.51,21,Apr 22 2016 01: +0,1461283200
0.482,19,Apr 23 2016 01: +0,1461369600
0.475,19,Apr 24 2016 01: +0,1461456000
0.523,17,Apr 25 2016 01: +0,1461542400
0.519,11,Apr 26 2016 01: +0,1461628800
0.5,14,Apr 27 2016 01: +0,1461715200
0.45,14,Apr 28 2016 01: +0,1461801600
0.515,25,Apr 29 2016 01: +0,1461888000
0.532,23,Apr 30 2016 01: +0,1461974400
0.544,17,May 01 2016 01: +0,1462060800
0.548,19,May 02 2016 01: +0,1462147200
0.535,10,May 03 2016 01: +0,1462233600
0.551,7,May 04 2016 01: +0,1462320000
0.557,17,May 05 2016 01: +0,1462406400
0.544,10,May 06 2016 01: +0,1462492800
0.497,9,May 07 2016 01: +0,1462579200
0.465,22,May 08 2016 01: +0,1462665600
0.55,15,May 09 2016 01: +0,1462752000
0.595,35,May 10 2016 01: +0,1462838400
0.68,9,May 11 2016 01: +0,1462924800
0.753,11,May 12 2016 01: +0,1463011200
0.601,14,May 13 2016 01: +0,1463097600
0.634,8,May 14 2016 01: +0,1463184000
0.616,14,May 15 2016 01: +0,1463270400
0.586,19,May 16 2016 01: +0,1463356800
0.579,3,May 17 2016 01: +0,1463443200
0.559,15,May 18 2016 01: +0,1463529600
0.571,15,May 19 2016 01: +0,1463616000
0.588,12,May 20 2016 01: +0,1463702400
0.561,15,May 21 2016 01: +0,1463788800
0.543,14,May 22 2016 01: +0,1463875200
0.516,17,May 23 2016 01: +0,1463961600
0.543,14,May 24 2016 01: +0,1464048000
0.548,8,May 25 2016 01: +0,1464134400
0.533,11,May 26 2016 01: +0,1464220800
0.562,24,May 27 2016 01: +0,1464307200
0.598,18,May 28 2016 01: +0,1464393600
0.617,13,May 29 2016 01: +0,1464480000
0.662,4,May 30 2016 01: +0,1464566400
0.591,8,May 31 2016 01: +0,1464652800
0.564,9,Jun 01 2016 01: +0,1464739200
0.521,12,Jun 02 2016 01: +0,1464825600
0.49,20,Jun 03 2016 01: +0,1464912000
0.527,22,Jun 04 2016 01: +0,1464998400
0.555,13,Jun 05 2016 01: +0,1465084800
0.503,8,Jun 06 2016 01: +0,1465171200
0.534,11,Jun 07 2016 01: +0,1465257600
0.531,9,Jun 08 2016 01: +0,1465344000
0.545,10,Jun 09 2016 01: +0,1465430400
0.561,15,Jun 10 2016 01: +0,1465516800
0.533,12,Jun 11 2016 01: +0,1465603200
0.542,12,Jun 12 2016 01: +0,1465689600
0.599,18,Jun 13 2016 01: +0,1465776000
0.55,8,Jun 14 2016 01: +0,1465862400
0.596,14,Jun 15 2016 01: +0,1465948800
0.552,5,Jun 16 2016 01: +0,1466035200
0.525,13,Jun 17 2016 01: +0,1466121600
0.563,9,Jun 18 2016 01: +0,1466208000
0.5,17,Jun 19 2016 01: +0,1466294400
0.526,13,Jun 20 2016 01: +0,1466380800
0.538,14,Jun 21 2016 01: +0,1466467200
0.561,14,Jun 22 2016 01: +0,1466553600
0.769,47,Jun 23 2016 01: +0,1466640000
0.673,2,Jun 24 2016 01: +0,1466726400
0.648,7,Jun 25 2016 01: +0,1466812800
0.497,6,Jun 26 2016 01: +0,1466899200
0.469,12,Jun 27 2016 01: +0,1466985600
0.514,7,Jun 28 2016 01: +0,1467072000
0.54,8,Jun 29 2016 01: +0,1467158400
0.547,9,Jun 30 2016 01: +0,1467244800
0.595,5,Jul 01 2016 01: +0,1467331200
0.623,2,Jul 02 2016 01: +0,1467417600
0.477,4,Jul 03 2016 01: +0,1467504000
0.502,6,Jul 04 2016 01: +0,1467590400
0.453,10,Jul 05 2016 01: +0,1467676800
0.455,17,Jul 06 2016 01: +0,1467763200
0.475,14,Jul 07 2016 01: +0,1467849600
0.523,11,Jul 08 2016 01: +0,1467936000
0.544,10,Jul 09 2016 01: +0,1468022400
0.498,10,Jul 10 2016 01: +0,1468108800
0.526,2,Jul 11 2016 01: +0,1468195200
0.425,5,Jul 12 2016 01: +0,1468281600
0.443,3,Jul 13 2016 01: +0,1468368000
0.409,5,Jul 14 2016 01: +0,1468454400
0.446,3,Jul 15 2016 01: +0,1468540800
0.462,6,Jul 16 2016 01: +0,1468627200
0.451,3,Jul 17 2016 01: +0,1468713600
0.452,6,Jul 18 2016 01: +0,1468800000
0.463,5,Jul 19 2016 01: +0,1468886400
0.449,4,Jul 20 2016 01: +0,1468972800
0.451,4,Jul 21 2016 01: +0,1469059200
0.468,4,Jul 22 2016 01: +0,1469145600
0.425,6,Jul 23 2016 01: +0,1469232000
0.461,5,Jul 24 2016 01: +0,1469318400
0.484,6,Jul 25 2016 01: +0,1469404800
0.41,3,Jul 26 2016 01: +0,1469491200
0.429,4,Jul 27 2016 01: +0,1469577600
