price,quantity,date,unix timestamp
2.534,18,Jun 25 2016 01: +0,1466812800
2.272,14,Jun 26 2016 01: +0,1466899200
3.252,12,Jun 27 2016 01: +0,1466985600
2.709,6,Jun 28 2016 01: +0,1467072000
2.362,10,Jun 29 2016 01: +0,1467158400
1.902,12,Jun 30 2016 01: +0,1467244800
2.376,8,Jul 01 2016 01: +0,1467331200
2.262,13,Jul 02 2016 01: +0,1467417600
2.47,9,Jul 03 2016 01: +0,1467504000
2.709,5,Jul 04 2016 01: +0,1467590400
2.367,16,Jul 05 2016 01: +0,1467676800
2.572,17,Jul 06 2016 01: +0,1467763200
2.488,15,Jul 07 2016 01: +0,1467849600
2.981,19,Jul 08 2016 01: +0,1467936000
4.358,20,Jul 09 2016 01: +0,1468022400
1.128,398,Jul 10 2016 01: +0,1468108800
1.175,165,Jul 11 2016 01: +0,1468195200
1.363,82,Jul 12 2016 01: +0,1468281600
1.528,61,Jul 13 2016 01: +0,1468368000
1.357,42,Jul 14 2016 01: +0,1468454400
1.288,44,Jul 15 2016 01: +0,1468540800
1.181,37,Jul 16 2016 01: +0,1468627200
1.164,48,Jul 17 2016 01: +0,1468713600
1.249,31,Jul 18 2016 01: +0,1468800000
1.1,33,Jul 19 2016 01: +0,1468886400
0.836,28,Jul 20 2016 01: +0,1468972800
0.859,35,Jul 21 2016 01: +0,1469059200
1.04,15,Jul 22 2016 01: +0,1469145600
1.055,16,Jul 23 2016 01: +0,1469232000
0.915,27,Jul 24 2016 01: +0,1469318400
0.897,20,Jul 25 2016 01: +0,1469404800
0.838,21,Jul 26 2016 01: +0,1469491200
0.82,22,Jul 27 2016 01: +0,1469577600
0.876,27,Jul 28 2016 01: +0,1469664000
1.067,16,Jul 29 2016 01: +0,1469750400
0.963,26,Jul 30 2016 01: +0,1469836800
1.032,16,Jul 31 2016 01: +0,1469923200
1.051,17,Aug 01 2016 01: +0,1470009600
1.121,17,Aug 02 2016 01: +0,1470096000
1.068,15,Aug 03 2016 01: +0,1470182400
1.007,17,Aug 04 2016 01: +0,1470268800
1.07,10,Aug 05 2016 01: +0,1470355200
1.156,13,Aug 06 2016 01: +0,1470441600
1.115,10,Aug 07 2016 01: +0,1470528000
