price,quantity,date,unix timestamp
4.193,40,Jan 13 2017 01: +0,1484269200
3.542,25,Jan 14 2017 01: +0,1484355600
3.911,14,Jan 15 2017 01: +0,1484442000
3.625,18,Jan 16 2017 01: +0,1484528400
4.235,10,Jan 17 2017 01: +0,1484614800
4.582,8,Jan 18 2017 01: +0,1484701200
3.637,5,Jan 19 2017 01: +0,1484787600
3.73,12,Jan 20 2017 01: +0,1484874000
3.574,12,Jan 21 2017 01: +0,1484960400
3.948,8,Jan 22 2017 01: +0,1485046800
4.47,9,Jan 23 2017 01: +0,1485133200
3.919,11,Jan 24 2017 01: +0,1485219600
4.006,8,Jan 25 2017 01: +0,1485306000
3.666,17,Jan 26 2017 01: +0,1485392400
3.886,15,Jan 27 2017 01: +0,1485478800
4.271,15,Jan 28 2017 01: +0,1485565200
2.255,359,Jan 29 2017 01: +0,1485651600
1.121,296,Jan 30 2017 01: +0,1485738000
1.69,103,Jan 31 2017 01: +0,1485824400
1.559,65,Feb 01 2017 01: +0,1485910800
1.49,57,Feb 02 2017 01: +0,1485997200
1.594,63,Feb 03 2017 01: +0,1486083600
1.906,65,Feb 04 2017 01: +0,1486170000
1.831,32,Feb 05 2017 01: +0,1486256400
1.715,31,Feb 06 2017 01: +0,1486342800
1.691,49,Feb 07 2017 01: +0,1486429200
1.862,60,Feb 08 2017 01: +0,1486515600
1.72,28,Feb 09 2017 01: +0,1486602000
1.789,32,Feb 10 2017 01: +0,1486688400
1.849,36,Feb 11 2017 01: +0,1486774800
1.967,31,Feb 12 2017 01: +0,1486861200
1.871,24,Feb 13 2017 01: +0,1486947600
1.776,18,Feb 14 2017 01: +0,1487034000
1.699,13,Feb 15 2017 01: +0,1487120400
1.655,13,Feb 16 2017 01: +0,1487206800
1.68,19,Feb 17 2017 01: +0,1487293200
1.743,32,Feb 18 2017 01: +0,1487379600
1.735,19,Feb 19 2017 01: +0,1487466000
1.656,29,Feb 20 2017 01: +0,1487552400
1.656,18,Feb 21 2017 01: +0,1487638800
1.593,21,Feb 22 2017 01: +0,1487725200
1.548,17,Feb 23 2017 01: +0,1487811600
1.599,31,Feb 24 2017 01: +0,1487898000
1.743,15,Feb 25 2017 01: +0,1487984400
1.722,19,Feb 26 2017 01: +0,1488070800
1.685,21,Feb 27 2017 01: +0,1488157200
1.672,19,Feb 28 2017 01: +0,1488243600
1.837,10,Mar 01 2017 01: +0,1488330000
2.277,21,Mar 02 2017 01: +0,1488416400
2.812,14,Mar 03 2017 01: +0,1488502800
2.133,12,Mar 04 2017 01: +0,1488589200
