price,quantity,date,unix timestamp
4.209,655,May 04 2022 01: +0,1651622400
4.018,178,May 05 2022 01: +0,1651708800
4.347,144,May 06 2022 01: +0,1651795200
4.676,120,May 07 2022 01: +0,1651881600
4.509,105,May 08 2022 01: +0,1651968000
4.401,64,May 09 2022 01: +0,1652054400
4.162,88,May 10 2022 01: +0,1652140800
3.995,78,May 11 2022 01: +0,1652227200
4.066,67,May 12 2022 01: +0,1652313600
4.329,76,May 13 2022 01: +0,1652400000
4.651,86,May 14 2022 01: +0,1652486400
4.278,114,May 15 2022 01: +0,1652572800
3.871,55,May 16 2022 01: +0,1652659200
3.285,49,May 17 2022 01: +0,1652745600
2.674,62,May 18 2022 01: +0,1652832000
2.69,38,May 19 2022 01: +0,1652918400
2.434,99,May 20 2022 01: +0,1653004800
2.453,72,May 21 2022 01: +0,1653091200
2.864,64,May 22 2022 01: +0,1653177600
2.878,66,May 23 2022 01: +0,1653264000
2.953,62,May 24 2022 01: +0,1653350400
3.138,64,May 25 2022 01: +0,1653436800
3.024,38,May 26 2022 01: +0,1653523200
2.929,52,May 27 2022 01: +0,1653609600
2.712,47,May 28 2022 01: +0,1653696000
2.493,36,May 29 2022 01: +0,1653782400
2.531,46,May 30 2022 01: +0,1653868800
2.762,39,May 31 2022 01: +0,1653955200
2.553,37,Jun 01 2022 01: +0,1654041600
3.008,200,Jun 02 2022 01: +0,1654128000
1.699,832,Jun 03 2022 01: +0,1654214400
1.902,538,Jun 04 2022 01: +0,1654300800
1.943,469,Jun 05 2022 01: +0,1654387200
1.905,399,Jun 06 2022 01: +0,1654473600
1.862,357,Jun 07 2022 01: +0,1654560000
2.062,320,Jun 08 2022 01: +0,1654646400
2.012,314,Jun 09 2022 01: +0,1654732800
2.057,325,Jun 10 2022 01: +0,1654819200
2.061,348,Jun 11 2022 01: +0,1654905600
2.058,350,Jun 12 2022 01: +0,1654992000
2.272,344,Jun 13 2022 01: +0,1655078400
2.408,384,Jun 14 2022 01: +0,1655164800
2.372,494,Jun 15 2022 01: +0,1655251200
2.194,537,Jun 16 2022 01: +0,1655337600
2.205,453,Jun 17 2022 01: +0,1655424000
2.199,410,Jun 18 2022 01: +0,1655510400
2.256,382,Jun 19 2022 01: +0,1655596800
2.16,388,Jun 20 2022 01: +0,1655683200
2.236,340,Jun 21 2022 01: +0,1655769600
2.202,353,Jun 22 2022 01: +0,1655856000
2.088,323,Jun 23 2022 01: +0,1655942400
1.893,330,Jun 24 2022 01: +0,1656028800
1.881,295,Jun 25 2022 01: +0,1656115200
1.83,283,Jun 26 2022 01: +0,1656201600
1.788,260,Jun 27 2022 01: +0,1656288000
1.815,215,Jun 28 2022 01: +0,1656374400
1.959,242,Jun 29 2022 01: +0,1656460800
1.901,243,Jun 30 2022 01: +0,1656547200
2.001,242,Jul 01 2022 01: +0,1656633600
1.992,305,Jul 02 2022 01: +0,1656720000
1.968,304,Jul 03 2022 01: +0,1656806400
2.0,310,Jul 04 2022 01: +0,1656892800
1.911,296,Jul 05 2022 01: +0,1656979200
1.768,285,Jul 06 2022 01: +0,1657065600
1.727,271,Jul 07 2022 01: +0,1657152000
1.703,273,Jul 08 2022 01: +0,1657238400
1.605,281,Jul 09 2022 01: +0,1657324800
1.492,283,Jul 10 2022 01: +0,1657411200
1.559,224,Jul 11 2022 01: +0,1657497600
1.522,271,Jul 12 2022 01: +0,1657584000
1.657,109,Jul 13 2022 01: +0,1657670400
1.545,238,Jul 14 2022 01: +0,1657756800
1.614,198,Jul 15 2022 01: +0,1657843200
1.59,194,Jul 16 2022 01: +0,1657929600
1.574,208,Jul 17 2022 01: +0,1658016000
1.709,179,Jul 18 2022 01: +0,1658102400
1.627,209,Jul 19 2022 01: +0,1658188800
1.785,90,Jul 20 2022 01: +0,1658275200
1.618,229,Jul 21 2022 01: +0,1658361600
1.708,185,Jul 22 2022 01: +0,1658448000
1.632,190,Jul 23 2022 01: +0,1658534400
1.593,151,Jul 24 2022 01: +0,1658620800
1.556,206,Jul 25 2022 01: +0,1658707200
1.598,146,Jul 26 2022 01: +0,1658793600
1.586,187,Jul 27 2022 01: +0,1658880000
1.586,158,Jul 28 2022 01: +0,1658966400
1.636,147,Jul 29 2022 01: +0,1659052800
1.634,209,Jul 30 2022 01: +0,1659139200
1.578,187,Jul 31 2022 01: +0,1659225600
1.556,171,Aug 01 2022 01: +0,1659312000
1.61,211,Aug 02 2022 01: +0,1659398400
1.666,179,Aug 03 2022 01: +0,1659484800
1.626,190,Aug 04 2022 01: +0,1659571200
1.703,179,Aug 05 2022 01: +0,1659657600
1.654,159,Aug 06 2022 01: +0,1659744000
1.71,177,Aug 07 2022 01: +0,1659830400
1.816,188,Aug 08 2022 01: +0,1659916800
1.875,157,Aug 09 2022 01: +0,1660003200
1.887,284,Aug 10 2022 01: +0,1660089600
1.817,125,Aug 11 2022 01: +0,1660176000
1.773,142,Aug 12 2022 01: +0,1660262400
1.774,136,Aug 13 2022 01: +0,1660348800
1.653,105,Aug 14 2022 01: +0,1660435200
1.638,128,Aug 15 2022 01: +0,1660521600
1.586,145,Aug 16 2022 01: +0,1660608000
1.411,201,Aug 17 2022 01: +0,1660694400
1.368,111,Aug 18 2022 01: +0,1660780800
1.414,114,Aug 19 2022 01: +0,1660867200
1.47,101,Aug 20 2022 01: +0,1660953600
1.481,58,Aug 21 2022 01: +0,1661040000
1.455,97,Aug 22 2022 01: +0,1661126400
1.444,85,Aug 23 2022 01: +0,1661212800
1.447,90,Aug 24 2022 01: +0,1661299200
1.419,81,Aug 25 2022 01: +0,1661385600
1.336,94,Aug 26 2022 01: +0,1661472000
1.428,94,Aug 27 2022 01: +0,1661558400
1.404,85,Aug 28 2022 01: +0,1661644800
1.361,115,Aug 29 2022 01: +0,1661731200
1.299,127,Aug 30 2022 01: +0,1661817600
1.245,96,Aug 31 2022 01: +0,1661904000
1.238,120,Sep 01 2022 01: +0,1661990400
1.231,100,Sep 02 2022 01: +0,1662076800
1.267,144,Sep 03 2022 01: +0,1662163200
1.286,150,Sep 04 2022 01: +0,1662249600
1.314,85,Sep 05 2022 01: +0,1662336000
1.343,106,Sep 06 2022 01: +0,1662422400
1.435,78,Sep 07 2022 01: +0,1662508800
1.447,106,Sep 08 2022 01: +0,1662595200
1.413,143,Sep 09 2022 01: +0,1662681600
1.454,93,Sep 10 2022 01: +0,1662768000
1.468,99,Sep 11 2022 01: +0,1662854400
1.414,99,Sep 12 2022 01: +0,1662940800
1.422,79,Sep 13 2022 01: +0,1663027200
1.43,98,Sep 14 2022 01: +0,1663113600
1.424,82,Sep 15 2022 01: +0,1663200000
1.331,93,Sep 16 2022 01: +0,1663286400
1.398,123,Sep 17 2022 01: +0,1663372800
1.414,110,Sep 18 2022 01: +0,1663459200
1.406,70,Sep 19 2022 01: +0,1663545600
1.413,153,Sep 20 2022 01: +0,1663632000
1.362,115,Sep 21 2022 01: +0,1663718400
1.397,95,Sep 22 2022 01: +0,1663804800
1.31,85,Sep 23 2022 01: +0,1663891200
1.364,120,Sep 24 2022 01: +0,1663977600
1.341,130,Sep 25 2022 01: +0,1664064000
1.303,98,Sep 26 2022 01: +0,1664150400
1.233,217,Sep 27 2022 01: +0,1664236800
1.25,75,Sep 28 2022 01: +0,1664323200
1.292,122,Sep 29 2022 01: +0,1664409600
1.284,117,Sep 30 2022 01: +0,1664496000
1.357,160,Oct 01 2022 01: +0,1664582400
1.538,251,Oct 02 2022 01: +0,1664668800
1.478,195,Oct 03 2022 01: +0,1664755200
1.445,112,Oct 04 2022 01: +0,1664841600
1.579,143,Oct 05 2022 01: +0,1664928000
1.51,130,Oct 06 2022 01: +0,1665014400
1.509,138,Oct 07 2022 01: +0,1665100800
1.486,173,Oct 08 2022 01: +0,1665187200
1.454,137,Oct 09 2022 01: +0,1665273600
1.495,141,Oct 10 2022 01: +0,1665360000
1.47,142,Oct 11 2022 01: +0,1665446400
1.407,90,Oct 12 2022 01: +0,1665532800
1.403,154,Oct 13 2022 01: +0,1665619200
1.328,79,Oct 14 2022 01: +0,1665705600
1.361,189,Oct 15 2022 01: +0,1665792000
1.358,127,Oct 16 2022 01: +0,1665878400
1.347,134,Oct 17 2022 01: +0,1665964800
1.3,97,Oct 18 2022 01: +0,1666051200
1.296,186,Oct 19 2022 01: +0,1666137600
1.273,100,Oct 20 2022 01: +0,1666224000
1.317,350,Oct 21 2022 01: +0,1666310400
1.554,489,Oct 22 2022 01: +0,1666396800
1.535,126,Oct 23 2022 01: +0,1666483200
1.574,98,Oct 24 2022 01: +0,1666569600
1.589,96,Oct 25 2022 01: +0,1666656000
1.699,140,Oct 26 2022 01: +0,1666742400
1.993,158,Oct 27 2022 01: +0,1666828800
2.185,149,Oct 28 2022 01: +0,1666915200
2.116,130,Oct 29 2022 01: +0,1667001600
2.055,107,Oct 30 2022 01: +0,1667088000
2.074,86,Oct 31 2022 01: +0,1667178000
2.147,94,Nov 01 2022 01: +0,1667264400
2.163,125,Nov 02 2022 01: +0,1667350800
2.191,130,Nov 03 2022 01: +0,1667437200
2.068,87,Nov 04 2022 01: +0,1667523600
2.063,155,Nov 05 2022 01: +0,1667610000
1.776,102,Nov 06 2022 01: +0,1667696400
1.88,112,Nov 07 2022 01: +0,1667782800
1.9,72,Nov 08 2022 01: +0,1667869200
1.85,125,Nov 09 2022 01: +0,1667955600
1.848,209,Nov 10 2022 01: +0,1668042000
1.839,133,Nov 11 2022 01: +0,1668128400
1.846,130,Nov 12 2022 01: +0,1668214800
1.657,185,Nov 13 2022 01: +0,1668301200
1.705,158,Nov 14 2022 01: +0,1668387600
1.534,116,Nov 15 2022 01: +0,1668474000
1.569,109,Nov 16 2022 01: +0,1668560400
1.54,121,Nov 17 2022 01: +0,1668646800
1.515,188,Nov 18 2022 01: +0,1668733200
1.444,185,Nov 19 2022 01: +0,1668819600
1.354,142,Nov 20 2022 01: +0,1668906000
1.291,83,Nov 21 2022 01: +0,1668992400
1.423,152,Nov 22 2022 01: +0,1669078800
1.421,95,Nov 23 2022 01: +0,1669165200
1.401,66,Nov 24 2022 01: +0,1669251600
1.377,94,Nov 25 2022 01: +0,1669338000
1.401,102,Nov 26 2022 01: +0,1669424400
1.399,108,Nov 27 2022 01: +0,1669510800
1.431,76,Nov 28 2022 01: +0,1669597200
1.405,56,Nov 29 2022 01: +0,1669683600
1.427,67,Nov 30 2022 01: +0,1669770000
1.391,115,Dec 01 2022 01: +0,1669856400
1.468,85,Dec 02 2022 01: +0,1669942800
1.483,121,Dec 03 2022 01: +0,1670029200
1.418,86,Dec 04 2022 01: +0,1670115600
1.448,62,Dec 05 2022 01: +0,1670202000
1.474,72,Dec 06 2022 01: +0,1670288400
1.533,62,Dec 07 2022 01: +0,1670374800
1.524,78,Dec 08 2022 01: +0,1670461200
1.508,71,Dec 09 2022 01: +0,1670547600
1.528,81,Dec 10 2022 01: +0,1670634000
1.513,69,Dec 11 2022 01: +0,1670720400
1.543,89,Dec 12 2022 01: +0,1670806800
1.498,54,Dec 13 2022 01: +0,1670893200
1.467,74,Dec 14 2022 01: +0,1670979600
1.529,77,Dec 15 2022 01: +0,1671066000
1.452,67,Dec 16 2022 01: +0,1671152400
1.521,139,Dec 17 2022 01: +0,1671238800
1.548,93,Dec 18 2022 01: +0,1671325200
1.501,44,Dec 19 2022 01: +0,1671411600
1.511,103,Dec 20 2022 01: +0,1671498000
1.718,76,Dec 21 2022 01: +0,1671584400
1.708,61,Dec 22 2022 01: +0,1671670800
1.637,110,Dec 23 2022 01: +0,1671757200
1.67,66,Dec 24 2022 01: +0,1671843600
1.581,62,Dec 25 2022 01: +0,1671930000
1.763,72,Dec 26 2022 01: +0,1672016400
1.771,69,Dec 27 2022 01: +0,1672102800
1.811,68,Dec 28 2022 01: +0,1672189200
1.873,96,Dec 29 2022 01: +0,1672275600
1.841,68,Dec 30 2022 01: +0,1672362000
1.875,69,Dec 31 2022 01: +0,1672448400
1.845,65,Jan 01 2023 01: +0,1672534800
