price,quantity,date,unix timestamp
23.884,1,May 05 2023 00: +0,1683241200
7.998,386,May 05 2023 01: +0,1683244800
11.999,354,May 05 2023 02: +0,1683248400
10.396,233,May 05 2023 03: +0,1683252000
9.955,228,May 05 2023 04: +0,1683255600
9.595,240,May 05 2023 05: +0,1683259200
9.699,236,May 05 2023 06: +0,1683262800
11.314,204,May 05 2023 07: +0,1683266400
8.872,120,May 05 2023 08: +0,1683270000
6.921,105,May 05 2023 09: +0,1683273600
6.238,97,May 05 2023 10: +0,1683277200
5.56,94,May 05 2023 11: +0,1683280800
5.357,85,May 05 2023 12: +0,1683284400
5.837,97,May 05 2023 13: +0,1683288000
6.177,72,May 05 2023 14: +0,1683291600
6.444,59,May 05 2023 15: +0,1683295200
7.137,103,May 05 2023 16: +0,1683298800
7.332,97,May 05 2023 17: +0,1683302400
7.244,84,May 05 2023 18: +0,1683306000
7.25,83,May 05 2023 19: +0,1683309600
7.212,71,May 05 2023 20: +0,1683313200
7.008,75,May 05 2023 21: +0,1683316800
6.781,48,May 05 2023 22: +0,1683320400
6.853,57,May 05 2023 23: +0,1683324000
6.709,46,May 06 2023 00: +0,1683327600
6.717,37,May 06 2023 01: +0,1683331200
7.356,31,May 06 2023 02: +0,1683334800
7.392,33,May 06 2023 03: +0,1683338400
7.558,33,May 06 2023 04: +0,1683342000
7.742,18,May 06 2023 05: +0,1683345600
7.7,17,May 06 2023 06: +0,1683349200
7.996,30,May 06 2023 07: +0,1683352800
7.388,34,May 06 2023 08: +0,1683356400
7.196,29,May 06 2023 09: +0,1683360000
6.957,45,May 06 2023 10: +0,1683363600
6.58,40,May 06 2023 11: +0,1683367200
6.103,36,May 06 2023 12: +0,1683370800
5.934,18,May 06 2023 13: +0,1683374400
5.856,30,May 06 2023 14: +0,1683378000
5.805,26,May 06 2023 15: +0,1683381600
5.853,44,May 06 2023 16: +0,1683385200
5.862,48,May 06 2023 17: +0,1683388800
6.052,38,May 06 2023 18: +0,1683392400
6.144,20,May 06 2023 19: +0,1683396000
6.151,25,May 06 2023 20: +0,1683399600
6.108,22,May 06 2023 21: +0,1683403200
6.151,36,May 06 2023 22: +0,1683406800
6.14,18,May 06 2023 23: +0,1683410400
6.157,14,May 07 2023 00: +0,1683414000
6.317,27,May 07 2023 01: +0,1683417600
6.649,18,May 07 2023 02: +0,1683421200
6.698,14,May 07 2023 03: +0,1683424800
7.444,17,May 07 2023 04: +0,1683428400
7.104,14,May 07 2023 05: +0,1683432000
7.504,19,May 07 2023 06: +0,1683435600
7.025,9,May 07 2023 07: +0,1683439200
6.925,8,May 07 2023 08: +0,1683442800
6.907,15,May 07 2023 09: +0,1683446400
6.505,18,May 07 2023 10: +0,1683450000
6.397,21,May 07 2023 11: +0,1683453600
6.397,16,May 07 2023 12: +0,1683457200
6.397,19,May 07 2023 13: +0,1683460800
6.257,20,May 07 2023 14: +0,1683464400
6.133,18,May 07 2023 15: +0,1683468000
6.141,17,May 07 2023 16: +0,1683471600
6.294,20,May 07 2023 17: +0,1683475200
6.694,11,May 07 2023 18: +0,1683478800
6.232,16,May 07 2023 19: +0,1683482400
6.229,22,May 07 2023 20: +0,1683486000
6.234,21,May 07 2023 21: +0,1683489600
6.197,21,May 07 2023 22: +0,1683493200
6.197,12,May 07 2023 23: +0,1683496800
6.197,17,May 08 2023 00: +0,1683500400
6.157,6,May 08 2023 01: +0,1683504000
6.437,10,May 08 2023 02: +0,1683507600
6.118,10,May 08 2023 03: +0,1683511200
7.148,7,May 08 2023 04: +0,1683514800
7.212,7,May 08 2023 05: +0,1683518400
6.641,4,May 08 2023 06: +0,1683522000
6.81,2,May 08 2023 07: +0,1683525600
6.665,6,May 08 2023 08: +0,1683529200
6.272,8,May 08 2023 09: +0,1683532800
7.219,10,May 08 2023 10: +0,1683536400
6.34,6,May 08 2023 11: +0,1683540000
6.258,14,May 08 2023 12: +0,1683543600
6.265,8,May 08 2023 13: +0,1683547200
6.117,11,May 08 2023 14: +0,1683550800
6.117,24,May 08 2023 15: +0,1683554400
5.927,22,May 08 2023 16: +0,1683558000
5.893,25,May 08 2023 17: +0,1683561600
5.747,16,May 08 2023 18: +0,1683565200
5.752,19,May 08 2023 19: +0,1683568800
5.277,18,May 08 2023 20: +0,1683572400
5.215,19,May 08 2023 21: +0,1683576000
5.285,19,May 08 2023 22: +0,1683579600
5.294,18,May 08 2023 23: +0,1683583200
5.217,11,May 09 2023 00: +0,1683586800
5.221,11,May 09 2023 01: +0,1683590400
5.069,8,May 09 2023 02: +0,1683594000
5.361,6,May 09 2023 03: +0,1683597600
5.433,9,May 09 2023 04: +0,1683601200
5.411,4,May 09 2023 05: +0,1683604800
5.433,4,May 09 2023 06: +0,1683608400
5.037,2,May 09 2023 07: +0,1683612000
5.468,8,May 09 2023 08: +0,1683615600
5.549,9,May 09 2023 09: +0,1683619200
5.413,10,May 09 2023 10: +0,1683622800
4.729,6,May 09 2023 11: +0,1683626400
5.059,8,May 09 2023 12: +0,1683630000
5.128,12,May 09 2023 13: +0,1683633600
5.393,12,May 09 2023 14: +0,1683637200
5.523,9,May 09 2023 15: +0,1683640800
4.742,10,May 09 2023 16: +0,1683644400
5.205,7,May 09 2023 17: +0,1683648000
4.751,14,May 09 2023 18: +0,1683651600
4.655,10,May 09 2023 19: +0,1683655200
4.838,18,May 09 2023 20: +0,1683658800
4.834,15,May 09 2023 21: +0,1683662400
4.518,11,May 09 2023 22: +0,1683666000
5.437,12,May 09 2023 23: +0,1683669600
4.643,5,May 10 2023 00: +0,1683673200
5.564,13,May 10 2023 01: +0,1683676800
6.037,22,May 10 2023 02: +0,1683680400
6.221,3,May 10 2023 03: +0,1683684000
5.301,3,May 10 2023 04: +0,1683687600
4.587,5,May 10 2023 05: +0,1683691200
5.1,4,May 10 2023 07: +0,1683698400
5.192,11,May 10 2023 08: +0,1683702000
5.593,6,May 10 2023 09: +0,1683705600
5.485,7,May 10 2023 10: +0,1683709200
5.626,6,May 10 2023 11: +0,1683712800
5.436,3,May 10 2023 12: +0,1683716400
4.84,7,May 10 2023 13: +0,1683720000
5.154,6,May 10 2023 14: +0,1683723600
5.786,17,May 10 2023 15: +0,1683727200
5.441,10,May 10 2023 16: +0,1683730800
5.624,8,May 10 2023 17: +0,1683734400
4.659,9,May 10 2023 18: +0,1683738000
5.6,21,May 10 2023 19: +0,1683741600
4.76,5,May 10 2023 20: +0,1683745200
5.224,8,May 10 2023 21: +0,1683748800
5.263,7,May 10 2023 22: +0,1683752400
4.94,6,May 10 2023 23: +0,1683756000
5.247,8,May 11 2023 00: +0,1683759600
5.553,4,May 11 2023 01: +0,1683763200
5.056,4,May 11 2023 02: +0,1683766800
5.605,3,May 11 2023 03: +0,1683770400
5.725,2,May 11 2023 04: +0,1683774000
5.068,3,May 11 2023 05: +0,1683777600
5.246,7,May 11 2023 06: +0,1683781200
5.362,3,May 11 2023 07: +0,1683784800
5.389,2,May 11 2023 08: +0,1683788400
4.472,4,May 11 2023 09: +0,1683792000
4.868,2,May 11 2023 10: +0,1683795600
4.471,3,May 11 2023 11: +0,1683799200
4.472,5,May 11 2023 12: +0,1683802800
5.053,4,May 11 2023 13: +0,1683806400
5.263,9,May 11 2023 14: +0,1683810000
4.505,8,May 11 2023 15: +0,1683813600
4.846,7,May 11 2023 16: +0,1683817200
5.584,21,May 11 2023 17: +0,1683820800
6.318,24,May 11 2023 18: +0,1683824400
6.128,13,May 11 2023 19: +0,1683828000
6.38,6,May 11 2023 20: +0,1683831600
5.355,8,May 11 2023 21: +0,1683835200
5.365,7,May 11 2023 22: +0,1683838800
5.443,9,May 11 2023 23: +0,1683842400
5.885,7,May 12 2023 00: +0,1683846000
6.02,9,May 12 2023 01: +0,1683849600
6.125,4,May 12 2023 02: +0,1683853200
4.892,6,May 12 2023 03: +0,1683856800
5.901,6,May 12 2023 04: +0,1683860400
6.308,5,May 12 2023 05: +0,1683864000
5.665,4,May 12 2023 06: +0,1683867600
6.406,4,May 12 2023 07: +0,1683871200
6.55,13,May 12 2023 08: +0,1683874800
5.989,7,May 12 2023 09: +0,1683878400
6.108,7,May 12 2023 10: +0,1683882000
5.293,4,May 12 2023 11: +0,1683885600
6.373,11,May 12 2023 12: +0,1683889200
6.13,6,May 12 2023 13: +0,1683892800
5.205,7,May 12 2023 14: +0,1683896400
5.396,6,May 12 2023 15: +0,1683900000
5.701,6,May 12 2023 16: +0,1683903600
4.834,5,May 12 2023 17: +0,1683907200
4.754,10,May 12 2023 18: +0,1683910800
4.718,8,May 12 2023 19: +0,1683914400
4.458,6,May 12 2023 20: +0,1683918000
4.452,10,May 12 2023 21: +0,1683921600
4.742,15,May 12 2023 22: +0,1683925200
4.995,11,May 12 2023 23: +0,1683928800
4.977,4,May 13 2023 00: +0,1683932400
5.621,15,May 13 2023 01: +0,1683936000
5.629,8,May 13 2023 02: +0,1683939600
5.621,12,May 13 2023 03: +0,1683943200
4.946,6,May 13 2023 04: +0,1683946800
4.878,11,May 13 2023 05: +0,1683950400
4.685,3,May 13 2023 06: +0,1683954000
4.652,10,May 13 2023 07: +0,1683957600
4.438,21,May 13 2023 08: +0,1683961200
4.366,11,May 13 2023 09: +0,1683964800
4.601,14,May 13 2023 10: +0,1683968400
4.348,27,May 13 2023 11: +0,1683972000
4.479,5,May 13 2023 12: +0,1683975600
4.822,10,May 13 2023 13: +0,1683979200
4.053,8,May 13 2023 14: +0,1683982800
4.296,8,May 13 2023 15: +0,1683986400
4.826,55,May 13 2023 16: +0,1683990000
5.589,37,May 13 2023 17: +0,1683993600
5.517,13,May 13 2023 18: +0,1683997200
5.874,18,May 13 2023 19: +0,1684000800
6.109,14,May 13 2023 20: +0,1684004400
6.483,13,May 13 2023 21: +0,1684008000
5.74,5,May 13 2023 22: +0,1684011600
6.479,16,May 13 2023 23: +0,1684015200
7.828,5,May 14 2023 00: +0,1684018800
8.204,6,May 14 2023 01: +0,1684022400
7.484,4,May 14 2023 02: +0,1684026000
7.828,3,May 14 2023 03: +0,1684029600
7.844,6,May 14 2023 04: +0,1684033200
7.372,7,May 14 2023 05: +0,1684036800
6.894,2,May 14 2023 06: +0,1684040400
5.893,6,May 14 2023 07: +0,1684044000
5.717,6,May 14 2023 08: +0,1684047600
4.896,4,May 14 2023 09: +0,1684051200
4.618,3,May 14 2023 10: +0,1684054800
4.652,9,May 14 2023 11: +0,1684058400
4.962,12,May 14 2023 12: +0,1684062000
5.218,11,May 14 2023 13: +0,1684065600
4.709,12,May 14 2023 14: +0,1684069200
5.513,15,May 14 2023 15: +0,1684072800
6.61,6,May 14 2023 16: +0,1684076400
6.906,10,May 14 2023 17: +0,1684080000
6.917,11,May 14 2023 18: +0,1684083600
7.242,9,May 14 2023 19: +0,1684087200
6.229,7,May 14 2023 20: +0,1684090800
5.589,9,May 14 2023 21: +0,1684094400
7.683,2,May 14 2023 22: +0,1684098000
5.589,5,May 14 2023 23: +0,1684101600
7.748,9,May 15 2023 00: +0,1684105200
7.791,8,May 15 2023 01: +0,1684108800
6.882,6,May 15 2023 03: +0,1684116000
7.996,3,May 15 2023 04: +0,1684119600
6.886,3,May 15 2023 05: +0,1684123200
7.788,1,May 15 2023 06: +0,1684126800
7.692,1,May 15 2023 08: +0,1684134000
