price,quantity,date,unix timestamp
0.134,83,Aug 14 2019 01: +0,1565740800
0.126,139,Aug 15 2019 01: +0,1565827200
0.104,97,Aug 16 2019 01: +0,1565913600
0.114,90,Aug 17 2019 01: +0,1566000000
0.122,65,Aug 18 2019 01: +0,1566086400
0.127,64,Aug 19 2019 01: +0,1566172800
0.279,96,Aug 20 2019 01: +0,1566259200
0.221,48,Aug 21 2019 01: +0,1566345600
0.176,35,Aug 22 2019 01: +0,1566432000
0.163,79,Aug 23 2019 01: +0,1566518400
0.191,49,Aug 24 2019 01: +0,1566604800
0.169,73,Aug 25 2019 01: +0,1566691200
0.165,46,Aug 26 2019 01: +0,1566777600
0.154,33,Aug 27 2019 01: +0,1566864000
0.146,36,Aug 28 2019 01: +0,1566950400
0.151,38,Aug 29 2019 01: +0,1567036800
0.153,47,Aug 30 2019 01: +0,1567123200
0.156,51,Aug 31 2019 01: +0,1567209600
0.154,58,Sep 01 2019 01: +0,1567296000
0.133,42,Sep 02 2019 01: +0,1567382400
0.129,52,Sep 03 2019 01: +0,1567468800
0.135,45,Sep 04 2019 01: +0,1567555200
0.156,26,Sep 05 2019 01: +0,1567641600
0.158,31,Sep 06 2019 01: +0,1567728000
0.123,506,Sep 07 2019 01: +0,1567814400
0.036,2265,Sep 08 2019 01: +0,1567900800
0.03,1747,Sep 09 2019 01: +0,1567987200
0.03,1298,Sep 10 2019 01: +0,1568073600
0.03,1149,Sep 11 2019 01: +0,1568160000
0.03,925,Sep 12 2019 01: +0,1568246400
0.03,914,Sep 13 2019 01: +0,1568332800
0.03,869,Sep 14 2019 01: +0,1568419200
0.03,785,Sep 15 2019 01: +0,1568505600
0.03,665,Sep 16 2019 01: +0,1568592000
0.03,667,Sep 17 2019 01: +0,1568678400
0.03,611,Sep 18 2019 01: +0,1568764800
0.03,534,Sep 19 2019 01: +0,1568851200
0.03,575,Sep 20 2019 01: +0,1568937600
0.03,564,Sep 21 2019 01: +0,1569024000
0.03,504,Sep 22 2019 01: +0,1569110400
0.03,356,Sep 23 2019 01: +0,1569196800
0.03,499,Sep 24 2019 01: +0,1569283200
0.03,319,Sep 25 2019 01: +0,1569369600
0.03,243,Sep 26 2019 01: +0,1569456000
0.03,276,Sep 27 2019 01: +0,1569542400
0.03,347,Sep 28 2019 01: +0,1569628800
0.03,340,Sep 29 2019 01: +0,1569715200
0.03,238,Sep 30 2019 01: +0,1569801600
0.03,279,Oct 01 2019 01: +0,1569888000
0.03,209,Oct 02 2019 01: +0,1569974400
0.03,245,Oct 03 2019 01: +0,1570060800
0.03,275,Oct 04 2019 01: +0,1570147200
0.03,306,Oct 05 2019 01: +0,1570233600
0.033,216,Oct 06 2019 01: +0,1570320000
0.034,155,Oct 07 2019 01: +0,1570406400
0.033,150,Oct 08 2019 01: +0,1570492800
0.034,166,Oct 09 2019 01: +0,1570579200
0.034,162,Oct 10 2019 01: +0,1570665600
0.035,187,Oct 11 2019 01: +0,1570752000
0.038,158,Oct 12 2019 01: +0,1570838400
0.04,177,Oct 13 2019 01: +0,1570924800
0.036,180,Oct 14 2019 01: +0,1571011200
0.038,139,Oct 15 2019 01: +0,1571097600
0.039,138,Oct 16 2019 01: +0,1571184000
0.039,132,Oct 17 2019 01: +0,1571270400
0.037,143,Oct 18 2019 01: +0,1571356800
0.034,264,Oct 19 2019 01: +0,1571443200
0.038,185,Oct 20 2019 01: +0,1571529600
0.036,182,Oct 21 2019 01: +0,1571616000
0.038,135,Oct 22 2019 01: +0,1571702400
0.039,142,Oct 23 2019 01: +0,1571788800
0.038,114,Oct 24 2019 01: +0,1571875200
0.038,92,Oct 25 2019 01: +0,1571961600
0.038,143,Oct 26 2019 01: +0,1572048000
0.039,166,Oct 27 2019 01: +0,1572134400
0.042,112,Oct 28 2019 01: +0,1572224400
0.04,90,Oct 29 2019 01: +0,1572310800
0.039,97,Oct 30 2019 01: +0,1572397200
0.04,114,Oct 31 2019 01: +0,1572483600
0.038,107,Nov 01 2019 01: +0,1572570000
0.038,125,Nov 02 2019 01: +0,1572656400
0.041,205,Nov 03 2019 01: +0,1572742800
0.044,65,Nov 04 2019 01: +0,1572829200
0.044,62,Nov 05 2019 01: +0,1572915600
0.044,57,Nov 06 2019 01: +0,1573002000
0.042,59,Nov 07 2019 01: +0,1573088400
0.041,61,Nov 08 2019 01: +0,1573174800
0.044,75,Nov 09 2019 01: +0,1573261200
0.04,85,Nov 10 2019 01: +0,1573347600
0.041,97,Nov 11 2019 01: +0,1573434000
0.039,56,Nov 12 2019 01: +0,1573520400
0.039,56,Nov 13 2019 01: +0,1573606800
0.042,76,Nov 14 2019 01: +0,1573693200
0.043,108,Nov 15 2019 01: +0,1573779600
0.044,130,Nov 16 2019 01: +0,1573866000
0.043,63,Nov 17 2019 01: +0,1573952400
0.043,64,Nov 18 2019 01: +0,1574038800
0.036,225,Nov 19 2019 01: +0,1574125200
0.034,92,Nov 20 2019 01: +0,1574211600
0.031,66,Nov 21 2019 01: +0,1574298000
0.033,99,Nov 22 2019 01: +0,1574384400
0.033,98,Nov 23 2019 01: +0,1574470800
0.031,59,Nov 24 2019 01: +0,1574557200
0.031,64,Nov 25 2019 01: +0,1574643600
0.031,61,Nov 26 2019 01: +0,1574730000
0.032,93,Nov 27 2019 01: +0,1574816400
0.031,84,Nov 28 2019 01: +0,1574902800
0.034,83,Nov 29 2019 01: +0,1574989200
0.032,82,Nov 30 2019 01: +0,1575075600
0.032,86,Dec 01 2019 01: +0,1575162000
0.033,62,Dec 02 2019 01: +0,1575248400
0.034,183,Dec 03 2019 01: +0,1575334800
0.035,60,Dec 04 2019 01: +0,1575421200
0.032,62,Dec 05 2019 01: +0,1575507600
0.035,49,Dec 06 2019 01: +0,1575594000
0.035,84,Dec 07 2019 01: +0,1575680400
0.032,81,Dec 08 2019 01: +0,1575766800
0.034,85,Dec 09 2019 01: +0,1575853200
0.035,95,Dec 10 2019 01: +0,1575939600
0.037,80,Dec 11 2019 01: +0,1576026000
0.033,60,Dec 12 2019 01: +0,1576112400
0.035,90,Dec 13 2019 01: +0,1576198800
0.036,130,Dec 14 2019 01: +0,1576285200
0.039,81,Dec 15 2019 01: +0,1576371600
0.04,69,Dec 16 2019 01: +0,1576458000
0.039,62,Dec 17 2019 01: +0,1576544400
0.038,220,Dec 18 2019 01: +0,1576630800
0.038,74,Dec 19 2019 01: +0,1576717200
0.036,65,Dec 20 2019 01: +0,1576803600
0.04,93,Dec 21 2019 01: +0,1576890000
0.037,66,Dec 22 2019 01: +0,1576976400
0.039,57,Dec 23 2019 01: +0,1577062800
0.04,48,Dec 24 2019 01: +0,1577149200
0.038,71,Dec 25 2019 01: +0,1577235600
0.04,82,Dec 26 2019 01: +0,1577322000
0.04,80,Dec 27 2019 01: +0,1577408400
0.039,67,Dec 28 2019 01: +0,1577494800
0.041,102,Dec 29 2019 01: +0,1577581200
0.042,74,Dec 30 2019 01: +0,1577667600
0.043,32,Dec 31 2019 01: +0,1577754000
0.045,56,Jan 01 2020 01: +0,1577840400
0.042,110,Jan 02 2020 01: +0,1577926800
0.043,68,Jan 03 2020 01: +0,1578013200
0.047,69,Jan 04 2020 01: +0,1578099600
0.046,76,Jan 05 2020 01: +0,1578186000
0.047,60,Jan 06 2020 01: +0,1578272400
0.049,72,Jan 07 2020 01: +0,1578358800
0.048,82,Jan 08 2020 01: +0,1578445200
0.048,64,Jan 09 2020 01: +0,1578531600
0.046,78,Jan 10 2020 01: +0,1578618000
0.046,82,Jan 11 2020 01: +0,1578704400
0.049,90,Jan 12 2020 01: +0,1578790800
0.049,85,Jan 13 2020 01: +0,1578877200
0.047,102,Jan 14 2020 01: +0,1578963600
0.047,74,Jan 15 2020 01: +0,1579050000
0.048,76,Jan 16 2020 01: +0,1579136400
0.048,66,Jan 17 2020 01: +0,1579222800
0.048,76,Jan 18 2020 01: +0,1579309200
0.048,103,Jan 19 2020 01: +0,1579395600
0.047,73,Jan 20 2020 01: +0,1579482000
