price,quantity,date,unix timestamp
1.091,393,Sep 22 2021 01: +0,1632268800
1.281,288,Sep 23 2021 01: +0,1632355200
1.404,216,Sep 24 2021 01: +0,1632441600
1.366,208,Sep 25 2021 01: +0,1632528000
1.475,164,Sep 26 2021 01: +0,1632614400
1.441,186,Sep 27 2021 01: +0,1632700800
1.319,175,Sep 28 2021 01: +0,1632787200
1.107,359,Sep 29 2021 01: +0,1632873600
1.151,187,Sep 30 2021 01: +0,1632960000
1.237,184,Oct 01 2021 01: +0,1633046400
1.366,172,Oct 02 2021 01: +0,1633132800
1.267,145,Oct 03 2021 01: +0,1633219200
1.252,158,Oct 04 2021 01: +0,1633305600
1.191,183,Oct 05 2021 01: +0,1633392000
1.059,340,Oct 06 2021 01: +0,1633478400
1.005,219,Oct 07 2021 01: +0,1633564800
0.925,200,Oct 08 2021 01: +0,1633651200
0.924,198,Oct 09 2021 01: +0,1633737600
0.865,179,Oct 10 2021 01: +0,1633824000
0.874,155,Oct 11 2021 01: +0,1633910400
0.859,257,Oct 12 2021 01: +0,1633996800
0.729,387,Oct 13 2021 01: +0,1634083200
0.719,220,Oct 14 2021 01: +0,1634169600
0.692,174,Oct 15 2021 01: +0,1634256000
0.736,193,Oct 16 2021 01: +0,1634342400
0.754,184,Oct 17 2021 01: +0,1634428800
0.808,141,Oct 18 2021 01: +0,1634515200
0.822,151,Oct 19 2021 01: +0,1634601600
0.726,308,Oct 20 2021 01: +0,1634688000
0.703,208,Oct 21 2021 01: +0,1634774400
0.572,331,Oct 22 2021 01: +0,1634860800
0.548,205,Oct 23 2021 01: +0,1634947200
0.501,134,Oct 24 2021 01: +0,1635033600
0.54,114,Oct 25 2021 01: +0,1635120000
0.521,158,Oct 26 2021 01: +0,1635206400
0.442,317,Oct 27 2021 01: +0,1635292800
0.443,163,Oct 28 2021 01: +0,1635379200
0.484,176,Oct 29 2021 01: +0,1635465600
0.513,149,Oct 30 2021 01: +0,1635552000
0.512,133,Oct 31 2021 01: +0,1635638400
0.515,126,Nov 01 2021 01: +0,1635728400
0.551,155,Nov 02 2021 01: +0,1635814800
0.51,293,Nov 03 2021 01: +0,1635901200
0.533,169,Nov 04 2021 01: +0,1635987600
0.577,132,Nov 05 2021 01: +0,1636074000
0.522,136,Nov 06 2021 01: +0,1636160400
0.557,145,Nov 07 2021 01: +0,1636246800
0.529,143,Nov 08 2021 01: +0,1636333200
0.561,127,Nov 09 2021 01: +0,1636419600
0.424,326,Nov 10 2021 01: +0,1636506000
0.387,197,Nov 11 2021 01: +0,1636592400
0.42,158,Nov 12 2021 01: +0,1636678800
0.415,157,Nov 13 2021 01: +0,1636765200
0.468,141,Nov 14 2021 01: +0,1636851600
0.5,131,Nov 15 2021 01: +0,1636938000
0.551,124,Nov 16 2021 01: +0,1637024400
0.469,242,Nov 17 2021 01: +0,1637110800
0.514,162,Nov 18 2021 01: +0,1637197200
