price,quantity,date,unix timestamp
0.707,2015,Mar 18 2016 01: +0,1458262800
0.675,1214,Mar 19 2016 01: +0,1458349200
0.651,775,Mar 20 2016 01: +0,1458435600
0.738,636,Mar 21 2016 01: +0,1458522000
0.792,487,Mar 22 2016 01: +0,1458608400
0.761,478,Mar 23 2016 01: +0,1458694800
0.799,641,Mar 24 2016 01: +0,1458781200
0.781,571,Mar 25 2016 01: +0,1458867600
0.803,578,Mar 26 2016 01: +0,1458954000
0.843,698,Mar 27 2016 01: +0,1459040400
1.024,1241,Mar 28 2016 01: +0,1459123200
1.038,1312,Mar 29 2016 01: +0,1459209600
0.703,621,Mar 30 2016 01: +0,1459296000
0.249,311,Mar 31 2016 01: +0,1459382400
0.248,243,Apr 01 2016 01: +0,1459468800
0.248,206,Apr 02 2016 01: +0,1459555200
0.133,2753,Apr 03 2016 01: +0,1459641600
0.138,1684,Apr 04 2016 01: +0,1459728000
0.161,966,Apr 05 2016 01: +0,1459814400
0.176,480,Apr 06 2016 01: +0,1459900800
0.184,401,Apr 07 2016 01: +0,1459987200
0.185,516,Apr 08 2016 01: +0,1460073600
0.194,507,Apr 09 2016 01: +0,1460160000
0.191,451,Apr 10 2016 01: +0,1460246400
0.186,307,Apr 11 2016 01: +0,1460332800
0.182,293,Apr 12 2016 01: +0,1460419200
0.197,689,Apr 13 2016 01: +0,1460505600
0.179,240,Apr 14 2016 01: +0,1460592000
0.182,263,Apr 15 2016 01: +0,1460678400
0.221,428,Apr 16 2016 01: +0,1460764800
0.194,263,Apr 17 2016 01: +0,1460851200
0.189,283,Apr 18 2016 01: +0,1460937600
0.189,239,Apr 19 2016 01: +0,1461024000
0.19,269,Apr 20 2016 01: +0,1461110400
0.193,230,Apr 21 2016 01: +0,1461196800
0.195,258,Apr 22 2016 01: +0,1461283200
0.199,324,Apr 23 2016 01: +0,1461369600
0.199,306,Apr 24 2016 01: +0,1461456000
0.199,205,Apr 25 2016 01: +0,1461542400
0.203,233,Apr 26 2016 01: +0,1461628800
0.206,182,Apr 27 2016 01: +0,1461715200
0.203,210,Apr 28 2016 01: +0,1461801600
0.217,205,Apr 29 2016 01: +0,1461888000
0.225,217,Apr 30 2016 01: +0,1461974400
0.225,284,May 01 2016 01: +0,1462060800
