price,quantity,date,unix timestamp
6.582,2,Jul 07 2017 01: +0,1499385600
7.637,8,Jul 08 2017 01: +0,1499472000
9.175,6,Jul 09 2017 01: +0,1499558400
10.028,5,Jul 10 2017 01: +0,1499644800
11.064,2,Jul 11 2017 01: +0,1499731200
11.162,3,Jul 12 2017 01: +0,1499817600
10.074,4,Jul 13 2017 01: +0,1499904000
15.03,3,Jul 14 2017 01: +0,1499990400
22.774,3,Jul 15 2017 01: +0,1500076800
34.903,1,Jul 16 2017 01: +0,1500163200
14.365,3,Jul 17 2017 01: +0,1500249600
14.462,2,Jul 18 2017 01: +0,1500336000
14.182,9,Jul 19 2017 01: +0,1500422400
9.077,7,Jul 20 2017 01: +0,1500508800
7.897,8,Jul 21 2017 01: +0,1500595200
8.354,8,Jul 22 2017 01: +0,1500681600
5.916,65,Jul 23 2017 01: +0,1500768000
5.168,35,Jul 24 2017 01: +0,1500854400
6.344,24,Jul 25 2017 01: +0,1500940800
8.742,15,Jul 26 2017 01: +0,1501027200
9.173,8,Jul 27 2017 01: +0,1501113600
7.388,6,Jul 28 2017 01: +0,1501200000
7.155,7,Jul 29 2017 01: +0,1501286400
7.189,8,Jul 30 2017 01: +0,1501372800
7.041,7,Jul 31 2017 01: +0,1501459200
6.779,6,Aug 01 2017 01: +0,1501545600
6.834,4,Aug 02 2017 01: +0,1501632000
7.237,6,Aug 03 2017 01: +0,1501718400
8.93,2,Aug 04 2017 01: +0,1501804800
8.153,3,Aug 05 2017 01: +0,1501891200
9.236,1,Aug 06 2017 01: +0,1501977600
8.049,3,Aug 07 2017 01: +0,1502064000
6.677,2,Aug 08 2017 01: +0,1502150400
7.005,1,Aug 09 2017 01: +0,1502236800
6.448,4,Aug 10 2017 01: +0,1502323200
5.785,2,Aug 11 2017 01: +0,1502409600
6.546,4,Aug 12 2017 01: +0,1502496000
6.04,4,Aug 14 2017 01: +0,1502668800
6.912,3,Aug 15 2017 01: +0,1502755200
6.17,3,Aug 16 2017 01: +0,1502841600
6.878,2,Aug 17 2017 01: +0,1502928000
6.96,2,Aug 18 2017 01: +0,1503014400
5.656,2,Aug 20 2017 01: +0,1503187200
6.696,1,Aug 21 2017 01: +0,1503273600
6.668,3,Aug 22 2017 01: +0,1503360000
7.02,1,Aug 24 2017 01: +0,1503532800
7.123,3,Aug 25 2017 01: +0,1503619200
7.249,3,Aug 26 2017 01: +0,1503705600
7.306,1,Aug 27 2017 01: +0,1503792000
7.466,1,Aug 28 2017 01: +0,1503878400
8.107,2,Aug 29 2017 01: +0,1503964800
9.146,5,Aug 30 2017 01: +0,1504051200
8.618,2,Aug 31 2017 01: +0,1504137600
8.75,1,Sep 01 2017 01: +0,1504224000
9.306,9,Sep 02 2017 01: +0,1504310400
11.296,2,Sep 03 2017 01: +0,1504396800
10.765,3,Sep 04 2017 01: +0,1504483200
14.511,2,Sep 06 2017 01: +0,1504656000
14.988,2,Sep 07 2017 01: +0,1504742400
10.394,1,Sep 10 2017 01: +0,1505001600
12.557,3,Sep 11 2017 01: +0,1505088000
13.198,1,Sep 13 2017 01: +0,1505260800
12.464,4,Sep 14 2017 01: +0,1505347200
10.646,2,Sep 16 2017 01: +0,1505520000
10.073,1,Sep 18 2017 01: +0,1505692800
12.305,1,Sep 19 2017 01: +0,1505779200
12.424,1,Sep 20 2017 01: +0,1505865600
12.408,1,Sep 22 2017 01: +0,1506038400
13.856,1,Sep 24 2017 01: +0,1506211200
12.771,1,Sep 27 2017 01: +0,1506470400
12.927,4,Oct 01 2017 01: +0,1506816000
10.366,1,Oct 02 2017 01: +0,1506902400
11.375,1,Oct 03 2017 01: +0,1506988800
11.376,2,Oct 04 2017 01: +0,1507075200
10.331,1,Oct 06 2017 01: +0,1507248000
13.384,1,Oct 07 2017 01: +0,1507334400
11.845,2,Oct 08 2017 01: +0,1507420800
11.696,1,Oct 11 2017 01: +0,1507680000
12.366,1,Oct 14 2017 01: +0,1507939200
10.323,1,Oct 15 2017 01: +0,1508025600
11.01,2,Oct 16 2017 01: +0,1508112000
12.769,1,Oct 17 2017 01: +0,1508198400
11.753,2,Oct 20 2017 01: +0,1508457600
12.988,1,Oct 21 2017 01: +0,1508544000
11.79,2,Oct 24 2017 01: +0,1508803200
11.655,1,Oct 29 2017 01: +0,1509235200
10.702,1,Oct 30 2017 01: +0,1509325200
12.261,2,Nov 02 2017 01: +0,1509584400
10.702,1,Nov 03 2017 01: +0,1509670800
12.958,1,Nov 04 2017 01: +0,1509757200
12.846,1,Nov 05 2017 01: +0,1509843600
11.446,2,Nov 07 2017 01: +0,1510016400
12.332,1,Nov 08 2017 01: +0,1510102800
11.027,1,Nov 09 2017 01: +0,1510189200
12.38,1,Nov 11 2017 01: +0,1510362000
12.965,1,Nov 13 2017 01: +0,1510534800
12.356,3,Nov 14 2017 01: +0,1510621200
10.397,1,Nov 17 2017 01: +0,1510880400
12.389,1,Nov 24 2017 01: +0,1511485200
10.391,1,Nov 29 2017 01: +0,1511917200
10.369,1,Nov 30 2017 01: +0,1512003600
10.732,1,Dec 02 2017 01: +0,1512176400
10.399,1,Dec 03 2017 01: +0,1512262800
11.639,2,Dec 04 2017 01: +0,1512349200
9.926,1,Dec 06 2017 01: +0,1512522000
11.705,2,Dec 07 2017 01: +0,1512608400
10.733,1,Dec 10 2017 01: +0,1512867600
9.512,1,Dec 15 2017 01: +0,1513299600
10.882,1,Dec 16 2017 01: +0,1513386000
11.323,2,Dec 18 2017 01: +0,1513558800
10.083,1,Dec 20 2017 01: +0,1513731600
9.408,1,Jan 01 2018 01: +0,1514768400
9.107,1,Jan 02 2018 01: +0,1514854800
7.582,2,Jan 03 2018 01: +0,1514941200
5.598,1,Jan 04 2018 01: +0,1515027600
7.842,2,Jan 05 2018 01: +0,1515114000
7.084,1,Jan 10 2018 01: +0,1515546000
7.913,2,Jan 11 2018 01: +0,1515632400
7.277,1,Jan 14 2018 01: +0,1515891600
7.833,2,Jan 16 2018 01: +0,1516064400
5.706,3,Jan 18 2018 01: +0,1516237200
7.934,3,Jan 22 2018 01: +0,1516582800
6.38,7,Jan 23 2018 01: +0,1516669200
5.418,1,Jan 24 2018 01: +0,1516755600
7.253,4,Jan 25 2018 01: +0,1516842000
7.444,1,Jan 26 2018 01: +0,1516928400
7.133,3,Jan 29 2018 01: +0,1517187600
7.667,1,Jan 30 2018 01: +0,1517274000
7.609,1,Feb 04 2018 01: +0,1517706000
7.609,1,Feb 05 2018 01: +0,1517792400
5.103,1,Feb 14 2018 01: +0,1518570000
5.527,1,Feb 16 2018 01: +0,1518742800
7.436,1,Feb 22 2018 01: +0,1519261200
7.439,1,Feb 24 2018 01: +0,1519434000
5.496,1,Mar 03 2018 01: +0,1520038800
7.114,1,Mar 04 2018 01: +0,1520125200
7.425,2,Mar 06 2018 01: +0,1520298000
7.469,1,Mar 09 2018 01: +0,1520557200
7.435,1,Mar 10 2018 01: +0,1520643600
7.502,3,Mar 11 2018 01: +0,1520730000
