price,quantity,date,unix timestamp
6.992,19,Oct 22 2022 01: +0,1666396800
7.761,14,Oct 23 2022 01: +0,1666483200
7.225,13,Oct 24 2022 01: +0,1666569600
7.487,7,Oct 25 2022 01: +0,1666656000
7.83,12,Oct 26 2022 01: +0,1666742400
7.625,3,Oct 27 2022 01: +0,1666828800
7.548,1,Oct 28 2022 01: +0,1666915200
7.857,4,Oct 29 2022 01: +0,1667001600
8.333,8,Oct 30 2022 01: +0,1667088000
8.58,6,Oct 31 2022 01: +0,1667178000
10.588,2,Nov 01 2022 01: +0,1667264400
9.226,6,Nov 02 2022 01: +0,1667350800
9.25,4,Nov 03 2022 01: +0,1667437200
9.387,3,Nov 04 2022 01: +0,1667523600
9.33,1,Nov 05 2022 01: +0,1667610000
10.557,6,Nov 06 2022 01: +0,1667696400
12.77,1,Nov 07 2022 01: +0,1667782800
11.473,2,Nov 08 2022 01: +0,1667869200
11.047,4,Nov 09 2022 01: +0,1667955600
9.935,1,Nov 10 2022 01: +0,1668042000
14.389,3,Nov 11 2022 01: +0,1668128400
19.957,4,Nov 12 2022 01: +0,1668214800
10.576,6,Nov 13 2022 01: +0,1668301200
10.293,3,Nov 14 2022 01: +0,1668387600
7.606,4,Nov 15 2022 01: +0,1668474000
10.526,4,Nov 16 2022 01: +0,1668560400
9.682,1,Nov 17 2022 01: +0,1668646800
6.625,2,Nov 18 2022 01: +0,1668733200
4.075,1,Nov 20 2022 01: +0,1668906000
3.455,1,Nov 21 2022 01: +0,1668992400
5.726,1,Nov 22 2022 01: +0,1669078800
5.71,1,Nov 23 2022 01: +0,1669165200
5.425,1,Nov 26 2022 01: +0,1669424400
5.449,1,Nov 28 2022 01: +0,1669597200
5.697,2,Dec 01 2022 01: +0,1669856400
7.064,1,Dec 03 2022 01: +0,1670029200
3.619,1,Dec 05 2022 01: +0,1670202000
6.98,1,Dec 06 2022 01: +0,1670288400
7.169,1,Dec 07 2022 01: +0,1670374800
4.393,1,Dec 10 2022 01: +0,1670634000
4.887,1,Dec 11 2022 01: +0,1670720400
4.702,1,Dec 12 2022 01: +0,1670806800
6.374,1,Dec 13 2022 01: +0,1670893200
2.291,36,Dec 14 2022 01: +0,1670979600
1.881,29,Dec 15 2022 01: +0,1671066000
2.259,10,Dec 16 2022 01: +0,1671152400
2.091,13,Dec 17 2022 01: +0,1671238800
2.034,13,Dec 18 2022 01: +0,1671325200
2.359,7,Dec 19 2022 01: +0,1671411600
2.416,12,Dec 20 2022 01: +0,1671498000
2.451,7,Dec 21 2022 01: +0,1671584400
2.47,11,Dec 22 2022 01: +0,1671670800
2.389,4,Dec 23 2022 01: +0,1671757200
1.847,7,Dec 24 2022 01: +0,1671843600
1.785,6,Dec 25 2022 01: +0,1671930000
1.754,5,Dec 26 2022 01: +0,1672016400
1.73,7,Dec 27 2022 01: +0,1672102800
1.675,9,Dec 28 2022 01: +0,1672189200
1.423,12,Dec 29 2022 01: +0,1672275600
1.581,8,Dec 30 2022 01: +0,1672362000
1.489,7,Dec 31 2022 01: +0,1672448400
1.477,14,Jan 01 2023 01: +0,1672534800
1.503,10,Jan 02 2023 01: +0,1672621200
1.499,6,Jan 03 2023 01: +0,1672707600
1.588,7,Jan 04 2023 01: +0,1672794000
1.592,7,Jan 05 2023 01: +0,1672880400
1.591,7,Jan 06 2023 01: +0,1672966800
1.665,6,Jan 07 2023 01: +0,1673053200
1.696,8,Jan 08 2023 01: +0,1673139600
1.957,9,Jan 09 2023 01: +0,1673226000
1.927,9,Jan 10 2023 01: +0,1673312400
2.025,5,Jan 11 2023 01: +0,1673398800
2.634,6,Jan 13 2023 01: +0,1673571600
2.599,10,Jan 14 2023 01: +0,1673658000
2.5,10,Jan 15 2023 01: +0,1673744400
2.566,7,Jan 16 2023 01: +0,1673830800
2.223,6,Jan 17 2023 01: +0,1673917200
2.342,11,Jan 18 2023 01: +0,1674003600
2.056,8,Jan 19 2023 01: +0,1674090000
2.211,5,Jan 20 2023 01: +0,1674176400
2.164,8,Jan 21 2023 01: +0,1674262800
2.479,7,Jan 22 2023 01: +0,1674349200
2.662,9,Jan 23 2023 01: +0,1674435600
3.139,7,Jan 24 2023 01: +0,1674522000
3.197,16,Jan 25 2023 01: +0,1674608400
3.12,9,Jan 26 2023 01: +0,1674694800
3.035,7,Jan 27 2023 01: +0,1674781200
2.838,8,Jan 28 2023 01: +0,1674867600
2.362,15,Jan 29 2023 01: +0,1674954000
2.258,12,Jan 30 2023 01: +0,1675040400
2.284,16,Jan 31 2023 01: +0,1675126800
2.335,6,Feb 01 2023 01: +0,1675213200
2.469,22,Feb 02 2023 01: +0,1675299600
2.786,11,Feb 03 2023 01: +0,1675386000
2.862,20,Feb 04 2023 01: +0,1675472400
2.78,11,Feb 05 2023 01: +0,1675558800
2.619,11,Feb 06 2023 01: +0,1675645200
2.645,11,Feb 07 2023 01: +0,1675731600
2.59,9,Feb 08 2023 01: +0,1675818000
2.414,8,Feb 09 2023 01: +0,1675904400
2.472,20,Feb 10 2023 01: +0,1675990800
2.53,17,Feb 11 2023 01: +0,1676077200
2.563,9,Feb 12 2023 01: +0,1676163600
2.567,6,Feb 13 2023 01: +0,1676250000
2.457,12,Feb 14 2023 01: +0,1676336400
2.473,5,Feb 15 2023 01: +0,1676422800
2.573,15,Feb 16 2023 01: +0,1676509200
2.884,16,Feb 17 2023 01: +0,1676595600
2.789,6,Feb 18 2023 01: +0,1676682000
2.683,9,Feb 19 2023 01: +0,1676768400
2.647,9,Feb 20 2023 01: +0,1676854800
2.621,13,Feb 21 2023 01: +0,1676941200
2.716,15,Feb 22 2023 01: +0,1677027600
2.804,9,Feb 23 2023 01: +0,1677114000
2.932,10,Feb 24 2023 01: +0,1677200400
2.948,13,Feb 25 2023 01: +0,1677286800
3.014,6,Feb 26 2023 01: +0,1677373200
2.905,3,Feb 27 2023 01: +0,1677459600
3.551,28,Feb 28 2023 01: +0,1677546000
4.685,3,Mar 01 2023 01: +0,1677632400
5.484,5,Mar 02 2023 01: +0,1677718800
6.987,5,Mar 03 2023 01: +0,1677805200
5.773,11,Mar 04 2023 01: +0,1677891600
4.896,8,Mar 05 2023 01: +0,1677978000
4.097,6,Mar 06 2023 01: +0,1678064400
4.929,5,Mar 07 2023 01: +0,1678150800
4.261,3,Mar 08 2023 01: +0,1678237200
4.73,4,Mar 09 2023 01: +0,1678323600
4.782,4,Mar 10 2023 01: +0,1678410000
4.709,1,Mar 10 2023 19: +0,1678474800
5.472,4,Mar 11 2023 01: +0,1678496400
5.384,2,Mar 11 2023 03: +0,1678503600
5.726,3,Mar 11 2023 04: +0,1678507200
6.812,1,Mar 11 2023 09: +0,1678525200
6.925,3,Mar 11 2023 13: +0,1678539600
6.791,1,Mar 11 2023 14: +0,1678543200
6.79,4,Mar 11 2023 15: +0,1678546800
6.79,2,Mar 11 2023 16: +0,1678550400
5.468,1,Mar 11 2023 20: +0,1678564800
6.0,1,Mar 12 2023 18: +0,1678644000
6.471,2,Mar 13 2023 01: +0,1678669200
6.375,1,Mar 13 2023 03: +0,1678676400
5.395,1,Mar 14 2023 09: +0,1678784400
6.962,1,Mar 14 2023 15: +0,1678806000
6.258,1,Mar 14 2023 20: +0,1678824000
6.911,6,Mar 15 2023 05: +0,1678856400
7.011,5,Mar 15 2023 06: +0,1678860000
8.829,1,Mar 15 2023 12: +0,1678881600
8.859,1,Mar 15 2023 15: +0,1678892400
7.429,1,Mar 15 2023 22: +0,1678917600
11.432,2,Mar 15 2023 23: +0,1678921200
11.78,2,Mar 16 2023 00: +0,1678924800
11.431,1,Mar 16 2023 18: +0,1678989600
10.951,1,Mar 17 2023 15: +0,1679065200
8.392,1,Mar 18 2023 16: +0,1679155200
8.392,2,Mar 18 2023 20: +0,1679169600
8.092,2,Mar 19 2023 10: +0,1679220000
9.193,1,Mar 20 2023 02: +0,1679277600
8.004,1,Mar 20 2023 15: +0,1679324400
8.726,5,Mar 20 2023 17: +0,1679331600
7.241,1,Mar 21 2023 01: +0,1679360400
9.747,1,Mar 21 2023 09: +0,1679389200
8.234,1,Mar 21 2023 10: +0,1679392800
8.274,2,Mar 22 2023 17: +0,1679504400
8.282,1,Mar 22 2023 19: +0,1679511600
8.234,1,Mar 22 2023 22: +0,1679522400
7.984,1,Mar 23 2023 00: +0,1679529600
8.226,1,Mar 23 2023 03: +0,1679540400
7.83,1,Mar 23 2023 05: +0,1679547600
8.248,3,Mar 23 2023 08: +0,1679558400
8.239,1,Mar 23 2023 09: +0,1679562000
8.209,1,Mar 23 2023 16: +0,1679587200
6.906,1,Mar 23 2023 20: +0,1679601600
8.23,2,Mar 23 2023 22: +0,1679608800
7.826,2,Mar 23 2023 23: +0,1679612400
8.234,1,Mar 24 2023 00: +0,1679616000
8.234,1,Mar 24 2023 13: +0,1679662800
8.234,1,Mar 24 2023 19: +0,1679684400
8.234,1,Mar 24 2023 20: +0,1679688000
8.169,1,Mar 24 2023 23: +0,1679698800
8.234,2,Mar 25 2023 05: +0,1679720400
8.161,1,Mar 25 2023 10: +0,1679738400
8.258,1,Mar 25 2023 15: +0,1679756400
8.234,2,Mar 25 2023 17: +0,1679763600
8.136,1,Mar 26 2023 09: +0,1679817600
6.879,1,Mar 26 2023 15: +0,1679839200
8.363,1,Mar 26 2023 17: +0,1679846400
7.605,1,Mar 27 2023 03: +0,1679882400
7.58,1,Mar 28 2023 12: +0,1680001200
7.476,1,Mar 28 2023 13: +0,1680004800
7.58,1,Mar 28 2023 15: +0,1680012000
8.629,1,Mar 28 2023 17: +0,1680019200
7.58,1,Mar 28 2023 18: +0,1680022800
7.58,1,Mar 28 2023 20: +0,1680030000
8.404,2,Mar 29 2023 01: +0,1680048000
7.726,1,Mar 29 2023 14: +0,1680094800
8.766,1,Mar 30 2023 04: +0,1680145200
7.879,1,Mar 30 2023 07: +0,1680156000
8.291,1,Mar 30 2023 12: +0,1680174000
8.706,2,Mar 30 2023 14: +0,1680181200
8.322,1,Mar 30 2023 16: +0,1680188400
8.875,1,Mar 30 2023 18: +0,1680195600
8.193,1,Mar 31 2023 00: +0,1680217200
8.411,1,Mar 31 2023 11: +0,1680256800
2.898,1,Apr 01 2023 18: +0,1680368400
8.605,1,Apr 02 2023 03: +0,1680400800
8.589,1,Apr 02 2023 12: +0,1680433200
8.243,1,Apr 03 2023 00: +0,1680476400
8.234,1,Apr 03 2023 05: +0,1680494400
8.101,2,Apr 03 2023 07: +0,1680501600
7.83,1,Apr 03 2023 16: +0,1680534000
7.879,1,Apr 04 2023 08: +0,1680591600
7.609,1,Apr 05 2023 03: +0,1680660000
8.303,4,Apr 05 2023 13: +0,1680696000
8.585,2,Apr 05 2023 14: +0,1680699600
8.727,1,Apr 05 2023 22: +0,1680728400
8.766,1,Apr 06 2023 05: +0,1680753600
8.734,1,Apr 06 2023 15: +0,1680789600
8.588,1,Apr 07 2023 18: +0,1680886800
6.872,1,Apr 08 2023 03: +0,1680919200
5.903,1,Apr 08 2023 20: +0,1680980400
