price,quantity,date,unix timestamp
0.564,51,Mar 18 2016 01: +0,1458262800
0.563,32,Mar 19 2016 01: +0,1458349200
0.499,21,Mar 20 2016 01: +0,1458435600
0.675,22,Mar 21 2016 01: +0,1458522000
0.823,3,Mar 22 2016 01: +0,1458608400
0.563,12,Mar 23 2016 01: +0,1458694800
0.601,21,Mar 24 2016 01: +0,1458781200
0.532,16,Mar 25 2016 01: +0,1458867600
0.488,11,Mar 26 2016 01: +0,1458954000
0.527,24,Mar 27 2016 01: +0,1459040400
0.504,20,Mar 28 2016 01: +0,1459123200
0.809,89,Mar 29 2016 01: +0,1459209600
2.711,408,Mar 30 2016 01: +0,1459296000
0.773,34,Mar 31 2016 01: +0,1459382400
0.518,37,Apr 01 2016 01: +0,1459468800
0.497,32,Apr 02 2016 01: +0,1459555200
0.214,541,Apr 03 2016 01: +0,1459641600
0.236,218,Apr 04 2016 01: +0,1459728000
0.277,120,Apr 05 2016 01: +0,1459814400
0.292,95,Apr 06 2016 01: +0,1459900800
0.288,69,Apr 07 2016 01: +0,1459987200
0.29,70,Apr 08 2016 01: +0,1460073600
0.304,67,Apr 09 2016 01: +0,1460160000
0.288,56,Apr 10 2016 01: +0,1460246400
0.267,61,Apr 11 2016 01: +0,1460332800
0.265,74,Apr 12 2016 01: +0,1460419200
0.273,40,Apr 13 2016 01: +0,1460505600
0.279,38,Apr 14 2016 01: +0,1460592000
0.268,53,Apr 15 2016 01: +0,1460678400
0.273,80,Apr 16 2016 01: +0,1460764800
0.269,57,Apr 17 2016 01: +0,1460851200
0.3,53,Apr 18 2016 01: +0,1460937600
0.317,21,Apr 19 2016 01: +0,1461024000
0.381,91,Apr 20 2016 01: +0,1461110400
0.354,53,Apr 21 2016 01: +0,1461196800
0.354,34,Apr 22 2016 01: +0,1461283200
0.304,48,Apr 23 2016 01: +0,1461369600
0.304,43,Apr 24 2016 01: +0,1461456000
0.291,26,Apr 25 2016 01: +0,1461542400
0.289,35,Apr 26 2016 01: +0,1461628800
0.316,28,Apr 27 2016 01: +0,1461715200
0.3,34,Apr 28 2016 01: +0,1461801600
0.318,38,Apr 29 2016 01: +0,1461888000
0.332,25,Apr 30 2016 01: +0,1461974400
0.345,29,May 01 2016 01: +0,1462060800
0.333,43,May 02 2016 01: +0,1462147200
0.339,36,May 03 2016 01: +0,1462233600
0.334,28,May 04 2016 01: +0,1462320000
0.355,21,May 05 2016 01: +0,1462406400
0.346,22,May 06 2016 01: +0,1462492800
0.348,38,May 07 2016 01: +0,1462579200
0.352,28,May 08 2016 01: +0,1462665600
0.35,19,May 09 2016 01: +0,1462752000
0.364,17,May 10 2016 01: +0,1462838400
0.363,18,May 11 2016 01: +0,1462924800
0.367,15,May 12 2016 01: +0,1463011200
0.374,23,May 13 2016 01: +0,1463097600
0.378,27,May 14 2016 01: +0,1463184000
0.387,22,May 15 2016 01: +0,1463270400
0.361,14,May 16 2016 01: +0,1463356800
0.337,19,May 17 2016 01: +0,1463443200
0.347,25,May 18 2016 01: +0,1463529600
0.365,21,May 19 2016 01: +0,1463616000
0.365,17,May 20 2016 01: +0,1463702400
0.355,18,May 21 2016 01: +0,1463788800
0.342,29,May 22 2016 01: +0,1463875200
0.358,22,May 23 2016 01: +0,1463961600
0.352,24,May 24 2016 01: +0,1464048000
0.352,15,May 25 2016 01: +0,1464134400
0.345,16,May 26 2016 01: +0,1464220800
0.341,18,May 27 2016 01: +0,1464307200
0.343,24,May 28 2016 01: +0,1464393600
0.365,22,May 29 2016 01: +0,1464480000
0.359,15,May 30 2016 01: +0,1464566400
0.363,15,May 31 2016 01: +0,1464652800
0.348,20,Jun 01 2016 01: +0,1464739200
0.36,18,Jun 02 2016 01: +0,1464825600
0.323,26,Jun 03 2016 01: +0,1464912000
0.336,24,Jun 04 2016 01: +0,1464998400
0.315,27,Jun 05 2016 01: +0,1465084800
0.308,19,Jun 06 2016 01: +0,1465171200
0.314,21,Jun 07 2016 01: +0,1465257600
0.342,22,Jun 08 2016 01: +0,1465344000
0.321,20,Jun 09 2016 01: +0,1465430400
0.312,18,Jun 10 2016 01: +0,1465516800
0.322,19,Jun 11 2016 01: +0,1465603200
0.295,21,Jun 12 2016 01: +0,1465689600
0.301,26,Jun 13 2016 01: +0,1465776000
0.301,15,Jun 14 2016 01: +0,1465862400
0.291,12,Jun 15 2016 01: +0,1465948800
0.28,24,Jun 16 2016 01: +0,1466035200
0.287,37,Jun 17 2016 01: +0,1466121600
0.282,38,Jun 18 2016 01: +0,1466208000
0.286,24,Jun 19 2016 01: +0,1466294400
0.284,32,Jun 20 2016 01: +0,1466380800
0.286,34,Jun 21 2016 01: +0,1466467200
0.311,21,Jun 22 2016 01: +0,1466553600
0.287,21,Jun 23 2016 01: +0,1466640000
0.27,25,Jun 24 2016 01: +0,1466726400
0.251,15,Jun 25 2016 01: +0,1466812800
0.268,19,Jun 26 2016 01: +0,1466899200
0.263,20,Jun 27 2016 01: +0,1466985600
0.253,23,Jun 28 2016 01: +0,1467072000
0.257,14,Jun 29 2016 01: +0,1467158400
0.274,20,Jun 30 2016 01: +0,1467244800
0.277,7,Jul 01 2016 01: +0,1467331200
0.265,16,Jul 02 2016 01: +0,1467417600
0.273,19,Jul 03 2016 01: +0,1467504000
0.269,19,Jul 04 2016 01: +0,1467590400
0.275,21,Jul 05 2016 01: +0,1467676800
0.288,17,Jul 06 2016 01: +0,1467763200
0.247,32,Jul 07 2016 01: +0,1467849600
0.26,24,Jul 08 2016 01: +0,1467936000
0.276,21,Jul 09 2016 01: +0,1468022400
0.217,20,Jul 10 2016 01: +0,1468108800
0.221,27,Jul 11 2016 01: +0,1468195200
0.244,12,Jul 12 2016 01: +0,1468281600
0.262,11,Jul 13 2016 01: +0,1468368000
0.283,5,Jul 14 2016 01: +0,1468454400
0.296,10,Jul 15 2016 01: +0,1468540800
0.294,9,Jul 16 2016 01: +0,1468627200
0.3,7,Jul 17 2016 01: +0,1468713600
0.284,14,Jul 18 2016 01: +0,1468800000
0.307,4,Jul 19 2016 01: +0,1468886400
0.273,5,Jul 20 2016 01: +0,1468972800
0.256,5,Jul 21 2016 01: +0,1469059200
0.235,11,Jul 22 2016 01: +0,1469145600
0.276,7,Jul 23 2016 01: +0,1469232000
0.282,7,Jul 24 2016 01: +0,1469318400
0.238,7,Jul 25 2016 01: +0,1469404800
