price,quantity,date,unix timestamp
5.663,2,Jul 07 2017 01: +0,1499385600
6.74,12,Jul 08 2017 01: +0,1499472000
7.29,9,Jul 09 2017 01: +0,1499558400
7.504,4,Jul 10 2017 01: +0,1499644800
7.281,2,Jul 11 2017 01: +0,1499731200
6.828,6,Jul 12 2017 01: +0,1499817600
5.129,1,Jul 13 2017 01: +0,1499904000
6.331,5,Jul 14 2017 01: +0,1499990400
7.828,7,Jul 15 2017 01: +0,1500076800
7.899,10,Jul 16 2017 01: +0,1500163200
8.143,5,Jul 17 2017 01: +0,1500249600
8.673,5,Jul 18 2017 01: +0,1500336000
9.16,6,Jul 19 2017 01: +0,1500422400
11.041,4,Jul 20 2017 01: +0,1500508800
13.19,4,Jul 21 2017 01: +0,1500595200
18.015,4,Jul 22 2017 01: +0,1500681600
5.69,98,Jul 23 2017 01: +0,1500768000
4.612,52,Jul 24 2017 01: +0,1500854400
5.879,22,Jul 25 2017 01: +0,1500940800
9.082,15,Jul 26 2017 01: +0,1501027200
7.375,6,Jul 27 2017 01: +0,1501113600
7.541,6,Jul 28 2017 01: +0,1501200000
7.998,12,Jul 29 2017 01: +0,1501286400
9.013,5,Jul 30 2017 01: +0,1501372800
9.098,3,Jul 31 2017 01: +0,1501459200
7.722,6,Aug 01 2017 01: +0,1501545600
8.095,5,Aug 02 2017 01: +0,1501632000
8.034,4,Aug 03 2017 01: +0,1501718400
8.338,2,Aug 04 2017 01: +0,1501804800
7.427,4,Aug 05 2017 01: +0,1501891200
6.467,4,Aug 06 2017 01: +0,1501977600
7.386,5,Aug 07 2017 01: +0,1502064000
6.514,4,Aug 08 2017 01: +0,1502150400
5.984,3,Aug 09 2017 01: +0,1502236800
6.847,1,Aug 10 2017 01: +0,1502323200
6.561,4,Aug 11 2017 01: +0,1502409600
5.98,2,Aug 12 2017 01: +0,1502496000
6.781,3,Aug 13 2017 01: +0,1502582400
6.223,3,Aug 14 2017 01: +0,1502668800
7.131,5,Aug 15 2017 01: +0,1502755200
8.275,4,Aug 16 2017 01: +0,1502841600
8.006,1,Aug 17 2017 01: +0,1502928000
7.936,2,Aug 18 2017 01: +0,1503014400
8.055,1,Aug 19 2017 01: +0,1503100800
7.99,1,Aug 21 2017 01: +0,1503273600
6.684,2,Aug 22 2017 01: +0,1503360000
6.162,1,Aug 23 2017 01: +0,1503446400
7.124,2,Aug 24 2017 01: +0,1503532800
7.705,2,Aug 25 2017 01: +0,1503619200
6.058,1,Aug 26 2017 01: +0,1503705600
7.93,4,Aug 27 2017 01: +0,1503792000
7.9,1,Aug 29 2017 01: +0,1503964800
7.622,3,Aug 30 2017 01: +0,1504051200
8.448,4,Sep 01 2017 01: +0,1504224000
8.924,6,Sep 03 2017 01: +0,1504396800
8.893,1,Sep 04 2017 01: +0,1504483200
8.921,1,Sep 05 2017 01: +0,1504569600
9.246,2,Sep 06 2017 01: +0,1504656000
10.091,1,Sep 09 2017 01: +0,1504915200
10.306,4,Sep 10 2017 01: +0,1505001600
6.544,1,Sep 15 2017 01: +0,1505433600
7.383,1,Sep 17 2017 01: +0,1505606400
8.848,1,Sep 18 2017 01: +0,1505692800
7.078,1,Sep 19 2017 01: +0,1505779200
9.454,5,Sep 20 2017 01: +0,1505865600
10.604,1,Sep 21 2017 01: +0,1505952000
10.65,2,Sep 22 2017 01: +0,1506038400
7.112,1,Sep 23 2017 01: +0,1506124800
8.234,3,Sep 26 2017 01: +0,1506384000
9.938,1,Sep 29 2017 01: +0,1506643200
7.207,1,Sep 30 2017 01: +0,1506729600
7.215,2,Oct 01 2017 01: +0,1506816000
7.61,1,Oct 03 2017 01: +0,1506988800
7.452,1,Oct 04 2017 01: +0,1507075200
8.489,2,Oct 06 2017 01: +0,1507248000
10.542,2,Oct 09 2017 01: +0,1507507200
9.463,2,Oct 11 2017 01: +0,1507680000
9.896,1,Oct 13 2017 01: +0,1507852800
10.045,1,Oct 15 2017 01: +0,1508025600
8.289,2,Oct 16 2017 01: +0,1508112000
8.389,3,Oct 18 2017 01: +0,1508284800
9.622,2,Oct 19 2017 01: +0,1508371200
10.084,1,Oct 20 2017 01: +0,1508457600
8.109,1,Oct 22 2017 01: +0,1508630400
8.076,1,Oct 26 2017 01: +0,1508976000
7.592,2,Oct 30 2017 01: +0,1509325200
7.962,1,Oct 31 2017 01: +0,1509411600
8.062,1,Nov 02 2017 01: +0,1509584400
7.75,5,Nov 04 2017 01: +0,1509757200
8.664,1,Nov 06 2017 01: +0,1509930000
8.292,2,Nov 10 2017 01: +0,1510275600
9.124,1,Nov 13 2017 01: +0,1510534800
6.994,2,Nov 14 2017 01: +0,1510621200
8.884,1,Nov 17 2017 01: +0,1510880400
8.35,2,Nov 21 2017 01: +0,1511226000
8.346,1,Nov 22 2017 01: +0,1511312400
7.978,2,Nov 23 2017 01: +0,1511398800
7.736,2,Nov 25 2017 01: +0,1511571600
8.238,1,Nov 28 2017 01: +0,1511830800
8.039,1,Nov 30 2017 01: +0,1512003600
7.858,2,Dec 04 2017 01: +0,1512349200
8.064,1,Dec 05 2017 01: +0,1512435600
7.628,1,Dec 08 2017 01: +0,1512694800
8.74,1,Dec 10 2017 01: +0,1512867600
8.096,2,Dec 13 2017 01: +0,1513126800
8.555,4,Dec 14 2017 01: +0,1513213200
7.712,1,Dec 16 2017 01: +0,1513386000
8.453,1,Dec 18 2017 01: +0,1513558800
7.727,1,Dec 20 2017 01: +0,1513731600
7.39,2,Dec 21 2017 01: +0,1513818000
8.009,1,Dec 22 2017 01: +0,1513904400
7.044,1,Dec 23 2017 01: +0,1513990800
7.04,4,Dec 26 2017 01: +0,1514250000
7.527,1,Dec 28 2017 01: +0,1514422800
7.016,2,Jan 02 2018 01: +0,1514854800
6.483,2,Jan 06 2018 01: +0,1515200400
8.052,1,Jan 08 2018 01: +0,1515373200
7.885,2,Jan 14 2018 01: +0,1515891600
7.824,2,Jan 15 2018 01: +0,1515978000
7.387,1,Jan 19 2018 01: +0,1516323600
4.635,1,Jan 20 2018 01: +0,1516410000
7.897,1,Jan 25 2018 01: +0,1516842000
7.962,1,Jan 27 2018 01: +0,1517014800
5.879,1,Jan 30 2018 01: +0,1517274000
7.68,2,Jan 31 2018 01: +0,1517360400
7.937,1,Feb 02 2018 01: +0,1517533200
6.947,1,Feb 10 2018 01: +0,1518224400
7.546,1,Feb 11 2018 01: +0,1518310800
7.98,1,Feb 14 2018 01: +0,1518570000
8.722,4,Feb 16 2018 01: +0,1518742800
8.376,1,Feb 20 2018 01: +0,1519088400
8.265,1,Feb 21 2018 01: +0,1519174800
7.501,3,Feb 22 2018 01: +0,1519261200
8.445,1,Feb 23 2018 01: +0,1519347600
7.954,2,Feb 24 2018 01: +0,1519434000
8.609,1,Feb 27 2018 01: +0,1519693200
8.696,1,Mar 01 2018 01: +0,1519866000
8.776,3,Mar 02 2018 01: +0,1519952400
10.391,1,Mar 03 2018 01: +0,1520038800
10.462,1,Mar 04 2018 01: +0,1520125200
10.174,1,Mar 12 2018 01: +0,1520816400
10.306,1,Mar 13 2018 01: +0,1520902800
10.364,1,Mar 18 2018 01: +0,1521334800
7.028,1,Mar 24 2018 01: +0,1521853200
9.711,1,Mar 27 2018 01: +0,1522108800
7.039,1,Mar 28 2018 01: +0,1522195200
6.592,2,Apr 04 2018 01: +0,1522800000
8.862,1,Apr 05 2018 01: +0,1522886400
9.587,1,Apr 07 2018 01: +0,1523059200
9.787,1,Apr 08 2018 01: +0,1523145600
6.593,1,Apr 13 2018 01: +0,1523577600
9.86,1,Apr 19 2018 01: +0,1524096000
9.956,1,Apr 21 2018 01: +0,1524268800
10.504,1,Apr 22 2018 01: +0,1524355200
10.579,1,Apr 27 2018 01: +0,1524787200
11.52,1,Apr 29 2018 01: +0,1524960000
7.766,1,May 02 2018 01: +0,1525219200
15.435,1,May 13 2018 01: +0,1526169600
10.455,1,May 20 2018 01: +0,1526774400
9.001,2,May 28 2018 01: +0,1527465600
13.293,1,Jun 01 2018 01: +0,1527811200
7.867,1,Jun 05 2018 01: +0,1528156800
8.255,1,Jun 15 2018 01: +0,1529020800
11.716,1,Jun 20 2018 01: +0,1529452800
10.596,1,Jul 02 2018 01: +0,1530489600
10.741,1,Jul 03 2018 01: +0,1530576000
10.749,1,Jul 06 2018 01: +0,1530835200
11.795,1,Jul 07 2018 01: +0,1530921600
11.78,1,Jul 11 2018 01: +0,1531267200
11.979,2,Jul 12 2018 01: +0,1531353600
12.209,1,Jul 14 2018 01: +0,1531526400
12.514,1,Jul 16 2018 01: +0,1531699200
13.258,1,Jul 17 2018 01: +0,1531785600
13.16,1,Aug 01 2018 01: +0,1533081600
14.158,1,Aug 11 2018 01: +0,1533945600
15.27,1,Aug 25 2018 01: +0,1535155200
12.714,2,Aug 30 2018 01: +0,1535587200
10.281,1,Sep 02 2018 01: +0,1535846400
15.551,1,Sep 05 2018 01: +0,1536105600
10.324,1,Sep 08 2018 01: +0,1536364800
15.744,1,Sep 19 2018 01: +0,1537315200
16.32,1,Sep 25 2018 01: +0,1537833600
9.691,2,Sep 30 2018 01: +0,1538265600
11.435,1,Oct 05 2018 01: +0,1538697600
14.431,1,Oct 11 2018 01: +0,1539216000
10.976,1,Oct 13 2018 01: +0,1539388800
11.012,1,Oct 21 2018 01: +0,1540080000
14.004,1,Nov 04 2018 01: +0,1541293200
14.045,1,Nov 06 2018 01: +0,1541466000
11.014,1,Nov 08 2018 01: +0,1541638800
14.124,1,Nov 30 2018 01: +0,1543539600
11.717,1,Dec 24 2018 01: +0,1545613200
12.718,2,Dec 26 2018 01: +0,1545786000
14.148,1,Jan 05 2019 01: +0,1546650000
14.02,1,Jan 13 2019 01: +0,1547341200
11.592,1,Jan 20 2019 01: +0,1547946000
14.078,1,Jan 28 2019 01: +0,1548637200
14.69,1,Jan 29 2019 01: +0,1548723600
17.16,1,Feb 02 2019 01: +0,1549069200
14.411,1,Feb 04 2019 01: +0,1549242000
11.833,1,Feb 15 2019 01: +0,1550192400
15.906,1,Mar 25 2019 01: +0,1553475600
18.596,1,Mar 28 2019 01: +0,1553734800
21.427,1,Mar 30 2019 01: +0,1553907600
21.451,1,Apr 17 2019 01: +0,1555459200
19.023,1,Apr 29 2019 01: +0,1556496000
21.505,1,Apr 30 2019 01: +0,1556582400
23.807,1,Jun 02 2019 01: +0,1559433600
24.032,2,Jun 05 2019 01: +0,1559692800
23.756,1,Jun 09 2019 01: +0,1560038400
18.739,2,Jun 17 2019 01: +0,1560729600
35.957,1,Aug 14 2019 01: +0,1565740800
23.008,1,Aug 21 2019 01: +0,1566345600
34.653,1,Sep 07 2019 01: +0,1567814400
35.953,3,Sep 20 2019 01: +0,1568937600
31.743,1,Oct 25 2019 01: +0,1571961600
44.969,1,Jan 20 2020 01: +0,1579482000
44.609,1,Feb 01 2020 01: +0,1580518800
44.679,1,Mar 01 2020 01: +0,1583024400
45.43,2,Mar 12 2020 01: +0,1583974800
38.855,1,Mar 19 2020 01: +0,1584579600
65.684,1,May 14 2020 01: +0,1589414400
96.807,1,Sep 27 2020 01: +0,1601164800
178.58,1,Jan 25 2021 01: +0,1611536400
128.289,1,Feb 09 2021 01: +0,1612832400
103.289,1,Mar 11 2021 01: +0,1615424400
104.475,1,Apr 12 2021 01: +0,1618185600
165.435,1,May 10 2021 01: +0,1620604800
180.737,1,May 14 2021 01: +0,1620950400
183.798,1,May 28 2021 01: +0,1622160000
185.654,1,Jun 02 2021 01: +0,1622592000
201.309,1,Jun 03 2021 01: +0,1622678400
267.836,1,Jun 11 2021 01: +0,1623369600
180.037,1,Mar 04 2022 01: +0,1646355600
185.706,1,Apr 20 2022 01: +0,1650412800
251.593,2,Aug 15 2022 01: +0,1660521600
561.11,1,Jun 02 2023 10: +0,1685696400
