price,quantity,date,unix timestamp
6.839,1,Oct 22 2022 01: +0,1666396800
7.273,6,Oct 23 2022 01: +0,1666483200
7.75,1,Oct 24 2022 01: +0,1666569600
7.354,1,Oct 25 2022 01: +0,1666656000
8.256,2,Oct 26 2022 01: +0,1666742400
12.038,2,Oct 28 2022 01: +0,1666915200
15.094,1,Nov 01 2022 01: +0,1667264400
15.602,1,Nov 02 2022 01: +0,1667350800
11.212,2,Nov 06 2022 01: +0,1667696400
15.37,2,Nov 10 2022 01: +0,1668042000
17.846,3,Nov 11 2022 01: +0,1668128400
24.181,1,Nov 12 2022 01: +0,1668214800
3.133,1,Nov 13 2022 01: +0,1668301200
5.291,2,Nov 14 2022 01: +0,1668387600
7.565,1,Nov 15 2022 01: +0,1668474000
8.701,2,Nov 16 2022 01: +0,1668560400
7.395,1,Nov 17 2022 01: +0,1668646800
5.132,1,Nov 19 2022 01: +0,1668819600
9.051,2,Nov 23 2022 01: +0,1669165200
12.108,1,Nov 26 2022 01: +0,1669424400
14.238,2,Dec 08 2022 01: +0,1670461200
5.925,8,Dec 14 2022 01: +0,1670979600
2.826,8,Dec 15 2022 01: +0,1671066000
3.873,3,Dec 17 2022 01: +0,1671238800
4.101,8,Dec 18 2022 01: +0,1671325200
3.425,1,Dec 19 2022 01: +0,1671411600
6.07,1,Dec 20 2022 01: +0,1671498000
4.126,2,Dec 21 2022 01: +0,1671584400
3.975,3,Dec 23 2022 01: +0,1671757200
3.481,4,Dec 24 2022 01: +0,1671843600
4.052,4,Dec 25 2022 01: +0,1671930000
3.513,1,Dec 26 2022 01: +0,1672016400
3.483,1,Dec 27 2022 01: +0,1672102800
3.365,1,Dec 28 2022 01: +0,1672189200
3.444,3,Dec 29 2022 01: +0,1672275600
3.319,2,Dec 30 2022 01: +0,1672362000
4.252,1,Dec 31 2022 01: +0,1672448400
3.364,2,Jan 01 2023 01: +0,1672534800
4.114,1,Jan 02 2023 01: +0,1672621200
3.395,1,Jan 03 2023 01: +0,1672707600
3.371,6,Jan 04 2023 01: +0,1672794000
