price,quantity,date,unix timestamp
0.131,225,Aug 14 2019 01: +0,1565740800
0.092,513,Aug 15 2019 01: +0,1565827200
0.091,330,Aug 16 2019 01: +0,1565913600
0.087,317,Aug 17 2019 01: +0,1566000000
0.093,253,Aug 18 2019 01: +0,1566086400
0.092,231,Aug 19 2019 01: +0,1566172800
0.086,277,Aug 20 2019 01: +0,1566259200
0.093,240,Aug 21 2019 01: +0,1566345600
0.092,172,Aug 22 2019 01: +0,1566432000
0.092,217,Aug 23 2019 01: +0,1566518400
0.093,214,Aug 24 2019 01: +0,1566604800
0.096,202,Aug 25 2019 01: +0,1566691200
0.095,206,Aug 26 2019 01: +0,1566777600
0.096,191,Aug 27 2019 01: +0,1566864000
0.099,176,Aug 28 2019 01: +0,1566950400
0.105,198,Aug 29 2019 01: +0,1567036800
0.098,205,Aug 30 2019 01: +0,1567123200
0.1,223,Aug 31 2019 01: +0,1567209600
0.108,219,Sep 01 2019 01: +0,1567296000
0.103,209,Sep 02 2019 01: +0,1567382400
0.105,149,Sep 03 2019 01: +0,1567468800
0.109,147,Sep 04 2019 01: +0,1567555200
0.108,149,Sep 05 2019 01: +0,1567641600
0.104,192,Sep 06 2019 01: +0,1567728000
0.099,1796,Sep 07 2019 01: +0,1567814400
0.033,9413,Sep 08 2019 01: +0,1567900800
0.03,6947,Sep 09 2019 01: +0,1567987200
0.03,5036,Sep 10 2019 01: +0,1568073600
0.03,4066,Sep 11 2019 01: +0,1568160000
0.03,3493,Sep 12 2019 01: +0,1568246400
0.03,3097,Sep 13 2019 01: +0,1568332800
0.03,2834,Sep 14 2019 01: +0,1568419200
0.03,3126,Sep 15 2019 01: +0,1568505600
0.03,2713,Sep 16 2019 01: +0,1568592000
0.03,3025,Sep 17 2019 01: +0,1568678400
0.03,2157,Sep 18 2019 01: +0,1568764800
0.03,2012,Sep 19 2019 01: +0,1568851200
0.03,1915,Sep 20 2019 01: +0,1568937600
0.03,2251,Sep 21 2019 01: +0,1569024000
0.03,2193,Sep 22 2019 01: +0,1569110400
0.03,1850,Sep 23 2019 01: +0,1569196800
0.03,1431,Sep 24 2019 01: +0,1569283200
0.03,1520,Sep 25 2019 01: +0,1569369600
0.03,1628,Sep 26 2019 01: +0,1569456000
0.03,1741,Sep 27 2019 01: +0,1569542400
0.03,1239,Sep 28 2019 01: +0,1569628800
0.03,1219,Sep 29 2019 01: +0,1569715200
0.03,844,Sep 30 2019 01: +0,1569801600
0.03,925,Oct 01 2019 01: +0,1569888000
0.03,872,Oct 02 2019 01: +0,1569974400
0.03,1028,Oct 03 2019 01: +0,1570060800
0.03,1044,Oct 04 2019 01: +0,1570147200
0.03,1200,Oct 05 2019 01: +0,1570233600
0.03,1068,Oct 06 2019 01: +0,1570320000
0.03,998,Oct 07 2019 01: +0,1570406400
0.03,887,Oct 08 2019 01: +0,1570492800
0.031,961,Oct 09 2019 01: +0,1570579200
0.03,711,Oct 10 2019 01: +0,1570665600
0.03,1041,Oct 11 2019 01: +0,1570752000
