price,quantity,date,unix timestamp
0.768,4,Jun 24 2016 01: +0,1466726400
0.53,465,Jun 25 2016 01: +0,1466812800
0.552,251,Jun 26 2016 01: +0,1466899200
0.577,223,Jun 27 2016 01: +0,1466985600
0.532,238,Jun 28 2016 01: +0,1467072000
0.534,167,Jun 29 2016 01: +0,1467158400
0.531,161,Jun 30 2016 01: +0,1467244800
0.548,181,Jul 01 2016 01: +0,1467331200
0.549,193,Jul 02 2016 01: +0,1467417600
0.575,269,Jul 03 2016 01: +0,1467504000
0.48,767,Jul 04 2016 01: +0,1467590400
0.4,829,Jul 05 2016 01: +0,1467676800
0.31,677,Jul 06 2016 01: +0,1467763200
0.372,631,Jul 07 2016 01: +0,1467849600
0.324,658,Jul 08 2016 01: +0,1467936000
0.218,354,Jul 09 2016 01: +0,1468022400
0.165,1096,Jul 10 2016 01: +0,1468108800
0.135,812,Jul 11 2016 01: +0,1468195200
0.163,426,Jul 12 2016 01: +0,1468281600
0.189,300,Jul 13 2016 01: +0,1468368000
0.187,237,Jul 14 2016 01: +0,1468454400
0.189,206,Jul 15 2016 01: +0,1468540800
0.198,161,Jul 16 2016 01: +0,1468627200
0.202,173,Jul 17 2016 01: +0,1468713600
0.203,207,Jul 18 2016 01: +0,1468800000
0.195,181,Jul 19 2016 01: +0,1468886400
0.198,183,Jul 20 2016 01: +0,1468972800
0.199,126,Jul 21 2016 01: +0,1469059200
0.197,142,Jul 22 2016 01: +0,1469145600
0.203,132,Jul 23 2016 01: +0,1469232000
0.212,129,Jul 24 2016 01: +0,1469318400
0.215,95,Jul 25 2016 01: +0,1469404800
0.214,149,Jul 26 2016 01: +0,1469491200
0.216,115,Jul 27 2016 01: +0,1469577600
0.223,87,Jul 28 2016 01: +0,1469664000
0.224,89,Jul 29 2016 01: +0,1469750400
0.223,101,Jul 30 2016 01: +0,1469836800
0.224,97,Jul 31 2016 01: +0,1469923200
0.22,94,Aug 01 2016 01: +0,1470009600
0.228,103,Aug 02 2016 01: +0,1470096000
0.222,97,Aug 03 2016 01: +0,1470182400
0.224,106,Aug 04 2016 01: +0,1470268800
0.222,104,Aug 05 2016 01: +0,1470355200
0.222,92,Aug 06 2016 01: +0,1470441600
0.224,84,Aug 07 2016 01: +0,1470528000
0.219,84,Aug 08 2016 01: +0,1470614400
0.226,66,Aug 09 2016 01: +0,1470700800
0.224,62,Aug 10 2016 01: +0,1470787200
0.22,80,Aug 11 2016 01: +0,1470873600
0.225,68,Aug 12 2016 01: +0,1470960000
0.229,66,Aug 13 2016 01: +0,1471046400
0.223,58,Aug 14 2016 01: +0,1471132800
0.227,81,Aug 15 2016 01: +0,1471219200
0.229,91,Aug 16 2016 01: +0,1471305600
0.235,64,Aug 17 2016 01: +0,1471392000
0.236,85,Aug 18 2016 01: +0,1471478400
0.24,90,Aug 19 2016 01: +0,1471564800
0.244,85,Aug 20 2016 01: +0,1471651200
0.24,64,Aug 21 2016 01: +0,1471737600
0.242,89,Aug 22 2016 01: +0,1471824000
0.246,65,Aug 23 2016 01: +0,1471910400
0.255,60,Aug 24 2016 01: +0,1471996800
0.255,51,Aug 25 2016 01: +0,1472083200
0.262,55,Aug 26 2016 01: +0,1472169600
0.261,66,Aug 27 2016 01: +0,1472256000
0.267,60,Aug 28 2016 01: +0,1472342400
0.263,70,Aug 29 2016 01: +0,1472428800
0.261,53,Aug 30 2016 01: +0,1472515200
0.265,62,Aug 31 2016 01: +0,1472601600
0.274,44,Sep 01 2016 01: +0,1472688000
0.275,41,Sep 02 2016 01: +0,1472774400
0.28,58,Sep 03 2016 01: +0,1472860800
0.283,61,Sep 04 2016 01: +0,1472947200
0.284,30,Sep 05 2016 01: +0,1473033600
0.286,36,Sep 06 2016 01: +0,1473120000
0.291,34,Sep 07 2016 01: +0,1473206400
0.289,57,Sep 08 2016 01: +0,1473292800
0.301,49,Sep 09 2016 01: +0,1473379200
0.301,36,Sep 10 2016 01: +0,1473465600
0.304,36,Sep 11 2016 01: +0,1473552000
0.301,28,Sep 12 2016 01: +0,1473638400
0.296,43,Sep 13 2016 01: +0,1473724800
0.286,42,Sep 14 2016 01: +0,1473811200
0.29,43,Sep 15 2016 01: +0,1473897600
0.297,34,Sep 16 2016 01: +0,1473984000
0.301,45,Sep 17 2016 01: +0,1474070400
0.296,47,Sep 18 2016 01: +0,1474156800
0.293,29,Sep 19 2016 01: +0,1474243200
0.303,31,Sep 20 2016 01: +0,1474329600
0.296,35,Sep 21 2016 01: +0,1474416000
0.293,33,Sep 22 2016 01: +0,1474502400
0.293,40,Sep 23 2016 01: +0,1474588800
0.298,42,Sep 24 2016 01: +0,1474675200
0.299,43,Sep 25 2016 01: +0,1474761600
0.286,27,Sep 26 2016 01: +0,1474848000
0.301,25,Sep 27 2016 01: +0,1474934400
0.309,25,Sep 28 2016 01: +0,1475020800
0.309,25,Sep 29 2016 01: +0,1475107200
0.301,30,Sep 30 2016 01: +0,1475193600
0.292,32,Oct 01 2016 01: +0,1475280000
0.29,58,Oct 02 2016 01: +0,1475366400
0.297,23,Oct 03 2016 01: +0,1475452800
0.309,27,Oct 04 2016 01: +0,1475539200
0.306,29,Oct 05 2016 01: +0,1475625600
