price,quantity,date,unix timestamp
30.756,11,May 04 2022 01: +0,1651622400
36.868,7,May 05 2022 01: +0,1651708800
37.979,2,May 06 2022 01: +0,1651795200
38.603,3,May 07 2022 01: +0,1651881600
31.01,2,May 08 2022 01: +0,1651968000
27.654,1,May 09 2022 01: +0,1652054400
32.384,3,May 10 2022 01: +0,1652140800
29.534,3,May 11 2022 01: +0,1652227200
38.05,1,May 13 2022 01: +0,1652400000
33.278,4,May 15 2022 01: +0,1652572800
35.039,1,May 17 2022 01: +0,1652745600
27.015,1,May 20 2022 01: +0,1653004800
15.491,3,May 22 2022 01: +0,1653177600
11.074,3,May 24 2022 01: +0,1653350400
21.515,1,May 25 2022 01: +0,1653436800
23.026,2,May 26 2022 01: +0,1653523200
17.701,1,May 31 2022 01: +0,1653955200
15.23,5,Jun 02 2022 01: +0,1654128000
11.778,11,Jun 03 2022 01: +0,1654214400
12.196,14,Jun 04 2022 01: +0,1654300800
13.424,8,Jun 05 2022 01: +0,1654387200
12.584,6,Jun 06 2022 01: +0,1654473600
15.577,14,Jun 07 2022 01: +0,1654560000
13.228,8,Jun 09 2022 01: +0,1654732800
11.178,11,Jun 10 2022 01: +0,1654819200
8.507,25,Jun 11 2022 01: +0,1654905600
7.486,11,Jun 12 2022 01: +0,1654992000
8.793,8,Jun 13 2022 01: +0,1655078400
13.213,14,Jun 14 2022 01: +0,1655164800
11.707,8,Jun 15 2022 01: +0,1655251200
8.75,14,Jun 16 2022 01: +0,1655337600
7.662,13,Jun 17 2022 01: +0,1655424000
6.905,17,Jun 18 2022 01: +0,1655510400
7.093,6,Jun 19 2022 01: +0,1655596800
7.087,13,Jun 20 2022 01: +0,1655683200
6.316,11,Jun 21 2022 01: +0,1655769600
7.384,14,Jun 22 2022 01: +0,1655856000
7.381,8,Jun 23 2022 01: +0,1655942400
7.503,10,Jun 24 2022 01: +0,1656028800
7.01,18,Jun 25 2022 01: +0,1656115200
7.051,9,Jun 26 2022 01: +0,1656201600
7.286,8,Jun 27 2022 01: +0,1656288000
7.048,9,Jun 28 2022 01: +0,1656374400
6.9,5,Jun 29 2022 01: +0,1656460800
6.722,12,Jun 30 2022 01: +0,1656547200
6.578,5,Jul 01 2022 01: +0,1656633600
6.748,18,Jul 02 2022 01: +0,1656720000
5.939,6,Jul 03 2022 01: +0,1656806400
5.885,6,Jul 04 2022 01: +0,1656892800
5.116,13,Jul 05 2022 01: +0,1656979200
5.118,14,Jul 06 2022 01: +0,1657065600
5.0,16,Jul 07 2022 01: +0,1657152000
5.001,16,Jul 08 2022 01: +0,1657238400
5.458,16,Jul 09 2022 01: +0,1657324800
4.929,16,Jul 10 2022 01: +0,1657411200
5.542,14,Jul 11 2022 01: +0,1657497600
5.406,14,Jul 12 2022 01: +0,1657584000
5.741,4,Jul 13 2022 01: +0,1657670400
6.048,21,Jul 14 2022 01: +0,1657756800
6.433,25,Jul 15 2022 01: +0,1657843200
6.382,18,Jul 16 2022 01: +0,1657929600
6.362,16,Jul 17 2022 01: +0,1658016000
5.904,13,Jul 18 2022 01: +0,1658102400
5.942,11,Jul 19 2022 01: +0,1658188800
6.109,12,Jul 20 2022 01: +0,1658275200
5.808,4,Jul 21 2022 01: +0,1658361600
5.821,8,Jul 22 2022 01: +0,1658448000
6.1,11,Jul 23 2022 01: +0,1658534400
5.945,5,Jul 24 2022 01: +0,1658620800
5.725,4,Jul 25 2022 01: +0,1658707200
6.025,7,Jul 26 2022 01: +0,1658793600
5.646,9,Jul 27 2022 01: +0,1658880000
5.912,10,Jul 28 2022 01: +0,1658966400
5.561,16,Jul 29 2022 01: +0,1659052800
6.076,16,Jul 30 2022 01: +0,1659139200
5.747,8,Jul 31 2022 01: +0,1659225600
5.553,15,Aug 01 2022 01: +0,1659312000
6.403,4,Aug 02 2022 01: +0,1659398400
4.991,4,Aug 03 2022 01: +0,1659484800
5.501,15,Aug 04 2022 01: +0,1659571200
5.228,5,Aug 05 2022 01: +0,1659657600
4.901,3,Aug 06 2022 01: +0,1659744000
4.783,12,Aug 07 2022 01: +0,1659830400
4.688,16,Aug 08 2022 01: +0,1659916800
4.92,10,Aug 09 2022 01: +0,1660003200
4.615,12,Aug 10 2022 01: +0,1660089600
4.701,21,Aug 11 2022 01: +0,1660176000
4.45,11,Aug 12 2022 01: +0,1660262400
4.491,9,Aug 13 2022 01: +0,1660348800
4.376,1,Aug 14 2022 01: +0,1660435200
4.059,7,Aug 15 2022 01: +0,1660521600
3.755,9,Aug 16 2022 01: +0,1660608000
3.529,10,Aug 17 2022 01: +0,1660694400
3.703,10,Aug 18 2022 01: +0,1660780800
3.492,3,Aug 19 2022 01: +0,1660867200
3.459,12,Aug 20 2022 01: +0,1660953600
3.625,4,Aug 21 2022 01: +0,1661040000
3.411,2,Aug 22 2022 01: +0,1661126400
4.243,25,Aug 23 2022 01: +0,1661212800
3.457,8,Aug 24 2022 01: +0,1661299200
3.9,4,Aug 25 2022 01: +0,1661385600
4.306,26,Aug 26 2022 01: +0,1661472000
3.363,9,Aug 27 2022 01: +0,1661558400
3.495,7,Aug 28 2022 01: +0,1661644800
3.446,4,Aug 29 2022 01: +0,1661731200
3.258,4,Aug 30 2022 01: +0,1661817600
3.258,8,Aug 31 2022 01: +0,1661904000
3.196,8,Sep 01 2022 01: +0,1661990400
3.135,2,Sep 02 2022 01: +0,1662076800
3.381,6,Sep 03 2022 01: +0,1662163200
3.372,6,Sep 04 2022 01: +0,1662249600
3.111,3,Sep 05 2022 01: +0,1662336000
3.048,5,Sep 06 2022 01: +0,1662422400
3.211,5,Sep 07 2022 01: +0,1662508800
2.905,1,Sep 08 2022 01: +0,1662595200
2.732,1,Sep 09 2022 01: +0,1662681600
3.006,15,Sep 10 2022 01: +0,1662768000
2.883,3,Sep 11 2022 01: +0,1662854400
3.057,3,Sep 12 2022 01: +0,1662940800
3.146,1,Sep 13 2022 01: +0,1663027200
3.32,3,Sep 14 2022 01: +0,1663113600
3.221,9,Sep 15 2022 01: +0,1663200000
3.903,2,Sep 16 2022 01: +0,1663286400
3.579,4,Sep 17 2022 01: +0,1663372800
4.007,20,Sep 18 2022 01: +0,1663459200
3.914,7,Sep 19 2022 01: +0,1663545600
3.907,3,Sep 20 2022 01: +0,1663632000
3.726,5,Sep 21 2022 01: +0,1663718400
