price,quantity,date,unix timestamp
1.079,144,Aug 15 2015 01: +0,1439596800
1.126,62,Aug 16 2015 01: +0,1439683200
1.003,47,Aug 17 2015 01: +0,1439769600
0.874,33,Aug 18 2015 01: +0,1439856000
0.813,31,Aug 19 2015 01: +0,1439942400
1.028,52,Aug 20 2015 01: +0,1440028800
1.95,58,Aug 21 2015 01: +0,1440115200
1.761,23,Aug 22 2015 01: +0,1440201600
0.638,475,Aug 23 2015 01: +0,1440288000
0.56,203,Aug 24 2015 01: +0,1440374400
0.588,94,Aug 25 2015 01: +0,1440460800
0.653,55,Aug 26 2015 01: +0,1440547200
0.721,46,Aug 27 2015 01: +0,1440633600
0.698,48,Aug 28 2015 01: +0,1440720000
0.542,57,Aug 29 2015 01: +0,1440806400
0.585,49,Aug 30 2015 01: +0,1440892800
0.567,55,Aug 31 2015 01: +0,1440979200
0.502,55,Sep 01 2015 01: +0,1441065600
0.521,45,Sep 02 2015 01: +0,1441152000
0.522,52,Sep 03 2015 01: +0,1441238400
0.542,40,Sep 04 2015 01: +0,1441324800
0.523,50,Sep 05 2015 01: +0,1441411200
0.575,55,Sep 06 2015 01: +0,1441497600
0.639,24,Sep 07 2015 01: +0,1441584000
0.578,30,Sep 08 2015 01: +0,1441670400
0.472,35,Sep 09 2015 01: +0,1441756800
0.501,31,Sep 10 2015 01: +0,1441843200
0.479,41,Sep 11 2015 01: +0,1441929600
0.454,57,Sep 12 2015 01: +0,1442016000
0.543,46,Sep 13 2015 01: +0,1442102400
0.508,49,Sep 14 2015 01: +0,1442188800
0.69,29,Sep 15 2015 01: +0,1442275200
0.653,31,Sep 16 2015 01: +0,1442361600
0.588,30,Sep 17 2015 01: +0,1442448000
0.555,43,Sep 18 2015 01: +0,1442534400
0.537,41,Sep 19 2015 01: +0,1442620800
0.532,46,Sep 20 2015 01: +0,1442707200
0.523,27,Sep 21 2015 01: +0,1442793600
0.502,38,Sep 22 2015 01: +0,1442880000
0.538,41,Sep 23 2015 01: +0,1442966400
0.553,34,Sep 24 2015 01: +0,1443052800
0.563,34,Sep 25 2015 01: +0,1443139200
0.54,41,Sep 26 2015 01: +0,1443225600
0.598,45,Sep 27 2015 01: +0,1443312000
0.58,29,Sep 28 2015 01: +0,1443398400
0.592,24,Sep 29 2015 01: +0,1443484800
0.586,32,Sep 30 2015 01: +0,1443571200
0.569,28,Oct 01 2015 01: +0,1443657600
0.567,33,Oct 02 2015 01: +0,1443744000
0.548,36,Oct 03 2015 01: +0,1443830400
0.566,27,Oct 04 2015 01: +0,1443916800
0.587,32,Oct 05 2015 01: +0,1444003200
0.641,22,Oct 06 2015 01: +0,1444089600
0.712,16,Oct 07 2015 01: +0,1444176000
0.636,12,Oct 08 2015 01: +0,1444262400
0.605,24,Oct 09 2015 01: +0,1444348800
0.577,29,Oct 10 2015 01: +0,1444435200
0.601,18,Oct 11 2015 01: +0,1444521600
0.579,23,Oct 12 2015 01: +0,1444608000
0.509,21,Oct 13 2015 01: +0,1444694400
0.495,19,Oct 14 2015 01: +0,1444780800
0.528,26,Oct 15 2015 01: +0,1444867200
0.547,30,Oct 16 2015 01: +0,1444953600
0.55,17,Oct 17 2015 01: +0,1445040000
0.572,28,Oct 18 2015 01: +0,1445126400
0.581,11,Oct 19 2015 01: +0,1445212800
0.575,18,Oct 20 2015 01: +0,1445299200
0.482,28,Oct 21 2015 01: +0,1445385600
0.472,20,Oct 22 2015 01: +0,1445472000
0.46,23,Oct 23 2015 01: +0,1445558400
0.484,25,Oct 24 2015 01: +0,1445644800
0.555,27,Oct 25 2015 01: +0,1445731200
0.57,11,Oct 26 2015 01: +0,1445821200
0.523,10,Oct 27 2015 01: +0,1445907600
0.53,27,Oct 28 2015 01: +0,1445994000
0.569,29,Oct 29 2015 01: +0,1446080400
0.58,36,Oct 30 2015 01: +0,1446166800
0.602,34,Oct 31 2015 01: +0,1446253200
0.539,33,Nov 01 2015 01: +0,1446339600
0.508,19,Nov 02 2015 01: +0,1446426000
0.504,20,Nov 03 2015 01: +0,1446512400
0.496,10,Nov 04 2015 01: +0,1446598800
0.505,9,Nov 05 2015 01: +0,1446685200
0.515,12,Nov 06 2015 01: +0,1446771600
0.461,20,Nov 07 2015 01: +0,1446858000
0.467,10,Nov 08 2015 01: +0,1446944400
