price,quantity,date,unix timestamp
0.655,43,Jul 07 2017 01: +0,1499385600
0.556,142,Jul 08 2017 01: +0,1499472000
0.494,67,Jul 09 2017 01: +0,1499558400
0.479,65,Jul 10 2017 01: +0,1499644800
0.54,50,Jul 11 2017 01: +0,1499731200
0.506,31,Jul 12 2017 01: +0,1499817600
0.487,51,Jul 13 2017 01: +0,1499904000
0.469,30,Jul 14 2017 01: +0,1499990400
0.524,47,Jul 15 2017 01: +0,1500076800
0.53,50,Jul 16 2017 01: +0,1500163200
0.501,41,Jul 17 2017 01: +0,1500249600
0.477,40,Jul 18 2017 01: +0,1500336000
0.437,49,Jul 19 2017 01: +0,1500422400
0.425,63,Jul 20 2017 01: +0,1500508800
0.448,40,Jul 21 2017 01: +0,1500595200
0.434,67,Jul 22 2017 01: +0,1500681600
0.202,1488,Jul 23 2017 01: +0,1500768000
0.18,728,Jul 24 2017 01: +0,1500854400
0.227,284,Jul 25 2017 01: +0,1500940800
0.255,135,Jul 26 2017 01: +0,1501027200
0.269,141,Jul 27 2017 01: +0,1501113600
0.272,104,Jul 28 2017 01: +0,1501200000
0.298,73,Jul 29 2017 01: +0,1501286400
0.265,82,Jul 30 2017 01: +0,1501372800
0.251,136,Jul 31 2017 01: +0,1501459200
0.241,68,Aug 01 2017 01: +0,1501545600
0.236,95,Aug 02 2017 01: +0,1501632000
0.226,108,Aug 03 2017 01: +0,1501718400
0.225,92,Aug 04 2017 01: +0,1501804800
0.232,77,Aug 05 2017 01: +0,1501891200
0.232,103,Aug 06 2017 01: +0,1501977600
0.224,82,Aug 07 2017 01: +0,1502064000
0.226,73,Aug 08 2017 01: +0,1502150400
0.236,77,Aug 09 2017 01: +0,1502236800
0.238,54,Aug 10 2017 01: +0,1502323200
0.23,58,Aug 11 2017 01: +0,1502409600
0.231,71,Aug 12 2017 01: +0,1502496000
0.228,69,Aug 13 2017 01: +0,1502582400
0.229,51,Aug 14 2017 01: +0,1502668800
0.238,51,Aug 15 2017 01: +0,1502755200
0.242,46,Aug 16 2017 01: +0,1502841600
0.239,53,Aug 17 2017 01: +0,1502928000
0.237,60,Aug 18 2017 01: +0,1503014400
0.244,45,Aug 19 2017 01: +0,1503100800
0.245,43,Aug 20 2017 01: +0,1503187200
0.244,63,Aug 21 2017 01: +0,1503273600
0.247,60,Aug 22 2017 01: +0,1503360000
0.244,44,Aug 23 2017 01: +0,1503446400
0.253,47,Aug 24 2017 01: +0,1503532800
0.25,51,Aug 25 2017 01: +0,1503619200
0.262,31,Aug 26 2017 01: +0,1503705600
0.247,35,Aug 27 2017 01: +0,1503792000
0.259,30,Aug 28 2017 01: +0,1503878400
0.261,45,Aug 29 2017 01: +0,1503964800
0.26,37,Aug 30 2017 01: +0,1504051200
0.245,32,Aug 31 2017 01: +0,1504137600
0.264,61,Sep 01 2017 01: +0,1504224000
0.267,41,Sep 02 2017 01: +0,1504310400
0.27,32,Sep 03 2017 01: +0,1504396800
0.28,35,Sep 04 2017 01: +0,1504483200
0.281,16,Sep 05 2017 01: +0,1504569600
0.271,40,Sep 06 2017 01: +0,1504656000
0.281,38,Sep 07 2017 01: +0,1504742400
0.309,35,Sep 08 2017 01: +0,1504828800
0.319,24,Sep 09 2017 01: +0,1504915200
