price,quantity,date,unix timestamp
11.974,33,Jan 13 2017 01: +0,1484269200
8.638,22,Jan 14 2017 01: +0,1484355600
9.654,12,Jan 15 2017 01: +0,1484442000
9.737,10,Jan 16 2017 01: +0,1484528400
9.036,8,Jan 17 2017 01: +0,1484614800
11.321,8,Jan 18 2017 01: +0,1484701200
10.17,4,Jan 19 2017 01: +0,1484787600
12.804,4,Jan 20 2017 01: +0,1484874000
11.745,8,Jan 21 2017 01: +0,1484960400
11.744,8,Jan 22 2017 01: +0,1485046800
11.548,6,Jan 23 2017 01: +0,1485133200
11.737,5,Jan 24 2017 01: +0,1485219600
13.009,7,Jan 25 2017 01: +0,1485306000
12.322,5,Jan 26 2017 01: +0,1485392400
14.094,6,Jan 27 2017 01: +0,1485478800
14.173,6,Jan 28 2017 01: +0,1485565200
7.065,161,Jan 29 2017 01: +0,1485651600
6.993,146,Jan 30 2017 01: +0,1485738000
8.617,42,Jan 31 2017 01: +0,1485824400
8.362,10,Feb 01 2017 01: +0,1485910800
8.305,16,Feb 02 2017 01: +0,1485997200
8.618,23,Feb 03 2017 01: +0,1486083600
8.99,10,Feb 04 2017 01: +0,1486170000
8.386,11,Feb 05 2017 01: +0,1486256400
8.498,32,Feb 06 2017 01: +0,1486342800
8.146,14,Feb 07 2017 01: +0,1486429200
8.039,11,Feb 08 2017 01: +0,1486515600
8.015,12,Feb 09 2017 01: +0,1486602000
7.938,11,Feb 10 2017 01: +0,1486688400
8.327,14,Feb 11 2017 01: +0,1486774800
8.71,12,Feb 12 2017 01: +0,1486861200
8.571,3,Feb 13 2017 01: +0,1486947600
8.219,5,Feb 14 2017 01: +0,1487034000
8.05,13,Feb 15 2017 01: +0,1487120400
8.163,5,Feb 16 2017 01: +0,1487206800
8.309,8,Feb 17 2017 01: +0,1487293200
8.047,9,Feb 18 2017 01: +0,1487379600
8.537,3,Feb 19 2017 01: +0,1487466000
7.664,7,Feb 20 2017 01: +0,1487552400
7.897,9,Feb 21 2017 01: +0,1487638800
8.477,11,Feb 22 2017 01: +0,1487725200
8.264,19,Feb 23 2017 01: +0,1487811600
8.099,9,Feb 24 2017 01: +0,1487898000
7.907,6,Feb 25 2017 01: +0,1487984400
8.357,6,Feb 26 2017 01: +0,1488070800
8.686,5,Feb 27 2017 01: +0,1488157200
9.104,1,Feb 28 2017 01: +0,1488243600
8.884,5,Mar 01 2017 01: +0,1488330000
9.19,10,Mar 02 2017 01: +0,1488416400
9.628,2,Mar 03 2017 01: +0,1488502800
10.454,7,Mar 04 2017 01: +0,1488589200
10.303,4,Mar 05 2017 01: +0,1488675600
10.402,4,Mar 06 2017 01: +0,1488762000
9.568,3,Mar 07 2017 01: +0,1488848400
10.491,8,Mar 08 2017 01: +0,1488934800
9.931,2,Mar 09 2017 01: +0,1489021200
9.882,2,Mar 10 2017 01: +0,1489107600
9.768,6,Mar 11 2017 01: +0,1489194000
10.465,6,Mar 12 2017 01: +0,1489280400
10.731,8,Mar 13 2017 01: +0,1489366800
11.6,3,Mar 14 2017 01: +0,1489453200
11.575,2,Mar 15 2017 01: +0,1489539600
10.056,4,Mar 16 2017 01: +0,1489626000
10.609,4,Mar 17 2017 01: +0,1489712400
10.352,8,Mar 18 2017 01: +0,1489798800
6.162,2,Mar 19 2017 01: +0,1489885200
9.264,6,Mar 20 2017 01: +0,1489971600
9.5,4,Mar 21 2017 01: +0,1490058000
10.099,5,Mar 22 2017 01: +0,1490144400
10.726,3,Mar 23 2017 01: +0,1490230800
9.841,2,Mar 24 2017 01: +0,1490317200
9.933,4,Mar 25 2017 01: +0,1490403600
9.174,6,Mar 26 2017 01: +0,1490490000
8.884,3,Mar 27 2017 01: +0,1490572800
10.038,2,Mar 28 2017 01: +0,1490659200
9.3,3,Mar 29 2017 01: +0,1490745600
8.694,7,Mar 30 2017 01: +0,1490832000
9.846,4,Mar 31 2017 01: +0,1490918400
9.846,4,Apr 01 2017 01: +0,1491004800
8.945,1,Apr 02 2017 01: +0,1491091200
8.947,1,Apr 03 2017 01: +0,1491177600
9.455,1,Apr 04 2017 01: +0,1491264000
9.719,2,Apr 05 2017 01: +0,1491350400
10.536,7,Apr 06 2017 01: +0,1491436800
9.92,2,Apr 07 2017 01: +0,1491523200
10.026,3,Apr 08 2017 01: +0,1491609600
9.525,4,Apr 09 2017 01: +0,1491696000
9.932,4,Apr 10 2017 01: +0,1491782400
10.204,5,Apr 11 2017 01: +0,1491868800
10.741,6,Apr 12 2017 01: +0,1491955200
10.876,2,Apr 13 2017 01: +0,1492041600
10.154,2,Apr 14 2017 01: +0,1492128000
9.861,4,Apr 15 2017 01: +0,1492214400
8.968,4,Apr 16 2017 01: +0,1492300800
9.866,3,Apr 17 2017 01: +0,1492387200
9.151,4,Apr 18 2017 01: +0,1492473600
10.542,3,Apr 19 2017 01: +0,1492560000
9.882,2,Apr 20 2017 01: +0,1492646400
9.725,4,Apr 21 2017 01: +0,1492732800
10.427,3,Apr 23 2017 01: +0,1492905600
10.458,2,Apr 24 2017 01: +0,1492992000
10.071,3,Apr 25 2017 01: +0,1493078400
10.356,1,Apr 26 2017 01: +0,1493164800
9.034,12,Apr 27 2017 01: +0,1493251200
10.445,5,Apr 28 2017 01: +0,1493337600
10.028,4,Apr 29 2017 01: +0,1493424000
10.111,5,Apr 30 2017 01: +0,1493510400
10.135,2,May 01 2017 01: +0,1493596800
10.471,5,May 02 2017 01: +0,1493683200
