price,quantity,date,unix timestamp
2.802,203,May 04 2022 01: +0,1651622400
2.914,65,May 05 2022 01: +0,1651708800
2.384,53,May 06 2022 01: +0,1651795200
2.39,46,May 07 2022 01: +0,1651881600
2.067,36,May 08 2022 01: +0,1651968000
2.292,31,May 09 2022 01: +0,1652054400
2.305,34,May 10 2022 01: +0,1652140800
2.291,29,May 11 2022 01: +0,1652227200
2.175,19,May 12 2022 01: +0,1652313600
2.055,20,May 13 2022 01: +0,1652400000
2.341,27,May 14 2022 01: +0,1652486400
1.952,9,May 15 2022 01: +0,1652572800
1.904,19,May 16 2022 01: +0,1652659200
1.731,24,May 17 2022 01: +0,1652745600
1.887,16,May 18 2022 01: +0,1652832000
1.584,16,May 19 2022 01: +0,1652918400
1.462,26,May 20 2022 01: +0,1653004800
1.528,15,May 21 2022 01: +0,1653091200
1.409,15,May 22 2022 01: +0,1653177600
1.347,18,May 23 2022 01: +0,1653264000
1.12,38,May 24 2022 01: +0,1653350400
1.093,37,May 25 2022 01: +0,1653436800
1.178,18,May 26 2022 01: +0,1653523200
1.154,32,May 27 2022 01: +0,1653609600
1.119,15,May 28 2022 01: +0,1653696000
1.1,23,May 29 2022 01: +0,1653782400
0.964,40,May 30 2022 01: +0,1653868800
1.332,48,May 31 2022 01: +0,1653955200
1.262,20,Jun 01 2022 01: +0,1654041600
1.189,61,Jun 02 2022 01: +0,1654128000
0.367,206,Jun 03 2022 01: +0,1654214400
0.382,171,Jun 04 2022 01: +0,1654300800
0.344,163,Jun 05 2022 01: +0,1654387200
0.374,131,Jun 06 2022 01: +0,1654473600
0.299,128,Jun 07 2022 01: +0,1654560000
0.335,114,Jun 08 2022 01: +0,1654646400
0.265,174,Jun 09 2022 01: +0,1654732800
0.208,172,Jun 10 2022 01: +0,1654819200
0.183,215,Jun 11 2022 01: +0,1654905600
0.147,249,Jun 12 2022 01: +0,1654992000
0.147,171,Jun 13 2022 01: +0,1655078400
0.139,206,Jun 14 2022 01: +0,1655164800
0.129,250,Jun 15 2022 01: +0,1655251200
0.106,276,Jun 16 2022 01: +0,1655337600
0.109,231,Jun 17 2022 01: +0,1655424000
0.105,243,Jun 18 2022 01: +0,1655510400
0.102,222,Jun 19 2022 01: +0,1655596800
0.106,227,Jun 20 2022 01: +0,1655683200
0.098,218,Jun 21 2022 01: +0,1655769600
0.1,251,Jun 22 2022 01: +0,1655856000
0.101,236,Jun 23 2022 01: +0,1655942400
0.096,199,Jun 24 2022 01: +0,1656028800
0.087,185,Jun 25 2022 01: +0,1656115200
0.089,176,Jun 26 2022 01: +0,1656201600
0.078,187,Jun 27 2022 01: +0,1656288000
0.079,188,Jun 28 2022 01: +0,1656374400
0.074,179,Jun 29 2022 01: +0,1656460800
0.074,216,Jun 30 2022 01: +0,1656547200
0.062,196,Jul 01 2022 01: +0,1656633600
0.055,281,Jul 02 2022 01: +0,1656720000
0.058,321,Jul 03 2022 01: +0,1656806400
0.061,214,Jul 04 2022 01: +0,1656892800
0.053,245,Jul 05 2022 01: +0,1656979200
0.056,235,Jul 06 2022 01: +0,1657065600
0.056,172,Jul 07 2022 01: +0,1657152000
0.055,265,Jul 08 2022 01: +0,1657238400
0.046,228,Jul 09 2022 01: +0,1657324800
0.046,296,Jul 10 2022 01: +0,1657411200
0.049,254,Jul 11 2022 01: +0,1657497600
0.045,212,Jul 12 2022 01: +0,1657584000
0.053,156,Jul 13 2022 01: +0,1657670400
0.048,223,Jul 14 2022 01: +0,1657756800
0.047,157,Jul 15 2022 01: +0,1657843200
0.05,182,Jul 16 2022 01: +0,1657929600
0.046,200,Jul 17 2022 01: +0,1658016000
0.049,161,Jul 18 2022 01: +0,1658102400
0.053,171,Jul 19 2022 01: +0,1658188800
0.055,135,Jul 20 2022 01: +0,1658275200
0.051,144,Jul 21 2022 01: +0,1658361600
0.051,136,Jul 22 2022 01: +0,1658448000
0.054,125,Jul 23 2022 01: +0,1658534400
0.053,142,Jul 24 2022 01: +0,1658620800
0.047,168,Jul 25 2022 01: +0,1658707200
0.051,164,Jul 26 2022 01: +0,1658793600
0.055,138,Jul 27 2022 01: +0,1658880000
0.053,136,Jul 28 2022 01: +0,1658966400
0.054,131,Jul 29 2022 01: +0,1659052800
0.051,123,Jul 30 2022 01: +0,1659139200
0.051,178,Jul 31 2022 01: +0,1659225600
0.049,141,Aug 01 2022 01: +0,1659312000
0.049,311,Aug 02 2022 01: +0,1659398400
0.116,540,Aug 03 2022 01: +0,1659484800
0.125,248,Aug 04 2022 01: +0,1659571200
0.114,153,Aug 05 2022 01: +0,1659657600
0.111,146,Aug 06 2022 01: +0,1659744000
0.105,265,Aug 07 2022 01: +0,1659830400
0.093,260,Aug 08 2022 01: +0,1659916800
0.11,151,Aug 09 2022 01: +0,1660003200
0.085,253,Aug 10 2022 01: +0,1660089600
0.068,134,Aug 11 2022 01: +0,1660176000
0.06,122,Aug 12 2022 01: +0,1660262400
0.057,136,Aug 13 2022 01: +0,1660348800
0.051,138,Aug 14 2022 01: +0,1660435200
0.054,161,Aug 15 2022 01: +0,1660521600
0.049,175,Aug 16 2022 01: +0,1660608000
0.047,140,Aug 17 2022 01: +0,1660694400
0.05,138,Aug 18 2022 01: +0,1660780800
0.046,90,Aug 19 2022 01: +0,1660867200
0.047,111,Aug 20 2022 01: +0,1660953600
0.052,90,Aug 21 2022 01: +0,1661040000
0.048,136,Aug 22 2022 01: +0,1661126400
0.045,93,Aug 23 2022 01: +0,1661212800
0.049,126,Aug 24 2022 01: +0,1661299200
0.044,82,Aug 25 2022 01: +0,1661385600
0.051,103,Aug 26 2022 01: +0,1661472000
0.047,86,Aug 27 2022 01: +0,1661558400
0.048,111,Aug 28 2022 01: +0,1661644800
0.046,91,Aug 29 2022 01: +0,1661731200
0.049,78,Aug 30 2022 01: +0,1661817600
0.045,139,Aug 31 2022 01: +0,1661904000
0.042,92,Sep 01 2022 01: +0,1661990400
0.042,180,Sep 02 2022 01: +0,1662076800
0.039,96,Sep 03 2022 01: +0,1662163200
0.04,86,Sep 04 2022 01: +0,1662249600
0.044,102,Sep 05 2022 01: +0,1662336000
0.04,76,Sep 06 2022 01: +0,1662422400
0.041,109,Sep 07 2022 01: +0,1662508800
0.045,87,Sep 08 2022 01: +0,1662595200
0.044,97,Sep 09 2022 01: +0,1662681600
0.044,111,Sep 10 2022 01: +0,1662768000
0.043,103,Sep 11 2022 01: +0,1662854400
0.044,82,Sep 12 2022 01: +0,1662940800
0.047,95,Sep 13 2022 01: +0,1663027200
0.047,67,Sep 14 2022 01: +0,1663113600
0.047,71,Sep 15 2022 01: +0,1663200000
0.046,77,Sep 16 2022 01: +0,1663286400
0.049,62,Sep 17 2022 01: +0,1663372800
0.047,100,Sep 18 2022 01: +0,1663459200
0.046,80,Sep 19 2022 01: +0,1663545600
0.048,64,Sep 20 2022 01: +0,1663632000
0.046,96,Sep 21 2022 01: +0,1663718400
0.048,84,Sep 22 2022 01: +0,1663804800
0.046,90,Sep 23 2022 01: +0,1663891200
0.046,88,Sep 24 2022 01: +0,1663977600
0.048,101,Sep 25 2022 01: +0,1664064000
0.049,58,Sep 26 2022 01: +0,1664150400
0.049,93,Sep 27 2022 01: +0,1664236800
