price,quantity,date,unix timestamp
10.2,6,Feb 07 2019 01: +0,1549501200
7.561,5,Feb 08 2019 01: +0,1549587600
5.324,1,Feb 09 2019 01: +0,1549674000
6.534,1,Feb 11 2019 01: +0,1549846800
7.653,3,Feb 13 2019 01: +0,1550019600
7.858,1,Feb 16 2019 01: +0,1550278800
6.077,1,Feb 17 2019 01: +0,1550365200
5.334,1,Feb 18 2019 01: +0,1550451600
6.57,1,Feb 20 2019 01: +0,1550624400
9.777,1,Feb 21 2019 01: +0,1550710800
9.843,1,Feb 22 2019 01: +0,1550797200
11.248,1,Feb 25 2019 01: +0,1551056400
12.135,1,Feb 26 2019 01: +0,1551142800
7.334,1,Feb 27 2019 01: +0,1551229200
8.473,2,Feb 28 2019 01: +0,1551315600
5.919,2,Mar 01 2019 01: +0,1551402000
4.092,35,Mar 02 2019 01: +0,1551488400
3.652,42,Mar 03 2019 01: +0,1551574800
3.686,22,Mar 04 2019 01: +0,1551661200
3.547,14,Mar 05 2019 01: +0,1551747600
3.421,16,Mar 06 2019 01: +0,1551834000
2.853,9,Mar 07 2019 01: +0,1551920400
2.868,18,Mar 08 2019 01: +0,1552006800
3.157,9,Mar 09 2019 01: +0,1552093200
2.798,12,Mar 10 2019 01: +0,1552179600
2.868,18,Mar 11 2019 01: +0,1552266000
3.74,7,Mar 12 2019 01: +0,1552352400
3.487,6,Mar 13 2019 01: +0,1552438800
3.104,7,Mar 14 2019 01: +0,1552525200
2.913,12,Mar 15 2019 01: +0,1552611600
2.573,9,Mar 16 2019 01: +0,1552698000
2.632,19,Mar 17 2019 01: +0,1552784400
2.73,13,Mar 18 2019 01: +0,1552870800
2.68,9,Mar 19 2019 01: +0,1552957200
3.076,7,Mar 20 2019 01: +0,1553043600
2.726,8,Mar 21 2019 01: +0,1553130000
2.831,9,Mar 22 2019 01: +0,1553216400
2.876,4,Mar 23 2019 01: +0,1553302800
3.092,5,Mar 24 2019 01: +0,1553389200
2.826,5,Mar 25 2019 01: +0,1553475600
3.25,7,Mar 26 2019 01: +0,1553562000
3.071,6,Mar 27 2019 01: +0,1553648400
3.404,2,Mar 28 2019 01: +0,1553734800
2.999,7,Mar 29 2019 01: +0,1553821200
3.295,5,Mar 30 2019 01: +0,1553907600
3.27,5,Mar 31 2019 01: +0,1553994000
3.311,4,Apr 01 2019 01: +0,1554076800
3.629,3,Apr 02 2019 01: +0,1554163200
3.784,2,Apr 03 2019 01: +0,1554249600
3.091,4,Apr 04 2019 01: +0,1554336000
3.784,2,Apr 05 2019 01: +0,1554422400
3.708,3,Apr 06 2019 01: +0,1554508800
4.09,4,Apr 07 2019 01: +0,1554595200
4.271,1,Apr 08 2019 01: +0,1554681600
2.746,2,Apr 09 2019 01: +0,1554768000
3.146,2,Apr 10 2019 01: +0,1554854400
3.877,3,Apr 11 2019 01: +0,1554940800
4.055,3,Apr 13 2019 01: +0,1555113600
4.219,1,Apr 14 2019 01: +0,1555200000
4.116,3,Apr 15 2019 01: +0,1555286400
3.714,1,Apr 16 2019 01: +0,1555372800
3.958,6,Apr 17 2019 01: +0,1555459200
4.219,2,Apr 18 2019 01: +0,1555545600
4.275,4,Apr 19 2019 01: +0,1555632000
4.755,1,Apr 20 2019 01: +0,1555718400
3.96,3,Apr 23 2019 01: +0,1555977600
3.731,3,Apr 24 2019 01: +0,1556064000
4.177,2,Apr 25 2019 01: +0,1556150400
4.246,1,Apr 26 2019 01: +0,1556236800
3.621,3,Apr 27 2019 01: +0,1556323200
4.078,1,Apr 29 2019 01: +0,1556496000
4.605,1,Apr 30 2019 01: +0,1556582400
4.657,1,May 01 2019 01: +0,1556668800
2.895,1,May 03 2019 01: +0,1556841600
4.427,1,May 04 2019 01: +0,1556928000
4.472,10,May 05 2019 01: +0,1557014400
4.715,5,May 06 2019 01: +0,1557100800
4.649,3,May 07 2019 01: +0,1557187200
4.918,1,May 08 2019 01: +0,1557273600
3.822,1,May 09 2019 01: +0,1557360000
4.871,4,May 10 2019 01: +0,1557446400
4.954,1,May 11 2019 01: +0,1557532800
4.654,1,May 14 2019 01: +0,1557792000
4.428,2,May 15 2019 01: +0,1557878400
4.349,5,May 16 2019 01: +0,1557964800
4.8,1,May 17 2019 01: +0,1558051200
4.48,6,May 18 2019 01: +0,1558137600
4.957,2,May 19 2019 01: +0,1558224000
4.955,2,May 20 2019 01: +0,1558310400
5.337,1,May 22 2019 01: +0,1558483200
5.367,1,May 23 2019 01: +0,1558569600
5.154,1,May 24 2019 01: +0,1558656000
5.178,2,May 25 2019 01: +0,1558742400
5.329,1,May 27 2019 01: +0,1558915200
4.987,3,May 28 2019 01: +0,1559001600
5.429,2,May 29 2019 01: +0,1559088000
5.106,2,May 30 2019 01: +0,1559174400
5.136,2,May 31 2019 01: +0,1559260800
5.507,3,Jun 01 2019 01: +0,1559347200
5.753,2,Jun 04 2019 01: +0,1559606400
6.138,3,Jun 05 2019 01: +0,1559692800
7.292,4,Jun 06 2019 01: +0,1559779200
7.899,1,Jun 07 2019 01: +0,1559865600
6.674,1,Jun 09 2019 01: +0,1560038400
7.314,1,Jun 10 2019 01: +0,1560124800
6.308,2,Jun 11 2019 01: +0,1560211200
