price,quantity,date,unix timestamp
1.082,2,Jun 24 2016 01: +0,1466726400
0.925,156,Jun 25 2016 01: +0,1466812800
0.921,69,Jun 26 2016 01: +0,1466899200
1.066,59,Jun 27 2016 01: +0,1466985600
0.996,44,Jun 28 2016 01: +0,1467072000
1.022,36,Jun 29 2016 01: +0,1467158400
1.065,47,Jun 30 2016 01: +0,1467244800
1.128,34,Jul 01 2016 01: +0,1467331200
1.1,53,Jul 02 2016 01: +0,1467417600
1.105,41,Jul 03 2016 01: +0,1467504000
1.215,70,Jul 04 2016 01: +0,1467590400
1.084,110,Jul 05 2016 01: +0,1467676800
1.561,172,Jul 06 2016 01: +0,1467763200
1.757,98,Jul 07 2016 01: +0,1467849600
0.993,43,Jul 08 2016 01: +0,1467936000
0.97,38,Jul 09 2016 01: +0,1468022400
0.382,621,Jul 10 2016 01: +0,1468108800
0.257,292,Jul 11 2016 01: +0,1468195200
0.304,173,Jul 12 2016 01: +0,1468281600
0.3,101,Jul 13 2016 01: +0,1468368000
0.318,124,Jul 14 2016 01: +0,1468454400
0.322,109,Jul 15 2016 01: +0,1468540800
0.333,96,Jul 16 2016 01: +0,1468627200
0.338,95,Jul 17 2016 01: +0,1468713600
0.365,108,Jul 18 2016 01: +0,1468800000
0.3,93,Jul 19 2016 01: +0,1468886400
0.284,91,Jul 20 2016 01: +0,1468972800
0.294,87,Jul 21 2016 01: +0,1469059200
0.338,68,Jul 22 2016 01: +0,1469145600
0.349,61,Jul 23 2016 01: +0,1469232000
0.342,64,Jul 24 2016 01: +0,1469318400
0.369,61,Jul 25 2016 01: +0,1469404800
0.376,47,Jul 26 2016 01: +0,1469491200
0.354,51,Jul 27 2016 01: +0,1469577600
0.34,77,Jul 28 2016 01: +0,1469664000
0.368,50,Jul 29 2016 01: +0,1469750400
0.366,58,Jul 30 2016 01: +0,1469836800
0.363,70,Jul 31 2016 01: +0,1469923200
0.368,70,Aug 01 2016 01: +0,1470009600
0.369,66,Aug 02 2016 01: +0,1470096000
0.394,54,Aug 03 2016 01: +0,1470182400
0.379,59,Aug 04 2016 01: +0,1470268800
0.377,43,Aug 05 2016 01: +0,1470355200
0.393,54,Aug 06 2016 01: +0,1470441600
0.424,52,Aug 07 2016 01: +0,1470528000
0.427,38,Aug 08 2016 01: +0,1470614400
0.4,43,Aug 09 2016 01: +0,1470700800
0.396,33,Aug 10 2016 01: +0,1470787200
0.388,51,Aug 11 2016 01: +0,1470873600
0.39,33,Aug 12 2016 01: +0,1470960000
0.345,40,Aug 13 2016 01: +0,1471046400
0.364,43,Aug 14 2016 01: +0,1471132800
0.392,48,Aug 15 2016 01: +0,1471219200
0.403,41,Aug 16 2016 01: +0,1471305600
0.392,53,Aug 17 2016 01: +0,1471392000
0.394,47,Aug 18 2016 01: +0,1471478400
0.392,60,Aug 19 2016 01: +0,1471564800
0.42,50,Aug 20 2016 01: +0,1471651200
0.446,55,Aug 21 2016 01: +0,1471737600
0.428,41,Aug 22 2016 01: +0,1471824000
0.397,40,Aug 23 2016 01: +0,1471910400
0.427,31,Aug 24 2016 01: +0,1471996800
0.432,36,Aug 25 2016 01: +0,1472083200
0.417,44,Aug 26 2016 01: +0,1472169600
0.47,42,Aug 27 2016 01: +0,1472256000
0.479,50,Aug 28 2016 01: +0,1472342400
0.505,32,Aug 29 2016 01: +0,1472428800
0.43,36,Aug 30 2016 01: +0,1472515200
0.449,44,Aug 31 2016 01: +0,1472601600
0.427,43,Sep 01 2016 01: +0,1472688000
0.439,33,Sep 02 2016 01: +0,1472774400
0.448,27,Sep 03 2016 01: +0,1472860800
0.457,40,Sep 04 2016 01: +0,1472947200
0.478,39,Sep 05 2016 01: +0,1473033600
0.564,25,Sep 06 2016 01: +0,1473120000
0.561,28,Sep 07 2016 01: +0,1473206400
0.633,36,Sep 08 2016 01: +0,1473292800
0.649,36,Sep 09 2016 01: +0,1473379200
0.633,41,Sep 10 2016 01: +0,1473465600
0.62,27,Sep 11 2016 01: +0,1473552000
0.636,30,Sep 12 2016 01: +0,1473638400
0.61,32,Sep 13 2016 01: +0,1473724800
0.602,33,Sep 14 2016 01: +0,1473811200
0.61,18,Sep 15 2016 01: +0,1473897600
0.597,26,Sep 16 2016 01: +0,1473984000
0.629,40,Sep 17 2016 01: +0,1474070400
0.629,24,Sep 18 2016 01: +0,1474156800
0.623,23,Sep 19 2016 01: +0,1474243200
0.619,15,Sep 20 2016 01: +0,1474329600
0.578,21,Sep 21 2016 01: +0,1474416000
0.578,23,Sep 22 2016 01: +0,1474502400
0.626,20,Sep 23 2016 01: +0,1474588800
0.62,27,Sep 24 2016 01: +0,1474675200
0.652,22,Sep 25 2016 01: +0,1474761600
0.634,25,Sep 26 2016 01: +0,1474848000
