price,quantity,date,unix timestamp
4.082,94,Mar 18 2016 01: +0,1458262800
5.003,42,Mar 19 2016 01: +0,1458349200
4.412,19,Mar 20 2016 01: +0,1458435600
4.055,21,Mar 21 2016 01: +0,1458522000
3.997,11,Mar 22 2016 01: +0,1458608400
3.918,18,Mar 23 2016 01: +0,1458694800
4.306,21,Mar 24 2016 01: +0,1458781200
3.137,22,Mar 25 2016 01: +0,1458867600
3.114,18,Mar 26 2016 01: +0,1458954000
3.089,12,Mar 27 2016 01: +0,1459040400
3.786,22,Mar 28 2016 01: +0,1459123200
3.255,32,Mar 29 2016 01: +0,1459209600
4.363,54,Mar 30 2016 01: +0,1459296000
4.457,34,Mar 31 2016 01: +0,1459382400
4.029,21,Apr 01 2016 01: +0,1459468800
3.306,16,Apr 02 2016 01: +0,1459555200
0.893,684,Apr 03 2016 01: +0,1459641600
0.969,193,Apr 04 2016 01: +0,1459728000
1.122,95,Apr 05 2016 01: +0,1459814400
1.121,67,Apr 06 2016 01: +0,1459900800
1.164,64,Apr 07 2016 01: +0,1459987200
1.082,64,Apr 08 2016 01: +0,1460073600
1.085,60,Apr 09 2016 01: +0,1460160000
1.138,57,Apr 10 2016 01: +0,1460246400
1.18,48,Apr 11 2016 01: +0,1460332800
1.214,50,Apr 12 2016 01: +0,1460419200
1.185,39,Apr 13 2016 01: +0,1460505600
1.174,53,Apr 14 2016 01: +0,1460592000
1.219,47,Apr 15 2016 01: +0,1460678400
1.164,47,Apr 16 2016 01: +0,1460764800
1.309,40,Apr 17 2016 01: +0,1460851200
1.199,35,Apr 18 2016 01: +0,1460937600
1.134,46,Apr 19 2016 01: +0,1461024000
1.359,39,Apr 20 2016 01: +0,1461110400
1.283,19,Apr 21 2016 01: +0,1461196800
1.31,38,Apr 22 2016 01: +0,1461283200
1.445,39,Apr 23 2016 01: +0,1461369600
1.58,21,Apr 24 2016 01: +0,1461456000
1.449,25,Apr 25 2016 01: +0,1461542400
1.488,36,Apr 26 2016 01: +0,1461628800
1.472,23,Apr 27 2016 01: +0,1461715200
1.499,32,Apr 28 2016 01: +0,1461801600
1.552,35,Apr 29 2016 01: +0,1461888000
1.542,34,Apr 30 2016 01: +0,1461974400
1.575,38,May 01 2016 01: +0,1462060800
1.534,25,May 02 2016 01: +0,1462147200
1.414,16,May 03 2016 01: +0,1462233600
1.373,33,May 04 2016 01: +0,1462320000
1.365,28,May 05 2016 01: +0,1462406400
1.418,23,May 06 2016 01: +0,1462492800
1.556,21,May 07 2016 01: +0,1462579200
1.422,25,May 08 2016 01: +0,1462665600
1.604,27,May 09 2016 01: +0,1462752000
1.677,23,May 10 2016 01: +0,1462838400
1.458,19,May 11 2016 01: +0,1462924800
1.522,14,May 12 2016 01: +0,1463011200
1.53,25,May 13 2016 01: +0,1463097600
1.671,22,May 14 2016 01: +0,1463184000
1.655,16,May 15 2016 01: +0,1463270400
1.533,25,May 16 2016 01: +0,1463356800
1.44,16,May 17 2016 01: +0,1463443200
1.241,21,May 18 2016 01: +0,1463529600
1.176,21,May 19 2016 01: +0,1463616000
1.276,26,May 20 2016 01: +0,1463702400
1.335,27,May 21 2016 01: +0,1463788800
1.447,24,May 22 2016 01: +0,1463875200
1.438,21,May 23 2016 01: +0,1463961600
1.613,20,May 24 2016 01: +0,1464048000
1.619,6,May 25 2016 01: +0,1464134400
1.72,16,May 26 2016 01: +0,1464220800
1.709,19,May 27 2016 01: +0,1464307200
1.778,14,May 28 2016 01: +0,1464393600
1.631,14,May 29 2016 01: +0,1464480000
1.603,9,May 30 2016 01: +0,1464566400
1.478,14,May 31 2016 01: +0,1464652800
1.541,13,Jun 01 2016 01: +0,1464739200
1.559,22,Jun 02 2016 01: +0,1464825600
1.522,18,Jun 03 2016 01: +0,1464912000
1.587,14,Jun 04 2016 01: +0,1464998400
1.672,14,Jun 05 2016 01: +0,1465084800
1.553,14,Jun 06 2016 01: +0,1465171200
1.558,9,Jun 07 2016 01: +0,1465257600
1.525,9,Jun 08 2016 01: +0,1465344000
1.523,10,Jun 09 2016 01: +0,1465430400
1.557,14,Jun 10 2016 01: +0,1465516800
1.617,16,Jun 11 2016 01: +0,1465603200
1.891,6,Jun 12 2016 01: +0,1465689600
1.801,11,Jun 13 2016 01: +0,1465776000
1.88,14,Jun 14 2016 01: +0,1465862400
1.84,9,Jun 15 2016 01: +0,1465948800
1.871,16,Jun 16 2016 01: +0,1466035200
1.907,10,Jun 17 2016 01: +0,1466121600
1.712,12,Jun 18 2016 01: +0,1466208000
1.51,16,Jun 19 2016 01: +0,1466294400
1.588,12,Jun 20 2016 01: +0,1466380800
1.664,15,Jun 21 2016 01: +0,1466467200
1.743,11,Jun 22 2016 01: +0,1466553600
1.586,10,Jun 23 2016 01: +0,1466640000
1.601,13,Jun 24 2016 01: +0,1466726400
1.61,15,Jun 25 2016 01: +0,1466812800
1.374,8,Jun 26 2016 01: +0,1466899200
1.072,7,Jun 27 2016 01: +0,1466985600
1.104,8,Jun 28 2016 01: +0,1467072000
0.901,7,Jun 29 2016 01: +0,1467158400
0.853,13,Jun 30 2016 01: +0,1467244800
0.891,10,Jul 01 2016 01: +0,1467331200
0.838,13,Jul 02 2016 01: +0,1467417600
0.784,9,Jul 03 2016 01: +0,1467504000
0.778,15,Jul 04 2016 01: +0,1467590400
0.903,14,Jul 05 2016 01: +0,1467676800
1.338,13,Jul 06 2016 01: +0,1467763200
1.441,11,Jul 07 2016 01: +0,1467849600
1.279,8,Jul 08 2016 01: +0,1467936000
1.38,11,Jul 09 2016 01: +0,1468022400
1.098,13,Jul 10 2016 01: +0,1468108800
0.833,13,Jul 11 2016 01: +0,1468195200
1.013,6,Jul 12 2016 01: +0,1468281600
1.139,4,Jul 13 2016 01: +0,1468368000
0.972,7,Jul 14 2016 01: +0,1468454400
0.901,8,Jul 15 2016 01: +0,1468540800
0.94,7,Jul 16 2016 01: +0,1468627200
1.061,3,Jul 17 2016 01: +0,1468713600
1.135,8,Jul 18 2016 01: +0,1468800000
1.074,5,Jul 19 2016 01: +0,1468886400
1.027,3,Jul 20 2016 01: +0,1468972800
0.974,4,Jul 21 2016 01: +0,1469059200
0.891,5,Jul 22 2016 01: +0,1469145600
0.881,6,Jul 23 2016 01: +0,1469232000
0.954,4,Jul 24 2016 01: +0,1469318400
0.891,3,Jul 25 2016 01: +0,1469404800
0.872,8,Jul 26 2016 01: +0,1469491200
0.935,10,Jul 27 2016 01: +0,1469577600
0.983,3,Jul 28 2016 01: +0,1469664000
0.949,3,Jul 29 2016 01: +0,1469750400
0.916,5,Jul 30 2016 01: +0,1469836800
0.924,6,Jul 31 2016 01: +0,1469923200
0.995,4,Aug 01 2016 01: +0,1470009600
0.975,8,Aug 02 2016 01: +0,1470096000
1.233,7,Aug 03 2016 01: +0,1470182400
1.042,5,Aug 04 2016 01: +0,1470268800
1.303,7,Aug 05 2016 01: +0,1470355200
1.396,4,Aug 06 2016 01: +0,1470441600
1.264,3,Aug 07 2016 01: +0,1470528000
1.207,3,Aug 08 2016 01: +0,1470614400
1.006,3,Aug 09 2016 01: +0,1470700800
1.06,4,Aug 10 2016 01: +0,1470787200
1.106,1,Aug 11 2016 01: +0,1470873600
1.005,3,Aug 12 2016 01: +0,1470960000
1.02,7,Aug 13 2016 01: +0,1471046400
0.976,4,Aug 14 2016 01: +0,1471132800
0.985,2,Aug 15 2016 01: +0,1471219200
