price,quantity,date,unix timestamp
0.831,2,Oct 21 2022 01: +0,1666310400
0.867,75,Oct 22 2022 01: +0,1666396800
0.728,19,Oct 23 2022 01: +0,1666483200
0.652,9,Oct 24 2022 01: +0,1666569600
0.617,12,Oct 25 2022 01: +0,1666656000
0.634,13,Oct 26 2022 01: +0,1666742400
0.762,27,Oct 27 2022 01: +0,1666828800
0.755,8,Oct 28 2022 01: +0,1666915200
0.691,7,Oct 29 2022 01: +0,1667001600
0.767,19,Oct 30 2022 01: +0,1667088000
0.785,12,Oct 31 2022 01: +0,1667178000
0.644,5,Nov 01 2022 01: +0,1667264400
0.721,9,Nov 02 2022 01: +0,1667350800
0.86,12,Nov 03 2022 01: +0,1667437200
0.733,6,Nov 04 2022 01: +0,1667523600
0.652,17,Nov 05 2022 01: +0,1667610000
0.558,12,Nov 06 2022 01: +0,1667696400
0.602,10,Nov 07 2022 01: +0,1667782800
0.571,2,Nov 08 2022 01: +0,1667869200
0.47,9,Nov 09 2022 01: +0,1667955600
0.448,14,Nov 10 2022 01: +0,1668042000
0.419,5,Nov 11 2022 01: +0,1668128400
0.369,7,Nov 12 2022 01: +0,1668214800
0.442,1,Nov 13 2022 01: +0,1668301200
0.403,8,Nov 14 2022 01: +0,1668387600
0.273,4,Nov 15 2022 01: +0,1668474000
0.463,5,Nov 16 2022 01: +0,1668560400
0.608,12,Nov 17 2022 01: +0,1668646800
0.687,2,Nov 18 2022 01: +0,1668733200
0.634,2,Nov 19 2022 01: +0,1668819600
0.546,3,Nov 20 2022 01: +0,1668906000
0.318,3,Nov 21 2022 01: +0,1668992400
0.339,4,Nov 22 2022 01: +0,1669078800
0.397,8,Nov 23 2022 01: +0,1669165200
0.427,3,Nov 24 2022 01: +0,1669251600
0.458,4,Nov 25 2022 01: +0,1669338000
0.251,1,Nov 26 2022 01: +0,1669424400
0.451,1,Nov 27 2022 01: +0,1669510800
0.579,2,Nov 28 2022 01: +0,1669597200
0.391,6,Nov 29 2022 01: +0,1669683600
0.445,5,Nov 30 2022 01: +0,1669770000
0.552,1,Dec 01 2022 01: +0,1669856400
0.496,4,Dec 02 2022 01: +0,1669942800
0.444,3,Dec 04 2022 01: +0,1670115600
0.468,2,Dec 05 2022 01: +0,1670202000
0.455,3,Dec 06 2022 01: +0,1670288400
0.446,6,Dec 07 2022 01: +0,1670374800
0.436,2,Dec 08 2022 01: +0,1670461200
0.399,1,Dec 09 2022 01: +0,1670547600
0.542,6,Dec 10 2022 01: +0,1670634000
0.445,1,Dec 12 2022 01: +0,1670806800
0.256,61,Dec 14 2022 01: +0,1670979600
0.254,29,Dec 15 2022 01: +0,1671066000
0.22,28,Dec 16 2022 01: +0,1671152400
0.194,24,Dec 17 2022 01: +0,1671238800
0.185,29,Dec 18 2022 01: +0,1671325200
0.179,28,Dec 19 2022 01: +0,1671411600
0.182,18,Dec 20 2022 01: +0,1671498000
0.188,23,Dec 21 2022 01: +0,1671584400
0.178,14,Dec 22 2022 01: +0,1671670800
0.137,15,Dec 23 2022 01: +0,1671757200
0.126,22,Dec 24 2022 01: +0,1671843600
0.155,29,Dec 25 2022 01: +0,1671930000
0.166,19,Dec 26 2022 01: +0,1672016400
0.159,15,Dec 27 2022 01: +0,1672102800
0.161,34,Dec 28 2022 01: +0,1672189200
0.17,20,Dec 29 2022 01: +0,1672275600
0.162,24,Dec 30 2022 01: +0,1672362000
0.157,23,Dec 31 2022 01: +0,1672448400
0.152,11,Jan 01 2023 01: +0,1672534800
0.158,33,Jan 02 2023 01: +0,1672621200
0.171,22,Jan 03 2023 01: +0,1672707600
0.18,19,Jan 04 2023 01: +0,1672794000
0.191,12,Jan 05 2023 01: +0,1672880400
0.198,17,Jan 06 2023 01: +0,1672966800
0.199,23,Jan 07 2023 01: +0,1673053200
0.213,20,Jan 08 2023 01: +0,1673139600
0.194,22,Jan 09 2023 01: +0,1673226000
0.206,15,Jan 10 2023 01: +0,1673312400
0.245,25,Jan 11 2023 01: +0,1673398800
0.201,19,Jan 12 2023 01: +0,1673485200
0.216,38,Jan 13 2023 01: +0,1673571600
0.252,27,Jan 14 2023 01: +0,1673658000
0.255,17,Jan 15 2023 01: +0,1673744400
0.291,40,Jan 16 2023 01: +0,1673830800
0.358,21,Jan 17 2023 01: +0,1673917200
0.373,14,Jan 18 2023 01: +0,1674003600
0.427,24,Jan 19 2023 01: +0,1674090000
0.414,12,Jan 20 2023 01: +0,1674176400
0.421,26,Jan 21 2023 01: +0,1674262800
0.433,14,Jan 22 2023 01: +0,1674349200
0.419,32,Jan 23 2023 01: +0,1674435600
0.365,12,Jan 24 2023 01: +0,1674522000
0.32,16,Jan 25 2023 01: +0,1674608400
0.341,16,Jan 26 2023 01: +0,1674694800
0.305,23,Jan 27 2023 01: +0,1674781200
0.355,22,Jan 28 2023 01: +0,1674867600
0.35,23,Jan 29 2023 01: +0,1674954000
0.32,19,Jan 30 2023 01: +0,1675040400
0.304,11,Jan 31 2023 01: +0,1675126800
0.267,13,Feb 01 2023 01: +0,1675213200
0.282,28,Feb 02 2023 01: +0,1675299600
0.269,23,Feb 03 2023 01: +0,1675386000
0.278,25,Feb 04 2023 01: +0,1675472400
0.303,39,Feb 05 2023 01: +0,1675558800
0.309,34,Feb 06 2023 01: +0,1675645200
0.343,9,Feb 07 2023 01: +0,1675731600
0.303,32,Feb 08 2023 01: +0,1675818000
0.296,22,Feb 09 2023 01: +0,1675904400
0.294,29,Feb 10 2023 01: +0,1675990800
0.289,16,Feb 11 2023 01: +0,1676077200
0.287,36,Feb 12 2023 01: +0,1676163600
0.26,18,Feb 13 2023 01: +0,1676250000
0.235,17,Feb 14 2023 01: +0,1676336400
0.24,30,Feb 15 2023 01: +0,1676422800
0.252,36,Feb 16 2023 01: +0,1676509200
0.273,34,Feb 17 2023 01: +0,1676595600
0.288,33,Feb 18 2023 01: +0,1676682000
0.288,30,Feb 19 2023 01: +0,1676768400
0.284,13,Feb 20 2023 01: +0,1676854800
0.276,22,Feb 21 2023 01: +0,1676941200
0.267,13,Feb 22 2023 01: +0,1677027600
0.27,12,Feb 23 2023 01: +0,1677114000
0.269,12,Feb 24 2023 01: +0,1677200400
0.273,13,Feb 25 2023 01: +0,1677286800
0.32,16,Feb 26 2023 01: +0,1677373200
0.331,9,Feb 27 2023 01: +0,1677459600
0.339,27,Feb 28 2023 01: +0,1677546000
0.403,49,Mar 01 2023 01: +0,1677632400
0.411,17,Mar 02 2023 01: +0,1677718800
0.5,17,Mar 03 2023 01: +0,1677805200
0.493,29,Mar 04 2023 01: +0,1677891600
0.495,10,Mar 05 2023 01: +0,1677978000
0.489,23,Mar 06 2023 01: +0,1678064400
0.494,16,Mar 07 2023 01: +0,1678150800
0.482,10,Mar 08 2023 01: +0,1678237200
0.409,5,Mar 09 2023 01: +0,1678323600
0.427,8,Mar 10 2023 01: +0,1678410000
0.412,3,Mar 10 2023 20: +0,1678478400
0.418,2,Mar 10 2023 21: +0,1678482000
0.369,1,Mar 11 2023 00: +0,1678492800
0.432,2,Mar 11 2023 04: +0,1678507200
0.421,1,Mar 11 2023 08: +0,1678521600
0.433,2,Mar 11 2023 10: +0,1678528800
0.454,1,Mar 11 2023 12: +0,1678536000
0.397,1,Mar 11 2023 13: +0,1678539600
0.472,8,Mar 11 2023 14: +0,1678543200
0.507,1,Mar 11 2023 17: +0,1678554000
0.56,1,Mar 11 2023 19: +0,1678561200
0.55,2,Mar 11 2023 20: +0,1678564800
0.523,1,Mar 11 2023 23: +0,1678575600
0.476,1,Mar 12 2023 00: +0,1678579200
0.612,26,Mar 12 2023 01: +0,1678582800
0.592,2,Mar 12 2023 02: +0,1678586400
