price,quantity,date,unix timestamp
12.592,27,Mar 21 2024 03: +0,1710990000
15.997,42,Mar 21 2024 04: +0,1710993600
15.876,48,Mar 21 2024 05: +0,1710997200
15.012,34,Mar 21 2024 06: +0,1711000800
15.213,45,Mar 21 2024 07: +0,1711004400
17.038,18,Mar 21 2024 08: +0,1711008000
15.346,17,Mar 21 2024 09: +0,1711011600
12.274,26,Mar 21 2024 10: +0,1711015200
12.262,41,Mar 21 2024 11: +0,1711018800
10.66,35,Mar 21 2024 12: +0,1711022400
10.566,36,Mar 21 2024 13: +0,1711026000
10.607,18,Mar 21 2024 14: +0,1711029600
10.573,31,Mar 21 2024 15: +0,1711033200
9.743,19,Mar 21 2024 16: +0,1711036800
9.358,21,Mar 21 2024 17: +0,1711040400
9.406,26,Mar 21 2024 18: +0,1711044000
9.476,14,Mar 21 2024 19: +0,1711047600
9.575,19,Mar 21 2024 20: +0,1711051200
9.595,18,Mar 21 2024 21: +0,1711054800
9.571,11,Mar 21 2024 22: +0,1711058400
9.666,15,Mar 21 2024 23: +0,1711062000
9.548,9,Mar 22 2024 00: +0,1711065600
10.434,13,Mar 22 2024 01: +0,1711069200
10.95,6,Mar 22 2024 02: +0,1711072800
10.857,6,Mar 22 2024 03: +0,1711076400
11.047,10,Mar 22 2024 04: +0,1711080000
11.24,10,Mar 22 2024 05: +0,1711083600
11.8,12,Mar 22 2024 06: +0,1711087200
12.842,10,Mar 22 2024 07: +0,1711090800
11.376,2,Mar 22 2024 08: +0,1711094400
11.931,9,Mar 22 2024 09: +0,1711098000
11.497,4,Mar 22 2024 10: +0,1711101600
12.093,14,Mar 22 2024 11: +0,1711105200
9.942,3,Mar 22 2024 12: +0,1711108800
9.934,5,Mar 22 2024 13: +0,1711112400
9.777,9,Mar 22 2024 14: +0,1711116000
9.69,8,Mar 22 2024 15: +0,1711119600
9.721,10,Mar 22 2024 16: +0,1711123200
9.777,20,Mar 22 2024 17: +0,1711126800
9.777,7,Mar 22 2024 18: +0,1711130400
9.931,10,Mar 22 2024 19: +0,1711134000
9.942,9,Mar 22 2024 20: +0,1711137600
9.8,10,Mar 22 2024 21: +0,1711141200
9.492,7,Mar 22 2024 22: +0,1711144800
9.678,6,Mar 22 2024 23: +0,1711148400
9.881,6,Mar 23 2024 00: +0,1711152000
9.69,5,Mar 23 2024 01: +0,1711155600
9.855,6,Mar 23 2024 02: +0,1711159200
10.652,3,Mar 23 2024 03: +0,1711162800
10.291,2,Mar 23 2024 04: +0,1711166400
10.652,3,Mar 23 2024 05: +0,1711170000
10.412,2,Mar 23 2024 06: +0,1711173600
10.207,2,Mar 23 2024 07: +0,1711177200
10.245,7,Mar 23 2024 08: +0,1711180800
9.912,9,Mar 23 2024 09: +0,1711184400
10.024,7,Mar 23 2024 10: +0,1711188000
9.879,6,Mar 23 2024 11: +0,1711191600
9.816,9,Mar 23 2024 12: +0,1711195200
9.129,12,Mar 23 2024 13: +0,1711198800
8.743,11,Mar 23 2024 14: +0,1711202400
8.836,13,Mar 23 2024 15: +0,1711206000
8.8,4,Mar 23 2024 16: +0,1711209600
8.956,13,Mar 23 2024 17: +0,1711213200
8.964,6,Mar 23 2024 18: +0,1711216800
9.468,3,Mar 23 2024 19: +0,1711220400
8.964,3,Mar 23 2024 20: +0,1711224000
8.755,2,Mar 23 2024 21: +0,1711227600
8.88,7,Mar 23 2024 22: +0,1711231200
8.956,7,Mar 23 2024 23: +0,1711234800
8.902,3,Mar 24 2024 00: +0,1711238400
8.939,3,Mar 24 2024 01: +0,1711242000
8.836,6,Mar 24 2024 02: +0,1711245600
8.881,4,Mar 24 2024 03: +0,1711249200
8.514,2,Mar 24 2024 04: +0,1711252800
8.781,2,Mar 24 2024 05: +0,1711256400
8.559,5,Mar 24 2024 06: +0,1711260000
8.731,6,Mar 24 2024 07: +0,1711263600
8.542,2,Mar 24 2024 08: +0,1711267200
8.606,7,Mar 24 2024 09: +0,1711270800
8.672,7,Mar 24 2024 10: +0,1711274400
8.617,5,Mar 24 2024 11: +0,1711278000
8.717,13,Mar 24 2024 12: +0,1711281600
8.748,2,Mar 24 2024 13: +0,1711285200
8.791,2,Mar 24 2024 14: +0,1711288800
8.802,8,Mar 24 2024 15: +0,1711292400
8.708,5,Mar 24 2024 16: +0,1711296000
8.648,5,Mar 24 2024 17: +0,1711299600
8.751,5,Mar 24 2024 18: +0,1711303200
8.94,1,Mar 24 2024 19: +0,1711306800
8.7,5,Mar 24 2024 20: +0,1711310400
8.806,5,Mar 24 2024 21: +0,1711314000
8.755,2,Mar 24 2024 22: +0,1711317600
8.603,7,Mar 24 2024 23: +0,1711321200
8.964,7,Mar 25 2024 00: +0,1711324800
9.137,2,Mar 25 2024 01: +0,1711328400
8.88,3,Mar 25 2024 02: +0,1711332000
9.132,2,Mar 25 2024 03: +0,1711335600
8.802,2,Mar 25 2024 04: +0,1711339200
8.83,4,Mar 25 2024 05: +0,1711342800
8.759,2,Mar 25 2024 06: +0,1711346400
8.774,1,Mar 25 2024 07: +0,1711350000
8.778,4,Mar 25 2024 08: +0,1711353600
8.751,3,Mar 25 2024 09: +0,1711357200
8.767,1,Mar 25 2024 10: +0,1711360800
7.851,1,Mar 25 2024 11: +0,1711364400
8.285,6,Mar 25 2024 12: +0,1711368000
8.233,6,Mar 25 2024 13: +0,1711371600
8.25,2,Mar 25 2024 14: +0,1711375200
8.285,7,Mar 25 2024 15: +0,1711378800
8.34,6,Mar 25 2024 16: +0,1711382400
8.498,11,Mar 25 2024 17: +0,1711386000
7.966,2,Mar 25 2024 18: +0,1711389600
8.42,4,Mar 25 2024 19: +0,1711393200
8.364,3,Mar 25 2024 20: +0,1711396800
8.706,5,Mar 25 2024 21: +0,1711400400
8.423,4,Mar 25 2024 22: +0,1711404000
8.4,4,Mar 25 2024 23: +0,1711407600
8.956,3,Mar 26 2024 00: +0,1711411200
8.506,1,Mar 26 2024 03: +0,1711422000
8.688,1,Mar 26 2024 04: +0,1711425600
7.541,1,Mar 26 2024 05: +0,1711429200
