price,quantity,date,unix timestamp
3.583,75,Feb 07 2019 01: +0,1549501200
2.13,66,Feb 08 2019 01: +0,1549587600
2.166,39,Feb 09 2019 01: +0,1549674000
3.063,25,Feb 10 2019 01: +0,1549760400
1.754,38,Feb 11 2019 01: +0,1549846800
1.38,18,Feb 12 2019 01: +0,1549933200
2.462,27,Feb 13 2019 01: +0,1550019600
2.51,11,Feb 14 2019 01: +0,1550106000
2.46,33,Feb 15 2019 01: +0,1550192400
2.283,23,Feb 16 2019 01: +0,1550278800
1.989,25,Feb 17 2019 01: +0,1550365200
2.075,22,Feb 18 2019 01: +0,1550451600
2.379,19,Feb 19 2019 01: +0,1550538000
2.156,14,Feb 20 2019 01: +0,1550624400
2.008,24,Feb 21 2019 01: +0,1550710800
2.147,16,Feb 22 2019 01: +0,1550797200
2.412,14,Feb 23 2019 01: +0,1550883600
2.441,18,Feb 24 2019 01: +0,1550970000
2.464,15,Feb 25 2019 01: +0,1551056400
2.26,6,Feb 26 2019 01: +0,1551142800
2.217,9,Feb 27 2019 01: +0,1551229200
2.402,17,Feb 28 2019 01: +0,1551315600
2.596,13,Mar 01 2019 01: +0,1551402000
1.258,650,Mar 02 2019 01: +0,1551488400
0.664,769,Mar 03 2019 01: +0,1551574800
0.491,489,Mar 04 2019 01: +0,1551661200
0.433,310,Mar 05 2019 01: +0,1551747600
0.474,256,Mar 06 2019 01: +0,1551834000
0.473,168,Mar 07 2019 01: +0,1551920400
0.408,231,Mar 08 2019 01: +0,1552006800
0.435,211,Mar 09 2019 01: +0,1552093200
0.381,159,Mar 10 2019 01: +0,1552179600
0.398,140,Mar 11 2019 01: +0,1552266000
0.492,113,Mar 12 2019 01: +0,1552352400
0.472,64,Mar 13 2019 01: +0,1552438800
0.472,100,Mar 14 2019 01: +0,1552525200
0.479,94,Mar 15 2019 01: +0,1552611600
0.478,77,Mar 16 2019 01: +0,1552698000
0.407,96,Mar 17 2019 01: +0,1552784400
0.441,86,Mar 18 2019 01: +0,1552870800
0.462,62,Mar 19 2019 01: +0,1552957200
0.5,114,Mar 20 2019 01: +0,1553043600
0.553,33,Mar 21 2019 01: +0,1553130000
0.542,56,Mar 22 2019 01: +0,1553216400
0.532,71,Mar 23 2019 01: +0,1553302800
0.501,52,Mar 24 2019 01: +0,1553389200
0.502,67,Mar 25 2019 01: +0,1553475600
0.489,53,Mar 26 2019 01: +0,1553562000
0.48,65,Mar 27 2019 01: +0,1553648400
0.458,32,Mar 28 2019 01: +0,1553734800
0.475,90,Mar 29 2019 01: +0,1553821200
0.504,53,Mar 30 2019 01: +0,1553907600
0.504,55,Mar 31 2019 01: +0,1553994000
0.55,55,Apr 01 2019 01: +0,1554076800
0.583,32,Apr 02 2019 01: +0,1554163200
0.574,54,Apr 03 2019 01: +0,1554249600
0.571,53,Apr 04 2019 01: +0,1554336000
0.593,45,Apr 05 2019 01: +0,1554422400
0.595,58,Apr 06 2019 01: +0,1554508800
0.625,33,Apr 07 2019 01: +0,1554595200
0.654,29,Apr 08 2019 01: +0,1554681600
0.686,48,Apr 09 2019 01: +0,1554768000
0.733,30,Apr 10 2019 01: +0,1554854400
0.748,23,Apr 11 2019 01: +0,1554940800
0.72,25,Apr 12 2019 01: +0,1555027200
0.706,29,Apr 13 2019 01: +0,1555113600
0.718,44,Apr 14 2019 01: +0,1555200000
0.697,38,Apr 15 2019 01: +0,1555286400
0.726,29,Apr 16 2019 01: +0,1555372800
0.758,40,Apr 17 2019 01: +0,1555459200
0.756,21,Apr 18 2019 01: +0,1555545600
0.757,32,Apr 19 2019 01: +0,1555632000
0.661,19,Apr 20 2019 01: +0,1555718400
0.647,26,Apr 21 2019 01: +0,1555804800
0.638,28,Apr 22 2019 01: +0,1555891200
0.694,19,Apr 23 2019 01: +0,1555977600
0.628,13,Apr 24 2019 01: +0,1556064000
0.653,17,Apr 25 2019 01: +0,1556150400
0.692,21,Apr 26 2019 01: +0,1556236800
0.702,21,Apr 27 2019 01: +0,1556323200
0.713,11,Apr 28 2019 01: +0,1556409600
0.701,7,Apr 29 2019 01: +0,1556496000
0.669,13,Apr 30 2019 01: +0,1556582400
0.656,21,May 01 2019 01: +0,1556668800
0.664,12,May 02 2019 01: +0,1556755200
0.668,19,May 03 2019 01: +0,1556841600
0.705,10,May 04 2019 01: +0,1556928000
0.644,13,May 05 2019 01: +0,1557014400
0.669,13,May 06 2019 01: +0,1557100800
0.653,21,May 07 2019 01: +0,1557187200
0.578,34,May 08 2019 01: +0,1557273600
0.525,21,May 09 2019 01: +0,1557360000
0.516,26,May 10 2019 01: +0,1557446400
0.563,29,May 11 2019 01: +0,1557532800
0.635,20,May 12 2019 01: +0,1557619200
0.569,21,May 13 2019 01: +0,1557705600
0.589,23,May 14 2019 01: +0,1557792000
0.572,15,May 15 2019 01: +0,1557878400
0.562,11,May 16 2019 01: +0,1557964800
0.559,19,May 17 2019 01: +0,1558051200
0.552,14,May 18 2019 01: +0,1558137600
0.55,31,May 19 2019 01: +0,1558224000
0.561,24,May 20 2019 01: +0,1558310400
0.551,16,May 21 2019 01: +0,1558396800
0.5,26,May 22 2019 01: +0,1558483200
0.489,29,May 23 2019 01: +0,1558569600
0.54,53,May 24 2019 01: +0,1558656000
0.593,15,May 25 2019 01: +0,1558742400
0.608,32,May 26 2019 01: +0,1558828800
0.67,23,May 27 2019 01: +0,1558915200
0.642,8,May 28 2019 01: +0,1559001600
0.64,15,May 29 2019 01: +0,1559088000
0.651,16,May 30 2019 01: +0,1559174400
0.657,14,May 31 2019 01: +0,1559260800
0.706,21,Jun 01 2019 01: +0,1559347200
0.703,36,Jun 02 2019 01: +0,1559433600
0.745,24,Jun 03 2019 01: +0,1559520000
0.783,13,Jun 04 2019 01: +0,1559606400
0.769,27,Jun 05 2019 01: +0,1559692800
0.785,17,Jun 06 2019 01: +0,1559779200
0.807,15,Jun 07 2019 01: +0,1559865600
0.763,13,Jun 08 2019 01: +0,1559952000
0.73,28,Jun 09 2019 01: +0,1560038400
0.746,26,Jun 10 2019 01: +0,1560124800
0.76,29,Jun 11 2019 01: +0,1560211200
0.725,6,Jun 12 2019 01: +0,1560297600
0.739,12,Jun 13 2019 01: +0,1560384000
0.672,12,Jun 14 2019 01: +0,1560470400
0.661,14,Jun 15 2019 01: +0,1560556800
0.716,30,Jun 16 2019 01: +0,1560643200
0.746,10,Jun 17 2019 01: +0,1560729600
0.729,16,Jun 18 2019 01: +0,1560816000
0.728,16,Jun 19 2019 01: +0,1560902400
0.715,7,Jun 20 2019 01: +0,1560988800
0.732,14,Jun 21 2019 01: +0,1561075200
0.741,12,Jun 22 2019 01: +0,1561161600
0.711,7,Jun 23 2019 01: +0,1561248000
0.738,7,Jun 24 2019 01: +0,1561334400
0.694,16,Jun 25 2019 01: +0,1561420800
0.658,27,Jun 26 2019 01: +0,1561507200
0.681,7,Jun 27 2019 01: +0,1561593600
0.717,17,Jun 28 2019 01: +0,1561680000
0.646,10,Jun 29 2019 01: +0,1561766400
0.634,13,Jun 30 2019 01: +0,1561852800
0.643,10,Jul 01 2019 01: +0,1561939200
0.617,15,Jul 02 2019 01: +0,1562025600
0.673,24,Jul 03 2019 01: +0,1562112000
0.667,9,Jul 04 2019 01: +0,1562198400
0.677,17,Jul 05 2019 01: +0,1562284800
0.631,11,Jul 06 2019 01: +0,1562371200
0.616,17,Jul 07 2019 01: +0,1562457600
0.643,23,Jul 08 2019 01: +0,1562544000
0.645,27,Jul 09 2019 01: +0,1562630400
0.686,25,Jul 10 2019 01: +0,1562716800
0.708,21,Jul 11 2019 01: +0,1562803200
0.749,6,Jul 12 2019 01: +0,1562889600
0.715,4,Jul 13 2019 01: +0,1562976000
0.689,26,Jul 14 2019 01: +0,1563062400
0.737,14,Jul 15 2019 01: +0,1563148800
0.743,12,Jul 16 2019 01: +0,1563235200
0.735,14,Jul 17 2019 01: +0,1563321600
0.728,13,Jul 18 2019 01: +0,1563408000
0.754,11,Jul 19 2019 01: +0,1563494400
0.762,9,Jul 20 2019 01: +0,1563580800
0.778,20,Jul 21 2019 01: +0,1563667200
0.765,18,Jul 22 2019 01: +0,1563753600
0.757,9,Jul 23 2019 01: +0,1563840000
0.74,10,Jul 24 2019 01: +0,1563926400
0.799,7,Jul 25 2019 01: +0,1564012800
0.738,6,Jul 26 2019 01: +0,1564099200
0.76,13,Jul 27 2019 01: +0,1564185600
0.739,13,Jul 28 2019 01: +0,1564272000
0.712,16,Jul 29 2019 01: +0,1564358400
0.762,19,Jul 30 2019 01: +0,1564444800
0.74,8,Jul 31 2019 01: +0,1564531200
0.748,14,Aug 01 2019 01: +0,1564617600
0.779,22,Aug 02 2019 01: +0,1564704000
0.732,9,Aug 03 2019 01: +0,1564790400
0.715,8,Aug 04 2019 01: +0,1564876800
0.793,30,Aug 05 2019 01: +0,1564963200
0.775,13,Aug 06 2019 01: +0,1565049600
0.795,19,Aug 07 2019 01: +0,1565136000
0.88,34,Aug 08 2019 01: +0,1565222400
0.926,11,Aug 09 2019 01: +0,1565308800
0.857,14,Aug 10 2019 01: +0,1565395200
0.845,16,Aug 11 2019 01: +0,1565481600
0.953,10,Aug 12 2019 01: +0,1565568000
0.908,6,Aug 13 2019 01: +0,1565654400
0.862,16,Aug 14 2019 01: +0,1565740800
0.864,10,Aug 15 2019 01: +0,1565827200
0.802,16,Aug 16 2019 01: +0,1565913600
