price,quantity,date,unix timestamp
1.625,896,Feb 07 2019 01: +0,1549501200
1.803,505,Feb 08 2019 01: +0,1549587600
1.777,425,Feb 09 2019 01: +0,1549674000
1.83,268,Feb 10 2019 01: +0,1549760400
1.419,233,Feb 11 2019 01: +0,1549846800
1.045,226,Feb 12 2019 01: +0,1549933200
0.901,233,Feb 13 2019 01: +0,1550019600
0.599,116,Feb 14 2019 01: +0,1550106000
0.372,104,Feb 15 2019 01: +0,1550192400
0.302,137,Feb 16 2019 01: +0,1550278800
0.292,134,Feb 17 2019 01: +0,1550365200
0.251,99,Feb 18 2019 01: +0,1550451600
0.292,108,Feb 19 2019 01: +0,1550538000
0.285,91,Feb 20 2019 01: +0,1550624400
0.258,60,Feb 21 2019 01: +0,1550710800
0.205,91,Feb 22 2019 01: +0,1550797200
0.173,87,Feb 23 2019 01: +0,1550883600
0.156,110,Feb 24 2019 01: +0,1550970000
0.156,113,Feb 25 2019 01: +0,1551056400
0.149,101,Feb 26 2019 01: +0,1551142800
0.156,111,Feb 27 2019 01: +0,1551229200
0.122,103,Feb 28 2019 01: +0,1551315600
0.126,112,Mar 01 2019 01: +0,1551402000
0.092,3665,Mar 02 2019 01: +0,1551488400
0.056,5052,Mar 03 2019 01: +0,1551574800
0.052,2889,Mar 04 2019 01: +0,1551661200
0.045,1822,Mar 05 2019 01: +0,1551747600
0.044,1518,Mar 06 2019 01: +0,1551834000
0.044,1093,Mar 07 2019 01: +0,1551920400
0.043,1245,Mar 08 2019 01: +0,1552006800
0.041,1109,Mar 09 2019 01: +0,1552093200
0.04,1078,Mar 10 2019 01: +0,1552179600
0.036,843,Mar 11 2019 01: +0,1552266000
0.039,863,Mar 12 2019 01: +0,1552352400
0.041,704,Mar 13 2019 01: +0,1552438800
0.041,720,Mar 14 2019 01: +0,1552525200
0.042,629,Mar 15 2019 01: +0,1552611600
0.044,852,Mar 16 2019 01: +0,1552698000
0.044,659,Mar 17 2019 01: +0,1552784400
0.045,468,Mar 18 2019 01: +0,1552870800
0.046,443,Mar 19 2019 01: +0,1552957200
0.046,491,Mar 20 2019 01: +0,1553043600
0.047,443,Mar 21 2019 01: +0,1553130000
0.047,466,Mar 22 2019 01: +0,1553216400
0.049,520,Mar 23 2019 01: +0,1553302800
0.049,582,Mar 24 2019 01: +0,1553389200
0.048,419,Mar 25 2019 01: +0,1553475600
0.047,377,Mar 26 2019 01: +0,1553562000
0.05,426,Mar 27 2019 01: +0,1553648400
0.051,412,Mar 28 2019 01: +0,1553734800
0.049,562,Mar 29 2019 01: +0,1553821200
0.05,394,Mar 30 2019 01: +0,1553907600
0.05,367,Mar 31 2019 01: +0,1553994000
0.05,309,Apr 01 2019 01: +0,1554076800
0.052,267,Apr 02 2019 01: +0,1554163200
0.052,320,Apr 03 2019 01: +0,1554249600
0.051,304,Apr 04 2019 01: +0,1554336000
0.051,270,Apr 05 2019 01: +0,1554422400
0.051,278,Apr 06 2019 01: +0,1554508800
0.052,279,Apr 07 2019 01: +0,1554595200
0.055,225,Apr 08 2019 01: +0,1554681600
0.054,210,Apr 09 2019 01: +0,1554768000
0.053,214,Apr 10 2019 01: +0,1554854400
0.051,261,Apr 11 2019 01: +0,1554940800
0.053,273,Apr 12 2019 01: +0,1555027200
0.054,307,Apr 13 2019 01: +0,1555113600
0.055,259,Apr 14 2019 01: +0,1555200000
0.054,231,Apr 15 2019 01: +0,1555286400
0.054,217,Apr 16 2019 01: +0,1555372800
0.055,264,Apr 17 2019 01: +0,1555459200
0.055,288,Apr 18 2019 01: +0,1555545600
0.056,196,Apr 19 2019 01: +0,1555632000
0.055,308,Apr 20 2019 01: +0,1555718400
0.057,305,Apr 21 2019 01: +0,1555804800
0.054,213,Apr 22 2019 01: +0,1555891200
0.057,235,Apr 23 2019 01: +0,1555977600
0.056,207,Apr 24 2019 01: +0,1556064000
0.056,218,Apr 25 2019 01: +0,1556150400
0.055,242,Apr 26 2019 01: +0,1556236800
0.056,250,Apr 27 2019 01: +0,1556323200
0.057,290,Apr 28 2019 01: +0,1556409600
0.056,205,Apr 29 2019 01: +0,1556496000
0.055,177,Apr 30 2019 01: +0,1556582400
0.059,202,May 01 2019 01: +0,1556668800
0.056,184,May 02 2019 01: +0,1556755200
0.059,194,May 03 2019 01: +0,1556841600
0.059,218,May 04 2019 01: +0,1556928000
0.061,206,May 05 2019 01: +0,1557014400
0.061,170,May 06 2019 01: +0,1557100800
0.058,147,May 07 2019 01: +0,1557187200
0.056,207,May 08 2019 01: +0,1557273600
0.058,163,May 09 2019 01: +0,1557360000
0.057,207,May 10 2019 01: +0,1557446400
0.058,203,May 11 2019 01: +0,1557532800
0.06,222,May 12 2019 01: +0,1557619200
0.059,146,May 13 2019 01: +0,1557705600
0.064,148,May 14 2019 01: +0,1557792000
0.061,158,May 15 2019 01: +0,1557878400
0.058,169,May 16 2019 01: +0,1557964800
0.061,172,May 17 2019 01: +0,1558051200
0.06,223,May 18 2019 01: +0,1558137600
0.062,188,May 19 2019 01: +0,1558224000
0.06,141,May 20 2019 01: +0,1558310400
0.061,194,May 21 2019 01: +0,1558396800
0.061,143,May 22 2019 01: +0,1558483200
0.06,213,May 23 2019 01: +0,1558569600
0.06,149,May 24 2019 01: +0,1558656000
0.06,274,May 25 2019 01: +0,1558742400
0.059,193,May 26 2019 01: +0,1558828800
0.06,239,May 27 2019 01: +0,1558915200
0.06,147,May 28 2019 01: +0,1559001600
0.058,172,May 29 2019 01: +0,1559088000
0.059,234,May 30 2019 01: +0,1559174400
0.061,239,May 31 2019 01: +0,1559260800
0.059,200,Jun 01 2019 01: +0,1559347200
0.058,262,Jun 02 2019 01: +0,1559433600
0.058,230,Jun 03 2019 01: +0,1559520000
0.058,172,Jun 04 2019 01: +0,1559606400
0.059,252,Jun 05 2019 01: +0,1559692800
0.061,205,Jun 06 2019 01: +0,1559779200
0.059,184,Jun 07 2019 01: +0,1559865600
0.059,249,Jun 08 2019 01: +0,1559952000
0.057,215,Jun 09 2019 01: +0,1560038400
0.057,260,Jun 10 2019 01: +0,1560124800
0.057,220,Jun 11 2019 01: +0,1560211200
0.061,156,Jun 12 2019 01: +0,1560297600
0.058,196,Jun 13 2019 01: +0,1560384000
0.059,212,Jun 14 2019 01: +0,1560470400
0.061,259,Jun 15 2019 01: +0,1560556800
0.058,183,Jun 16 2019 01: +0,1560643200
0.061,247,Jun 17 2019 01: +0,1560729600
0.06,138,Jun 18 2019 01: +0,1560816000
0.061,199,Jun 19 2019 01: +0,1560902400
0.059,218,Jun 20 2019 01: +0,1560988800
0.06,132,Jun 21 2019 01: +0,1561075200
0.062,128,Jun 22 2019 01: +0,1561161600
0.061,160,Jun 23 2019 01: +0,1561248000
0.061,170,Jun 24 2019 01: +0,1561334400
0.058,310,Jun 25 2019 01: +0,1561420800
0.056,169,Jun 26 2019 01: +0,1561507200
0.055,154,Jun 27 2019 01: +0,1561593600
0.056,323,Jun 28 2019 01: +0,1561680000
0.056,336,Jun 29 2019 01: +0,1561766400
0.056,175,Jun 30 2019 01: +0,1561852800
0.059,152,Jul 01 2019 01: +0,1561939200
0.057,175,Jul 02 2019 01: +0,1562025600
0.057,156,Jul 03 2019 01: +0,1562112000
0.06,297,Jul 04 2019 01: +0,1562198400
0.057,162,Jul 05 2019 01: +0,1562284800
0.058,150,Jul 06 2019 01: +0,1562371200
0.058,175,Jul 07 2019 01: +0,1562457600
0.057,215,Jul 08 2019 01: +0,1562544000
0.057,216,Jul 09 2019 01: +0,1562630400
0.056,152,Jul 10 2019 01: +0,1562716800
0.056,173,Jul 11 2019 01: +0,1562803200
0.057,405,Jul 12 2019 01: +0,1562889600
0.056,166,Jul 13 2019 01: +0,1562976000
0.058,194,Jul 14 2019 01: +0,1563062400
0.056,231,Jul 15 2019 01: +0,1563148800
0.055,249,Jul 16 2019 01: +0,1563235200
0.055,299,Jul 17 2019 01: +0,1563321600
0.056,344,Jul 18 2019 01: +0,1563408000
0.055,314,Jul 19 2019 01: +0,1563494400
0.054,245,Jul 20 2019 01: +0,1563580800
0.056,228,Jul 21 2019 01: +0,1563667200
0.058,165,Jul 22 2019 01: +0,1563753600
0.055,218,Jul 23 2019 01: +0,1563840000
0.057,208,Jul 24 2019 01: +0,1563926400
0.055,136,Jul 25 2019 01: +0,1564012800
0.057,292,Jul 26 2019 01: +0,1564099200
0.055,158,Jul 27 2019 01: +0,1564185600
0.056,235,Jul 28 2019 01: +0,1564272000
0.057,299,Jul 29 2019 01: +0,1564358400
0.058,231,Jul 30 2019 01: +0,1564444800
0.061,294,Jul 31 2019 01: +0,1564531200
0.059,165,Aug 01 2019 01: +0,1564617600
0.059,540,Aug 02 2019 01: +0,1564704000
0.06,297,Aug 03 2019 01: +0,1564790400
0.059,284,Aug 04 2019 01: +0,1564876800
0.06,256,Aug 05 2019 01: +0,1564963200
0.062,234,Aug 06 2019 01: +0,1565049600
0.061,229,Aug 07 2019 01: +0,1565136000
0.062,195,Aug 08 2019 01: +0,1565222400
0.063,228,Aug 09 2019 01: +0,1565308800
0.063,295,Aug 10 2019 01: +0,1565395200
0.062,258,Aug 11 2019 01: +0,1565481600
0.062,239,Aug 12 2019 01: +0,1565568000
0.062,258,Aug 13 2019 01: +0,1565654400
0.061,308,Aug 14 2019 01: +0,1565740800
0.059,197,Aug 15 2019 01: +0,1565827200
0.059,426,Aug 16 2019 01: +0,1565913600
0.058,230,Aug 17 2019 01: +0,1566000000
0.059,158,Aug 18 2019 01: +0,1566086400
0.061,250,Aug 19 2019 01: +0,1566172800
0.06,189,Aug 20 2019 01: +0,1566259200
0.062,180,Aug 21 2019 01: +0,1566345600
0.062,131,Aug 22 2019 01: +0,1566432000
0.063,164,Aug 23 2019 01: +0,1566518400
0.063,180,Aug 24 2019 01: +0,1566604800
0.064,212,Aug 25 2019 01: +0,1566691200
0.064,153,Aug 26 2019 01: +0,1566777600
0.062,326,Aug 27 2019 01: +0,1566864000
0.065,163,Aug 28 2019 01: +0,1566950400
0.065,196,Aug 29 2019 01: +0,1567036800
0.067,166,Aug 30 2019 01: +0,1567123200
0.067,183,Aug 31 2019 01: +0,1567209600
0.066,184,Sep 01 2019 01: +0,1567296000
0.067,168,Sep 02 2019 01: +0,1567382400
0.067,131,Sep 03 2019 01: +0,1567468800
0.068,148,Sep 04 2019 01: +0,1567555200
0.07,244,Sep 05 2019 01: +0,1567641600
0.07,187,Sep 06 2019 01: +0,1567728000
0.07,309,Sep 07 2019 01: +0,1567814400
0.054,323,Sep 08 2019 01: +0,1567900800
0.049,250,Sep 09 2019 01: +0,1567987200
0.047,115,Sep 10 2019 01: +0,1568073600
0.043,242,Sep 11 2019 01: +0,1568160000
0.044,96,Sep 12 2019 01: +0,1568246400
0.044,115,Sep 13 2019 01: +0,1568332800
0.047,81,Sep 14 2019 01: +0,1568419200
0.044,83,Sep 15 2019 01: +0,1568505600
0.048,47,Sep 16 2019 01: +0,1568592000
0.044,68,Sep 17 2019 01: +0,1568678400
0.048,42,Sep 18 2019 01: +0,1568764800
0.047,53,Sep 19 2019 01: +0,1568851200
0.047,46,Sep 20 2019 01: +0,1568937600
0.046,56,Sep 21 2019 01: +0,1569024000
0.048,52,Sep 22 2019 01: +0,1569110400
0.045,43,Sep 23 2019 01: +0,1569196800
0.048,38,Sep 24 2019 01: +0,1569283200
0.049,44,Sep 25 2019 01: +0,1569369600
0.049,46,Sep 26 2019 01: +0,1569456000
0.052,26,Sep 27 2019 01: +0,1569542400
0.049,63,Sep 28 2019 01: +0,1569628800
0.053,104,Sep 29 2019 01: +0,1569715200
0.051,44,Sep 30 2019 01: +0,1569801600
0.05,52,Oct 01 2019 01: +0,1569888000
0.048,66,Oct 02 2019 01: +0,1569974400
0.047,56,Oct 03 2019 01: +0,1570060800
0.05,72,Oct 04 2019 01: +0,1570147200
0.053,45,Oct 05 2019 01: +0,1570233600
0.05,92,Oct 06 2019 01: +0,1570320000
0.049,56,Oct 07 2019 01: +0,1570406400
0.049,21,Oct 08 2019 01: +0,1570492800
0.05,44,Oct 09 2019 01: +0,1570579200
0.05,59,Oct 10 2019 01: +0,1570665600
0.047,60,Oct 11 2019 01: +0,1570752000
0.053,80,Oct 12 2019 01: +0,1570838400
0.054,73,Oct 13 2019 01: +0,1570924800
0.071,1115,Oct 14 2019 01: +0,1571011200
0.075,88,Oct 15 2019 01: +0,1571097600
0.078,170,Oct 16 2019 01: +0,1571184000
0.074,29,Oct 17 2019 01: +0,1571270400
0.071,49,Oct 18 2019 01: +0,1571356800
0.061,72,Oct 19 2019 01: +0,1571443200
0.06,79,Oct 20 2019 01: +0,1571529600
0.064,70,Oct 21 2019 01: +0,1571616000
0.059,70,Oct 22 2019 01: +0,1571702400
0.052,73,Oct 23 2019 01: +0,1571788800
0.052,79,Oct 24 2019 01: +0,1571875200
0.052,40,Oct 25 2019 01: +0,1571961600
0.053,62,Oct 26 2019 01: +0,1572048000
0.058,56,Oct 27 2019 01: +0,1572134400
0.058,49,Oct 28 2019 01: +0,1572224400
0.053,60,Oct 29 2019 01: +0,1572310800
0.06,31,Oct 30 2019 01: +0,1572397200
0.058,30,Oct 31 2019 01: +0,1572483600
0.055,38,Nov 01 2019 01: +0,1572570000
0.052,66,Nov 02 2019 01: +0,1572656400
0.052,56,Nov 03 2019 01: +0,1572742800
0.05,39,Nov 04 2019 01: +0,1572829200
0.052,60,Nov 05 2019 01: +0,1572915600
0.056,52,Nov 06 2019 01: +0,1573002000
0.057,44,Nov 07 2019 01: +0,1573088400
0.059,109,Nov 08 2019 01: +0,1573174800
0.06,63,Nov 09 2019 01: +0,1573261200
0.06,35,Nov 10 2019 01: +0,1573347600
0.058,27,Nov 11 2019 01: +0,1573434000
0.062,39,Nov 12 2019 01: +0,1573520400
0.062,59,Nov 13 2019 01: +0,1573606800
0.058,39,Nov 14 2019 01: +0,1573693200
0.061,36,Nov 15 2019 01: +0,1573779600
0.061,43,Nov 16 2019 01: +0,1573866000
0.062,50,Nov 17 2019 01: +0,1573952400
0.063,32,Nov 18 2019 01: +0,1574038800
0.044,214,Nov 19 2019 01: +0,1574125200
0.043,69,Nov 20 2019 01: +0,1574211600
0.043,58,Nov 21 2019 01: +0,1574298000
0.046,55,Nov 22 2019 01: +0,1574384400
0.051,65,Nov 23 2019 01: +0,1574470800
0.048,46,Nov 24 2019 01: +0,1574557200
0.05,67,Nov 25 2019 01: +0,1574643600
0.048,38,Nov 26 2019 01: +0,1574730000
0.048,59,Nov 27 2019 01: +0,1574816400
0.051,119,Nov 28 2019 01: +0,1574902800
0.053,40,Nov 29 2019 01: +0,1574989200
0.052,43,Nov 30 2019 01: +0,1575075600
0.055,51,Dec 01 2019 01: +0,1575162000
0.051,36,Dec 02 2019 01: +0,1575248400
0.052,50,Dec 03 2019 01: +0,1575334800
0.051,49,Dec 04 2019 01: +0,1575421200
0.051,45,Dec 05 2019 01: +0,1575507600
0.054,44,Dec 06 2019 01: +0,1575594000
0.055,46,Dec 07 2019 01: +0,1575680400
0.055,61,Dec 08 2019 01: +0,1575766800
0.058,39,Dec 09 2019 01: +0,1575853200
0.054,22,Dec 10 2019 01: +0,1575939600
0.06,25,Dec 11 2019 01: +0,1576026000
0.058,22,Dec 12 2019 01: +0,1576112400
0.061,25,Dec 13 2019 01: +0,1576198800
0.062,49,Dec 14 2019 01: +0,1576285200
0.065,58,Dec 15 2019 01: +0,1576371600
0.062,38,Dec 16 2019 01: +0,1576458000
0.061,36,Dec 17 2019 01: +0,1576544400
0.055,51,Dec 18 2019 01: +0,1576630800
0.059,41,Dec 19 2019 01: +0,1576717200
0.061,33,Dec 20 2019 01: +0,1576803600
0.06,39,Dec 21 2019 01: +0,1576890000
0.059,38,Dec 22 2019 01: +0,1576976400
0.061,32,Dec 23 2019 01: +0,1577062800
0.055,39,Dec 24 2019 01: +0,1577149200
0.055,53,Dec 25 2019 01: +0,1577235600
0.056,96,Dec 26 2019 01: +0,1577322000
0.059,56,Dec 27 2019 01: +0,1577408400
0.058,52,Dec 28 2019 01: +0,1577494800
0.061,44,Dec 29 2019 01: +0,1577581200
0.059,49,Dec 30 2019 01: +0,1577667600
0.059,37,Dec 31 2019 01: +0,1577754000
0.061,52,Jan 01 2020 01: +0,1577840400
0.063,57,Jan 02 2020 01: +0,1577926800
0.065,41,Jan 03 2020 01: +0,1578013200
0.069,52,Jan 04 2020 01: +0,1578099600
0.07,46,Jan 05 2020 01: +0,1578186000
0.064,43,Jan 06 2020 01: +0,1578272400
0.07,31,Jan 07 2020 01: +0,1578358800
0.069,42,Jan 08 2020 01: +0,1578445200
0.063,58,Jan 09 2020 01: +0,1578531600
0.067,62,Jan 10 2020 01: +0,1578618000
0.065,51,Jan 11 2020 01: +0,1578704400
0.066,31,Jan 12 2020 01: +0,1578790800
0.07,46,Jan 13 2020 01: +0,1578877200
0.065,111,Jan 14 2020 01: +0,1578963600
0.072,40,Jan 15 2020 01: +0,1579050000
0.071,49,Jan 16 2020 01: +0,1579136400
0.067,48,Jan 17 2020 01: +0,1579222800
0.07,42,Jan 18 2020 01: +0,1579309200
0.071,76,Jan 19 2020 01: +0,1579395600
0.07,47,Jan 20 2020 01: +0,1579482000
0.069,33,Jan 21 2020 01: +0,1579568400
0.073,34,Jan 22 2020 01: +0,1579654800
0.071,32,Jan 23 2020 01: +0,1579741200
0.071,40,Jan 24 2020 01: +0,1579827600
0.073,39,Jan 25 2020 01: +0,1579914000
0.072,37,Jan 26 2020 01: +0,1580000400
0.077,33,Jan 27 2020 01: +0,1580086800
0.071,31,Jan 28 2020 01: +0,1580173200
0.069,30,Jan 29 2020 01: +0,1580259600
0.077,29,Jan 30 2020 01: +0,1580346000
0.068,42,Jan 31 2020 01: +0,1580432400
0.074,37,Feb 01 2020 01: +0,1580518800
0.074,53,Feb 02 2020 01: +0,1580605200
0.073,28,Feb 03 2020 01: +0,1580691600
0.067,71,Feb 04 2020 01: +0,1580778000
0.067,67,Feb 05 2020 01: +0,1580864400
0.069,51,Feb 06 2020 01: +0,1580950800
0.064,52,Feb 07 2020 01: +0,1581037200
0.064,45,Feb 08 2020 01: +0,1581123600
0.067,68,Feb 09 2020 01: +0,1581210000
0.073,111,Feb 10 2020 01: +0,1581296400
0.075,34,Feb 11 2020 01: +0,1581382800
0.074,44,Feb 12 2020 01: +0,1581469200
0.071,36,Feb 13 2020 01: +0,1581555600
0.077,53,Feb 14 2020 01: +0,1581642000
0.079,44,Feb 15 2020 01: +0,1581728400
0.072,37,Feb 16 2020 01: +0,1581814800
0.07,37,Feb 17 2020 01: +0,1581901200
0.068,33,Feb 18 2020 01: +0,1581987600
0.07,41,Feb 19 2020 01: +0,1582074000
0.067,35,Feb 20 2020 01: +0,1582160400
0.068,36,Feb 21 2020 01: +0,1582246800
0.068,54,Feb 22 2020 01: +0,1582333200
0.066,58,Feb 23 2020 01: +0,1582419600
0.066,68,Feb 24 2020 01: +0,1582506000
0.064,80,Feb 25 2020 01: +0,1582592400
0.066,66,Feb 26 2020 01: +0,1582678800
0.065,51,Feb 27 2020 01: +0,1582765200
0.066,52,Feb 28 2020 01: +0,1582851600
0.068,137,Feb 29 2020 01: +0,1582938000
0.065,100,Mar 01 2020 01: +0,1583024400
0.068,164,Mar 02 2020 01: +0,1583110800
0.072,41,Mar 03 2020 01: +0,1583197200
0.075,50,Mar 04 2020 01: +0,1583283600
0.072,34,Mar 05 2020 01: +0,1583370000
0.075,48,Mar 06 2020 01: +0,1583456400
0.077,52,Mar 07 2020 01: +0,1583542800
0.072,47,Mar 08 2020 01: +0,1583629200
0.078,34,Mar 09 2020 01: +0,1583715600
0.071,37,Mar 10 2020 01: +0,1583802000
0.075,35,Mar 11 2020 01: +0,1583888400
0.074,38,Mar 12 2020 01: +0,1583974800
0.073,32,Mar 13 2020 01: +0,1584061200
0.077,34,Mar 14 2020 01: +0,1584147600
0.08,47,Mar 15 2020 01: +0,1584234000
0.075,51,Mar 16 2020 01: +0,1584320400
0.076,48,Mar 17 2020 01: +0,1584406800
0.076,62,Mar 18 2020 01: +0,1584493200
0.073,52,Mar 19 2020 01: +0,1584579600
0.07,54,Mar 20 2020 01: +0,1584666000
0.075,28,Mar 21 2020 01: +0,1584752400
0.076,37,Mar 22 2020 01: +0,1584838800
0.072,36,Mar 23 2020 01: +0,1584925200
0.076,34,Mar 24 2020 01: +0,1585011600
0.075,58,Mar 25 2020 01: +0,1585098000
0.079,41,Mar 26 2020 01: +0,1585184400
0.081,27,Mar 27 2020 01: +0,1585270800
0.077,44,Mar 28 2020 01: +0,1585357200
0.075,38,Mar 29 2020 01: +0,1585443600
0.076,47,Mar 30 2020 01: +0,1585526400
0.076,56,Mar 31 2020 01: +0,1585612800
0.077,56,Apr 01 2020 01: +0,1585699200
0.075,44,Apr 02 2020 01: +0,1585785600
0.075,76,Apr 03 2020 01: +0,1585872000
0.073,59,Apr 04 2020 01: +0,1585958400
0.079,87,Apr 05 2020 01: +0,1586044800
0.076,71,Apr 06 2020 01: +0,1586131200
