price,quantity,date,unix timestamp
0.089,403,Feb 07 2019 01: +0,1549501200
0.088,275,Feb 08 2019 01: +0,1549587600
0.097,237,Feb 09 2019 01: +0,1549674000
0.095,146,Feb 10 2019 01: +0,1549760400
0.098,119,Feb 11 2019 01: +0,1549846800
0.095,91,Feb 12 2019 01: +0,1549933200
0.097,97,Feb 13 2019 01: +0,1550019600
0.101,150,Feb 14 2019 01: +0,1550106000
0.105,107,Feb 15 2019 01: +0,1550192400
0.115,102,Feb 16 2019 01: +0,1550278800
0.112,67,Feb 17 2019 01: +0,1550365200
0.105,86,Feb 18 2019 01: +0,1550451600
0.108,80,Feb 19 2019 01: +0,1550538000
0.11,77,Feb 20 2019 01: +0,1550624400
0.106,113,Feb 21 2019 01: +0,1550710800
0.111,100,Feb 22 2019 01: +0,1550797200
0.118,111,Feb 23 2019 01: +0,1550883600
0.117,107,Feb 24 2019 01: +0,1550970000
0.111,98,Feb 25 2019 01: +0,1551056400
0.113,114,Feb 26 2019 01: +0,1551142800
0.114,81,Feb 27 2019 01: +0,1551229200
0.113,77,Feb 28 2019 01: +0,1551315600
0.109,81,Mar 01 2019 01: +0,1551402000
0.074,3826,Mar 02 2019 01: +0,1551488400
0.054,4788,Mar 03 2019 01: +0,1551574800
0.05,2784,Mar 04 2019 01: +0,1551661200
0.043,1982,Mar 05 2019 01: +0,1551747600
0.042,1442,Mar 06 2019 01: +0,1551834000
0.042,1196,Mar 07 2019 01: +0,1551920400
0.04,1294,Mar 08 2019 01: +0,1552006800
0.037,1131,Mar 09 2019 01: +0,1552093200
0.035,1212,Mar 10 2019 01: +0,1552179600
0.035,1068,Mar 11 2019 01: +0,1552266000
0.038,1057,Mar 12 2019 01: +0,1552352400
0.041,792,Mar 13 2019 01: +0,1552438800
0.04,825,Mar 14 2019 01: +0,1552525200
0.042,693,Mar 15 2019 01: +0,1552611600
0.042,746,Mar 16 2019 01: +0,1552698000
0.044,708,Mar 17 2019 01: +0,1552784400
0.046,622,Mar 18 2019 01: +0,1552870800
0.047,673,Mar 19 2019 01: +0,1552957200
0.047,620,Mar 20 2019 01: +0,1553043600
0.047,436,Mar 21 2019 01: +0,1553130000
0.047,470,Mar 22 2019 01: +0,1553216400
0.05,673,Mar 23 2019 01: +0,1553302800
0.048,595,Mar 24 2019 01: +0,1553389200
0.048,428,Mar 25 2019 01: +0,1553475600
0.048,398,Mar 26 2019 01: +0,1553562000
0.049,510,Mar 27 2019 01: +0,1553648400
0.05,345,Mar 28 2019 01: +0,1553734800
0.048,411,Mar 29 2019 01: +0,1553821200
0.05,436,Mar 30 2019 01: +0,1553907600
0.049,353,Mar 31 2019 01: +0,1553994000
0.052,330,Apr 01 2019 01: +0,1554076800
0.052,244,Apr 02 2019 01: +0,1554163200
0.05,355,Apr 03 2019 01: +0,1554249600
0.051,332,Apr 04 2019 01: +0,1554336000
0.051,286,Apr 05 2019 01: +0,1554422400
0.052,349,Apr 06 2019 01: +0,1554508800
0.052,338,Apr 07 2019 01: +0,1554595200
0.053,262,Apr 08 2019 01: +0,1554681600
0.053,279,Apr 09 2019 01: +0,1554768000
0.055,263,Apr 10 2019 01: +0,1554854400
0.054,310,Apr 11 2019 01: +0,1554940800
0.055,510,Apr 12 2019 01: +0,1555027200
0.055,329,Apr 13 2019 01: +0,1555113600
0.056,368,Apr 14 2019 01: +0,1555200000
0.056,461,Apr 15 2019 01: +0,1555286400
0.055,391,Apr 16 2019 01: +0,1555372800
0.056,230,Apr 17 2019 01: +0,1555459200
0.056,362,Apr 18 2019 01: +0,1555545600
0.059,202,Apr 19 2019 01: +0,1555632000
0.057,224,Apr 20 2019 01: +0,1555718400
0.058,261,Apr 21 2019 01: +0,1555804800
0.058,246,Apr 22 2019 01: +0,1555891200
0.06,665,Apr 23 2019 01: +0,1555977600
0.06,190,Apr 24 2019 01: +0,1556064000
0.056,158,Apr 25 2019 01: +0,1556150400
0.056,181,Apr 26 2019 01: +0,1556236800
0.059,216,Apr 27 2019 01: +0,1556323200
0.06,254,Apr 28 2019 01: +0,1556409600
0.059,219,Apr 29 2019 01: +0,1556496000
0.058,253,Apr 30 2019 01: +0,1556582400
0.059,199,May 01 2019 01: +0,1556668800
0.057,148,May 02 2019 01: +0,1556755200
0.061,193,May 03 2019 01: +0,1556841600
0.062,191,May 04 2019 01: +0,1556928000
0.062,192,May 05 2019 01: +0,1557014400
0.062,146,May 06 2019 01: +0,1557100800
0.061,199,May 07 2019 01: +0,1557187200
0.06,170,May 08 2019 01: +0,1557273600
0.061,194,May 09 2019 01: +0,1557360000
0.06,178,May 10 2019 01: +0,1557446400
0.062,259,May 11 2019 01: +0,1557532800
0.062,268,May 12 2019 01: +0,1557619200
0.063,178,May 13 2019 01: +0,1557705600
0.065,136,May 14 2019 01: +0,1557792000
0.063,153,May 15 2019 01: +0,1557878400
0.061,140,May 16 2019 01: +0,1557964800
0.064,155,May 17 2019 01: +0,1558051200
0.064,171,May 18 2019 01: +0,1558137600
0.064,167,May 19 2019 01: +0,1558224000
0.062,181,May 20 2019 01: +0,1558310400
0.063,156,May 21 2019 01: +0,1558396800
0.062,328,May 22 2019 01: +0,1558483200
0.062,247,May 23 2019 01: +0,1558569600
0.063,158,May 24 2019 01: +0,1558656000
0.061,146,May 25 2019 01: +0,1558742400
0.062,189,May 26 2019 01: +0,1558828800
0.062,198,May 27 2019 01: +0,1558915200
0.063,215,May 28 2019 01: +0,1559001600
0.061,201,May 29 2019 01: +0,1559088000
0.061,138,May 30 2019 01: +0,1559174400
0.065,304,May 31 2019 01: +0,1559260800
0.062,229,Jun 01 2019 01: +0,1559347200
0.061,235,Jun 02 2019 01: +0,1559433600
0.061,208,Jun 03 2019 01: +0,1559520000
0.061,172,Jun 04 2019 01: +0,1559606400
0.061,235,Jun 05 2019 01: +0,1559692800
0.06,157,Jun 06 2019 01: +0,1559779200
0.062,263,Jun 07 2019 01: +0,1559865600
0.062,321,Jun 08 2019 01: +0,1559952000
0.06,242,Jun 09 2019 01: +0,1560038400
0.057,178,Jun 10 2019 01: +0,1560124800
0.061,357,Jun 11 2019 01: +0,1560211200
0.061,178,Jun 12 2019 01: +0,1560297600
0.061,190,Jun 13 2019 01: +0,1560384000
0.061,190,Jun 14 2019 01: +0,1560470400
0.062,289,Jun 15 2019 01: +0,1560556800
0.061,317,Jun 16 2019 01: +0,1560643200
0.061,279,Jun 17 2019 01: +0,1560729600
0.064,238,Jun 18 2019 01: +0,1560816000
0.064,234,Jun 19 2019 01: +0,1560902400
0.061,173,Jun 20 2019 01: +0,1560988800
0.06,240,Jun 21 2019 01: +0,1561075200
0.061,165,Jun 22 2019 01: +0,1561161600
0.062,151,Jun 23 2019 01: +0,1561248000
0.059,172,Jun 24 2019 01: +0,1561334400
0.06,191,Jun 25 2019 01: +0,1561420800
0.058,294,Jun 26 2019 01: +0,1561507200
0.057,165,Jun 27 2019 01: +0,1561593600
0.058,241,Jun 28 2019 01: +0,1561680000
0.057,198,Jun 29 2019 01: +0,1561766400
0.059,219,Jun 30 2019 01: +0,1561852800
0.058,276,Jul 01 2019 01: +0,1561939200
0.06,296,Jul 02 2019 01: +0,1562025600
0.06,320,Jul 03 2019 01: +0,1562112000
0.061,214,Jul 04 2019 01: +0,1562198400
0.059,135,Jul 05 2019 01: +0,1562284800
0.062,131,Jul 06 2019 01: +0,1562371200
0.057,169,Jul 07 2019 01: +0,1562457600
0.061,331,Jul 08 2019 01: +0,1562544000
0.06,260,Jul 09 2019 01: +0,1562630400
0.059,228,Jul 10 2019 01: +0,1562716800
0.061,204,Jul 11 2019 01: +0,1562803200
0.06,158,Jul 12 2019 01: +0,1562889600
0.059,332,Jul 13 2019 01: +0,1562976000
0.059,245,Jul 14 2019 01: +0,1563062400
0.06,305,Jul 15 2019 01: +0,1563148800
0.058,323,Jul 16 2019 01: +0,1563235200
0.056,151,Jul 17 2019 01: +0,1563321600
0.057,172,Jul 18 2019 01: +0,1563408000
0.056,143,Jul 19 2019 01: +0,1563494400
0.057,117,Jul 20 2019 01: +0,1563580800
0.056,150,Jul 21 2019 01: +0,1563667200
0.055,124,Jul 22 2019 01: +0,1563753600
0.057,161,Jul 23 2019 01: +0,1563840000
0.055,246,Jul 24 2019 01: +0,1563926400
