price,quantity,date,unix timestamp
8.905,39,Nov 10 2021 01: +0,1636506000
7.823,15,Nov 11 2021 01: +0,1636592400
7.361,7,Nov 12 2021 01: +0,1636678800
6.532,7,Nov 13 2021 01: +0,1636765200
7.597,7,Nov 14 2021 01: +0,1636851600
6.528,1,Nov 15 2021 01: +0,1636938000
7.867,3,Nov 16 2021 01: +0,1637024400
8.251,3,Nov 17 2021 01: +0,1637110800
7.636,4,Nov 18 2021 01: +0,1637197200
7.004,2,Nov 19 2021 01: +0,1637283600
7.865,2,Nov 20 2021 01: +0,1637370000
7.611,5,Nov 21 2021 01: +0,1637456400
7.111,2,Nov 22 2021 01: +0,1637542800
7.237,2,Nov 23 2021 01: +0,1637629200
7.642,3,Nov 24 2021 01: +0,1637715600
7.72,5,Nov 25 2021 01: +0,1637802000
8.119,2,Nov 26 2021 01: +0,1637888400
8.439,3,Nov 27 2021 01: +0,1637974800
9.027,2,Nov 28 2021 01: +0,1638061200
7.66,2,Nov 29 2021 01: +0,1638147600
3.153,84,Nov 30 2021 01: +0,1638234000
2.633,46,Dec 01 2021 01: +0,1638320400
2.503,26,Dec 02 2021 01: +0,1638406800
2.528,34,Dec 03 2021 01: +0,1638493200
2.591,26,Dec 04 2021 01: +0,1638579600
3.148,27,Dec 05 2021 01: +0,1638666000
3.398,18,Dec 06 2021 01: +0,1638752400
3.652,24,Dec 07 2021 01: +0,1638838800
3.706,14,Dec 08 2021 01: +0,1638925200
3.524,23,Dec 09 2021 01: +0,1639011600
3.487,17,Dec 10 2021 01: +0,1639098000
3.529,20,Dec 11 2021 01: +0,1639184400
3.591,18,Dec 12 2021 01: +0,1639270800
3.648,17,Dec 13 2021 01: +0,1639357200
3.961,22,Dec 14 2021 01: +0,1639443600
3.561,16,Dec 15 2021 01: +0,1639530000
3.491,23,Dec 16 2021 01: +0,1639616400
3.486,19,Dec 17 2021 01: +0,1639702800
3.565,17,Dec 18 2021 01: +0,1639789200
3.545,13,Dec 19 2021 01: +0,1639875600
3.572,13,Dec 20 2021 01: +0,1639962000
3.614,13,Dec 21 2021 01: +0,1640048400
3.544,15,Dec 22 2021 01: +0,1640134800
3.468,14,Dec 23 2021 01: +0,1640221200
3.424,13,Dec 24 2021 01: +0,1640307600
3.41,17,Dec 25 2021 01: +0,1640394000
3.343,16,Dec 26 2021 01: +0,1640480400
3.332,16,Dec 27 2021 01: +0,1640566800
3.409,16,Dec 28 2021 01: +0,1640653200
3.462,5,Dec 29 2021 01: +0,1640739600
3.247,13,Dec 30 2021 01: +0,1640826000
3.168,11,Dec 31 2021 01: +0,1640912400
3.361,11,Jan 01 2022 01: +0,1640998800
3.274,11,Jan 02 2022 01: +0,1641085200
3.554,12,Jan 03 2022 01: +0,1641171600
3.584,18,Jan 04 2022 01: +0,1641258000
3.577,15,Jan 05 2022 01: +0,1641344400
3.507,17,Jan 06 2022 01: +0,1641430800
3.526,19,Jan 07 2022 01: +0,1641517200
3.656,8,Jan 08 2022 01: +0,1641603600
3.621,14,Jan 09 2022 01: +0,1641690000
3.464,12,Jan 10 2022 01: +0,1641776400
3.292,10,Jan 11 2022 01: +0,1641862800
3.312,7,Jan 12 2022 01: +0,1641949200
3.291,13,Jan 13 2022 01: +0,1642035600
3.265,10,Jan 14 2022 01: +0,1642122000
3.148,13,Jan 15 2022 01: +0,1642208400
3.122,19,Jan 16 2022 01: +0,1642294800
3.047,12,Jan 17 2022 01: +0,1642381200
3.091,4,Jan 18 2022 01: +0,1642467600
3.491,2,Jan 19 2022 01: +0,1642554000
3.433,2,Jan 20 2022 01: +0,1642640400
3.084,12,Jan 21 2022 01: +0,1642726800
2.835,8,Jan 22 2022 01: +0,1642813200
2.726,9,Jan 23 2022 01: +0,1642899600
2.609,9,Jan 24 2022 01: +0,1642986000
2.835,5,Jan 25 2022 01: +0,1643072400
2.811,7,Jan 26 2022 01: +0,1643158800
2.584,2,Jan 27 2022 01: +0,1643245200
2.773,5,Jan 28 2022 01: +0,1643331600
2.759,7,Jan 29 2022 01: +0,1643418000
2.802,3,Jan 30 2022 01: +0,1643504400
2.739,5,Jan 31 2022 01: +0,1643590800
2.77,6,Feb 01 2022 01: +0,1643677200
2.693,3,Feb 02 2022 01: +0,1643763600
2.739,7,Feb 03 2022 01: +0,1643850000
2.812,2,Feb 04 2022 01: +0,1643936400
2.717,5,Feb 05 2022 01: +0,1644022800
2.799,6,Feb 06 2022 01: +0,1644109200
2.637,8,Feb 07 2022 01: +0,1644195600
2.634,3,Feb 08 2022 01: +0,1644282000
2.621,5,Feb 09 2022 01: +0,1644368400
2.484,3,Feb 10 2022 01: +0,1644454800
2.712,18,Feb 11 2022 01: +0,1644541200
2.72,5,Feb 12 2022 01: +0,1644627600
2.767,10,Feb 13 2022 01: +0,1644714000
2.745,6,Feb 14 2022 01: +0,1644800400
2.774,10,Feb 16 2022 01: +0,1644973200
2.903,8,Feb 17 2022 01: +0,1645059600
3.35,15,Feb 18 2022 01: +0,1645146000
3.559,6,Feb 19 2022 01: +0,1645232400
5.255,18,Feb 20 2022 01: +0,1645318800
4.745,7,Feb 21 2022 01: +0,1645405200
5.077,5,Feb 22 2022 01: +0,1645491600
5.529,10,Feb 23 2022 01: +0,1645578000
5.219,3,Feb 24 2022 01: +0,1645664400
5.629,1,Feb 25 2022 01: +0,1645750800
5.144,7,Feb 26 2022 01: +0,1645837200
5.754,3,Feb 27 2022 01: +0,1645923600
5.179,3,Feb 28 2022 01: +0,1646010000
5.299,2,Mar 01 2022 01: +0,1646096400
4.617,1,Mar 02 2022 01: +0,1646182800
4.525,2,Mar 03 2022 01: +0,1646269200
4.616,7,Mar 04 2022 01: +0,1646355600
5.215,2,Mar 05 2022 01: +0,1646442000
4.458,2,Mar 07 2022 01: +0,1646614800
5.109,3,Mar 08 2022 01: +0,1646701200
5.059,4,Mar 09 2022 01: +0,1646787600
5.06,3,Mar 10 2022 01: +0,1646874000
5.24,2,Mar 11 2022 01: +0,1646960400
4.983,5,Mar 12 2022 01: +0,1647046800
5.013,5,Mar 13 2022 01: +0,1647133200
4.698,4,Mar 14 2022 01: +0,1647219600
4.599,1,Mar 15 2022 01: +0,1647306000
4.8,4,Mar 16 2022 01: +0,1647392400
5.321,8,Mar 17 2022 01: +0,1647478800
5.36,2,Mar 18 2022 01: +0,1647565200
5.498,5,Mar 19 2022 01: +0,1647651600
6.472,13,Mar 20 2022 01: +0,1647738000
6.952,3,Mar 21 2022 01: +0,1647824400
6.984,4,Mar 22 2022 01: +0,1647910800
7.263,4,Mar 23 2022 01: +0,1647997200
7.323,3,Mar 24 2022 01: +0,1648083600
6.997,4,Mar 25 2022 01: +0,1648170000
6.506,2,Mar 26 2022 01: +0,1648256400
6.178,3,Mar 27 2022 01: +0,1648342800
6.457,3,Mar 28 2022 01: +0,1648425600
6.112,3,Mar 29 2022 01: +0,1648512000
6.227,6,Mar 30 2022 01: +0,1648598400
5.93,1,Mar 31 2022 01: +0,1648684800
5.939,1,Apr 01 2022 01: +0,1648771200
6.48,3,Apr 02 2022 01: +0,1648857600
6.303,2,Apr 03 2022 01: +0,1648944000
6.632,6,Apr 04 2022 01: +0,1649030400
6.373,2,Apr 05 2022 01: +0,1649116800
6.435,4,Apr 06 2022 01: +0,1649203200
6.473,17,Apr 07 2022 01: +0,1649289600
6.34,4,Apr 08 2022 01: +0,1649376000
6.445,9,Apr 09 2022 01: +0,1649462400
6.427,6,Apr 10 2022 01: +0,1649548800
6.271,9,Apr 11 2022 01: +0,1649635200
6.435,6,Apr 12 2022 01: +0,1649721600
6.237,2,Apr 13 2022 01: +0,1649808000
6.295,4,Apr 14 2022 01: +0,1649894400
5.991,3,Apr 15 2022 01: +0,1649980800
6.051,2,Apr 16 2022 01: +0,1650067200
6.785,10,Apr 18 2022 01: +0,1650240000
7.271,2,Apr 19 2022 01: +0,1650326400
6.799,1,Apr 20 2022 01: +0,1650412800
7.286,3,Apr 21 2022 01: +0,1650499200
6.923,1,Apr 22 2022 01: +0,1650585600
6.923,2,Apr 23 2022 01: +0,1650672000
6.815,4,Apr 24 2022 01: +0,1650758400
6.816,1,Apr 26 2022 01: +0,1650931200
6.477,4,Apr 27 2022 01: +0,1651017600
6.187,6,Apr 28 2022 01: +0,1651104000
6.837,2,Apr 29 2022 01: +0,1651190400
6.786,3,May 01 2022 01: +0,1651363200
6.444,3,May 02 2022 01: +0,1651449600
6.682,1,May 03 2022 01: +0,1651536000
6.422,20,May 04 2022 01: +0,1651622400
5.594,2,May 05 2022 01: +0,1651708800
5.842,4,May 06 2022 01: +0,1651795200
5.724,2,May 07 2022 01: +0,1651881600
5.186,2,May 08 2022 01: +0,1651968000
5.385,3,May 09 2022 01: +0,1652054400
5.293,3,May 10 2022 01: +0,1652140800
5.203,2,May 11 2022 01: +0,1652227200
4.922,1,May 12 2022 01: +0,1652313600
4.872,1,May 13 2022 01: +0,1652400000
4.967,2,May 14 2022 01: +0,1652486400
5.225,3,May 15 2022 01: +0,1652572800
4.64,1,May 16 2022 01: +0,1652659200
5.428,4,May 17 2022 01: +0,1652745600
5.257,4,May 18 2022 01: +0,1652832000
5.567,4,May 19 2022 01: +0,1652918400
5.718,2,May 21 2022 01: +0,1653091200
5.265,2,May 22 2022 01: +0,1653177600
5.137,1,May 23 2022 01: +0,1653264000
4.947,5,May 24 2022 01: +0,1653350400
5.078,1,May 25 2022 01: +0,1653436800
4.103,1,May 26 2022 01: +0,1653523200
3.97,4,May 27 2022 01: +0,1653609600
4.21,1,May 28 2022 01: +0,1653696000
4.103,2,May 29 2022 01: +0,1653782400
4.443,1,May 31 2022 01: +0,1653955200
4.183,2,Jun 01 2022 01: +0,1654041600
4.161,1,Jun 02 2022 01: +0,1654128000
4.032,2,Jun 03 2022 01: +0,1654214400
4.373,4,Jun 04 2022 01: +0,1654300800
3.815,3,Jun 05 2022 01: +0,1654387200
3.879,2,Jun 06 2022 01: +0,1654473600
3.945,3,Jun 07 2022 01: +0,1654560000
4.243,1,Jun 08 2022 01: +0,1654646400
4.441,2,Jun 10 2022 01: +0,1654819200
4.201,2,Jun 12 2022 01: +0,1654992000
4.008,3,Jun 13 2022 01: +0,1655078400
4.053,2,Jun 14 2022 01: +0,1655164800
4.341,3,Jun 15 2022 01: +0,1655251200
4.1,5,Jun 16 2022 01: +0,1655337600
4.103,2,Jun 17 2022 01: +0,1655424000
3.959,3,Jun 19 2022 01: +0,1655596800
3.851,5,Jun 20 2022 01: +0,1655683200
4.103,1,Jun 22 2022 01: +0,1655856000
4.103,1,Jun 23 2022 01: +0,1655942400
3.501,2,Jun 24 2022 01: +0,1656028800
3.56,1,Jun 26 2022 01: +0,1656201600
3.693,3,Jun 27 2022 01: +0,1656288000
3.458,1,Jun 28 2022 01: +0,1656374400
4.258,1,Jun 29 2022 01: +0,1656460800
3.59,1,Jun 30 2022 01: +0,1656547200
3.535,1,Jul 03 2022 01: +0,1656806400
3.459,2,Jul 05 2022 01: +0,1656979200
3.661,3,Jul 06 2022 01: +0,1657065600
4.175,2,Jul 07 2022 01: +0,1657152000
3.689,1,Jul 08 2022 01: +0,1657238400
4.38,1,Jul 10 2022 01: +0,1657411200
3.726,3,Jul 12 2022 01: +0,1657584000
3.768,2,Jul 13 2022 01: +0,1657670400
3.776,2,Jul 15 2022 01: +0,1657843200
3.667,1,Jul 18 2022 01: +0,1658102400
4.186,1,Jul 19 2022 01: +0,1658188800
4.226,1,Jul 20 2022 01: +0,1658275200
3.805,1,Jul 21 2022 01: +0,1658361600
3.666,1,Jul 24 2022 01: +0,1658620800
3.921,2,Jul 25 2022 01: +0,1658707200
3.948,3,Jul 26 2022 01: +0,1658793600
3.499,1,Jul 28 2022 01: +0,1658966400
3.793,2,Jul 29 2022 01: +0,1659052800
3.97,2,Aug 01 2022 01: +0,1659312000
4.244,1,Aug 03 2022 01: +0,1659484800
