price,quantity,date,unix timestamp
8.759,1,Mar 21 2024 03: +0,1710990000
8.973,1,Mar 22 2024 00: +0,1711065600
8.979,1,Mar 22 2024 01: +0,1711069200
4.734,1,Mar 22 2024 06: +0,1711087200
4.695,1,Mar 22 2024 07: +0,1711090800
4.932,1,Mar 22 2024 17: +0,1711126800
4.939,1,Mar 23 2024 11: +0,1711191600
5.168,1,Mar 23 2024 18: +0,1711216800
4.749,1,Mar 24 2024 15: +0,1711292400
4.74,1,Mar 24 2024 17: +0,1711299600
4.742,1,Mar 24 2024 18: +0,1711303200
3.145,1,Mar 25 2024 10: +0,1711360800
3.148,1,Mar 25 2024 16: +0,1711382400
2.529,1,Mar 26 2024 14: +0,1711461600
2.606,1,Mar 27 2024 16: +0,1711555200
2.559,1,Mar 28 2024 13: +0,1711630800
2.55,1,Mar 28 2024 16: +0,1711641600
1.806,1,Mar 30 2024 17: +0,1711818000
2.217,1,Mar 31 2024 07: +0,1711864800
2.368,3,Mar 31 2024 23: +0,1711922400
2.43,2,Apr 04 2024 00: +0,1712185200
2.556,1,Apr 04 2024 09: +0,1712217600
2.991,1,Apr 04 2024 23: +0,1712268000
1.863,1,Apr 06 2024 13: +0,1712404800
2.67,1,Apr 07 2024 16: +0,1712502000
3.203,1,Apr 07 2024 20: +0,1712516400
3.213,1,Apr 08 2024 11: +0,1712570400
4.763,1,Apr 08 2024 16: +0,1712588400
3.962,1,Apr 11 2024 23: +0,1712872800
2.409,1,Apr 13 2024 01: +0,1712966400
3.063,2,Apr 19 2024 08: +0,1713510000
3.033,1,Apr 26 2024 03: +0,1714096800
1.78,1,Apr 26 2024 14: +0,1714136400
1.286,1,Apr 26 2024 18: +0,1714150800
1.926,1,Apr 27 2024 20: +0,1714244400
2.291,1,Apr 28 2024 01: +0,1714262400
1.676,1,Apr 29 2024 10: +0,1714381200
1.668,1,Apr 29 2024 12: +0,1714388400
2.325,1,Apr 29 2024 19: +0,1714413600
2.131,4,Apr 30 2024 12: +0,1714474800
1.668,1,May 01 2024 19: +0,1714586400
1.917,1,May 02 2024 11: +0,1714644000
1.668,1,May 02 2024 16: +0,1714662000
1.934,1,May 02 2024 19: +0,1714672800
1.684,1,May 03 2024 01: +0,1714694400
1.516,1,May 03 2024 08: +0,1714719600
1.96,2,May 03 2024 16: +0,1714748400
2.378,1,May 03 2024 18: +0,1714755600
1.85,1,May 04 2024 10: +0,1714813200
1.85,1,May 04 2024 13: +0,1714824000
1.894,1,May 07 2024 02: +0,1715043600
1.009,1,May 07 2024 17: +0,1715097600
1.842,1,May 07 2024 23: +0,1715119200
1.658,1,May 09 2024 16: +0,1715266800
1.667,1,May 10 2024 20: +0,1715367600
1.78,1,May 10 2024 22: +0,1715374800
1.47,1,May 11 2024 19: +0,1715450400
1.463,1,May 11 2024 20: +0,1715454000
2.076,1,May 12 2024 15: +0,1715522400
0.989,1,May 12 2024 18: +0,1715533200
2.085,1,May 13 2024 12: +0,1715598000
2.096,1,May 14 2024 02: +0,1715648400
1.968,1,May 14 2024 09: +0,1715673600
2.053,1,May 14 2024 16: +0,1715698800
1.988,1,May 15 2024 18: +0,1715792400
2.023,1,May 17 2024 00: +0,1715900400
1.944,1,May 18 2024 16: +0,1716044400
1.941,1,May 19 2024 20: +0,1716145200
1.952,1,May 20 2024 18: +0,1716224400
1.842,1,May 21 2024 15: +0,1716300000
1.763,1,May 21 2024 19: +0,1716314400
1.763,1,May 22 2024 04: +0,1716346800
1.793,1,May 23 2024 03: +0,1716429600
1.976,2,May 23 2024 04: +0,1716433200
1.968,1,May 23 2024 11: +0,1716458400
1.789,1,May 23 2024 16: +0,1716476400
1.516,1,May 24 2024 01: +0,1716508800
1.382,1,May 24 2024 09: +0,1716537600
1.814,1,May 24 2024 22: +0,1716584400
1.783,1,May 25 2024 10: +0,1716627600
1.571,1,May 25 2024 14: +0,1716642000
1.783,1,May 25 2024 23: +0,1716674400
1.733,1,May 26 2024 04: +0,1716692400
1.581,1,May 26 2024 11: +0,1716717600
1.579,1,May 26 2024 20: +0,1716750000
1.917,3,May 27 2024 16: +0,1716822000
1.925,3,May 27 2024 17: +0,1716825600
2.036,1,May 27 2024 18: +0,1716829200
1.767,1,May 30 2024 18: +0,1717088400
1.83,1,May 31 2024 08: +0,1717138800
2.082,2,May 31 2024 11: +0,1717149600
1.804,1,May 31 2024 15: +0,1717164000
1.725,1,May 31 2024 20: +0,1717182000
1.803,1,May 31 2024 22: +0,1717189200
1.733,1,Jun 02 2024 17: +0,1717344000
1.874,1,Jun 03 2024 19: +0,1717437600
1.817,1,Jun 03 2024 22: +0,1717448400
2.089,4,Jun 07 2024 21: +0,1717790400
2.178,1,Jun 08 2024 08: +0,1717830000
1.864,1,Jun 08 2024 16: +0,1717858800
1.912,1,Jun 09 2024 04: +0,1717902000
1.912,1,Jun 09 2024 10: +0,1717923600
1.88,1,Jun 09 2024 11: +0,1717927200
2.845,7,Jun 09 2024 14: +0,1717938000
1.915,1,Jun 11 2024 05: +0,1718078400
1.915,1,Jun 11 2024 06: +0,1718082000
1.915,1,Jun 11 2024 09: +0,1718092800
1.854,1,Jun 11 2024 23: +0,1718143200
1.85,1,Jun 12 2024 14: +0,1718197200
1.936,1,Jun 14 2024 23: +0,1718402400
