price,quantity,date,unix timestamp
23.841,1,May 05 2023 01: +0,1683244800
44.005,6,May 05 2023 03: +0,1683252000
44.162,1,May 05 2023 04: +0,1683255600
34.659,1,May 05 2023 05: +0,1683259200
35.239,1,May 05 2023 06: +0,1683262800
35.236,4,May 05 2023 07: +0,1683266400
30.959,3,May 05 2023 09: +0,1683273600
28.665,2,May 05 2023 10: +0,1683277200
19.701,1,May 05 2023 15: +0,1683295200
20.247,2,May 05 2023 16: +0,1683298800
21.105,1,May 05 2023 17: +0,1683302400
19.945,1,May 05 2023 18: +0,1683306000
20.801,4,May 05 2023 19: +0,1683309600
20.566,2,May 05 2023 21: +0,1683316800
20.209,1,May 05 2023 22: +0,1683320400
20.687,2,May 05 2023 23: +0,1683324000
20.665,1,May 06 2023 01: +0,1683331200
20.941,2,May 06 2023 02: +0,1683334800
20.889,1,May 06 2023 03: +0,1683338400
20.01,1,May 06 2023 04: +0,1683342000
20.881,1,May 06 2023 06: +0,1683349200
22.524,1,May 06 2023 07: +0,1683352800
22.353,1,May 06 2023 12: +0,1683370800
20.377,2,May 06 2023 13: +0,1683374400
16.161,1,May 06 2023 17: +0,1683388800
15.825,1,May 07 2023 00: +0,1683414000
16.139,1,May 07 2023 05: +0,1683432000
16.451,2,May 07 2023 08: +0,1683442800
13.889,1,May 07 2023 17: +0,1683475200
14.586,2,May 07 2023 21: +0,1683489600
16.187,1,May 07 2023 23: +0,1683496800
14.401,1,May 08 2023 03: +0,1683511200
13.945,1,May 08 2023 07: +0,1683525600
20.016,1,May 08 2023 14: +0,1683550800
14.173,1,May 08 2023 17: +0,1683561600
14.001,1,May 09 2023 00: +0,1683586800
13.985,1,May 09 2023 01: +0,1683590400
19.663,1,May 09 2023 07: +0,1683612000
13.849,1,May 10 2023 12: +0,1683716400
13.275,1,May 10 2023 14: +0,1683723600
12.225,1,May 10 2023 21: +0,1683748800
13.857,1,May 11 2023 05: +0,1683777600
13.97,1,May 12 2023 08: +0,1683874800
13.923,1,May 12 2023 12: +0,1683889200
9.873,2,May 13 2023 03: +0,1683943200
9.606,2,May 13 2023 06: +0,1683954000
9.785,1,May 13 2023 11: +0,1683972000
8.701,1,May 14 2023 04: +0,1684033200
9.313,1,May 14 2023 05: +0,1684036800
7.704,1,May 14 2023 12: +0,1684062000
7.685,1,May 14 2023 22: +0,1684098000
7.635,1,May 15 2023 03: +0,1684116000
8.841,2,May 15 2023 08: +0,1684134000
7.504,1,May 15 2023 18: +0,1684170000
